Mi	Mi	DP1CSS	mi
mas	más	RC	más
esttimada	estimada	VMP00SF	estimar
y	y	CC	y
querida	querida	VMP00SF	querer
mia	mía	DP1FSS	mío
	.	Fp	.
despues	Después	RG	después
de	de	SPS00	de
desearte	desearte	VMN0000+PP2CS000	desear+te
tu	tu	DP2CSS	tu
salud	salud	NCFS000	salud
ofrezco	ofrezco	VMIP1S0	ofrecer
la	la	DA0FS0	el
que	que	PR0CN000	que
me	me	PP1CS000	me
asiste	asiste	VMIP3S0	asistir
mui	muy	RQ	muy
a	a	SPS00	a
tu	tu	DP2CSS	tu
disposizion	disposición	NCFS000	disposición
.	.	Fp	.
hermana	Hermana	NP00000	hermano
mia	mía	DP1FSS	mío
	,	Fc	,
como	como	CS	como
anoche	anoche	RG	anoche
me	me	PP1CS000	me
encargastes	encargastes	VMIS2P0	encargar
te	te	PP2CS000	te
escriviera	escribiera	VMSI0S0	escribir
esta	esta	DD0FS0	este
noche	noche	NCFS000	noche
sin	sin	SPS00	sin
falta	falta	NCFS000	falta
;	,	Fc	,
lo	lo	PP3CNA00	lo
ejecuto	ejecuto	VMIP1S0	ejecutar
por	por	SPS00	por
cumplirte	cumplirte	VMN0000+PP2CS000	cumplir+te
tu	tu	DP2CSS	tu
mandato	mandato	NCMS000	mandato
	.	Fp	.
y	Y	CC	y
por	por	SPS00	por
estar	estar	VMN0000	estar
enteramente	enteramente	RG	enteramente
ocupadisimo	ocupadísimo	AQSMS0	ocupado
no	no	RN	no
soy	soy	VSIP1S0	ser
mas	más	RC	más
largo	largo	AQ0MS0	largo
	,	Fc	,
pero	pero	CC	pero
te	te	PP2CS000	te
prometo	prometo	VMIP1S0	prometer
ser	ser	VSN0000	ser
mas	más	RC	más
largo	largo	AQ0MS0	largo
mañana	mañana	RG	mañana
.	.	Fp	.
quien	Quien	PR0CS000	quien
te	te	PP2CS000	te
quiere	quiere	VMIP3S0	querer
de	de	SPS00	de
corazon	corazón	NCMS000	corazón
es	es	VSIP3S0	ser
aquel	aquél	PD0MS000	aquel
que	que	PR0CN000	que
te	te	PP2CS000	te
tiene	tiene	VMIP3S0	tener
metido	metido	VMP00SM	meter
dentro	dentro	RG	dentro
de	de	SPS00	de
sus	sus	DP3CP0	su
entrañas	entrañas	NCFP000	entraña
.	.	Fp	.
aDios	Adiós	I	adiós
	,	Fc	,
hija	hija	NP00000	hijo
mia	mía	DP1FSS	mío
	.	Fp	.
aDios	Adiós	I	adiós
	,	Fc	,
cielo	cielo	NP00000	cielo
.	.	Fp	.
