Mui	Muy	RQ	muy
Señor	señor	NP00000	señor
mio	mío	DP1MSS	mío
	,	Fc	,
Tio	tío	NCMS000	tío
y	y	CC	y
a	a	SPS00	a
quien	quien	PR0CS000	quien
estimo	estimo	VMIP1S0	estimar
	.	Fp	.
me	Me	PP1CS000	me
alegrare	alegraré	VMIF1S0	alegrar
que	que	CS	que
estas	estas	DD0FP0	este
quatro	cuatro	Z	4
letras	letras	NCFP000	letra
allen	hallen	VMSP3P0	hallar
a	a	SPS00	a
usted	usted	PP2CS000	usted
Con	con	SPS00	con
la	la	DA0FS0	el
caVal	cabal	AQ0CS0	cabal
salud	salud	NCFS000	salud
que	que	PR0CN000	que
para	para	SPS00	para
mi	mí	PP1CSO00	mí
deseo	deseo	VMIP1S0	desear
	,	Fc	,
en	en	SPS00	en
conpañia	compañía	NCFS000	compañía
de	de	SPS00	de
mi	mi	DP1CSS	mi
sra	señora	NP00000	señor
tia	tía	NP00000	tía
	,	Fc	,
A	a	SPS00	a
quien	quien	PR0CS000	quien
dara	dará	VMIF3S0	dar
usted	usted	PP2CS000	usted
memorias	memorias	NCFP000	memoria
de	de	SPS00	de
mi	mi	DP1CSS	mi
parte	parte	NCFS000	parte
	;	Fx	;
al	al	SPS00+DA0MS0	a+el
señor	señor	NP00000	señor
Dn	don	NP00000	don
Gregorio	Gregorio	NP00000	gregorio
Monzon	Monzón	NP00000	monzón
y	y	CC	y
a	a	SPS00	a
mi	mi	DP1CSS	mi
tia	tía	NCFS000	tía
pepa	Pepa	NP00000	pepa
y	y	CC	y
a	a	SPS00	a
su	su	DP3CS0	su
matrimonio	matrimonio	NCMS000	matrimonio
	,	Fc	,
que	que	CS	que
io	yo	PP1CSN00	yo
no	no	RN	no
se	sé	VMIP1S0	saber
Como	cómo	PA000000	cómo
se	se	P00CN000	se
llama	llama	VMIP3S0	llamar
	,	Fc	,
y	y	CC	y
a	a	SPS00	a
todas	todas	DI0FP0	todo
las	las	DA0FP0	el
personas	personas	NCFP000	persona
de	de	SPS00	de
mi	mi	DP1CSS	mi
parentela	parentela	NCFS000	parentela
	,	Fc	,
que	que	CS	que
me	me	PP1CS000	me
alegrare	alegraré	VMIF1S0	alegrar
que	que	CS	que
gozen	gocen	VMSP3P0	gozar
salud	salud	NCFS000	salud
Como	como	CS	como
yo	yo	PP1CSN00	yo
la	la	PP3FSA00	lo
gozo	gozo	VMIP1S0	gozar
	,	Fc	,
que	que	CS	que
es	es	VSIP3S0	ser
Vuena	buena	AQ0FS0	bueno
	,	Fc	,
A	a	SPS00	a
Dios	Dios	NP00000	dios
Grazias	gracias	NCFP000	gracia
	;	Fx	;
y	y	CC	y
Juntamente	juntamente	RG	juntamente
a	a	SPS00	a
mi	mi	DP1CSS	mi
señor	señor	NP00000	señor
Pedro	Pedro	NP00000	pedro
de	de	SPS00	de
el	el	DA0MS0	el
Barrio	Barrio	NCMS000	barrio
	,	Fc	,
que	que	CS	que
me	me	PP1CS000	me
alegrare	alegraré	VMIF1S0	alegrar
que	que	CS	que
se	se	P00CN000	se
gozen	gocen	VMSP3P0	gozar
muchos	muchos	PI0MP000	mucho
Años	años	NCMP000	año
	,	Fc	,
pues	pues	CS	pues
es	es	VSIP3S0	ser
Zierto	cierto	AQ0MS0	cierto
que	que	CS	que
me	me	PP1CS000	me
e	he	VAIP1S0	haber
Cedado	quedado	VMP0000	quedar
admirado	admirado	VMP00SM	admirar
Con	con	SPS00	con
el	el	DA0MS0	el
Casamiento	casamiento	NCMS000	casamiento
	,	Fc	,
que	que	CS	que
no	no	RN	no
pensara	pensara	VMSI0S0	pensar
io	yo	PP1CSN00	yo
que	que	CS	que
el	él	PP3MS000	él
huViera	hubiera	VASI0S0	haber
echo	hecho	VMP0000	hacer
tal	tal	RC	tal
cossa	cosa	NCFS000	cosa
ea	etc	NCMS000	etcétera
.	.	Fp	.
Tio	Tío	NP00000	tío
y	y	CC	y
señor	señor	NP00000	señor
	,	Fc	,
rreziVi	recibí	VMIS1S0	recibir
la	la	DA0FS0	el
de	de	SPS00	de
usted	usted	PP2CS000	usted
	,	Fc	,
A	a	SPS00	a
lo	lo	DA0NS0	el
que	que	PR0CN000	que
doi	doy	VMIP1S0	dar
rrespues	respuesta	NCFS000	respuesta
a	a	SPS00	a
ella	ella	PP3FS000	él
.	.	Fp	.
AViendo	Habiendo	VAG0000	haber
rreziVido	recibido	VMP0000	recibir
dicha	dicha	VMP00SF	decir
Carta	carta	NCFS000	carta
	,	Fc	,
procure	procuré	VMIS1S0	procurar
Ver	ver	VMN0000	ver
lo	lo	DA0NS0	el
que	que	PR0CN000	que
Venia	venía	VMII0S0	venir
para	para	SPS00	para
rresponder	responder	VMN0000	responder
al	al	SPS00+DA0MS0	a+el
ystante	instante	NCMS000	instante
	.	Fp	.
y	Y	CC	y
haVra	habrá	VMIF3S0	haber
de	de	SPS00	de
saVer	saber	VMN0000	saber
que	que	CS	que
hize	hice	VMIS1S0	hacer
las	las	DA0FP0	el
diliJenzias	diligencias	NCFP000	diligencia
que	que	PR0CN000	que
me	me	PP1CS000	me
mando	mandó	VMIS3S0	mandar
luego	luego	RG	luego
al	al	SPS00+DA0MS0	a+el
momento	momento	NCMS000	momento
y	y	CC	y
lo	lo	DA0NS0	el
que	que	PR0CN000	que
me	me	PP1CS000	me
rrespondio	respondió	VMIS3S0	responder
de	de	SPS00	de
el	el	DA0MS0	el
socorro	socorro	NCMS000	socorro
	:	Fd	:
que	que	CS	que
no	no	RN	no
paraVa	paraba	VMII0S0	parar
poder	poder	NCMS000	poder
ni	ni	CC	ni
aVia	había	VAII0S0	haber
tenido	tenido	VMP0000	tener
rrazon	razón	NCFS000	razón
Ninguna	ninguna	DI0FS0	ninguno
de	de	SPS00	de
tal	tal	RC	tal
dinero	dinero	NCMS000	dinero
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
mando	mandó	VMIS3S0	mandar
usted	usted	PP2CS000	usted
que	que	CS	que
dieran	dieran	VMSP3P0	dar
Al	al	SPS00+DA0MS0	a+el
	,	Fp	,
que	que	CS	que
eran	eran	VSII3P0	ser
seis	seis	Z	6
pesos	pesos	NCMP000	peso
	.	Fp	.
me	Me	PP1CS000	me
rrespondio	respondió	VMIS3S0	responder
que	que	CS	que
quien	quién	PT0CS000	quién
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
aVia	había	VMII0S0	haber
de	de	SPS00	de
pagar	pagar	VMN0000	pagar
a	a	SPS00	a
el	él	PP3MS000	él
luego	luego	RG	luego
	,	Fc	,
que	que	CS	que
si	si	CS	si
piensa	piensa	VMIP3S0	pensar
usted	usted	PP2CS000	usted
que	que	CS	que
son	son	VSIP3P0	ser
los	los	DA0MP0	el
lugares	lugares	NCMP000	lugar
Como	como	CS	como
los	los	DA0MP0	el
de	de	SPS00	de
por	por	SPS00	por
ese	ese	DD0MS0	ese
pais	país	NCMS000	país
	,	Fc	,
que	que	CS	que
son	son	VSIP3P0	ser
Cortos	cortos	AQ0MP0	corto
	,	Fc	,
pero	pero	CC	pero
Como	como	CS	como
son	son	VSIP3P0	ser
Grandes	grandes	AQ0CP0	grande
la	la	DA0FS0	el
mitad	mitad	NCFS000	mitad
de	de	SPS00	de
la	la	DA0FS0	el
Gente	gente	NCFS000	gente
no	no	RN	no
se	se	P00CN000	se
conozen	conocen	VMIP3P0	conocer
y	y	CC	y
por	por	SPS00	por
esso	eso	PD0NN000	eso
se	se	P00CN000	se
miran	miran	VMIP3P0	mirar
a	a	SPS00	a
muchas	muchas	DI0FP0	mucho
Cossas	cosas	NCFP000	cosa
	.	Fp	.
que	Que	CS	que
por	por	SPS00	por
mi	mi	DP1CSS	mi
parte	parte	NCFS000	parte
Vastantes	bastantes	DI0CP0	bastante
diligenzias	diligencias	NCFP000	diligencia
a	ha	VAIP3S0	haber
echo	hecho	VMP0000	hacer
	,	Fc	,
lo	lo	DA0NS0	el
que	que	PR0CN000	que
usted	usted	PP2CS000	usted
no	no	RN	no
aze	hace	VMIP3S0	hacer
para	para	SPS00	para
mi	mí	PP1CSO00	mí
	,	Fc	,
pues	pues	CS	pues
estoi	estoy	VMIP1S0	estar
sentido	sentido	NCMS000	sentido
de	de	SPS00	de
usted	usted	PP2CS000	usted
por	por	SPS00	por
no	no	RN	no
aVer	haber	VAN0000	haber
echo	hecho	VMP0000	hacer
Casso	caso	NCMS000	caso
de	de	SPS00	de
una	una	DI0FS0	uno
Cossa	cosa	NCFS000	cosa
que	que	PR0CN000	que
le	le	PP3CSD00	le
e	he	VAIP1S0	haber
pedido	pedido	VMP0000	pedir
de	de	SPS00	de
cortesia	cortesía	NCFS000	cortesía
	,	Fc	,
a	a	SPS00	a
lo	lo	DA0NS0	el
que	que	PR0CN000	que
no	no	RN	no
a	ha	VAIP3S0	haber
echo	hecho	VMP0000	hacer
usted	usted	PP2CS000	usted
Casso	caso	NCMS000	caso
ni	ni	CC	ni
lo	lo	PP3CNA00	lo
ara	hará	VMIF3S0	hacer
para	para	SPS00	para
mi	mí	PP1CSO00	mí
usted	usted	PP2CS000	usted
ya	ya	RG	ya
	,	Fc	,
segun	según	SPS00	según
se	se	P00CN000	se
Va	va	VMIP3S0	ir
Viendo	viendo	VMG0000	ver
.	.	Fp	.
	¡	Faa	¡
Vendito	Bendito	AQ0MSP	bendito
sea	sea	VSSP0S0	ser
Dios	Dios	NP00000	dios
	,	Fc	,
que	qué	PT0CN000	qué
no	no	RN	no
tiene	tiene	VMIP3S0	tener
dinero	dinero	NCMS000	dinero
para	para	SPS00	para
faVorezer	favorecer	VMN0000	favorecer
a	a	SPS00	a
mi	mi	DP1CSS	mi
Padre	padre	NCMS000	padre
.	!	Fat	!
pues	Pues	CS	pues
es	es	VSIP3S0	ser
cosa	cosa	NCFS000	cosa
que	que	CS	que
lo	lo	PP3CNA00	lo
e	he	VAIP1S0	haber
sentido	sentido	VMP0000	sentir
Io	yo	PP1CSN00	yo
Vastante	bastante	RQ	bastante
y	y	CC	y
lo	lo	DA0NS0	el
que	que	PR0CN000	que
mas	más	RC	más
he	he	VAIP1S0	haber
sentido	sentido	VMP0000	sentir
es	es	VSIP3S0	ser
por	por	SPS00	por
una	una	DI0FS0	uno
Carta	carta	NCFS000	carta
que	que	PR0CN000	que
me	me	PP1CS000	me
an	han	VAIP3P0	haber
ynviado	enviado	VMP0000	enviar
de	de	SPS00	de
Cerquita	cerquita	NCFS000	cerquita
de	de	SPS00	de
essa	esa	DD0FS0	ese
patria	patria	NCFS000	patria
	.	Fp	.
es	Es	VSIP3S0	ser
	,	Fc	,
Como	como	CS	como
le	le	PP3CSD00	le
dixe	dije	VMIS1S0	decir
	,	Fc	,
que	que	CS	que
a	ha	VAIP3S0	haber
conprado	comprado	VMP0000	comprar
un	un	DI0MS0	uno
maJuelo	majuelo	NCMS000	majuelo
Vueno	bueno	AQ0MS0	bueno
	,	Fc	,
una	una	DI0FS0	uno
parte	parte	NCFS000	parte
de	de	SPS00	de
lagar	lagar	NCMS000	lagar
y	y	CC	y
una	una	DI0FS0	uno
Cuva	cuba	NCFS000	cuba
	,	Fc	,
esto	esto	PD0NN000	esto
todo	todo	PI0MS000	todo
a	a	SPS00	a
un	un	DI0MS0	uno
tienpo	tiempo	NCMS000	tiempo
	.	Fp	.
en	En	SPS00	en
fin	fin	NCMS000	fin
	,	Fc	,
no	no	RN	no
penssara	pensara	VMSI0S0	pensar
yo	yo	PP1CSN00	yo
que	que	CS	que
fuera	fuera	VSSI0S0	ser
usted	usted	PP2CS000	usted
tan	tan	RC	tan
tirano	tirano	NCMS000	tirano
para	para	SPS00	para
mi	mí	PP1CSO00	mí
Como	como	CS	como
lo	lo	DA0NS0	el
que	que	PR0CN000	que
es	es	VSIP3S0	ser
	,	Fc	,
pues	pues	CS	pues
Viendo	viendo	VMG0000	ver
en	en	SPS00	en
el	el	DA0MS0	el
estao	estado	NCMS000	estado
que	que	PR0CN000	que
me	me	PP1CS000	me
allo	hallo	VMIP1S0	hallar
	.	Fp	.
pues	Pues	CS	pues
si	si	CS	si
Dios	Dios	NP00000	dios
me	me	PP1CS000	me
da	da	VMIP3S0	dar
fortuna	fortuna	NCFS000	fortuna
	,	Fc	,
le	le	PP3CSD00	le
podia	podía	VMII0S0	poder
yo	yo	PP1CSN00	yo
	,	Fc	,
Con	con	SPS00	con
lo	lo	DA0NS0	el
que	que	PR0CN000	que
le	le	PP3CSD00	le
propusiera	propusiera	VMSI0S0	proponer
al	al	SPS00+DA0MS0	a+el
tio	tío	NCMS000	tío
	,	Fc	,
le	le	PP3CSD00	le
podia	podía	VMII0S0	poder
ynViar	enviar	VMN0000	enviar
Ziento	ciento	Z	100
por	por	SPS00	por
