Mui	Muy	RQ	muy
señor	señor	NP00000	señor
mio	mío	DP1MSS	mío
	.	Fp	.
recibi	Recibí	VMIS1S0	recibir
la	la	DA0FS0	el
de	de	SPS00	de
Vm	VM	NP00000	VM
con	con	SPS00	con
el	el	DA0MS0	el
recibo	recibo	NCMS000	recibo
y	y	CC	y
la	la	DA0FS0	el
de	de	SPS00	de
belmaded	Bermúdez	NP00000	bermúdez
	,	Fc	,
por	por	SPS00	por
las	las	DA0FP0	el
cuales	cuales	PR0CP000	cual
le	le	PP3CSD00	le
doi	doy	VMIP1S0	dar
a	a	SPS00	a
Vm	VM	NP00000	VM
las	las	DA0FP0	el
gracia	gracia	NCFS000	gracia
y	y	CC	y
me	me	PP1CS000	me
alegrare	alegraré	VMIF1S0	alegrar
que	que	CS	que
Vm	VM	NP00000	VM
se	se	P00CN000	se
megore	mejore	VMSP0S0	mejorar
	.	Fp	.
y	Y	CC	y
en	en	SPS00	en
quanto	cuanto	PA000000	cuanto
a	a	SPS00	a
lo	lo	DA0NS0	el
que	que	PR0CN000	que
me	me	PP1CS000	me
dice	dice	VMIP3S0	decir
Vm	VM	NP00000	VM
de	de	SPS00	de
que	que	CS	que
remita	remita	VMSP0S0	remitir
la	la	DA0FS0	el
egecutoria	ejecutoria	NCFS000	ejecutoria
	,	Fc	,
no	no	RN	no
sera	será	VSIF3S0	ser
otro	otro	PI0MS000	otro
el	el	DA0MS0	el
portador	portador	NCMS000	portador
sino	sino	CC	sino
io	yo	PP1CSN00	yo
	,	Fc	,
pues	pues	CS	pues
el	el	DA0MS0	el
mismo	mismo	AQ0MS0	mismo
dia	día	NCMS000	día
que	que	PR0CN000	que
la	la	PP3FSA00	lo
despache	despache	VMSP0S0	despachar
s	se	P00CN000	se
aran	harán	VMIF3P0	hacer
	.	Fp	.
y	Y	CC	y
participo	participo	VMIP1S0	participar
a	a	SPS00	a
Vm	VM	NP00000	VM
como	como	CS	como
coren	corren	VMIP3P0	correr
las	las	DA0FP0	el
costas	costas	NCFP000	costa
personales	personales	AQ0CP0	personal
y	y	CC	y
procesales	procesales	AQ0CP0	procesal
ast	hasta	SPS00	hasta
que	que	CS	que
se	se	P00CN000	se
me	me	PP1CS000	me
entrege	entregue	VMSP0S0	entregar
el	el	DA0MS0	el
cofre	cofre	NCMS000	cofre
	.	Fp	.
y	Y	CC	y
con	con	SPS00	con
esto	esto	PD0NN000	esto
Dios	Dios	NP00000	dios
gade	guarde	VMSP0S0	guardar
a	a	SPS00	a
Vm	VM	NP00000	VM
muchos	muchos	DI0MP0	mucho
anos	años	NCMP000	año
	.	Fp	.
baiaoli	Valladolid	NP00000	valladolid
	.	Fp	.
Ana	Ana	NP00000	ana
maria	María	NP00000	maría
	.	Fp	.
senor	Señor	NP00000	señor
Dn	don	NP00000	don
Doming	Domingo	NP00000	domingo
Blas	Blas	NP00000	blas
de	de	SPS00	de
basaraz	Basaraz	NP00000	basaraz
	.	Fp	.
dara	Dará	VMIF3S0	dar
Vm	VM	NP00000	VM
memoria	memoria	NCFS000	memoria
de	de	SPS00	de
mi	mi	DP1CSS	mi
parte	parte	NCFS000	parte
a	a	SPS00	a
belmuded	Bermúdez	NP00000	bermúdez
y	y	CC	y
parte	parte	NCFS000	parte
de	de	SPS00	de
los	los	DA0MP0	el
patrone	patrones	NCMP000	patrón
	,	Fc	,
que	que	PR0CN000	que
no	no	RN	no
le	le	PP3CSD00	le
escribo	escribo	VMIP1S0	escribir
porque	porque	CS	porque
deprisa	deprisa	RG	deprisa
	.	Fp	.
