Muy	Muy	RQ	muy
S	señor	NP00000	señor
mío	mío	DP1MSS	mío
y	y	CC	y
amo	amigo	NP00000	amigo
	.	Fp	.
respondo	Respondo	VMIP1S0	responder
a	a	SPS00	a
su	su	DP3CS0	su
carta	carta	NCFS000	carta
a	a	SPS00	a
Vmd	VM	NP00000	VM
de	de	SPS00	de
16	16	Z	16
ant	anterior	AQ0CS0	anterior
passado	pasado	VMP00SM	pasar
que	que	PR0CN000	que
resivo	recibo	VMIP1S0	recibir
con	con	SPS00	con
todo	todo	DI0MS0	todo
Gusto	gusto	NCMS000	gusto
por	por	SPS00	por
saver	saber	VMN0000	saber
de	de	SPS00	de
salud	salud	NCFS000	salud
de	de	SPS00	de
Vmd	VM	NP00000	VM
	,	Fc	,
Que	que	PR0CN000	que
desseo	deseo	VMIP1S0	desear
se	se	P00CN000	se
mantenga	mantenga	VMSP0S0	mantener
.	.	Fp	.
La	La	DA0FS0	el
mía	mía	PX1FS0S0	mío
es	es	VSIP3S0	ser
buena	buena	AQ0FS0	bueno
	,	Fc	,
la	la	DA0FS0	el
de	de	SPS00	de
mi	mi	DP1CSS	mi
mugr	mujer	NCFS000	mujer
y	y	CC	y
familia	familia	NCFS000	familia
	,	Fc	,
que	que	PR0CN000	que
todos	todos	PI0MP000	todo
quedamos	quedamos	VMIP1P0	quedar
a	a	SPS00	a
la	la	DA0FS0	el
dispossizn	disposición	NCFS000	disposición
de	de	SPS00	de
Vmd	VM	NP00000	VM
	.	Fp	.
Hice	Hice	VMIS1S0	hacer
luego	luego	RG	luego
al	al	SPS00+DA0MS0	a+el
punto	punto	NCMS000	punto
la	la	DA0FS0	el
dilixa	diligencia	NCFS000	diligencia
que	que	PR0CN000	que
Vmd	VM	NP00000	VM
me	me	PP1CS000	me
encarga	encarga	VMIP3S0	encargar
de	de	SPS00	de
xptoval	Cristóbal	NP00000	cristóbal
ortelano	Hortelano	NP00000	hortelano
con	con	SPS00	con
el	el	DA0MS0	el
sargento	sargento	NCMS000	sargento
mr	mayor	AQ0CS0	mayor
Y	y	CC	y
otros	otros	DI0MP0	otro
oficiales	oficiales	NCMP000	oficial
del	del	SPS00+DA0MS0	de+el
reximo	regimiento	NCMS000	regimiento
en	en	SPS00	en
Dragones	dragones	NCMP000	dragón
de	de	SPS00	de
Edimburgo	Edimburgo	NP00000	edimburgo
,	.	Fp	.
se	Se	P00CN000	se
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
dado	dado	VMP0000	dar
la	la	DA0FS0	el
razon	razón	NCFS000	razón
adjunta	adjunta	AQ0FSP	adjunto
que	que	PR0CN000	que
dicen	dicen	VMIP3P0	decir
	;	Fx	;
no	no	RN	no
se	se	P00CN000	se
halla	halla	VMIP3S0	hallar
otra	otra	PI0FS000	otro
	.	Fp	.
Yo	Yo	PP1CSN00	yo
me	me	PP1CS000	me
alegrara	alegrara	VMSI0S0	alegrar
fuera	fuera	VMSI0S0	ir
con	con	SPS00	con
mas	más	RC	más
conoçimto	conocimiento	NCMS000	conocimiento
	,	Fc	,
pero	pero	CC	pero
me	me	PP1CS000	me
diçen	dicen	VMIP3P0	decir
no	no	RN	no
pueden	pueden	VMIP3P0	poder
dar	dar	VMN0000	dar
otra	otra	PI0FS000	otro
	.	Fp	.
Y	Y	CC	y
en	en	SPS00	en
lo	lo	DA0NS0	el
demas	demás	NCMS000	demás
que	que	PR0CN000	que
io	yo	PP1CSN00	yo
pueda	pueda	VMSP0S0	poder
le	le	PP3CSA00	le
servir	servir	VMN0000	servir
a	a	SPS00	a
Vmd	VM	NP00000	VM
en	en	SPS00	en
esta	esta	DD0FS0	este
tierra	tierra	NCFS000	tierra
lo	lo	PP3CNA00	lo
hare	haré	VMIF1S0	hacer
con	con	SPS00	con
mucho	mucho	DI0MS0	mucho
gusto	gusto	NCMS000	gusto
	.	Fp	.
y	Y	CC	y
el	el	DA0MS0	el
pedir	pedir	VMN0000	pedir
a	a	SPS00	a
Ds	Dios	NP00000	dios
ge	guarde	VMSP0S0	guardar
a	a	SPS00	a
Vmd	VM	NP00000	VM
los	los	DA0MP0	el
ms	muchos	DI0MP0	mucho
as	años	NCMP000	año
que	que	PR0CN000	que
pde	puede	VMIP3S0	poder
	.	Fp	.
Alx	Algeciras	NP00000	algeciras
	,	Fc	,
12	12	Z	12
de	de	SPS00	de
Agos	agosto	NCMS000	agosto
de	de	SPS00	de
1751	1751	Z	175
	.	Fp	.
B	Besa	VMIP3S0	besar
l	las	DA0FP0	el
M	manos	NCFP000	mano
de	de	SPS00	de
Vm	VM	NP00000	VM
su	su	DP3CS0	su
mr	mayor	AQ0CS0	mayor
servr	servidor	NCMS000	servidor
	,	Fc	,
Pedro	Pedro	NP00000	pedro
Monger	Monger	NP00000	monger
Dn	Don	NP00000	don
Martín	Martín	NP00000	martín
de	de	SPS00	de
la	la	DA0FS0	el
Poza	Poza	NP00000	poza
	.	Fp	.
