Mui	Muy	RQ	muy
sr	señor	NP00000	señor
mio	mío	DP1MSS	mío
	.	Fp	.
teniendo	Teniendo	VMG0000	tener
presente	presente	AQ0CS0	presente
los	los	DA0MP0	el
singulares	singulares	AQ0CP0	singular
favores	favores	NCMP000	favor
que	que	PR0CN000	que
he	he	VAIP1S0	haber
merecido	merecido	VMP0000	merecer
a	a	SPS00	a
VS	VSa	NP00000	VSa
en	en	SPS00	en
la	la	DA0FS0	el
causa	causa	NCFS000	causa
consabida	consabida	AQ0FS0	consabido
de	de	SPS00	de
Da	doña	NP00000	don
Petronila	Petronila	NP00000	petronila
Alegre	Alegre	NP00000	alegre
	,	Fc	,
aborrecida	aborrecida	VMP00SF	aborrecer
por	por	SPS00	por
todos	todos	DI0MP0	todo
los	los	DA0MP0	el
suios	suyos	PX3MP000	suyo
como	como	CS	como
su	su	DP3CS0	su
Pe	padre	NCMS000	padre
difunto	difunto	AQ0MS0	difunto
,	,	Fc	,
en	en	SPS00	en
el	el	DA0MS0	el
supuesto	supuesto	VMP00SM	suponer
de	de	SPS00	de
que	que	CS	que
creo	creo	VMIP1S0	creer
a	a	SPS00	a
VS	VSa	NP00000	VSa
informado	informado	VMP00SM	informar
de	de	SPS00	de
qto	cuanto	PR0MS000	cuanto
tengo	tengo	VMIP1S0	tener
escrito	escrito	VMP00SM	escribir
en	en	SPS00	en
este	este	DD0MS0	este
asunto	asunto	NCMS000	asunto
al	al	SPS00+DA0MS0	a+el
sr	señor	NP00000	señor
Penitenciario	penitenciario	NCMS000	penitenciario
de	de	SPS00	de
esa	esa	DD0FS0	ese
Sta	Santa	AQ0FS0	santo
Iglesia	Iglesia	NP00000	iglesia
Cath	Católica	NCFS000	católico
	,	Fc	,
participo	participo	VMIP1S0	participar
a	a	SPS00	a
VS	VSa	NP00000	VSa
las	las	DA0FP0	el
resultas	resultas	NCFP000	resulta
de	de	SPS00	de
mi	mi	DP1CSS	mi
ultima	última	AO0FS0	último
diligencia	diligencia	NCFS000	diligencia
,	,	Fc	,
que	que	PR0CN000	que
se	se	P00CN000	se
reducen	reducen	VMIP3P0	reducir
i	y	CC	y
son	son	VSIP3P0	ser
a	a	SPS00	a
que	que	CS	que
despues	después	RG	después
de	de	SPS00	de
haver	haber	VAN0000	haber
respondido	respondido	VMP0000	responder
el	el	DA0MS0	el
sr	señor	NP00000	señor
Colon	Colón	NP00000	colón
	,	Fc	,
Alcalde	alcalde	NCMS000	alcalde
de	de	SPS00	de
Corte	corte	NCFS000	corte
	,	Fc	,
a	a	SPS00	a
mi	mi	DP1CSS	mi
Ajente	agente	NCCS000	agente
a	a	SPS00	a
mediado	mediado	VMP00SM	mediar
de	de	SPS00	de
Agosto	agosto	NCMS000	agosto
que	que	CS	que
	,	Fc	,
evacuada	evacuada	VMP00SF	evacuar
la	la	DA0FS0	el
Causa	causa	NCFS000	causa
de	de	SPS00	de
el	el	DA0MS0	el
asesino	asesino	NCMS000	asesino
de	de	SPS00	de
el	el	DA0MS0	el
excmo	excelentísimo	AQSMS0	excelente
sr	señor	NP00000	señor
Conde	conde	NCMS000	conde
de	de	SPS00	de
FloridaBlanca	Floridablanca	NP00000	floridablanca
,	,	Fc	,
la	la	DA0FS0	el
que	que	PR0CN000	que
despacharia	despacharía	VMIC0S0	despachar
en	en	SPS00	en
breve	breve	AQ0CS0	breve
,	,	Fc	,
pasaria	pasaría	VMIC0S0	pasar
a	a	SPS00	a
dar	dar	VMN0000	dar
mi	mi	DP1CSS	mi
memorial	memorial	NCMS000	memorial
al	al	SPS00+DA0MS0	a+el
sr	señor	NP00000	señor
governador	gobernador	NCMS000	gobernador
de	de	SPS00	de
el	el	DA0MS0	el
Consejo	Consejo	NP00000	consejo
para	para	SPS00	para
su	su	DP3CS0	su
determinacion	determinación	NCFS000	determinación
,	.	Fp	.
i	Y	CC	y
haviendo	habiendo	VAG0000	haber
dado	dado	VMP0000	dar
aviso	aviso	NCMS000	aviso
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
deliberaria	deliberaría	VMIC0S0	deliberar
la	la	DA0FS0	el
sala	sala	NCFS000	sala
a	a	SPS00	a
instancia	instancia	NCFS000	instancia
de	de	SPS00	de
el	el	DA0MS0	el
sr	señor	NP00000	señor
Presidente	presidente	NCMS000	presidente
de	de	SPS00	de
esa	esa	DD0FS0	ese
Rl	Real	AQ0CS0	real
Chancilleria	Chancillería	NP00000	chancillería
,	,	Fc	,
viendo	viendo	VMG0000	ver
no	no	RN	no
se	se	PP3CN000	se
la	la	PP3FSD00	lo
daba	daba	VMII0S0	dar
quanto	cuanto	PA000000	cuanto
antes	antes	RG	antes
el	el	DA0MS0	el
destino	destino	NCMS000	destino
correspondiente	correspondiente	AQ0CS0	correspondiente
resolvio	resolvió	VMIS3S0	resolver
decir	decir	VMN0000	decir
a	a	SPS00	a
dho	dicho	VMP00SM	decir
Ajente	agente	NCCS000	agente
me	me	PP1CS000	me
escriviese	escribiese	VMSI0S0	escribir
embiase	enviase	VMSI0S0	enviar
io	yo	PP1CSN00	yo
otro	otro	DI0MS0	otro
memorial	memorial	NCMS000	memorial
con	con	SPS00	con
expresion	expresión	NCFS000	expresión
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
pasaba	pasaba	VMII0S0	pasar
en	en	SPS00	en
el	el	DA0MS0	el
dia	día	NCMS000	día
i	y	CC	y
de	de	SPS00	de
todas	todas	DI0FP0	todo
las	las	DA0FP0	el
circunstancias	circunstancias	NCFP000	circunstancia
que	que	PR0CN000	que
ocurran	ocurran	VMSP3P0	ocurrir
,	,	Fc	,
o	o	CC	o
que	que	CS	que
remitiese	remitiese	VMSI0S0	remitir
una	una	DI0FS0	uno
firma	firma	NCFS000	firma
en	en	SPS00	en
blanco	blanco	NCMS000	blanco
para	para	SPS00	para
ponerle	ponerle	VMN0000+PP3CSD00	poner+le
como	como	CS	como
le	le	PP3CSD00	le
parezca	parezca	VMSP0S0	parecer
,	.	Fp	.
a	A	SPS00	a
esto	esto	PD0NN000	esto
ultimo	último	AO0MS0	último
no	no	RN	no
me	me	PP1CS000	me
resolvi	resolví	VMIS1S0	resolver
por	por	SPS00	por
las	las	DA0FP0	el
posibles	posibles	AQ0CP0	posible
contingencias	contingencias	NCFP000	contingencia
que	que	PR0CN000	que
otro	otro	DI0MS0	otro
dia	día	NCMS000	día
podrian	podrían	VMIC3P0	poder
resultar	resultar	VMN0000	resultar
contra	contra	SPS00	contra
mi	mí	PP1CSO00	mí
a	a	SPS00	a
causa	causa	NCFS000	causa
de	de	SPS00	de
lo	lo	DA0NS0	el
falible	falible	AQ0CS0	falible
de	de	SPS00	de
nuestra	nuestra	DP1FSP	nuestro
vida	vida	NCFS000	vida
i	y	CC	y
su	su	DP3CS0	su
incertidumbre	incertidumbre	NCFS000	incertidumbre
,	,	Fc	,
pero	pero	CC	pero
si	sí	RG	sí
remito	remito	VMIP1S0	remitir
en	en	SPS00	en
este	este	DD0MS0	este
correo	correo	NCMS000	correo
otro	otro	DI0MS0	otro
memorial	memorial	NCMS000	memorial
a	a	SPS00	a
mi	mi	DP1CSS	mi
ajente	agente	NCCS000	agente
comprehensivo	comprensivo	AQ0MS0	comprensivo
de	de	SPS00	de
todo	todo	DI0MS0	todo
