Mui	Muy	RQ	muy
sres	señores	NP00000	señor
mios	míos	DP1MPS	mío
	.	Fp	.
estando	Estando	VMG0000	estar
para	para	SPS00	para
salir	salir	VMN0000	salir
dos	dos	Z	2
navios	navíos	NCMP000	navío
para	para	SPS00	para
cartaxena	Cartagena	NP00000	cartagena
en	en	SPS00	en
ese	ese	DD0MS0	ese
puerto	puerto	NCMS000	puerto
y	y	CC	y
presisando	precisando	VMG0000	precisar
me	me	PP1CS000	me
remitia	remitía	VMII0S0	remitir
la	la	DA0FS0	el
Ynclusa	inclusa	AQ0FSP	incluso
pa	para	SPS00	para
alla	allá	RG	allá
	,	Fc	,
he	he	VMIP1S0	haber
de	de	SPS00	de
mereser	merecer	VMN0000	merecer
la	la	DA0FS0	el
finesa	fineza	NCFS000	fineza
a	a	SPS00	a
Vmd	VM	NP00000	VM
la	la	PP3FSA00	lo
manden	manden	VMSP3P0	mandar
poner	poner	VMN0000	poner
en	en	SPS00	en
los	los	DA0MP0	el
cajones	cajones	NCMP000	cajón
o	o	CC	o
dirijirla	dirigirla	VMN0000+PP3FSA00	dirigir+lo
pr	por	SPS00	por
mano	mano	NCFS000	mano
segura	segura	AQ0FS0	seguro
	.	Fp	.
y	Y	CC	y
en	en	SPS00	en
caso	caso	NCMS000	caso
q	que	CS	que
ya	ya	CS	ya
ayan	hayan	VASP3P0	haber
salido	salido	VMP0000	salir
los	los	DA0MP0	el
navios	navíos	NCMP000	navío
	,	Fc	,
que	que	CS	que
me	me	PP1CS000	me
la	la	PP3FSA00	lo
debuelvan	devuelvan	VMSP3P0	devolver
Vmds	VMs	NP00000	VM
	,	Fc	,
qnes	quienes	PR0CP000	quien
espero	espero	VMIP1S0	esperar
perdonaran	perdonarán	VMIF3P0	perdonar
esta	esta	DD0FS0	este
molestia	molestia	NCFS000	molestia
	.	Fp	.
y	Y	CC	y
repitiendo	repitiendo	VMG0000	repetir
mi	mi	DP1CSS	mi
obeda	obediencia	NCFS000	obediencia
a	a	SPS00	a
la	la	DA0FS0	el
Dispon	disposición	NCFS000	disposición
de	de	SPS00	de
Vms	VMs	NP00000	VM
	,	Fc	,
ruego	ruego	VMIP1S0	rogar
a	a	SPS00	a
Nro	Nuestro	DP1MSP	nuestro
Sr	Señor	NP00000	señor
les	les	PP3CPD00	le
Ge	guarde	VMSP0S0	guardar
m	muchos	DI0MP0	mucho
a	años	NCMP000	año
	.	Fp	.
Sevilla	Sevilla	NP00000	sevilla
	,	Fc	,
19	19	Z	19
de	de	SPS00	de
marzo	marzo	NCMS000	marzo
de	de	SPS00	de
1741	1741	Z	1741
	.	Fp	.
B	Besa	VMIP3S0	besar
l	la	DA0FS0	el
mo	mano	NCFS000	mano
de	de	SPS00	de
Vmds	VMs	NP00000	VM
su	su	DP3CS0	su
mor	mayor	AQ0CS0	mayor
seror	servidor	NCMS000	servidor
	,	Fc	,
Pedro	Pedro	NP00000	pedro
Lynce	Lince	NP00000	lince
de	de	SPS00	de
Verastegui	Berástegui	NP00000	berástegui
Sres	Señores	NP00000	señor
Butlers	Butlers	NP00000	butlers
	,	Fc	,
Power	Power	NP00000	power
y	y	CC	y
Ca	Compañía	NCFS000	compañía
	.	Fp	.
