Muy	Muy	RQ	muy
señor	señor	NP00000	señor
mio	mío	DP1MSS	mío
y	y	CC	y
Amo	amigo	NP00000	amigo
:	.	Fp	.
Queda	Queda	VMIP3S0	quedar
anotada	anotada	VMP00SF	anotar
de	de	SPS00	de
Conformidad	conformidad	NCFS000	conformidad
la	la	DA0FS0	el
venta	venta	NCFS000	venta
de	de	SPS00	de
las	las	DA0FP0	el
tres	tres	Z	3
ultimas	últimas	AO0FP0	último
mulas	mulas	NCFP000	mulo
,	,	Fc	,
Cuyos	cuyos	PU0MP000	cuyo
Gastos	gastos	NCMP000	gasto
espero	espero	VMIP1S0	esperar
en	en	SPS00	en
respta	respuesta	NCFS000	respuesta
pa	para	SPS00	para
hazer	hacer	VMN0000	hacer
lo	lo	DA0NS0	el
mismo	mismo	AQ0MS0	mismo
:	.	Fp	.
esta	Está	VMIP3S0	estar
bien	bien	RG	bien
no	no	RN	no
obmita	omita	VMSP0S0	omitir
vm	VM	NP00000	VM
diliga	diligencia	NCFS000	diligencia
para	para	SPS00	para
la	la	DA0FS0	el
Compra	compra	NCFS000	compra
de	de	SPS00	de
Azeite	aceite	NCMS000	aceite
	.	Fp	.
Los	Los	DA0MP0	el
Doblones	doblones	NCMP000	doblón
y	y	CC	y
demas	demás	NCMS000	demás
mone-da	moneda	NCFS000	moneda
que	que	CS	que
vm	VM	NP00000	VM
me	me	PP1CS000	me
remitio	remitió	VMIS3S0	remitir
era	era	VSII0S0	ser
de	de	SPS00	de
peso	peso	NCMS000	peso
:	.	Fp	.
en	En	SPS00	en
respta	respuesta	NCFS000	respuesta
a	a	SPS00	a
la	la	DA0FS0	el
de	de	SPS00	de
vm	VM	NP00000	VM
de	de	SPS00	de
torro-zilla	Torrocilla	NP00000	torrocilla
	,	Fc	,
digo	digo	VMIP1S0	decir
procuraré	procuraré	VMIF1S0	procurar
sacar	sacar	VMN0000	sacar
el	el	DA0MS0	el
despacho	despacho	NCMS000	despacho
para	para	SPS00	para
sy	si	CS	si
se	se	P00CN000	se
pue-de	puede	VMIP3S0	poder
hazer	hacer	VMN0000	hacer
la	la	DA0FS0	el
Covranza	cobranza	NCFS000	cobranza
con	con	SPS00	con
toda	toda	DI0FS0	todo
brevedad	brevedad	NCFS000	brevedad
,	,	Fc	,
bien	bien	RG	bien
que	que	CS	que
esto	esto	PD0NN000	esto
huviera	hubiera	VASI0S0	haber
sido	sido	VSP00SM	ser
escusado	excusado	VMP00SM	excusar
sy	si	CS	si
vm	VM	NP00000	VM
me	me	PP1CS000	me
huviese	hubiese	VASI0S0	haber
Creido	creído	VMP0000	creer
,	,	Fc	,
pues	pues	CS	pues
ya	ya	RG	ya
le	le	PP3CSD00	le
previne	previne	VMIS1S0	prevenir
a	a	SPS00	a
vm	VM	NP00000	VM
avrian	habrían	VAIC3P0	haber
molido	molido	VMP0000	moler
antes	antes	RG	antes
de	de	SPS00	de
desocuparse	desocuparse	VMN0000+P00CN000	desocupar+se
vm	VM	NP00000	VM
de	de	SPS00	de
la	la	DA0FS0	el
venta	venta	NCFS000	venta
de	de	SPS00	de
Mulas	mulas	NCFP000	mulo
	,	Fc	,
pero	pero	CC	pero
aora	ahora	RG	ahora
Paciencia	paciencia	NCFS000	paciencia
:	.	Fp	.
Dios	Dios	NP00000	dios
ge	guarde	VMSP0S0	guardar
a	a	SPS00	a
vm	VM	NP00000	VM
m	muchos	DI0MP0	mucho
an	años	NCMP000	año
	.	Fp	.
Zaraga	Zaragoza	NP00000	zaragoza
	,	Fc	,
y	y	CC	y
Mayo	mayo	NCMS000	mayo
a	a	SPS00	a
16	16	Z	16
de	de	SPS00	de
1753	1753	Z	1753
	.	Fp	.
B	Besa	VMIP3S0	besar
ls	las	DA0FP0	el
Ms	manos	NCFP000	mano
de	de	SPS00	de
vm	VM	NP00000	VM
su	su	DP3CS0	su
m	más	RC	más
segro	seguro	AQ0MS0	seguro
Amo	amigo	NCMS000	amigo
y	y	CC	y
ser	servidor	NCMS000	servidor
	,	Fc	,
Manl	Manuel	NP00000	manuel
Labordeta	Labordeta	NP00000	labordeta
Sor	Señor	NP00000	señor
Dn	don	NP00000	don
Juan	Juan	NP00000	juan
Bonafon	Bonafón	NP00000	bonafón
	.	Fp	.
