Muy	Muy	RQ	muy
sor	señor	NP00000	señor
mio	mío	DP1MSS	mío
y	y	CC	y
Amigo	amigo	NP00000	amigo
,	.	Fp	.
aunq	Aunque	CC	aunque
no	no	RN	no
conozco	conozco	VMIP1S0	conocer
a	a	SPS00	a
Vmd	VM	NP00000	VM
	,	Fc	,
la	la	DA0FS0	el
lastima	lástima	NCFS000	lástima
q	que	PR0CN000	que
me	me	PP1CS000	me
muebe	mueve	VMIP3S0	mover
Domingo	Domingo	NP00000	domingo
Lizalde	Lizalde	NP00000	lizalde
	,	Fc	,
pues	pues	CS	pues
haze	hace	VMIP3S0	hacer
dos	dos	Z	2
meses	meses	NCMP000	mes
se	se	P00CN000	se
alla	halla	VMIP3S0	hallar
presso	preso	AQ0MS0	preso
	,	Fc	,
haziendo	haciendo	VMG0000	hacer
el	el	DA0MS0	el
Alcalde	alcalde	NCMS000	alcalde
de	de	SPS00	de
esta	esta	DD0FS0	este
Villa	villa	NCFS000	villa
burla	burla	NCFS000	burla
d	de	SPS00	de
este	este	DD0MS0	este
pobre	pobre	AQ0CS0	pobre
,	,	Fc	,
me	me	PP1CS000	me
motiva	motiva	VMIP3S0	motivar
a	a	SPS00	a
suplicarle	suplicarle	VMN0000+PP3CSD00	suplicar+le
,	,	Fc	,
respecto	respecto	NCMS000	respeto
de	de	SPS00	de
no	no	RN	no
haver	haber	VMN0000	haber
quien	quien	PR0CS000	quien
se	se	P00CN000	se
Compadezca	compadezca	VMSP0S0	compadecer
de	de	SPS00	de
el	él	PP3MS000	él
,	,	Fc	,
a	a	SPS00	a
dizir	decir	VMN0000	decir
a	a	SPS00	a
Vmd	VM	NP00000	VM
Como	como	CS	como
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
dicho	dicho	VMP0000	decir
escrivio	escribió	VMIS3S0	escribir
a	a	SPS00	a
Vmd	VM	NP00000	VM
haze	hace	VMIP3S0	hacer
muchos	muchos	DI0MP0	mucho
dias	días	NCMP000	día
.	.	Fp	.
y	Y	CC	y
le	le	PP3CSD00	le
hazia	hacía	VMII0S0	hacer
a	a	SPS00	a
Vmd	VM	NP00000	VM
relazion	relación	NCFS000	relación
de	de	SPS00	de
toda	toda	DI0FS0	todo
su	su	DP3CS0	su
Cosa	cosa	NCFS000	cosa
y	y	CC	y
lo	lo	DA0NS0	el
q	que	PR0CN000	que
ejecutava	ejecutaba	VMII0S0	ejecutar
el	el	DA0MS0	el
Alcalde	alcalde	NCMS000	alcalde
y	y	CC	y
essno	escribano	NCMS000	escribano
con	con	SPS00	con
este	este	DD0MS0	este
pobre	pobre	AQ0CS0	pobre
	:	Fd	:
le	le	PP3CSD00	le
han	han	VAIP3P0	haber
dicho	dicho	VMP0000	decir
q	que	CS	que
los	los	DA0MP0	el
autos	autos	NCMP000	auto
los	los	PP3MPA00	lo
han	han	VAIP3P0	haber
remitido	remitido	VMP0000	remitir
a	a	SPS00	a
esa	esa	DD0FS0	ese
Corte	corte	NCFS000	corte
y	y	CC	y
no	no	RN	no
se	se	P00CN000	se
da	da	VMIP3S0	dar
paso	paso	NCMS000	paso
alguno	alguno	DI0MS0	alguno
	,	Fc	,
pues	pues	CS	pues
se	se	P00CN000	se
ha	ha	VAIP3S0	haber
savido	sabido	VMP0000	saber
q	que	CS	que
estan	están	VMIP3P0	estar
los	los	DA0MP0	el
autos	autos	NCMP000	auto
ocultos	ocultos	AQ0MP0	oculto
en	en	SPS00	en
el	el	DA0MS0	el
Secretario	secretario	NCMS000	secretario
de	de	SPS00	de
Camara	cámara	NCFS000	cámara
	.	Fp	.
y	Y	CC	y
este	este	DD0MS0	este
po-bre	pobre	AQ0CS0	pobre
perezera	perecerá	VMIF3S0	perecer
el	él	PP3MS000	él
y	y	CC	y
sus	sus	DP3CP0	su
Vienes	bienes	NCMP000	bien
	,	Fc	,
conq	conque	CS	conque
le	le	PP3CSD00	le
estimare	estimaré	VMIF1S0	estimar
a	a	SPS00	a
Vmd	VM	NP00000	VM
el	el	DA0MS0	el
que	que	CS	que
pida	pida	VMSP0S0	pedir
se	se	P00CN000	se
suelte	suelte	VMIP3S0	suelter
con	con	SPS00	con
fianzas	fianzas	NCMP000	fianza
para	para	SPS00	para
q	que	CS	que
Vaia	vaya	VMSP0S0	ir
a	a	SPS00	a
esa	esa	DD0FS0	ese
Ciud	ciudad	NCFS000	ciudad
y	y	CC	y
haga	haga	VMSP0S0	hacer
sus	sus	DP3CP0	su
diligenzias	diligencias	NCFP000	diligencia
	,	Fc	,
pues	pues	CS	pues
	,	Fc	,
como	como	CS	como
soi	soy	VSIP1S0	ser
Yndigno	indigno	AQ0MS0	indigno
sazerdote	sacerdote	NCMS000	sacerdote
	,	Fc	,
es	es	VSIP3S0	ser
desberguenza	desvergũenza	NCFS000	desvergũenza
lo	lo	DA0NS0	el
q	que	PR0CN000	que
hazen	hacen	VMIP3P0	hacer
Con	con	SPS00	con
este	este	DD0MS0	este
pobre	pobre	AQ0CS0	pobre
;	.	Fp	.
Vmd	VM	NP00000	VM
perdone	perdone	VMSP0S0	perdonar
Y	y	CC	y
si	si	CS	si
gusta	gusta	VMIP3S0	gustar
de	de	SPS00	de
escribirme	escribirme	VMN0000+PP1CS000	escribir+me
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
estimare	estimaré	VMIF1S0	estimar
	.	Fp	.
Nro	Nuestro	DP1MSP	nuestro
Señor	Señor	NP00000	señor
Gde	guarde	VMSP0S0	guardar
a	a	SPS00	a
Vmd	VM	NP00000	VM
mus	muchos	DI0MP0	mucho
as	años	NCMP000	año
	.	Fp	.
Oyon	Oyón	NP00000	oyón
	,	Fc	,
Y	y	CC	y
septre	septiembre	NCMS000	septiembre
11	11	Z	11
de	de	SPS00	de
1736	1736	Z	1736
.	.	Fp	.
B	Besa	VMIP3S0	besar
l	la	DA0FS0	el
m	mano	NCFS000	mano
de	de	SPS00	de
Vmd	VM	NP00000	VM
su	su	DP3CS0	su
segro	seguro	AQ0MS0	seguro
seror	servidor	NCMS000	servidor
y	y	CC	y
Cappan	capellán	NCMS000	capellán
	,	Fc	,
dn	don	NP00000	don
Miguel	Miguel	NP00000	miguel
de	de	SPS00	de
Cabredo	Cabredo	NP00000	cabredo
Sr	Señor	NP00000	señor
Dn	don	NP00000	don
Joseph	José	NP00000	josé
Carrascal	Carrascal	NP00000	carrascal
y	y	CC	y
Manzanillo	Manzanillo	NP00000	manzanillo
.	.	Fp	.
