Mui	Muy	RQ	muy
Sor	señor	NP00000	señor
mio	mío	DP1MSS	mío
y	y	CC	y
mi	mi	DP1CSS	mi
Dueño	dueño	NP00000	dueño
	.	Fp	.
el	El	DA0MS0	el
portador	portador	NCMS000	portador
de	de	SPS00	de
esta	ésta	PD0FS000	este
me	me	PP1CS000	me
dice	dice	VMIP3S0	decir
que	que	CS	que
a	a	SPS00	a
Vm	VM	NP00000	VM
se	se	P00CN000	se
le	le	PP3CSD00	le
ofrecia	ofrecía	VMII0S0	ofrecer
algun	algún	DI0MS0	alguno
reparo	reparo	NCMS000	reparo
sobre	sobre	SPS00	sobre
los	los	DA0MP0	el
baños	baños	NCMP000	baño
para	para	SPS00	para
nra	nuestra	DP1FSP	nuestro
enferma	enferma	AQ0FS0	enfermo
en	en	SPS00	en
quanto	cuanto	PA000000	cuanto
a	a	SPS00	a
ser	ser	VSN0000	ser
uni-versales	universales	AQ0CP0	universal
y	y	CC	y
diferencia	diferencia	NCFS000	diferencia
del	del	SPS00+DA0MS0	de+el
accidente	accidente	NCMS000	accidente
del	del	SPS00+DA0MS0	de+el
vrazo	brazo	NCMS000	brazo
respecto	respecto	SPS00	respeto
al	al	SPS00+DA0MS0	a+el
de	de	SPS00	de
lo	lo	DA0NS0	el
restante	restante	NCMS000	restante
del	del	SPS00+DA0MS0	de+el
cuerpo	cuerpo	NCMS000	cuerpo
	,	Fc	,
sobre	sobre	SPS00	sobre
lo	lo	DA0NS0	el
que	que	PR0CN000	que
estimare	estimaré	VMIF1S0	estimar
que	que	CS	que
Vm	VM	NP00000	VM
me	me	PP1CS000	me
escriva	escriba	VMSP0S0	escribir
con	con	SPS00	con
toda	toda	DI0FS0	todo
dis-tinzion	distinción	NCFS000	distinción
	,	Fc	,
pues	pues	CS	pues
le	le	PP3CSD00	le
solicitare	solicitaré	VMIF1S0	solicitar
el	el	DA0MS0	el
alivio	alivio	NCMS000	alivio
por	por	SPS00	por
los	los	DA0MP0	el
medios	medios	NCMP000	medio
que	que	PR0CN000	que
ocurran	ocurran	VMSP3P0	ocurrir
posibles	posibles	AQ0CP0	posible
	.	Fp	.
asi	Así	RG	así
lo	lo	PP3CNA00	lo
espero	espero	VMIP1S0	esperar
de	de	SPS00	de
la	la	DA0FS0	el
atenzion	atención	NCFS000	atención
de	de	SPS00	de
Vm	VM	NP00000	VM
	,	Fc	,
como	como	CS	como
el	el	DA0MS0	el
que	que	CS	que
mande	mande	VMSP0S0	mandar
	.	Fp	.
y	Y	CC	y
quedo	quedo	VMIP1S0	quedar
rogdo	rogando	VMG0000	rogar
a	a	SPS00	a
Ds	Dios	NP00000	dios
gde	guarde	VMSP0S0	guardar
a	a	SPS00	a
Vm	VM	NP00000	VM
ms	muchos	DI0MP0	mucho
as	años	NCMP000	año
	.	Fp	.
Minaya	Minaya	NP00000	minaya
	,	Fc	,
y	y	CC	y
Agto	agosto	NCMS000	agosto
27	27	Z	27
de	de	SPS00	de
1753	1753	Z	1753
	.	Fp	.
B	Besa	VMIP3S0	besar
l	la	DA0FS0	el
m	mano	NCFS000	mano
de	de	SPS00	de
Vm	VM	NP00000	VM
su	su	DP3CS0	su
Segro	seguro	AQ0MS0	seguro
Servor	servidor	NCMS000	servidor
y	y	CC	y
Capn	capellán	NCMS000	capellán
	,	Fc	,
Juan	Juan	NP00000	juan
Anto	Antonio	NP00000	antonio
Serra	Serra	NP00000	serra
Sor	Señor	NP00000	señor
D	don	NP00000	don
Ju	Juan	NP00000	juan
Bautta	Bautista	NP00000	bautista
Bataller	Bataller	NP00000	bataller
	.	Fp	.
