Mui	Muy	RQ	muy
S	señor	NP00000	señor
mio	mío	DP1MSS	mío
	.	Fp	.
estimo	Estimo	VMIP1S0	estimar
en	en	SPS00	en
el	el	DA0MS0	el
alma	alma	NP00000	alma
las	las	DA0FP0	el
buenas	buenas	AQ0FP0	bueno
noticias	noticias	NCFP000	noticia
de	de	SPS00	de
su	su	DP3CS0	su
salud	salud	NCFS000	salud
Junto	junto	RG	junto
con	con	SPS00	con
estas	estas	DD0FP0	este
mis	mis	DP1CPS	mi
señoras	señoras	NCFP000	señor
	.	Fp	.
Dona	Doña	NP00000	don
Ajustina	Agustina	NP00000	agustina
y	y	CC	y
Doña	doña	NP00000	don
Ana	Ana	NP00000	ana
quedan	quedan	VMIP3P0	quedar
a	a	SPS00	a
su	su	DP3CS0	su
disposicion	disposición	NCFS000	disposición
para	para	SPS00	para
serbirlos	servirlos	VMN0000+PP3MPA00	servir+lo
con	con	SPS00	con
fina	fina	AQ0FS0	fino
boluntad	voluntad	NCFS000	voluntad
	.	Fp	.
de	De	SPS00	de
Dn	don	NP00000	don
Diego	Diego	NP00000	diego
no	no	RN	no
e	he	VAIP1S0	haber
sabido	sabido	VMP0000	saber
,	,	Fc	,
Conque	conque	CS	conque
me	me	PP1CS000	me
obligo	obligó	VMIS3S0	obligar
a	a	SPS00	a
enbiar	enviar	VMN0000	enviar
a	a	SPS00	a
mi	mi	DP1CSS	mi
Criado	criado	NCMS000	criado
por	por	SPS00	por
Ser	ser	VSN0000	ser
Siempre	siempre	RG	siempre
el	el	DA0MS0	el
buey	buey	NCMS000	buey
p	para	SPS00	para
todas	todas	DI0FP0	todo
funciones	funciones	NCFP000	función
	,	Fc	,
que	que	CS	que
le	le	PP3CSD00	le
aseguro	aseguro	VMIP1S0	asegurar
que	que	CS	que
no	no	RN	no
ubo	hubo	VMIS3S0	haber
honbre	hombre	NCMS000	hombre
que	que	PR0CN000	que
qusiere	quisiere	VMSF0S0	querer
hir	ir	VMN0000	ir
	.	Fp	.
conque	Conque	CS	conque
ayer	ayer	RG	ayer
tube	tuve	VMIS1S0	tener
carta	carta	NCFS000	carta
de	de	SPS00	de
Dn	don	NP00000	don
Marzelo	Marcelo	NP00000	marcelo
por	por	SPS00	por
la	la	DA0FS0	el
estafeta	estafeta	NCFS000	estafeta
en	en	SPS00	en
que	que	CS	que
me	me	PP1CS000	me
dava	daba	VMII0S0	dar
quenta	cuenta	NCFS000	cuenta
de	de	SPS00	de
Como	como	CS	como
Ycieron	hicieron	VMIS3P0	hacer
prisioneros	prisioneros	AQ0MP0	prisionero
7000	7000	Z	7000
mil	mil	Z	1000
que	que	PR0CN000	que
abia	había	VMII0S0	haber
Con	con	SPS00	con
su	su	DP3CS0	su
cavo	cabo	NCMS000	cabo
	,	Fc	,
que	que	CS	que
era	era	VSII0S0	ser
aUmada	Ahumada	NCFS000	ahumada
.	.	Fp	.
Dn	Don	NP00000	don
Diego	Diego	NP00000	diego
asi	así	RG	así
Como	como	CS	como
llego	llegó	VMIS3S0	llegar
le	le	PP3CSD00	le
ablo	habló	VMIS3S0	hablar
el	el	DA0MS0	el
Corejidor	corregidor	NCMS000	corregidor
y	y	CC	y
fue	fue	VMIS3S0	ir
a	a	SPS00	a
una	una	DI0FS0	uno
