Mui	Muy	RQ	muy
Sr	señor	NP00000	señor
mio	mío	DP1MSS	mío
	.	Fp	.
lo	Lo	DA0NS0	el
q	que	PR0CN000	que
se	se	P00CN000	se
me	me	PP1CS000	me
ofreze	ofrece	VMIP3S0	ofrecer
dezir	decir	VMN0000	decir
a	a	SPS00	a
Vm	VM	NP00000	VM
en	en	SPS00	en
quanto	cuanto	PA000000	cuanto
a	a	SPS00	a
franco	Francisco	NP00000	francisco
fernandez	Fernández	NP00000	fernández
silba	Silva	NP00000	silva
es	es	VSIP3S0	ser
que	que	CS	que
	,	Fc	,
aviendo	habiendo	VAG0000	haber
llegado	llegado	VMP0000	llegar
yo	yo	PP1CSN00	yo
una	una	DI0FS0	uno
tarde	tarde	NCFS000	tarde
de	de	SPS00	de
este	este	DD0MS0	este
presente	presente	AQ0CS0	presente
mes	mes	NCMS000	mes
en	en	SPS00	en
casa	casa	NCFS000	casa
de	de	SPS00	de
franco	Francisco	NP00000	francisco
Garzia	García	NP00000	garcía
	,	Fc	,
estava	estaba	VMII0S0	estar
diziendo	diciendo	VMG0000	decir
Silba	Silva	NP00000	silva
q	que	CS	que
avia	había	VAII0S0	haber
llegado	llegado	VMP0000	llegar
a	a	SPS00	a
su	su	DP3CS0	su
notizia	noticia	NCFS000	noticia
q	que	CS	que
en	en	SPS00	en
la	la	DA0FS0	el
declarazion	declaración	NCFS000	declaración
q	que	PR0CN000	que
hizo	hizo	VMIS3S0	hacer
en	en	SPS00	en
la	la	DA0FS0	el
sumaria	sumaria	NCFS000	sumaria
q	que	PR0CN000	que
hizo	hizo	VMIS3S0	hacer
Simon	Simón	NP00000	simón
Yzquierdo	Izquierdo	NP00000	izquierdo
le	le	PP3CSD00	le
avian	habían	VAII3P0	haber
añadido	añadido	VMP0000	añadir
lo	lo	DA0NS0	el
q	que	PR0CN000	que
no	no	RN	no
avia	había	VAII0S0	haber
dicho	dicho	VMP0000	decir
	,	Fc	,
porq	porque	CS	porque
su	su	DP3CS0	su
declarazion	declaración	NCFS000	declaración
se	se	P00CN000	se
extendia	extendía	VMII0S0	extender
solamente	solamente	RG	solamente
a	a	SPS00	a
aver	haber	VAN0000	haber
depuesto	depuesto	VMP0000	deponer
q	que	CS	que
el	el	DA0MS0	el
Duque	duque	NCMS000	duque
mi	mi	DP1CSS	mi
sor	señor	NP00000	señor
avia	había	VAII0S0	haber
juntado	juntado	VMP0000	juntar
unos	unos	DI0MP0	uno
potros	potros	DA0MP0	potros
suyos	suyos	PX3MP000	suyo
con	con	SPS00	con
los	los	DA0MP0	el
del	del	SPS00+DA0MS0	de+el
Conde	conde	NCMS000	conde
de	de	SPS00	de
la	La	DA0FS0	el
Corzana	Corzana	NP00000	corzana
en	en	SPS00	en
tiempo	tiempo	NCMS000	tiempo
del	del	SPS00+DA0MS0	de+el
sor	señor	NP00000	señor
Carlos	Carlos	NP00000	carlos
segundo	II	Z	ii
	.	Fp	.
y	Y	CC	y
en	en	SPS00	en
quanto	cuanto	PA000000	cuanto
a	a	SPS00	a
Vm	VM	NP00000	VM
solo	sólo	RG	sólo
avia	había	VAII0S0	haber
dicho	dicho	VMP0000	decir
q	que	CS	que
oyo	oyó	VMIS3S0	oír
dezir	decir	VMN0000	decir
presento	presentó	VMIS3S0	presentar
una	una	DI0FS0	uno
ternera	ternera	NCFS000	ternero
,	.	Fp	.
esto	Esto	PD0NN000	esto
lo	lo	PP3CNA00	lo
dijo	dijo	VMIS3S0	decir
en	en	SPS00	en
esta	esta	DD0FS0	este
ocasion	ocasión	NCFS000	ocasión
y	y	CC	y
en	en	SPS00	en
otra	otra	PI0FS000	otro
a	a	SPS00	a
mi	mí	PP1CSO00	mí
	.	Fp	.
y	Y	CC	y
asi	así	RG	así
	,	Fc	,
si	si	CS	si
esto	esto	PD0NN000	esto
condugere	condujere	VMSF0S0	conducir
pa	para	SPS00	para
el	el	DA0MS0	el
alibio	alivio	NCMS000	alivio
de	de	SPS00	de
Vm	VM	NP00000	VM
o	o	CC	o
de	de	SPS00	de
qualquiera	cualquiera	PI0CS000	cualquiera
q	que	CS	que
padezca	padezca	VMSP0S0	padecer
inozentemente	inocentemente	RG	inocentemente
	,	Fc	,
lo	lo	PP3CNA00	lo
declarare	declararé	VMIF1S0	declarar
judizial	judicial	AQ0CS0	judicial
y	y	CC	y
estrajudicialmte	extrajudicialmente	RG	extrajudicialmente
	.	Fp	.
esto	Esto	PD0NN000	esto
es	es	VSIP3S0	ser
quanto	cuanto	PA000000	cuanto
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
pasado	pasado	VMP0000	pasar
y	y	CC	y
en	en	SPS00	en
lo	lo	DA0NS0	el
q	que	PR0CN000	que
le	le	PP3CSD00	le
puedo	puedo	VMIP1S0	poder
servir	servir	VMN0000	servir
a	a	SPS00	a
Vm	VM	NP00000	VM
	,	Fc	,
Cuia	cuya	PU0FS000	cuyo
Vida	vida	NCFS000	vida
gde	guarde	VMSP0S0	guardar
Dios	Dios	NP00000	dios
ms	muchos	DI0MP0	mucho
as	años	NCMP000	año
	.	Fp	.
Colmr	Colmenar	NP00000	colmenar
	,	Fc	,
y	y	CC	y
Julio	julio	NCMS000	julio
7	7	Z	7
de	de	SPS00	de
1707	1707	Z	1707
	.	Fp	.
B	Besa	VMIP3S0	besar
L	las	DA0FP0	el
M	manos	NCFP000	mano
de	de	SPS00	de
Vm	VM	NP00000	VM
S	su	DP3CS0	su
M	mayor	AQ0CS0	mayor
Sdor	servidor	NCMS000	servidor
	,	Fc	,
El	El	DA0MS0	el
Capan	capitán	NP00000	capitán
D	don	NP00000	don
Pedro	Pedro	NP00000	pedro
Arroz	Arroz	NCMS000	arroz
Sr	Señor	NP00000	señor
D	don	NP00000	don
Gregorio	Gregorio	NP00000	gregorio
Paez	Páez	NP00000	páez
sahabedra	Saavedra	NP00000	saavedra
	.	Fp	.
