Mui	Muy	RQ	muy
sor	señor	NP00000	señor
mio	mío	DP1MSS	mío
y	y	CC	y
mi	mi	DP1CSS	mi
dueno	dueño	NCMS000	dueño
:	.	Fp	.
llegó	Llegó	VMIS3S0	llegar
a	a	SPS00	a
mis	mis	DP1CPS	mi
manos	manos	NCFP000	mano
la	la	DA0FS0	el
faborecida	favorecida	VMP00SF	favorecer
de	de	SPS00	de
VS	VSa	NP00000	VSa
	(	Fba	(
su	su	DP3CS0	su
fha	fecha	NCFS000	fecha
el	el	DA0MS0	el
29	29	Z	29
de	de	SPS00	de
mayo	mayo	NCMS000	mayo
anterior	anterior	AQ0CS0	anterior
,	)	Fbt	)
y	y	CC	y
en	en	SPS00	en
ella	ella	PP3FS000	él
registro	registro	VMIP1S0	registrar
el	el	DA0MS0	el
ultimo	último	AO0MS0	último
golpe	golpe	NCMS000	golpe
,	,	Fc	,
no	no	RN	no
esperado	esperado	VMP00SM	esperar
,	,	Fc	,
con	con	SPS00	con
el	el	DA0MS0	el
que	que	CS	que
no	no	RN	no
sera	será	VSIF3S0	ser
estraño	extraño	NCMS000	extraño
consiga	consiga	VMSP0S0	conseguir
mi	mi	DP1CSS	mi
ymfiel	infiel	AQ0CS0	infiel
marido	marido	NCMS000	marido
mi	mi	DP1CSS	mi
muerte	muerte	NCFS000	muerte
	,	Fc	,
que	que	CS	que
tanto	tanto	RC	tanto
parece	parece	VMIP3S0	parecer
anela	anhela	NCFS000	anhela
:	.	Fp	.
sor	Señor	NP00000	señor
	,	Fc	,
llegó	llegó	VMIS3S0	llegar
en	en	SPS00	en
fin	fin	NCMS000	fin
el	el	DA0MS0	el
caso	caso	NCMS000	caso
en	en	SPS00	en
que	que	CS	que
me	me	PP1CS000	me
es	es	VSIP3S0	ser
yndispensable	indispensable	AQ0CS0	indispensable
desatar	desatar	VMN0000	desatar
el	el	DA0MS0	el
silencio	silencio	NCMS000	silencio
que	que	CS	que
	,	Fc	,
desde	desde	SPS00	desde
su	su	DP3CS0	su
ausencia	ausencia	NCFS000	ausencia
	,	Fc	,
a	a	SPS00	a
costa	costa	NCFS000	costa
de	de	SPS00	de
tantas	tantas	DI0FP0	tanto
penas	penas	NCFP000	pena
y	y	CC	y
affilciones	aflicciones	NCFP000	aflicción
é	he	VAIP1S0	haber
observado	observado	VMP0000	observar
.	.	Fp	.
Cuatro	Cuatro	Z	4
años	años	NCMP000	año
,	,	Fc	,
dos	dos	Z	2
meses	meses	NCMP000	mes
y	y	CC	y
dias	días	NCMP000	día
ay	hay	VMIP3S0	haber
que	que	CS	que
salio	salió	VMIS3S0	salir
el	el	DA0MS0	el
citado	citado	VMP00SM	citar
mi	mi	DP1CSS	mi
marido	marido	NCMS000	marido
de	de	SPS00	de
esta	esta	DD0FS0	este
ciudad	ciudad	NCFS000	ciudad
huyendo	huyendo	VMG0000	huir
de	de	SPS00	de
la	la	DA0FS0	el
Justicia	justicia	NCFS000	justicia
	,	Fc	,
que	que	CS	que
le	le	PP3CSD00	le
buscaba	buscaba	VMII0S0	buscar
para	para	SPS00	para
prenderle	prenderle	VMN0000+PP3CSA00	prender+le
por	por	SPS00	por
aberle	haberle	VAN0000+PP3CSD00	haber+le
acusado	acusado	VMP0000	acusar
otros	otros	DI0MP0	otro
reos	reos	NCMP000	reo
de	de	SPS00	de
complicidad	complicidad	NCFS000	complicidad
en	en	SPS00	en
ciertos	ciertos	AQ0MP0	cierto
falsos	falsos	AQ0MP0	falso
pasaportes	pasaportes	NCMP000	pasaporte
que	que	PR0CN000	que
daban	daban	VMII3P0	dar
a	a	SPS00	a
los	los	DA0MP0	el
marineros	marineros	NCMP000	marinero
de	de	SPS00	de
la	la	DA0FS0	el
R	Real	AQ0CS0	real
Armada	Armada	NCFS000	armada
,	,	Fc	,
sin	sin	SPS00	sin
que	que	CS	que
a	a	SPS00	a
mi	mi	DP1CSS	mi
noticia	noticia	NCFS000	noticia
hubiese	hubiese	VASI0S0	haber
llegado	llegado	VMP0000	llegar
el	el	DA0MS0	el
menor	menor	AQ0CS0	menor
antecedente	antecedente	AQ0CS0	antecedente
,	.	Fp	.
hasta	Hasta	SPS00	hasta
el	el	DA0MS0	el
punto	punto	NCMS000	punto
de	de	SPS00	de
ber	ver	VMN0000	ver
en	en	SPS00	en
mi	mi	DP1CSS	mi
casa	casa	NCFS000	casa
a	a	SPS00	a
la	la	DA0FS0	el
Justicia	justicia	NCFS000	justicia
que	que	PR0CN000	que
le	le	PP3CSD00	le
procuraba	procuraba	VMII0S0	procurar
,	,	Fc	,
quien	quien	PR0CS000	quien
adbirtiendo	advirtiendo	VMG0000	advertir
su	su	DP3CS0	su
fuga	fuga	NCFS000	fuga
hizo	hizo	VMIS3S0	hacer
presa	presa	NCFS000	presa
de	de	SPS00	de
mi	mí	PP1CSO00	mí
y	y	CC	y
de	de	SPS00	de
mi	mi	DP1CSS	mi
amada	amada	VMP00SF	amar
hija	hija	NCFS000	hijo
,	,	Fc	,
conduciendonos	conduciéndonos	VMG0000+PP1CP000	conducir+nos
a	a	SPS00	a
un	un	DI0MS0	uno
castillo	castillo	NCMS000	castillo
donde	donde	PA000000	donde
sin	sin	SPS00	sin
comunicacion	comunicación	NCFS000	comunicación
nos	nos	PP1CP000	nos
an	han	VAIP3P0	haber
tenido	tenido	VMP0000	tener
dos	dos	Z	2
años	años	NCMP000	año
y	y	CC	y
medio	medio	NCMS000	medio
,	,	Fc	,
quitandonos	quitándonos	VMG0000+PP1CP000	quitar+nos
los	los	DA0MP0	el
bienes	bienes	NCMP000	bien
e	e	CC	y
imposibililandonos	imposibilitándonos	VMG0000+PP1CP000	imposibilitar+nos
de	de	SPS00	de
todo	todo	DI0MS0	todo
recurso	recurso	NCMS000	recurso
y	y	CC	y
comunicacion	comunicación	NCFS000	comunicación
,	,	Fc	,
dirigiendose	dirigiéndose	VMG0000+P00CN000	dirigir+se
el	el	DA0MS0	el
maior	mayor	AQ0CS0	mayor
empeño	empeño	NCMS000	empeño
a	a	SPS00	a
que	que	CS	que
diesemos	diésemos	VMSI1P0	dar
noticia	noticia	NCFS000	noticia
adonde	adónde	PA000000	adónde
podria	podría	VMIC0S0	poder
aberse	haberse	VAN0000+P00CN000	haber+se
dirijido	dirigido	VMP0000	dirigir
,	,	Fc	,
en	en	SPS00	en
cuio	cuyo	PU0MS000	cuyo
dilatado	dilatado	VMP00SM	dilatar
tiempo	tiempo	NCMS000	tiempo
estube	estuve	VMIS1S0	estar
en	en	SPS00	en
dos	dos	Z	2
diferentes	diferentes	AQ0CP0	diferente
ocasiones	ocasiones	NCFP000	ocasión
oleada	oleada	NCFS000	oleada
y	y	CC	y
sin	sin	SPS00	sin
esperanza	esperanza	NCFS000	esperanza
de	de	SPS00	de
Vida	vida	NCFS000	vida
,	.	Fp	.
todo	Todo	DI0MS0	todo
lo	lo	DA0NS0	el
qual	cual	PR0CS000	cual
padecimos	padecimos	VMIS1P0	padecer
resignadas	resignadas	VMP00PF	resignar
	,	Fc	,
y	y	CC	y
hubieramos	hubiéramos	VASI1P0	haber
sufrido	sufrido	VMP0000	sufrir
la	la	DA0FS0	el
muerte	muerte	NCFS000	muerte
antes	antes	RG	antes
de	de	SPS00	de
manifestar	manifestar	VMN0000	manifestar
donde	dónde	PA000000	dónde
podria	podría	VMIC0S0	poder
hallarse	hallarse	VMN0000+P00CN000	hallar+se
;	.	Fp	.
hasta	Hasta	SPS00	hasta
que	que	CS	que
	,	Fc	,
creido	creído	VMP00SM	creer
el	el	DA0MS0	el
Juez	juez	NCMS000	juez
al	al	SPS00+DA0MS0	a+el
cabo	cabo	NCMS000	cabo
de	de	SPS00	de
tanto	tanto	DI0MS0	tanto
tiempo	tiempo	NCMS000	tiempo
de	de	SPS00	de
nra	nuestra	DP1FSP	nuestro
ygnorancia	ignorancia	NCFS000	ignorancia
,	,	Fc	,
nos	nos	PP1CP000	nos
puso	puso	VMIS3S0	poner
en	en	SPS00	en
libertad	libertad	NCFS000	libertad
,	,	Fc	,
dandonos	dándonos	VMG0000+PP1CP000	dar+nos
por	por	SPS00	por
carcel	cárcel	NCFS000	cárcel
ciudad	ciudad	NCFS000	ciudad
y	y	CC	y
Arrabales	arrabales	NCMP000	arrabal
,	.	Fp	.
luego	Luego	RG	luego
que	que	CS	que
logre	logré	VMIS1S0	lograr
esta	ésta	PD0FS000	este
,	,	Fc	,
pase	pasé	VMIS1S0	pasar
a	a	SPS00	a
faborecerme	favorecerme	VMN0000+PP1CS000	favorecer+me
del	del	SPS00+DA0MS0	de+el
sor	señor	NP00000	señor
cura	cura	NCMS000	cura
prieto	Prieto	NP00000	prieto
para	para	SPS00	para
que	que	CS	que
escribiese	escribiese	VMSI0S0	escribir
a	a	SPS00	a
VS	VSa	NP00000	VSa
	,	Fc	,
procurando	procurando	VMG0000	procurar
rebozarle	rebozarle	VMN0000+PP3CSD00	rebozar+le
lo	lo	DA0NS0	el
posible	posible	AQ0CS0	posible
la	la	DA0FS0	el
causa	causa	NCFS000	causa
de	de	SPS00	de
mi	mi	DP1CSS	mi
desgracia	desgracia	NCFS000	desgracia
,	,	Fc	,
cuio	cuyo	PU0MS000	cuyo
silencio	silencio	NCMS000	silencio
é	he	VAIP1S0	haber
obserbado	observado	VMP0000	observar
co	con	SPS00	con
mi	mi	DP1CSS	mi
herm	hermano	NCMS000	hermano
asta	hasta	SPS00	hasta
la	la	DA0FS0	el
presente	presente	AQ0CS0	presente
por	por	SPS00	por
querer	querer	VMN0000	querer
padecer	padecer	VMN0000	padecer
sola	sola	AQ0FS0	solo
,	,	Fc	,
por	por	SPS00	por
ocultar	ocultar	VMN0000	ocultar
a	a	SPS00	a
un	un	DI0MS0	uno
marido	marido	NCMS000	marido
que	que	CS	que
ya	ya	RG	ya
creo	creo	VMIP1S0	creer
ymfame	infame	AQ0CS0	infame
a	a	SPS00	a
la	la	DA0FS0	el
berdad	verdad	NCFS000	verdad
	.	Fp	.
sor	Señor	NP00000	señor
	,	Fc	,
nada	nada	PI0NN00N	nada
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
sido	sido	VSP0000	ser
mas	más	RC	más
sensible	sensible	AQ0CS0	sensible
que	que	CS	que
