Sr	Señor		
Joseph	José		
	.		
Saluz	Salud		
y	y		
grazia	gracia		
	.		
me	Me		
alegrare	alegraré		
que	que		
estas	estas		
quatro	cuatro		
letras	letras		
le	le		
allen	hallen		
a	a		
vmd	VM		
con	con		
la	la		
perfecta	perfecta		
saluz	salud		
como	como		
para	para		
mi	mí		
deseo	deseo		
en	en		
conpañia	compañía		
de	de		
la	la		
parienta	parienta		
y	y		
demas	demás		
familia	familia		
	.		
io	Yo		
qdo	quedo		
a	a		
la	la		
disposizion	disposición		
de	de		
vmd	VM		
	,		
aunque	aunque		
mi	mi		
ama	ama		
se	se		
alla	halla		
enferma	enferma		
	.		
con	Con		
el	el		
portador	portador		
de	de		
esta	ésta		
	,		
que	que		
es	es		
el	el		
ordinario	ordinario		
Ju	Juan		
d	de		
almacera	Almácera		
	,		
le	le		
rremito	remito		
a	a		
vmd	VM		
ochozientos	ochocientos		
rrs	reales		
de	de		
bellon	vellón		
para	para		
la	la		
Cuenta	cuenta		
que	que		
tenemos	tenemos		
	,		
la	la		
cual	cual		
mirara	mirará		
vmd	VM		
en	en		
su	su		
libro	libro		
de	de		
caxa	caja		
y	y		
me	me		
enviara	enviará		
la	la		
rrespuesta	respuesta		
de	de		
ella	ella		
	.		
y	Y		
aora	ahora		
para	para		
cuenta	cuenta		
nueba	nueva		
me	me		
rremetira	remitirá		
los	los		
generos	géneros		
siguientes	siguientes		
	.		
primeramente	Primeramente		
	,		
de	de		
medias	medias		
de	de		
dos	dos		
illos	hilos		
una	una		
dozena	docena		
	;		
de	de		
medias	medias		
de	de		
segunda	segunda		
suerte	suerte		
dos	dos		
dozenas	docenas		
	;		
de	de		
medias	medias		
de	de		
tres	tres		
ilos	hilos		
una	una		
dozenas	docenas		
-	;		
media	media		
libra	libra		
de	de		
a	a		
seda	seda		
de	de		
ogalar	ojalar		
	,		
y	y		
de	de		
medio	medio		
pespunte	pespunte		
negra	negra		
una	una		
pieza	pieza		
de	de		
morles	morlés		
	;		
de	de		
bocadillo	bocadillo		
doble	doble		
una	una		
pieza	pieza		
	;		
dos	dos		
renzillas	rencillas		
que	que		
sean	sean		
buenas	buenas		
y	y		
de	de		
buena	buena		
calidad	calidad		
	;		
una	una		
pieza	pieza		
de	de		
rrebordada	rebordada		
negra	negra		
	,		
lisa	lisa		
	,		
dha	derecha		
	,		
encarnada	encarnada		
de	de		
lo	lo		
