Mui	Muy	RQ	muy
Sor	señor	NP00000	señor
mio	mío	DP1MSS	mío
:	.	Fp	.
en	En	SPS00	en
respuesta	respuesta	NCFS000	respuesta
á	a	SPS00	a
la	la	DA0FS0	el
estimada	estimada	VMP00SF	estimar
de	de	SPS00	de
Vm	VM	NP00000	VM
de	de	SPS00	de
31	31	Z	31
de	de	SPS00	de
Julio	julio	NCMS000	julio
proxi-mo	próximo	AQ0MS0	próximo
,	,	Fc	,
debo	debo	VMIP1S0	deber
decir	decir	VMN0000	decir
que	que	CS	que
seguramte	seguramente	RG	seguramente
no	no	RN	no
han	han	VAIP3P0	haber
informado	informado	VMP0000	informar
á	a	SPS00	a
Vm	VM	NP00000	VM
bien	bien	NCMS000	bien
de	de	SPS00	de
la	la	DA0FS0	el
Conducta	conducta	NCFS000	conducta
y	y	CC	y
Circunstancias	circunstancias	NCFP000	circunstancia
del	del	SPS00+DA0MS0	de+el
R	reverendo	NP00000	reverendo
Thomas	Tomás	NP00000	tomás
Ca-nal	Canal	NP00000	canal
;	,	Fc	,
á	a	SPS00	a
qn	quien	PR0CS000	quien
	,	Fc	,
sin	sin	SPS00	sin
embargo	embargo	NCMS000	embargo
	,	Fc	,
por	por	SPS00	por
Complacer	complacer	VMN0000	complacer
á	a	SPS00	a
Vm	VM	NP00000	VM
	,	Fc	,
extendere	extenderé	VMIF1S0	extender
sus	sus	DP3CP0	su
licencias	licencias	NCFP000	licencia
	,	Fc	,
qe	que	CS	que
debuelvo	devuelvo	VMIP1S0	devolver
,	,	Fc	,
siempre	siempre	RG	siempre
que	que	CS	que
dé	dé	VMSP0S0	dar
muestras	muestras	NCFP000	muestra
de	de	SPS00	de
ser-vir	servir	VMN0000	servir
debidamte	debidamente	RG	debidamente
el	el	DA0MS0	el
empleo	empleo	NCMS000	empleo
de	de	SPS00	de
vico	vicario	NCMS000	vicario
de	de	SPS00	de
algun	algún	DI0MS0	alguno
Ror	rector	NCMS000	rector
qe	que	PR0CN000	que
lo	lo	PP3CNA00	lo
pida	pida	VMSP0S0	pedir
pa	para	SPS00	para
este	este	DD0MS0	este
efecto	efecto	NCMS000	efecto
.	.	Fp	.
Con	Con	SPS00	con
este	este	DD0MS0	este
motivo	motivo	NCMS000	motivo
renuevo	renuevo	NCMS000	renuevo
á	a	SPS00	a
Vm	VM	NP00000	VM
mi	mi	DP1CSS	mi
fina	fina	AQ0FS0	fino
voluntad	voluntad	NCFS000	voluntad
y	y	CC	y
Ruego	ruego	VMIP1S0	rogar
.	.	Fp	.
Badalona	Badalona	NP00000	badalona
	,	Fc	,
3	3	Z	3
de	de	SPS00	de
Agosto	agosto	NCMS000	agosto
.	.	Fp	.
Sor	Señor	NP00000	señor
Dn	don	NP00000	don
Phelipe	Felipe	NP00000	felipe
Paÿssa	Payssa	NP00000	payssa
	.	Fp	.
