Sentencias	Sentencias		
de	de		
varios	varios		
autores	autores		
que	que		
corroboran	corroboran		
el	el		
sentir	sentir		
de	de		
cierto	cierto		
quidam	quídam		
que	que		
defiende	defiende		
no	no		
ser	ser		
los	los		
ôsculos	ósculos		
ni	ni		
abrazos	abrazos		
	.		
las	Las		
que	que		
dà	da		
sobre	sobre		
ôtras	otras		
q	que		
exibiò	exhibió		
de	de		
ôtros	otros		
moralistas	moralistas		
coincidian	coincidían		
con	con		
estas	éstas		
.	.		
Torrecilla	Torrecilla		
.	,		
tom	tomo		
1	1		
.	,		
sum	sumario		
fol	folio		
609	609		
.	,		
S.	S.		
4	4		
.	,		
num	número		
160	160		
.	.		
No	No		
se	se		
condena	condena		
la	la		
sentencia	sentencia		
q	que		
dice	dice		
ser	ser		
licitos	lícitos		
los	los		
ôsculos	ósculos		
,	,		
abrazos	abrazos		
quando	cuando		
se	se		
dàn	dan		
por	por		
delectacion	delectación		
honesta	honesta		
(	(		
cómo	como		
por	por		
mentar	mentar		
la	la		
âmistad	amistad		
y	y		
venebolencia	benevolencia		
)	)		
aunq	aunque		
de	de		
aì	ahí		
se	se		
delectacion	delectación		
venerea	venérea		
,	,		
no	no		
consintiendo	consintiendo		
la	la		
voluntad	voluntad		
por	por		
fin	fin		
es	es		
honesto	honesto		
y	y		
la	la		
voluntad	voluntad		
no	no		
quiere	quiere		
ni	ni		
consiente	consiente		
en	en		
delectacion	delectación		
.	.		
el	El		
mismo	mismo		
.	,		
in	in		
eodm	eodem		
fol	folio		
	,		
num	número		
167	167		
.	.		
Los	Los		
abrazos	abrazos		
y	y		
ôsculos	ósculos		
	,		
aunq	aunque		
de	de		
su	su		
naturaleza	naturaleza		
no	no		
son	son		
malos	malos		
,	,		
pero	pero		
quando	cuando		
se	se		
exercitan	ejercitan		
por	por		
delectacion	delectación		
venerea	venérea		
y	y		
honesta	honesta		
son	son		
pecado	pecado		
mortal	mortal		
.	.		
Luego	Luego		
(	(		
añado	añado		
yo	yo		
)	)		
los	los		
q	que		
no	no		
son	son		
exercitados	ejercitados		
por	por		
la	la		
tàl	tal		
delectacion	delectación		
no	no		
sòn	son		
pecado	pecado		
.	.		
Es	Es		
la	la		
consequencia	consecuencia		
.	.		
Villalobos	Villalobos		
.	,		
tom	tomo		
1	1		
.	,		
fol	folio		
724	724		
.	,		
num	número		
1	1		
y	y		
3	3		
.	,		
dificult.	dificult.		
9	9		
.	.		
Los	Los		
ôsculos	ósculos		
y	y		
abrazos	abrazos		
no	no		
son	son		
intrinsecamte	intrínsecamente		
malos	malos		
pecado	pecado		
mortal	mortal		
si	si		
el	el		
ôperante	operante		
los	los		
dirigiesse	dirigiese		
â	a		
mal	mal		
fin	fin		
como	como		
ordenandolos	ordenándolos		
para	para		
la	la		
copula	cópula		
.	.		
Luego	Luego		
(	(		
añado	añado		
yo	yo		
)	)		
fin	fin		
no	no		
se	se		
ordenassen	ordenasen		
	,		
no	no		
seran	serán		
pecado	pecado		
.	.		
Es	Es		
consequencia	consecuencia		
legitima	legítima		
.	.		
Corella	Corella		
.	,		
fol	folio		
417	417		
	,		
num	número		
262	262		
.	.		
No	No		
se	se		
condena	condena		
el	el		
decir	decir		
q	que		
los	los		
osculos	ósculos		
tenidos	tenidos		
no	no		
por	por		
carnal	carnal		
y	y		
sensual	sensual		
	,		
sino	sino		
por	por		
el	el		
mero	mero		
gusto	gusto		
sensitivo	sensitivo		
q	que		
ay	hay		
,	.		
no	No		
sòn	son		
pecado	pecado		
mortal	mortal		
.	.		
Habla	Habla		
sobre	sobre		
la	la		
proposicion	proposición		
condenada	condenada		
.	.		
Sto	Santo		
Thomas	Tomás		
.	,		
in	in		
2a	segunda		
lg.	lg.		
	,		
art	artículo		
4	4		
