Madrid	Madrid	NP00000	madrid
	,	Fc	,
de	de	SPS00	de
1798	1798	Z	1798
Querida	Querida	VMP00SF	querer
ysavel	Isabel	NP00000	isabel
	.	Fp	.
me	Me	PP1CS000	me
halegrare	alegraré	VMIF1S0	alegrar
qe	que	CS	que
estes	estés	VMSP2S0	estar
vuena	buena	AQ0FS0	bueno
en	en	SPS00	en
conpañia	compañía	NCFS000	compañía
de	de	SPS00	de
tus	tus	DP2CPS	tu
padres	padres	NCMP000	padre
y	y	CC	y
Hermanos	hermanos	NCMP000	hermano
	.	Fp	.
yo	Yo	PP1CSN00	yo
	,	Fc	,
a	a	SPS00	a
Dios	Dios	NP00000	dios
Gracias	gracias	NCFP000	gracia
	,	Fc	,
vueno	bueno	AQ0MS0	bueno
para	para	SPS00	para
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
quieras	quieras	VMSP2S0	querer
mandra	mandar	VMN0000	mandar
	.	Fp	.
esta	Ésta	PD0FS000	este
solo	sólo	RG	sólo
sirve	sirve	VMIP3S0	servir
para	para	SPS00	para
decirte	decirte	VMN0000+PP2CS000	decir+te
como	como	CS	como
ya	ya	RG	ya
no	no	RN	no
estoy	estoy	VMIP1S0	estar
an	en	SPS00	en
casa	casa	NCFS000	casa
del	del	SPS00+DA0MS0	de+el
amo	amo	NCMS000	amo
porqe	porque	CS	porque
hera	era	VSII0S0	ser
judio	judío	NCMS000	judío
y	y	CC	y
quiso	quiso	VMIS3S0	querer
matar	matar	VMN0000	matar
a	a	SPS00	a
su	su	DP3CS0	su
madre	madre	NP00000	madre
aqella	aquella	DD0FS0	aquel
noche	noche	NCFS000	noche
	.	Fp	.
y	Y	CC	y
si	si	CS	si
no	no	RN	no
e	he	VAIP1S0	haber
stado	estado	VMP0000	estar
yo	yo	PP1CSN00	yo
alli	allí	RG	allí
	,	Fc	,
la	la	DA0FS0	el
mata	mata	NCFS000	mata
porqe	porque	CS	porque
la	la	PP3FSA00	lo
yva	iba	VMII0S0	ir
a	a	SPS00	a
dar	dar	VMN0000	dar
con	con	SPS00	con
un	un	DI0MS0	uno
cuchillo	cuchillo	NCMS000	cuchillo
y	y	CC	y
le	le	PP3CSD00	le
detuve	detuve	VMIS1S0	detener
la	la	DA0FS0	el
mano	mano	NCFS000	mano
y	y	CC	y
luego	luego	RG	luego
me	me	PP1CS000	me
le	le	PP3CSD00	le
qeria	quería	VMII0S0	querer
envocar	embocar	VMN0000	embocar
a	a	SPS00	a
mi	mí	PP1CSO00	mí
	.	Fp	.
y	Y	CC	y
solo	sólo	RG	sólo
fue	fue	VMIS3S0	ir
porqe	porque	CS	porque
le	le	PP3CSD00	le
dijo	dijo	VMIS3S0	decir
su	su	DP3CS0	su
madre	madre	NCFS000	madre
qe	que	CS	que
hera	era	VSII0S0	ser
judio	judío	NCMS000	judío
	,	Fc	,
qe	que	CS	que
avia	había	VAII0S0	haber
estado	estado	VMP0000	estar
escupiendo	escupiendo	VMG0000	escupir
a	a	SPS00	a
una	una	DI0FS0	uno
ymagen	imagen	NCFS000	imagen
	.	Fp	.
y	Y	CC	y
aqella	aquella	DD0FS0	aquel
noche	noche	NCFS000	noche
no	no	RN	no
dormi	dormí	VMIS1S0	dormir
nada	nada	PI0NN00N	nada
temiendo	temiendo	VMG0000	temer
no	no	RN	no
me	me	PP1CS000	me
degollase	degollase	VMSI0S0	degollar
	,	Fc	,
pero	pero	CC	pero
con	con	SPS00	con
prevencion	prevención	NCFS000	prevención
me	me	PP1CS000	me
lleve	llevé	VMIS1S0	llevar
a	a	SPS00	a
la	la	DA0FS0	el
cama	cama	NCFS000	cama
un	un	DI0MS0	uno
cuchillo	cuchillo	NCMS000	cuchillo
grnde	grande	AQ0CS0	grande
qe	que	CS	que
tenia	tenía	VMII0S0	tener
por	por	SPS00	por
si	si	CS	si
acaso	acaso	RG	acaso
yva	iba	VMII0S0	ir
	.	Fp	.
y	Y	CC	y
tenia	tenía	VMII0S0	tener
una	una	DI0FS0	uno
de	de	SPS00	de
ver	ver	VMN0000	ver
la	la	DA0FS0	el
luz	luz	NCFS000	luz
del	del	SPS00+DA0MS0	de+el
dia	día	NCMS000	día
para	para	SPS00	para
escapar	escapar	VMN0000	escapar
de	de	SPS00	de
su	su	DP3CS0	su
casa	casa	NCFS000	casa
qe	que	CS	que
solo	sólo	RG	sólo
Dios	Dios	NP00000	dios
lo	lo	PP3CNA00	lo
save	sabe	VMIP3S0	saber
la	la	DA0FS0	el
gana	gana	NCFS000	gana
qe	que	PR0CN000	que
tenia	tenía	VMII0S0	tener
	.	Fp	.
y	Y	CC	y
asi	así	RG	así
qe	que	CS	que
amanecio	amaneció	VMIS3S0	amanecer
	,	Fc	,
nos	nos	PP1CP000	nos
levantamos	levantamos	VMIS1P0	levantar
todos	todos	DI0MP0	todo
los	los	DA0MP0	el
de	de	SPS00	de
la	la	DA0FS0	el
casa	casa	NCFS000	casa
y	y	CC	y
el	él	PP3MS000	él
tanvien	también	RG	también
y	y	CC	y
	,	Fc	,
asi	así	RG	así
qe	que	CS	que
vio	vio	VMIS3S0	ver
a	a	SPS00	a
su	su	DP3CS0	su
madre	madre	NCFS000	madre
	,	Fc	,
se	se	P00CN000	se
fue	fue	VMIS3S0	ir
a	a	SPS00	a
ella	ella	PP3FS000	él
como	como	CS	como
un	un	DI0MS0	uno
pero	perro	NCMS000	perro
dañado	dañado	VMP00SM	dañar
	.	Fp	.
y	Y	CC	y
yo	yo	PP1CSN00	yo
	,	Fc	,
viendo	viendo	VMG0000	ver
esto	esto	PD0NN000	esto
	,	Fc	,
coji	cogí	VMIS1S0	coger
el	el	DA0MS0	el
capote	capote	NCMS000	capote
y	y	CC	y
el	el	DA0MS0	el
sonvrero	sombrero	NCMS000	sombrero
	,	Fc	,
y	y	CC	y
escape	escapé	VMIS1S0	escapar
al	al	SPS00+DA0MS0	a+el
convento	convento	NCMS000	convento
de	de	SPS00	de
mi	mi	DP1CSS	mi
tio	tío	NCMS000	tío
y	y	CC	y
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
conte	conté	VMIS1S0	contar
	.	Fp	.
y	Y	CC	y
no	no	RN	no
e	he	VAIP1S0	haber
vuelo	vuelto	VMP0000	volver
a	a	SPS00	a
su	su	DP3CS0	su
casa	casa	NCFS000	casa
	,	Fc	,
de	de	SPS00	de
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
estoy	estoy	VMIP1S0	estar
rrigular	regular	AQ0CS0	regular
	,	Fc	,
qe	que	CS	que
	,	Fc	,
en	en	SPS00	en
pasando	pasando	VMG0000	pasar
pascua	Pascua	NP00000	pascua
	,	Fc	,
me	me	PP1CS000	me
vaya	vaya	VMSP0S0	ir
a	a	SPS00	a
casa	casa	NCFS000	casa
	.	Fp	.
y	Y	CC	y
si	si	CS	si
acaso	acaso	RG	acaso
no	no	RN	no
me	me	PP1CS000	me
fuese	fuese	VMSI0S0	ir
	,	Fc	,
yo	yo	PP1CSN00	yo
te	te	PP2CS000	te
escrivire	escribiré	VMIF1S0	escribir
para	para	SPS00	para
adonde	adónde	PA000000	adónde
as	has	VMIP2S0	haber
de	de	SPS00	de
dirigir	dirigir	VMN0000	dirigir
las	las	DA0FP0	el
cartas	cartas	NCFP000	carta
	.	Fp	.
y	Y	CC	y
no	no	RN	no
ay	hay	VMIP3S0	haber
mas	más	RC	más
novedades	novedades	NCFP000	novedad
	.	Fp	.
daras	Darás	VMIF2S0	dar
memorias	memorias	NCFP000	memoria
a	a	SPS00	a
tus	tus	DP2CPS	tu
padres	padres	NCMP000	padre
y	y	CC	y
la	la	DA0FS0	el
vicenta	Vicenta	NP00000	vicenta
y	y	CC	y
juan	Juan	NP00000	juan
antonio	Antonio	NP00000	antonio
	,	Fc	,
qe	que	CS	que
vien	bien	RG	bien
vi	vi	VMIS1S0	ver
a	a	SPS00	a
la	la	DA0FS0	el
ventana	ventana	NCFS000	ventana
de	de	SPS00	de
la	la	DA0FS0	el
	,	Fc	,
de	de	SPS00	de
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
el	él	PP3MS000	él
save	sabe	VMIP3S0	saber
qe	que	CS	que
le	le	PP3CSD00	le
dige	dije	VMIS1S0	decir
en	en	SPS00	en
los	los	DA0MP0	el
portales	portales	NCMP000	portal
qe	que	PR0CN000	que
podia	podía	VMII0S0	poder
acer	hacer	VMN0000	hacer
por	por	SPS00	por
la	la	DA0FS0	el
rrega	Rega	NP00000	rega
	.	Fp	.
y	Y	CC	y
con	con	SPS00	con
esto	esto	PD0NN000	esto
no	no	RN	no
canso	canso	VMIP1S0	cansar
mas	más	RC	más
	.	Fp	.
rrecive	Recibe	VMM02S0	recibir
memorias	memorias	NCFP000	memoria
de	de	SPS00	de
mi	mi	DP1CSS	mi
parte	parte	NCFS000	parte
a	a	SPS00	a
merced	merced	NCFS000	merced
de	de	SPS00	de
tu	tu	DP2CSS	tu
deseo	deseo	NCMS000	deseo
y	y	CC	y
a	a	SPS00	a
juaquin	Joaquín	NP00000	joaquín
	,	Fc	,
qe	que	CS	que
se	se	P00CN000	se
me	me	PP1CS000	me
olvidava	olvidaba	VMII0S0	olvidar
	,	Fc	,
dale	dale	VMM02S0+PP3CSD00	dar+le
muchas	muchas	DI0FP0	mucho
memorias	memorias	NCFP000	memoria
y	y	CC	y
a	a	SPS00	a
la	la	DA0FS0	el
melliza	melliza	NCFS000	mellizo
	.	Fp	.
y	Y	CC	y
con	con	SPS00	con
esto	esto	PD0NN000	esto
manda	manda	VMIP3S0	mandar
a	a	SPS00	a
este	este	DD0MS0	este
tu	tu	DP2CSS	tu
mas	más	RC	más
apasionado	apasionado	VMP00SM	apasionar
	.	Fp	.
de	De	SPS00	de
corazon	corazón	NCMS000	corazón
te	te	PP2CS000	te
estima	estima	VMIP3S0	estimar
y	y	CC	y
ver	ver	VMN0000	ver
desea	desea	VMIP3S0	desear
	.	Fp	.
Balthasar	Baltasar	NP00000	baltasar
Brl	Becerril	NP00000	becerril
Querida	Querida	VMP00SF	querer
Ysavel	Isabel	NP00000	isabel
	.	Fp	.
