Muy	Muy	RQ	muy
sr	señor	NP00000	señor
mio	mío	DP1MSS	mío
	.	Fp	.
quedo	Quedo	VMIP1S0	quedar
regozigando	regocijando	VMG0000	regocijar
las	las	DA0FP0	el
notiçias	noticias	NCFP000	noticia
de	de	SPS00	de
su	su	DP3CS0	su
salud	salud	NCFS000	salud
.	.	Fp	.
La	La	DA0FS0	el
mia	mía	PX1FS0S0	mío
	,	Fc	,
en	en	SPS00	en
cama	cama	NCFS000	cama
y	y	CC	y
a	a	SPS00	a
su	su	DP3CS0	su
obediençia	obediencia	NCFS000	obediencia
.	.	Fp	.
el	El	DA0MS0	el
amigo	amigo	NP00000	amigo
Dn	don	NP00000	don
Antto	Antonio	NP00000	antonio
no	no	RN	no
se	se	P00CN000	se
alla	halla	VMIP3S0	hallar
en	en	SPS00	en
estta	ésta	PD0FS000	este
por	por	SPS00	por
aver	haber	VAN0000	haber
pasado	pasado	VMP0000	pasar
A	a	SPS00	a
su	su	DP3CS0	su
casa	casa	NCFS000	casa
	,	Fc	,
en	en	SPS00	en
donde	donde	PA000000	donde
se	se	P00CN000	se
alla	halla	VMIP3S0	hallar
yndispuesto	indispuesto	AQ0MS0	indispuesto
	.	Fp	.
y	Y	CC	y
los	los	DA0MP0	el
generos	géneros	NCMP000	género
que	que	PR0CN000	que
Vmd	VM	NP00000	VM
pide	pide	VMIP3S0	pedir
no	no	RN	no
los	los	PP3MPA00	lo
pude	pude	VMIS1S0	poder
Allar	hallar	VMN0000	hallar
	.	Fp	.
solo	Sólo	RG	sólo
se	sé	VMIP1S0	saber
que	que	CS	que
sen	señor	NP00000	señor
no	no	RN	no
tiene	tiene	VMIP3S0	tener
ninguna	ninguna	PI0FS00N	ninguno
	,	Fc	,
que	que	CS	que
se	se	P00CN000	se
le	le	PP3CSD00	le
acabo	acabó	VMIS3S0	acabar
	,	Fc	,
y	y	CC	y
la	la	DA0FS0	el
que	que	PR0CN000	que
tengo	tengo	VMIP1S0	tener
no	no	RN	no
llega	llega	VMIP3S0	llegar
a	a	SPS00	a
libra	libra	NCFS000	libra
	.	Fp	.
y	Y	CC	y
solo	sólo	RG	sólo
remito	remito	VMIP1S0	remitir
los	los	DA0MP0	el
que	que	PR0CN000	que
ban	van	VMIP3P0	ir
Al	al	SPS00+DA0MS0	a+el
margen	margen	NCCS000	margen
pa	para	SPS00	para
remedio	remedio	NCMS000	remedio
en	en	SPS00	en
yntterin	ínterin	RG	ínterin
que	que	CS	que
Vmd	VM	NP00000	VM
scribe	escribe	VMIP3S0	escribir
a	a	SPS00	a
Dn	don	NP00000	don
Antto	Antonio	NP00000	antonio
	,	Fc	,
pa	para	SPS00	para
que	que	CS	que
se	se	PP3CN000	se
los	los	PP3MPA00	lo
busque	busque	VMSP0S0	buscar
o	o	CC	o
se	se	P00CN000	se
prevenga	prevenga	VMSP0S0	prevenir
de	de	SPS00	de
otra	otra	DI0FS0	otro
parte	parte	NCFS000	parte
.	.	Fp	.
Las	Las	DA0FP0	el
perlas	perlas	NCFP000	perla
no	no	RN	no
las	las	PP3FPA00	lo
tiene	tiene	VMIP3S0	tener
por	por	SPS00	por
aora	ahora	RG	ahora
.	.	Fp	.
el	El	DA0MS0	el
mozo	mozo	NCMS000	mozo
enttrego	entregó	VMIS3S0	entregar
el	el	DA0MS0	el
doblon	doblón	NCMS000	doblón
	.	Fp	.
y	Y	CC	y
	,	Fc	,
si	si	CS	si
faltare	faltare	VMSF0S0	faltar
o	o	CC	o
sobrare	sobrare	VMSF0S0	sobrar
	,	Fc	,
Dn	don	NP00000	don
Antto	Antonio	NP00000	antonio
Avisara	avisará	VMIF3S0	avisar
A	a	SPS00	a
Vmd	VM	NP00000	VM
	,	Fc	,
A	a	SPS00	a
quien	quien	PR0CS000	quien
gd	guarde	VMSP0S0	guardar
Dios	Dios	NP00000	dios
m	muchos	DI0MP0	mucho
Años	años	NCMP000	año
su	su	DP3CS0	su
casa	casa	NCFS000	casa
	.	Fp	.
de	De	SPS00	de
puentteAreas	Puenteareas	NP00000	puenteareas
	,	Fc	,
y	y	CC	y
maio	mayo	NCMS000	mayo
13	13	Z	13
de	de	SPS00	de
1708	1708	Z	1708
	.	Fp	.
B	Besa	VMIP3S0	besar
l	la	DA0FS0	el
m	mano	NCFS000	mano
de	de	SPS00	de
Vmd	VM	NP00000	VM
su	su	DP3CS0	su
afecto	afecto	AQ0MSP	afecto
servidor	servidor	NCMS000	servidor
	,	Fc	,
Manuel	Manuel	NP00000	manuel
de	de	SPS00	de
Araujo	Araújo	NP00000	araújo
Gaspar	Gaspar	NP00000	gaspar
gueto	Gueto	NP00000	gueto
	.	Fp	.
