Mui	Muy	RQ	muy
Señor	señor	NP00000	señor
mio	mío	DP1MSS	mío
	.	Fp	.
a	A	SPS00	a
noVedad	novedad	NCFS000	novedad
tendra	tendrá	VMIF3S0	tener
Vmd	VM	NP00000	VM
el	el	DA0MS0	el
ber	ver	VMN0000	ver
estos	estos	DD0MP0	este
renglones	renglones	NCMP000	renglón
	,	Fc	,
pero	pero	CC	pero
no	no	RN	no
puedo	puedo	VMIP1S0	poder
esCusarlos	excusarlos	VMN0000+PP3MPA00	excusar+lo
por	por	SPS00	por
la	la	DA0FS0	el
ocasion	ocasión	NCFS000	ocasión
presente	presente	AQ0CS0	presente
	.	Fp	.
y	Y	CC	y
es	es	VSIP3S0	ser
que	que	CS	que
abra	habrá	VMIF3S0	haber
Como	como	CS	como
cosa	cosa	NCFS000	cosa
de	de	SPS00	de
tres	tres	Z	3
meses	meses	NCMP000	mes
que	que	PR0CN000	que
se	se	P00CN000	se
Vio	vio	VMIS3S0	ver
mi	mi	DP1CSS	mi
Causa	causa	NCFS000	causa
y	y	CC	y
de	de	SPS00	de
la	la	DA0FS0	el
qual	cual	PR0CS000	cual
me	me	PP1CS000	me
an	han	VAIP3P0	haber
sentenziado	sentenciado	VMP0000	sentenciar
a	a	SPS00	a
seys	seis	Z	6
años	años	NCMP000	año
de	de	SPS00	de
galeras	galeras	NCFP000	galera
	.	Fp	.
que	Que	CS	que
mas	más	RC	más
quisira	quisiera	VMSI0S0	querer
que	que	CS	que
me	me	PP1CS000	me
ubiran	hubieran	VASI3P0	haber
aorCado	ahorcado	VMP0000	ahorcar
que	que	CS	que
no	no	RN	no
yr	ir	VMN0000	ir
a	a	SPS00	a
tales	tales	DD0CP0	tal
trabaxos	trabajos	NCMP000	trabajo
.	.	Fp	.
y	Y	CC	y
asi	así	RG	así
para	para	SPS00	para
el	el	DA0MS0	el
Camino	camino	NCMS000	camino
e	he	VMIP1S0	haber
de	de	SPS00	de
menester	menester	NCMS000	menester
que	que	CS	que
Vm	VM	NP00000	VM
me	me	PP1CS000	me
remita	remita	VMSP0S0	remitir
quatro	cuatro	Z	4
doblones	doblones	NCMP000	doblón
luego	luego	RG	luego
que	que	CS	que
Vea	vea	VMSP0S0	ver
esta	ésta	PD0FS000	este
	;	Fx	;
Y	y	CC	y
de	de	SPS00	de
no	no	RN	no
	,	Fc	,
al	al	SPS00+DA0MS0	a+el
Correo	correo	NCMS000	correo
sigiente	siguiente	AQ0CS0	siguiente
	;	Fx	;
y	y	CC	y
de	de	SPS00	de
no	no	RN	no
	,	Fc	,
yo	yo	PP1CSN00	yo
ia	ya	RG	ya
estoi	estoy	VMIP1S0	estar
perdido	perdido	VMP00SM	perder
	.	Fp	.
y	Y	CC	y
dire	diré	VMIF1S0	decir
lo	lo	DA0NS0	el
que	que	PR0CN000	que
a	a	SPS00	a
mi	mí	PP1CSO00	mí
y	y	CC	y
a	a	SPS00	a
mi	mi	DP1CSS	mi
familia	familia	NCFS000	familia
diJo	dijo	VMIS3S0	decir
su	su	DP3CS0	su
padre	padre	NCMS000	padre
de	de	SPS00	de
Vmd	VM	NP00000	VM
	,	Fc	,
el	el	DA0MS0	el
señor	señor	NP00000	señor
migel	Miguel	NP00000	miguel
luis	Luis	NP00000	luis
	,	Fc	,
estando	estando	VMG0000	estar
todos	todos	DI0MP0	todo
Juntos	juntos	AQ0MP0	junto
en	en	SPS00	en
la	la	DA0FS0	el
Carzel	cárcel	NCFS000	cárcel
de	de	SPS00	de
la	la	DA0FS0	el
penitenzia	penitencia	NCFS000	penitencia
	:	Fd	:
que	que	CS	que
Vmd	VM	NP00000	VM
tenia	tenía	VMII0S0	tener
tanta	tanta	DI0FS0	tanto
o	o	CC	o
mas	más	RC	más
Culpa	culpa	NCFS000	culpa
que	que	CS	que
dicho	dicho	VMP00SM	decir
Señor	señor	NP00000	señor
su	su	DP3CS0	su
padre	padre	NCMS000	padre
	(	Fba	(
que	que	CS	que
Dios	Dios	NP00000	dios
aya	haya	VMSP0S0	haber
	)	Fbt	)
	,	Fc	,
pero	pero	CC	pero
que	que	CS	que
mas	más	RC	más
queria	quería	VMII0S0	querer
padezer	padecer	VMN0000	padecer
por	por	SPS00	por
si	sí	RG	sí
mismo	mismo	AQ0MS0	mismo
que	que	CS	que
no	no	RN	no
Culpar	culpar	VMN0000	culpar
a	a	SPS00	a
su	su	DP3CS0	su
iJo	hijo	NCMS000	hijo
	.	Fp	.
Y	Y	CC	y
asi	así	RG	así
le	le	PP3CSD00	le
digo	digo	VMIP1S0	decir
a	a	SPS00	a
Vmd	VM	NP00000	VM
que	que	CS	que
yo	yo	PP1CSN00	yo
y	y	CC	y
toda	toda	DI0FS0	todo
mi	mi	DP1CSS	mi
familia	familia	NCFS000	familia
padezimos	padecimos	VMIS1P0	padecer
tres	tres	Z	3
años	años	NCMP000	año
porque	porque	CS	porque
nos	nos	PP1CP000	nos
Culpo	culpó	VMIS3S0	culpar
un	un	DI0MS0	uno
Cuñado	cuñado	NCMS000	cuñado
que	que	CS	que
no	no	RN	no
nos	nos	PP1CP000	nos
abia	había	VAII0S0	haber
Visto	visto	VMP0000	ver
en	en	SPS00	en
su	su	DP3CS0	su
Vida	vida	NCFS000	vida
.	.	Fp	.
Y	Y	CC	y
asi	así	RG	así
le	le	PP3CSD00	le
digo	digo	VMIP1S0	decir
a	a	SPS00	a
Vmd	VM	NP00000	VM
que	que	CS	que
por	por	SPS00	por
materia	materia	NCFS000	materia
tan	tan	RC	tan
Corta	corta	AQ0FS0	corto
no	no	RN	no
quiera	quiera	VMSP0S0	querer
Verse	verse	VMN0000+P00CN000	ver+se
en	en	SPS00	en
tan	tan	RC	tan
grande	grande	AQ0CS0	grande
trabaJo	trabajo	NCMS000	trabajo
Como	como	CS	como
es	es	VSIP3S0	ser
	.	Fp	.
ya	Ya	RG	ya
sabra	sabrá	VMIF3S0	saber
Vmd	VM	NP00000	VM
que	que	CS	que
el	el	DA0MS0	el
su	su	DP3CS0	su
Cuñado	cuñado	NCMS000	cuñado
Don	don	NP00000	don
manuel	Manuel	NP00000	manuel
fernandez	Fernández	NP00000	fernández
mato	Mato	NP00000	mato
me	me	PP1CS000	me
remitio	remitió	VMIS3S0	remitir
otros	otros	DI0MP0	otro
quatro	cuatro	Z	4
doblones	doblones	NCMP000	doblón
y	y	CC	y
otro	otro	DI0MS0	otro
suJetos	sujetos	NCMP000	sujeto
	.	Fp	.
Y	Y	CC	y
asi	así	RG	así
aga	haga	VMSP0S0	hacer
Vmd	VM	NP00000	VM
lo	lo	DA0NS0	el
que	que	PR0CN000	que
fuese	fuese	VMSI0S0	ir
de	de	SPS00	de
su	su	DP3CS0	su
boluntad	voluntad	NCFS000	voluntad
que	que	CS	que
	,	Fc	,
Como	como	CS	como
le	le	PP3CSD00	le
digo	digo	VMIP1S0	decir
	,	Fc	,
yo	yo	PP1CSN00	yo
ya	ya	RG	ya
no	no	RN	no
tengo	tengo	VMIP1S0	tener
que	que	CS	que
perder	perder	VMN0000	perder
porque	porque	CS	porque
Ya	ya	RG	ya
estoi	estoy	VMIP1S0	estar
bastante	bastante	RQ	bastante
perdido	perdido	VMP00SM	perder
	.	Fp	.
Y	Y	CC	y
si	si	CS	si
Vmd	VM	NP00000	VM
no	no	RN	no
me	me	PP1CS000	me
responde	responde	VMIP3S0	responder
enbiandome	enviándome	VMG0000+PP1CS000	enviar+me
dichos	dichos	VMP00PM	decir
quatro	cuatro	Z	4
doblones	doblones	NCMP000	doblón
	,	Fc	,
tendra	tendrá	VMIF3S0	tener
en	en	SPS00	en
esa	esa	DD0FS0	ese
Ciudad	ciudad	NCFS000	ciudad
mi	mi	DP1CSS	mi
repuesta	respuesta	NCFS000	respuesta
	,	Fc	,
pero	pero	CC	pero
sera	será	VSIF3S0	ser
en	en	SPS00	en
la	la	DA0FS0	el
ultima	última	AO0FS0	último
Casa	casa	NCFS000	casa
	.	Fp	.
Y	Y	CC	y
esto	esto	PD0NN000	esto
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
Juro	juro	VMIP1S0	jurar
a	a	SPS00	a
Vmd	VM	NP00000	VM
que	que	CS	que
	,	Fc	,
si	si	CS	si
no	no	RN	no
aze	hace	VMIP3S0	hacer
lo	lo	DA0NS0	el
referido	referido	VMP00SM	referir
	,	Fc	,
que	que	CS	que
destruido	destruido	VMP00SM	destruir
sea	sea	VSSP0S0	ser
del	del	SPS00+DA0MS0	de+el
poderl	poder	NCMS000	poder
de	de	SPS00	de
Dios	Dios	NP00000	dios
	.	Fp	.
Y	Y	CC	y
le	le	PP3CSD00	le
digo	digo	VMIP1S0	decir
a	a	SPS00	a
Vmd	VM	NP00000	VM
que	que	CS	que
estan	están	VMIP3P0	estar
las	las	DA0FP0	el
Cadenas	cadenas	NCFP000	cadena
para	para	SPS00	para
marchar	marchar	VMN0000	marchar
Con	con	SPS00	con
brebedad	brevedad	NCFS000	brevedad
	.	Fp	.
i	Y	CC	y
si	si	CS	si
enViase	enviase	VMSI0S0	enviar
lo	lo	DA0NS0	el
referido	referido	VMP00SM	referir
	,	Fc	,
Venga	venga	VMSP0S0	venir
al	al	SPS00+DA0MS0	a+el
Señor	señor	NP00000	señor
Antonio	Antonio	NP00000	antonio
rodrigez	Rodríguez	NP00000	rodríguez
	.	Fp	.
i	Y	CC	y
le	le	PP3CSD00	le
torno	torno	VMIP1S0	tornar
a	a	SPS00	a
dezir	decir	VMN0000	decir
a	a	SPS00	a
Vmd	VM	NP00000	VM
que	que	CS	que
aqui	aquí	RG	aquí
no	no	RN	no
digo	digo	VMIP1S0	decir
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
su	su	DP3CS0	su
padre	padre	NCMS000	padre
tenblaba	temblaba	VMII0S0	temblar
quando	cuando	PA000000	cuando
estaba	estaba	VMII0S0	estar
Vmd	VM	NP00000	VM
depositado	depositado	VMP00SM	depositar
no	no	RN	no
perensiesen	prendiesen	VMSI3P0	prender
a	a	SPS00	a
Vmd	VM	NP00000	VM
porque	porque	CS	porque
se	se	P00CN000	se
deClaro	declaró	VMIS3S0	declarar
bastante	bastante	RQ	bastante
Conmigo	conmigo	SPS00+PP1CSO00	con+mí
	.	Fp	.
y	Y	CC	y
asi	así	RG	así
	,	Fc	,
si	si	CS	si
VmDd	VM	NP00000	VM
aze	hace	VMIP3S0	hacer
lo	lo	DA0NS0	el
que	que	PR0CN000	que
llebo	llevo	VMIP1S0	llevar
dicho	dicho	VMP00SM	decir
	,	Fc	,
le	le	PP3CSD00	le
Juro	juro	VMIP1S0	jurar
a	a	SPS00	a
nuestro	Nuestro	DP1MSP	nuestro
Señor	Señor	NP00000	señor
de	de	SPS00	de
no	no	RN	no
aCordarme	acordarme	VMN0000+PP1CS000	acordar+me
de	de	SPS00	de
Vmd	VM	NP00000	VM
	,	Fc	,
sino	sino	CC	sino
de	de	SPS00	de
enComendarlo	encomendarlo	VMN0000+PP3CNA00	encomendar+lo
a	a	SPS00	a
Dios	Dios	NP00000	dios
Como	como	CS	como
e	he	VAIP1S0	haber
echo	hecho	VMP0000	hacer
Con	con	SPS00	con
su	su	DP3CS0	su
Cunado	cuñado	NCMS000	cuñado
de	de	SPS00	de
Vmd	VM	NP00000	VM
	.	Fp	.
asi	Así	RG	así
no	no	RN	no
de	dé	VMSP0S0	dar
lugar	lugar	NCMS000	lugar
a	a	SPS00	a
que	que	CS	que
su	su	DP3CS0	su
Casa	casa	NCFS000	casa
se	se	P00CN000	se
pierda	pierda	VMSP0S0	perder
por	por	SPS00	por
Cosa	cosa	NCFS000	cosa
tan	tan	RC	tan
Corta	corta	AQ0FS0	corto
Como	como	CS	como
es	es	VSIP3S0	ser
lo	lo	DA0NS0	el
que	que	PR0CN000	que
pido	pido	VMIP1S0	pedir
	.	Fp	.
Y	Y	CC	y
mire	mire	VMSP0S0	mirar
Vmd	VM	NP00000	VM
que	que	CS	que
ya	ya	RG	ya
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
refiero	refiero	VMIP1S0	referir
dos	dos	Z	2
o	o	CC	o
tres	tres	Z	3
Vezes	veces	NCFP000	vez
	.	Fp	.
que	Que	CS	que
yo	yo	PP1CSN00	yo
quiesiera	quisiera	VMSI0S0	querer
perde	perder	VMN0000	perder
Cien	cien	Z	100
mil	mil	Z	1000
duCados	ducados	NCMP000	ducado
que	que	CS	que
no	no	RN	no
no	no	RN	no
estar	estar	VMN0000	estar
una	una	DI0FS0	uno
semana	semana	NCFS000	semana
adonde	adonde	PA000000	adonde
estubimos	estuvimos	VMIS1P0	estar
.	.	Fp	.
mi	Mi	DP1CSS	mi
hermano	hermano	NCMS000	hermano
esta	está	VMIP3S0	estar
