Mui	Muy	RQ	muy
señor	señor	NP00000	señor
mio	mío	DP1MSS	mío
de	de	SPS00	de
mi	mi	DP1CSS	mi
maror	mayor	AQ0CS0	mayor
estimacion	estimación	NCFS000	estimación
	.	Fp	.
e	He	RG	he
de	de	SPS00	de
deber	deber	VMN0000	deber
a	a	SPS00	a
Vm	VM	NP00000	VM
que	que	CS	que
me	me	PP1CS000	me
remita	remita	VMSP0S0	remitir
el	el	DA0MS0	el
recibo	recibo	NCMS000	recibo
de	de	SPS00	de
los	los	DA0MP0	el
derechos	derechos	NCMP000	derecho
de	de	SPS00	de
Vm	VM	NP00000	VM
si	sin	SPS00	sin
perder	perder	VMN0000	perder
coreo	correo	NCMS000	correo
	,	Fc	,
porque	porque	CS	porque
si	sin	SPS00	sin
el	él	PP3MS000	él
no	no	RN	no
se	se	P00CN000	se
tasaran	tasarán	VMIF3P0	tasar
mas	más	RC	más
que	que	CS	que
a	a	SPS00	a
peseta	peseta	NCFS000	peseta
cade	cada	DI0CS0	cada
peticion	petición	NCFS000	petición
	.	Fp	.
y	Y	CC	y
el	el	DA0MS0	el
mismo	mismo	AQ0MS0	mismo
tasador	tasador	NCMS000	tasador
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
dicho	dicho	VMP0000	decir
que	que	CS	que
merece	merece	VMIP3S0	merecer
trecientos	trescientos	Z	300
reales	reales	NCMP000	real
el	el	DA0MS0	el
alegato	alegato	NCMS000	alegato
	,	Fc	,
sin	sin	SPS00	sin
trece	trece	Z	13
peticiones	peticiones	NCFP000	petición
que	que	PR0CN000	que
tiene	tiene	VMIP3S0	tener
Vm	VM	NP00000	VM
mas	más	RC	más
	.	Fp	.
y	Y	CC	y
	,	Fc	,
asi	así	RG	así
	,	Fc	,
por	por	SPS00	por
Dios	Dios	NP00000	dios
me	me	PP1CS000	me
lo	lo	PP3CNA00	lo
enbie	envíe	VMSP0S0	enviar
Vm	VM	NP00000	VM
sin	sin	SPS00	sin
perder	perder	VMN0000	perder
coro	correo	NCMS000	correo
	,	Fc	,
pues	pues	CS	pues
no	no	RN	no
puede	puede	VMIP3S0	poder
despacharme	despacharme	VMN0000+PP1CS000	despachar+me
interi	ínterin	RG	ínterin
Vm	VM	NP00000	VM
no	no	RN	no
me	me	PP1CS000	me
le	le	PP3CSA00	le
remita	remita	VMSP0S0	remitir
	.	Fp	.
espero	Espero	VMIP1S0	esperar
este	este	DD0MS0	este
fabor	favor	NCMS000	favor
de	de	SPS00	de
Vm	VM	NP00000	VM
	.	Fp	.
Dios	Dios	NP00000	dios
guade	guarde	VMSP0S0	guardar
a	a	SPS00	a
Vm	VM	NP00000	VM
los	los	DA0MP0	el
años	años	NCMP000	año
que	que	PR0CN000	que
puede	puede	VMIP3S0	poder
	.	Fp	.
Baraoli	Valladolid	NP00000	valladolid
	,	Fc	,
a	a	SPS00	a
tres	tres	Z	3
de	de	SPS00	de
diciembre	diciembre	NCMS000	diciembre
	.	Fp	.
mande	Mande	VMSP0S0	mandar
Vm	VM	NP00000	VM
a	a	SPS00	a
su	su	DP3CS0	su
mas	más	RC	más
atenta	atenta	AQ0FS0	atento
serbidora	servidora	NCFS000	servidor
	,	Fc	,
Ana	Ana	NP00000	ana
maria	María	NP00000	maría
gutierrez	Gutiérrez	NP00000	gutiérrez
	.	Fp	.
Señor	Señor	NP00000	señor
Dn	don	NP00000	don
Domingo	Domingo	NP00000	domingo
basaraz	Basaraz	NP00000	basaraz
	.	Fp	.
