Mui	Muy	RQ	muy
Sres	señores	NP00000	señor
mios	míos	DP1MPS	mío
	.	Fp	.
resevi	Recibí	VMIS1S0	recibir
la	la	DA0FS0	el
de	de	SPS00	de
Vmds	VMs	NP00000	VM
con	con	SPS00	con
el	el	DA0MS0	el
apresio	aprecio	NCMS000	aprecio
q	que	PR0CN000	que
se	se	P00CN000	se
merese	merece	VMIP3S0	merecer
el	el	DA0MS0	el
correo	correo	NCMS000	correo
antesedente	antecedente	AQ0CS0	antecedente
y	y	CC	y
no	no	RN	no
satisfice	satisfice	VMIS1S0	satisfacer
a	a	SPS00	a
ella	ella	PP3FS000	él
prque	porque	CS	porque
	,	Fc	,
aviendo	habiendo	VAG0000	haber
sido	sido	VSP0000	ser
mi	mi	DP1CSS	mi
biaje	viaje	NCMS000	viaje
a	a	SPS00	a
esta	ésta	PD0FS000	este
Ympensado	impensado	AQ0MS0	impensado
y	y	CC	y
con	con	SPS00	con
el	el	DA0MS0	el
animo	ánimo	NCMS000	ánimo
de	de	SPS00	de
que	que	CS	que
se	se	P00CN000	se
concluyera	concluyera	VMSI0S0	concluir
el	el	DA0MS0	el
pleito	pleito	NCMS000	pleito
con	con	SPS00	con
Dn	don	NP00000	don
Lorenzo	Lorenzo	NP00000	lorenzo
Ley	Ley	NCFS000	ley
	,	Fc	,
no	no	RN	no
he	he	VAIP1S0	haber
tenido	tenido	VMP0000	tener
ni	ni	CC	ni
una	una	DI0FS0	uno
ora	hora	NCFS000	hora
de	de	SPS00	de
descanso	descanso	NCMS000	descanso
	.	Fp	.
pero	Pero	CC	pero
estando	estando	VMG0000	estar
ya	ya	RG	ya
tan	tan	RC	tan
serca	cerca	RG	cerca
de	de	SPS00	de
conseguir	conseguir	VMN0000	conseguir
q	que	CS	que
se	se	P00CN000	se
acave	acabe	VMSP0S0	acabar
esta	esta	DD0FS0	este
quimera	quimera	NCFS000	quimera
	,	Fc	,
esta	esta	DD0FS0	este
noche	noche	NCFS000	noche
remito	remito	VMIP1S0	remitir
a	a	SPS00	a
Dn	don	NP00000	don
Carlos	Carlos	NP00000	carlos
de	de	SPS00	de
