Illmo	Ilustrísimo	AQSMS0	ilustre
Sor	señor	NP00000	señor
	.	Fp	.
Señor	Señor	NP00000	señor
	.	Fp	.
Nunca	Nunca	RN	nunca
crei	creí	VMIS1S0	creer
que	que	CS	que
el	el	DA0MS0	el
Sor	señor	NP00000	señor
Visitador	visitador	NP00000	visitador
me	me	PP1CS000	me
pusiese	pusiese	VMSI0S0	poner
en	en	SPS00	en
el	el	DA0MS0	el
estado	estado	NCMS000	estado
presente	presente	AQ0CS0	presente
de	de	SPS00	de
la	la	DA0FS0	el
prezisa	precisa	AQ0FS0	preciso
nota	nota	NCFS000	nota
en	en	SPS00	en
todo	todo	DI0MS0	todo
el	el	DA0MS0	el
obispado	obispado	NCMS000	obispado
	,	Fc	,
pues	pues	CS	pues
haviendole	habiéndole	VAG0000+PP3CSD00	haber+le
escrito	escrito	VMP0000	escribir
lo	lo	DA0NS0	el
que	que	PR0CN000	que
a	a	SPS00	a
VS	VSa	NP00000	VSa
Illma	ilustrísima	AQSFS0	ilustre
	(	Fba	(
y	y	CC	y
lo	lo	DA0NS0	el
que	que	PR0CN000	que
alli	allí	RG	allí
omiti	omití	VMIS1S0	omitir
	,	Fc	,
por	por	SPS00	por
no	no	RN	no
Juzgarlo	juzgarlo	VMN0000+PP3CNA00	juzgar+lo
nezesario	necesario	AQ0MS0	necesario
	)	Fbt	)
de	de	SPS00	de
que	que	CS	que
me	me	PP1CS000	me
allava	hallaba	VMII0S0	hallar
con	con	SPS00	con
Madre	madre	NCFS000	madre
y	y	CC	y
Hermana	hermana	NCFS000	hermano
gravemte	gravemente	RG	gravemente
en-fermas	enfermas	NCFP000	enfermo
y	y	CC	y
la	la	DA0FS0	el
una	una	PI0FS000	uno
avia	había	VAII0S0	haber
estado	estado	VMP0000	estar
aquella	aquella	DD0FS0	aquel
noche	noche	NCFS000	noche
â	a	SPS00	a
la	la	DA0FS0	el
muerte	muerte	NCFS000	muerte
a	a	SPS00	a
causa	causa	NCFS000	causa
de	de	SPS00	de
un	un	DI0MS0	uno
dolor	dolor	NCMS000	dolor
Nefritico	nefrítico	AQ0MS0	nefrítico
	,	Fc	,
en	en	SPS00	en
cuyas	cuyas	PU0FP000	cuyo
zircunstanzias	circunstancias	NCFP000	circunstancia
se	se	P00CN000	se
haze	hace	VMIP3S0	hacer
preziso	preciso	AQ0MS0	preciso
el	el	DA0MS0	el
que	que	CS	que
se	se	P00CN000	se
detubiesse	detuviese	VMSI0S0	detener
algun	algún	DI0MS0	alguno
poco	poco	DI0MS0	poco
tiempo	tiempo	NCMS000	tiempo
para	para	SPS00	para
dar	dar	VMN0000	dar
nueba	nueva	AQ0FS0	nueva
