Señor	Señor	NP00000	señor
dn	don	NP00000	don
Franco	Francisco	NP00000	francisco
de	de	SPS00	de
Picaza	Picaza	NP00000	picaza
	.	Fp	.
Torrijos	Torrijos	NP00000	torrijos
	,	Fc	,
Mayo	mayo	NCMS000	mayo
26	26	Z	26
/	/	Fc	/
95	95	Z	95
Muy	Muy	RQ	muy
señor	señor	NP00000	señor
mio	mío	DP1MSS	mío
:	,	Fc	,
con	con	SPS00	con
fha	fecha	NCFS000	fecha
de	de	SPS00	de
16	16	Z	16
de	de	SPS00	de
febrero	febrero	NCMS000	febrero
escrivi	escribí	VMIS1S0	escribir
a	a	SPS00	a
U	usted	PP2CS000	usted
respondiendo	respondiendo	VMG0000	responder
â	a	SPS00	a
las	las	DA0FP0	el
anteriores	anteriores	AQ0CP0	anterior
que	que	CS	que
havia	había	VAII0S0	haber
recivido	recibido	VMP0000	recibir
de	de	SPS00	de
U	usted	PP2CS000	usted
	,	Fc	,
en	en	SPS00	en
las	las	DA0FP0	el
que	que	PR0CN000	que
me	me	PP1CS000	me
recargava	recargaba	VMII0S0	recargar
la	la	DA0FS0	el
falta	falta	NCFS000	falta
de	de	SPS00	de
cumplimto	cumplimiento	NCMS000	cumplimiento
de	de	SPS00	de
la	la	DA0FS0	el
letra	letra	NCFS000	letra
ô	o	CC	o
plazo	plazo	NCMS000	plazo
que	que	PR0CN000	que
cumplio	cumplió	VMIS3S0	cumplir
en	en	SPS00	en
nobiembre	noviembre	NCMS000	noviembre
del	del	SPS00+DA0MS0	de+el
año	año	NCMS000	año
pasado	pasado	VMP00SM	pasar
,	,	Fc	,
en	en	SPS00	en
la	la	DA0FS0	el
que	que	PR0CN000	que
le	le	PP3CSD00	le
manifestaba	manifestaba	VMII0S0	manifestar
las	las	DA0FP0	el
dificultades	dificultades	NCFP000	dificultad
que	que	PR0CN000	que
se	se	P00CN000	se
hallaban	hallaban	VMII3P0	hallar
en	en	SPS00	en
mi	mí	PP1CSO00	mí
para	para	SPS00	para
satisfacer	satisfacer	VMN0000	satisfacer
por	por	SPS00	por
el	el	DA0MS0	el
pronto	pronto	RG	pronto
el	el	DA0MS0	el
plazo	plazo	NCMS000	plazo
vencido	vencido	VMP00SM	vencer
y	y	CC	y
los	los	DA0MP0	el
por	por	SPS00	por
vencer	vencer	VMN0000	vencer
,	,	Fc	,
por	por	SPS00	por
las	las	DA0FP0	el
causas	causas	NCFP000	causa
que	que	CS	que
en	en	SPS00	en
ella	ella	PP3FS000	él
se	se	P00CN000	se
expresaban	expresaban	VMII3P0	expresar
	,	Fp	,
como	como	CS	como
igualmte	igualmente	RG	igualmente
los	los	DA0MP0	el
partidos	partidos	NCMP000	partido
que	que	CS	que
para	para	SPS00	para
el	el	DA0MS0	el
pago	pago	NCMS000	pago
de	de	SPS00	de
todo	todo	PI0MS000	todo
le	le	PP3CSD00	le
hacia	hacía	VMII0S0	hacer
;	,	Fc	,
a	a	SPS00	a
la	la	DA0FS0	el
que	que	PR0CN000	que
hasta	hasta	SPS00	hasta
ahora	ahora	RG	ahora
no	no	RN	no
ha	ha	VAIP3S0	haber
respondido	respondido	VMP0000	responder
U	usted	PP2CS000	usted
,	.	Fp	.
solo	Sólo	RG	sólo
si	sí	RG	sí
mi	mi	DP1CSS	mi
tio	tío	NCMS000	tío
fernz	Fernández	NP00000	fernández
me	me	PP1CS000	me
remitio	remitió	VMIS3S0	remitir
algunas	algunas	DI0FP0	alguno
de	de	SPS00	de
U	usted	PP2CS000	usted
por	por	SPS00	por
aquel	aquel	DD0MS0	aquel
entonces	entonces	RG	entonces
,	,	Fc	,
en	en	SPS00	en
las	las	DA0FP0	el
quales	cuales	PR0CP000	cual
	,	Fc	,
mobido	movido	VMP00SM	mover
de	de	SPS00	de
la	la	DA0FS0	el
razon	razón	NCFS000	razón
que	que	PR0CN000	que
le	le	PP3CSD00	le
asistia	asistía	VMII0S0	asistir
	,	Fc	,
proferia	profería	VMII0S0	proferir
varias	varias	DI0FP0	varios
amenazas	amenazas	NCFP000	amenaza
para	para	SPS00	para
hacer	hacer	VMN0000	hacer
evidente	evidente	AQ0CS0	evidente
el	el	DA0MS0	el
pago	pago	NCMS000	pago
como	como	CS	como
era	era	VSII0S0	ser
justo	justo	AQ0MS0	justo
.	.	Fp	.
Y	Y	CC	y
	,	Fc	,
receloso	receloso	AQ0MS0	receloso
de	de	SPS00	de
que	que	CS	que
pusiese	pusiese	VMSI0S0	poner
en	en	SPS00	en
execucion	ejecución	NCFS000	ejecución
lo	lo	DA0NS0	el
que	que	PR0CN000	que
manifestava	manifestaba	VMII0S0	manifestar
	(	Fba	(
sin	sin	SPS00	sin
que	que	CS	que
por	por	SPS00	por
ello	ello	PD0NN000	ello
pudiese	pudiese	VMSI0S0	poder
sacar	sacar	VMN0000	sacar
mas	más	RC	más
frutto	fruto	NCMS000	fruto
que	que	CS	que
el	el	DA0MS0	el
bochorno	bochorno	NCMS000	bochorno
que	que	PR0CN000	que
podria	podría	VMIC0S0	poder
causarme	causarme	VMN0000+PP1CS000	causar+me
una	una	DI0FS0	uno
via	vía	NCFS000	vía
executi-va	ejecutiva	NCFS000	ejecutiva
,	,	Fc	,
por	por	SPS00	por
no	no	RN	no
haver	haber	VMN0000	haber
quien	quien	PR0CS000	quien
aqui	aquí	RG	aquí
conprase	comprase	VMSI0S0	comprar
ninguno	ninguno	PI0MS00N	ninguno
