Mui	Muy	RQ	muy
Sres	señores	NP00000	señor
mios	míos	DP1MPS	mío
	.	Fp	.
resivo	Recibo	VMIP1S0	recibir
la	la	DA0FS0	el
de	de	SPS00	de
Vmds	VMs	NP00000	VM
y	y	CC	y
digo	digo	VMIP1S0	decir
q	que	CS	que
antes	antes	RG	antes
q	que	CS	que
la	la	PP3FSA00	lo
resiviera	recibiera	VMSI0S0	recibir
me	me	PP1CS000	me
avia	había	VAII0S0	haber
adelantado	adelantado	VMP0000	adelantar
en	en	SPS00	en
pretender	pretender	VMN0000	pretender
se	se	P00CN000	se
remitieran	remitieran	VMSI3P0	remitir
a	a	SPS00	a
la	la	DA0FS0	el
junta	junta	NCFS000	junta
todos	todos	DI0MP0	todo
los	los	DA0MP0	el
papeles	papeles	NCMP000	papel
	,	Fc	,
lo	lo	DA0NS0	el
que	que	PR0CN000	que
hize	hice	VMIS1S0	hacer
prque	porque	CS	porque
el	el	DA0MS0	el
amigo	amigo	NCMS000	amigo
q	que	PR0CN000	que
era	era	VSII0S0	ser
de	de	SPS00	de
Brean	Brean	NP00000	brean
escrivio	escribió	VMIS3S0	escribir
a	a	SPS00	a
esta	ésta	PD0FS000	este
que	que	CS	que
pr	por	SPS00	por
que	qué	PT0CN000	qué
no	no	RN	no
embiavan	enviaban	VMII3P0	enviar
alla	allá	RG	allá
la	la	DA0FS0	el
dependiensia	dependencia	NCFS000	dependencia
	,	Fc	,
que	que	CS	que
el	él	PP3MS000	él
la	la	PP3FSA00	lo
menearia	menearía	VMIC0S0	menear
bien	bien	RG	bien
	.	Fp	.
asi	Así	RG	así
	,	Fc	,
pr	por	SPS00	por
el	el	DA0MS0	el
parte	parte	NCFS000	parte
del	del	SPS00+DA0MS0	de+el
viernes	viernes	NCMN000	viernes
en	en	SPS00	en
la	la	DA0FS0	el
noche	noche	NCFS000	noche
fue	fue	VMIS3S0	ir
a	a	SPS00	a
madrid	Madrid	NP00000	madrid
el	el	DA0MS0	el
poder	poder	NCMS000	poder
y	y	CC	y
los	los	DA0MP0	el
papeles	papeles	NCMP000	papel
todos	todos	PI0MP000	todo
