Muy	Muy	RQ	muy
Sor	señor	NP00000	señor
mio	mío	DP1MSS	mío
:	,	Fc	,
El	el	DA0MS0	el
Arpo	arzobispo	NCMS000	arzobispo
obpo	obispo	NCMS000	obispo
mi	mi	DP1CSS	mi
sr	señor	NP00000	señor
me	me	PP1CS000	me
manda	manda	VMIP3S0	mandar
decir	decir	VMN0000	decir
a	a	SPS00	a
Vm	VM	NP00000	VM
qe	que	CS	que
Da	doña	NP00000	don
Mariana	Mariana	NP00000	mariana
y	y	CC	y
Da	doña	NP00000	don
Franca	Francisca	NP00000	francisca
Corvarí	Corbarí	CC	corbarí
piden	piden	VMIP3P0	pedir
a	a	SPS00	a
S	su	DP3CS0	su
S	señor	NP00000	señor
se	se	P00CN000	se
les	les	PP3CPD00	le
libere	libere	VMSP0S0	liberar
veinteyun	veintiún	Z	21
rs	reales	NCMP000	real
de	de	SPS00	de
a	a	SPS00	a
ocho	ocho	Z	8
de	de	SPS00	de
plata	plata	NCFS000	plata
y	y	CC	y
seis	seis	Z	6
de	de	SPS00	de
plata	plata	NCFS000	plata
	,	Fc	,
que	que	CS	que
nezesitan	necesitan	VMIP3P0	necesitar
para	para	SPS00	para
quatro	cuatro	Z	4
piezas	piezas	NCFP000	pieza
de	de	SPS00	de
Bretaña	bretaña	NCFS000	bretaña
ancha	ancha	AQ0FS0	ancho
pa	para	SPS00	para
Camissas	camisas	NCFP000	camisa
y	y	CC	y
pañuelos	pañuelos	NCMP000	pañuelo
,	,	Fc	,
libra	libra	NCFS000	libra
y	y	CC	y
media	media	NCFS000	media
de	de	SPS00	de
seda	seda	NCFS000	seda
fina	fina	AQ0FS0	fino
torcida	torcida	VMP00SF	torcer
pa	para	SPS00	para
medias	medias	NCFP000	media
,	,	Fc	,
y	y	CC	y
libra	libra	NCFS000	libra
y	y	CC	y
media	media	NCFS000	media
de	de	SPS00	de
hilo	hilo	NCMS000	hilo
para	para	SPS00	para
calzetas	calcetas	NCFP000	calceta
,	;	Fx	;
y	y	CC	y
que	que	CS	que
entrege	entregué	VMIS1S0	entregar
Vm	VM	NP00000	VM
dha	dicha	VMP00SF	decir
Cantd	cantidad	NCFS000	cantidad
a	a	SPS00	a
la	la	DA0FS0	el
referidas	referidas	VMP00PF	referir
.	.	Fp	.
Y	Y	CC	y
	,	Fc	,
assimismo	asimismo	RG	asimismo
	,	Fc	,
satisfara	satisfará	VMIF3S0	satisfacer
Vm	VM	NP00000	VM
â	a	SPS00	a
Dn	don	NP00000	don
Juan	Juan	NP00000	juan
Cano	Cano	NP00000	cano
los	los	DA0MP0	el
testimonios	testimonios	NCMP000	testimonio
y	y	CC	y
compulsorios	compulsorios	NCMP000	compulsorio
qe	que	PR0CN000	que
se	se	P00CN000	se
estan	están	VMIP3P0	estar
sacando	sacando	VMG0000	sacar
de	de	SPS00	de
diferentes	diferentes	AQ0CP0	diferente
oficios	oficios	NCMP000	oficio
para	para	SPS00	para
la	la	DA0FS0	el
claridad	claridad	NCFS000	claridad
de	de	SPS00	de
las	las	DA0FP0	el
quentas	cuentas	NCFP000	cuenta
y	y	CC	y
alivio	alivio	NCMS000	alivio
de	de	SPS00	de
los	los	DA0MP0	el
menores	menores	AQ0CP0	menor
,	,	Fc	,
los	los	DA0MP0	el
qe	que	PR0CN000	que
ha	ha	VAIP3S0	haber
pagado	pagado	VMP0000	pagar
dho	dicho	VMP00SM	decir
Dn	don	NP00000	don
Juan	Juan	NP00000	juan
Antonio	Antonio	NP00000	antonio
a	a	SPS00	a
los	los	DA0MP0	el
officios	oficios	NCMP000	oficio
de	de	SPS00	de
donde	donde	PA000000	donde
se	se	P00CN000	se
han	han	VAIP3P0	haber
sacado	sacado	VMP0000	sacar
.	.	Fp	.
Y	Y	CC	y
quedo	quedo	VMIP1S0	quedar
a	a	SPS00	a
la	la	DA0FS0	el
obeda	obediencia	NCFS000	obediencia
de	de	SPS00	de
Vm	VM	NP00000	VM
con	con	SPS00	con
verdadera	verdadera	AQ0FS0	verdadero
voluntad	voluntad	NCFS000	voluntad
y	y	CC	y
ruego	ruego	VMIP1S0	rogar
a	a	SPS00	a
Nro	Nuestro	DP1MSP	nuestro
Sr	Señor	NP00000	señor
ge	guarde	VMSP0S0	guardar
a	a	SPS00	a
Vm	VM	NP00000	VM
ms	muchos	DI0MP0	mucho
as	años	NCMP000	año
	.	Fp	.
Murcia	Murcia	NP00000	murcia
	,	Fc	,
y	y	CC	y
Abril	abril	NCMS000	abril
25	25	Z	25
de	de	SPS00	de
1733	1733	Z	1733
	.	Fp	.
B	Besa	VMIP3S0	besar
L	las	DA0FP0	el
m	manos	NCFP000	mano
de	de	SPS00	de
Vm	VM	NP00000	VM
Su	su	DP3CS0	su
mor	mayor	AQ0CS0	mayor
seror	servidor	NCMS000	servidor
y	y	CC	y
afecto	afecto	NCMS000	afecto
cappn	capellán	NCMS000	capellán
D	don	NP00000	don
Franco	Francisco	NP00000	francisco
García	García	NP00000	garcía
de	de	SPS00	de
Avila	Ávila	NP00000	ávila
Sr	Señor	NP00000	señor
Dn	don	NP00000	don
Franco	Francisco	NP00000	francisco
Lisson	Lisón	NP00000	lisón
	.	Fp	.
