AVe	Ave	I	ave
maria	María	NP00000	maría
Sor	Señor	NP00000	señor
Don	don	NP00000	don
Juan	Juan	NP00000	juan
	.	Fp	.
Rezimos	Recibimos	VMIS1P0	recibir
la	la	DA0FS0	el
de	de	SPS00	de
Vmd	VM	NP00000	VM
con	con	SPS00	con
sumo	sumo	AQ0MS0	sumo
gusto	gusto	NCMS000	gusto
por	por	SPS00	por
saber	saber	VMN0000	saber
se	se	P00CN000	se
mantenia	mantenía	VMII0S0	mantener
en	en	SPS00	en
salud	salud	NCFS000	salud
	.	Fp	.
quiera	Quiera	VMSP0S0	querer
Dios	Dios	NP00000	dios
al	al	SPS00+DA0MS0	a+el
presente	presente	NCMS000	presente
se	se	P00CN000	se
mantenga	mantenga	VMSP0S0	mantener
con	con	SPS00	con
ella	ella	PP3FS000	él
,	.	Fp	.
en	En	SPS00	en
Giroma	Jeroma	NP00000	jeroma
y	y	CC	y
en	en	SPS00	en
mi	mí	PP1CSO00	mí
no	no	RN	no
ai	hay	VMIP3S0	haber
novedad	novedad	NCFS000	novedad
,	.	Fp	.
mariquita	Mariquita	NP00000	mariquita
todas	todas	DI0FP0	todo
las	las	DA0FP0	el
oras	horas	NCFP000	hora
tiene	tiene	VMIP3S0	tener
nobedad	novedad	NCFS000	novedad
con	con	SPS00	con
los	los	DA0MP0	el
azidentes	accidentes	NCMP000	accidente
que	que	PR0CN000	que
le	le	PP3CSD00	le
dan	dan	VMIP3P0	dar
,	,	Fc	,
que	que	CS	que
se	se	P00CN000	se
pone	pone	VMIP3S0	poner
para	para	SPS00	para
morir	morir	VMN0000	morir
i	y	CC	y
se	se	P00CN000	se
pone	pone	VMIP3S0	poner
mui	muy	RQ	muy
aflijida	afligida	VMP00SF	afligir
i	y	CC	y
dize	dice	VMIP3S0	decir
que	que	CS	que
no	no	RN	no
puede	puede	VMIP3S0	poder
bivir	vivir	VMN0000	vivir
,	;	Fx	;
i	y	CC	y
mucho	mucho	RQ	mucho
mas	más	RC	más
se	se	P00CN000	se
aflije	aflige	VMIP3S0	afligir
biendo	viendo	VMG0000	ver
que	que	CS	que
Vmd	VM	NP00000	VM
no	no	RN	no
biene	viene	VMIP3S0	venir
	,	Fc	,
que	que	CS	que
Juzga	juzga	VMIP3S0	juzgar
que	que	CS	que
el	el	DA0MS0	el
obispo	obispo	NCMS000	obispo
lo	lo	PP3MSA00	lo
tiene	tiene	VMIP3S0	tener
a	a	SPS00	a
Vmd	VM	NP00000	VM
detenido	detenido	VMP00SM	detener
,	.	Fp	.
mi	Mi	DP1CSS	mi
Señora	señora	NP00000	señor
Doña	doña	NP00000	don
Rosa	Rosa	NP00000	rosa
queda	queda	VMIP3S0	quedar
sin	sin	SPS00	sin
nobedad	novedad	NCFS000	novedad
en	en	SPS00	en
la	la	DA0FS0	el
salud	salud	NCFS000	salud
y	y	CC	y
a	ha	VAIP3S0	haber
sentido	sentido	VMP0000	sentir
mui	muy	RQ	muy
mucho	mucho	RQ	mucho
el	el	DA0MS0	el
que	que	CS	que
Vmd	VM	NP00000	VM
no	no	RN	no
le	le	PP3CSD00	le
aia	haya	VASP0S0	haber
escrito	escrito	VMP0000	escribir
,	.	Fp	.
i	Y	CC	y
asi	así	RG	así
	,	Fc	,
si	si	CS	si
Vmd	VM	NP00000	VM
se	se	P00CN000	se
detubiese	detuviese	VMSI0S0	detener
algunos	algunos	DI0MP0	alguno
dias	días	NCMP000	día
	,	Fc	,
no	no	RN	no
deje	deje	VMSP0S0	dejar
de	de	SPS00	de
escrivirle	escribirle	VMN0000+PP3CSD00	escribir+le
	,	Fc	,
aunque	aunque	CS	aunque
no	no	RN	no
sea	sea	VSSP0S0	ser
mas	más	RC	más
que	que	CS	que
dos	dos	Z	2
Rienglones	renglones	NCMP000	renglón
,	.	Fp	.
i	Y	CC	y
queremos	queremos	VMIP1P0	querer
que	que	CS	que
aia	haya	VMSP0S0	haber
paz	paz	NCFS000	paz
;	.	Fp	.
en	En	SPS00	en
el	el	DA0MS0	el
lugar	lugar	NCMS000	lugar
no	no	RN	no
ai	hay	VMIP3S0	haber
nobedad	novedad	NCFS000	novedad
ninguna	ninguna	DI0FS0	ninguno
,	.	Fp	.
en	En	SPS00	en
la	la	DA0FS0	el
estada	estada	NCFS000	estada
de	de	SPS00	de
Vmd	VM	NP00000	VM
cada	cada	DI0CN0	cada
uno	uno	PI0MS000	uno
Juzga	juzga	VMIP3S0	juzgar
lo	lo	DA0NS0	el
que	que	PR0CN000	que
se	se	P00CN000	se
le	le	PP3CSD00	le
antoja	antoja	VMIP3S0	antojar
de	de	SPS00	de
si	si	CS	si
es	es	VSIP3S0	ser
por	por	SPS00	por
esto	esto	PD0NN000	esto
o	o	CC	o
por	por	SPS00	por
lo	lo	DA0NS0	el
otro	otro	PI0MS000	otro
;	.	Fp	.
y	Y	CC	y
asi	así	RG	así
	,	Fc	,
lo	lo	DA0NS0	el
que	que	PR0CN000	que
yo	yo	PP1CSN00	yo
le	le	PP3CSD00	le
aconsejo	aconsejo	VMIP1S0	aconsejar
a	a	SPS00	a
Vmd	VM	NP00000	VM
que	que	CS	que
se	se	P00CN000	se
benga	venga	VMSP0S0	venir
de	de	SPS00	de
contado	contado	NCMS000	contado
i	y	CC	y
no	no	RN	no
aguarde	aguarde	VMSP0S0	aguardar
un	un	DI0MS0	uno
istante	instante	NCMS000	instante
mas	más	RC	más
,	,	Fc	,
i	y	CC	y
que	que	CS	que
una	una	DI0FS0	uno
bez	vez	NCFS000	vez
se	se	P00CN000	se
a	ha	VMIP3S0	haber
de	de	SPS00	de
despedir	despedir	VMN0000	despedir
de	de	SPS00	de
el	el	DA0MS0	el
obispo	obispo	NCMS000	obispo
,	,	Fc	,
pues	pues	CS	pues
sea	sea	VSSP0S0	ser
quanto	cuanto	PA000000	cuanto
antes	antes	RG	antes
i	y	CC	y
entonzes	entonces	RG	entonces
se	se	P00CN000	se
sabra	sabrá	VMIF3S0	saber
lo	lo	DA0NS0	el
que	que	PR0CN000	que
manda	manda	VMIP3S0	mandar
o	o	CC	o
determina	determina	VMIP3S0	determinar
;	.	Fp	.
ha	Ah	I	ah
	,	Fc	,
Remito	remito	VMIP1S0	remitir
esas	esas	DD0FP0	ese
dos	dos	Z	2
zertificaziones	certificaciones	NCFP000	certificación
ly	y	CC	y
la	la	DA0FS0	el
carta	carta	NCFS000	carta
de	de	SPS00	de
Caraballo	Caravallo	NP00000	caravallo
,	.	Fp	.
el	El	DA0MS0	el
medico	médico	NCMS000	médico
de	de	SPS00	de
aqui	aquí	RG	aquí
no	no	RN	no
a	ha	VAIP3S0	haber
querido	querido	VMP0000	querer
firmar	firmar	VMN0000	firmar
la	la	DA0FS0	el
suia	suya	PX3FS000	suyo
ni	ni	CCN	ni
azerla	hacerla	VMN0000+PP3FSA00	hacer+lo
en	en	SPS00	en
otra	otra	DI0FS0	otro
forma	forma	NCFS000	forma
,	.	Fp	.
i	Y	CC	y
para	para	SPS00	para
lo	lo	DA0NS0	el
que	que	PR0CN000	que
a	ha	VAIP3S0	haber
echo	hecho	VMP0000	hacer
a	ha	VAIP3S0	haber
sido	sido	VSP0000	ser
menester	menester	NCMS000	menester
enpeñar	empeñar	VMN0000	empeñar
a	a	SPS00	a
mi	mi	DP1CSS	mi
senora	señora	NP00000	señor
Doña	doña	NP00000	don
Rosa	Rosa	NP00000	rosa
	,	Fc	,
que	que	PR0CN000	que
por	por	SPS00	por
mi	mí	PP1CSO00	mí
no	no	RN	no
lo	lo	PP3CNA00	lo
