Mui	Muy	RQ	muy
Sr	señor	NP00000	señor
mio	mío	DP1MSS	mío
	.	Fp	.
Aviendo	Habiendo	VAG0000	haber
esperimentado	experimentado	VMP0000	experimentar
el	el	DA0MS0	el
poco	poco	DI0MS0	poco
aprecio	aprecio	NCMS000	aprecio
que	que	PR0CN000	que
Azen	hacen	VMIP3P0	hacer
los	los	DA0MP0	el
ses	señores	NCMP000	señor
Alcaldes	alcaldes	NCMP000	alcalde
a	a	SPS00	a
la	la	DA0FS0	el
vaja	baja	NCFS000	baja
que	que	PR0CN000	que
aze	hace	VMIP3S0	hacer
vmd	VM	NP00000	VM
en	en	SPS00	en
el	el	DA0MS0	el
avasto	abasto	NCMS000	abasto
de	de	SPS00	de
carnes	carnes	NCFP000	carne
	,	Fc	,
llevados	llevados	NCMP000	llevado
de	de	SPS00	de
seguir	seguir	VMN0000	seguir
sus	sus	DP3CP0	su
parcialidades	parcialidades	NCFP000	parcialidad
	(	Fba	(
el	el	DA0MS0	el
Alcalde	alcalde	NCMS000	alcalde
por	por	SPS00	por
ser	ser	VSN0000	ser
ermano	hermano	NCMS000	hermano
del	del	SPS00+DA0MS0	de+el
obligado	obligado	VMP00SM	obligar
y	y	CC	y
el	el	DA0MS0	el
procurador	procurador	NCMS000	procurador
por	por	SPS00	por
ser	ser	VSN0000	ser
sovrino	sobrino	NCMS000	sobrino
	,	Fc	,
el	el	DA0MS0	el
otro	otro	PI0MS000	otro
ovligado	obligado	VMP00SM	obligar
de	de	SPS00	de
su	su	DP3CS0	su
mujer	mujer	NCFS000	mujer
	)	Fbt	)
	,	Fc	,
les	les	PP3CPD00	le
consienten	consienten	VMIP3P0	consentir
saquen	saquen	VMSP3P0	sacar
la	la	DA0FS0	el
carne	carne	NCFS000	carne
A	a	SPS00	a
el	el	DA0MS0	el
tavlero	tablero	NCMS000	tablero
toda	toda	DI0FS0	todo
huna	una	DI0FS0	uno
semana	semana	NCFS000	semana
entera	entera	AQ0FS0	entero
asta	hasta	SPS00	hasta
que	que	CS	que
se	se	P00CN000	se
coronpe	corrompe	VMIP3S0	corromper
y	y	CC	y
darla	darla	VMN0000+PP3FSA00	dar+lo
coronpida	corrompida	VMP00SF	corromper
	.	Fp	.
no	No	RN	no
matan	matan	VMIP3P0	matar
otra	otra	PI0FS000	otro
,	,	Fc	,
tanto	tanto	RC	tanto
que	que	CS	que
los	los	DA0MP0	el
enfermos	enfermos	NCMP000	enfermo
y	y	CC	y
otros	otros	DI0MP0	otro
muchos	muchos	PI0MP000	mucho
se	se	P00CN000	se
van	van	VMIP3P0	ir
fuera	fuera	RG	fuera
del	del	SPS00+DA0MS0	de+el
Lugar	lugar	NCMS000	lugar
por	por	SPS00	por
ella	ella	PP3FS000	él
y	y	CC	y
muchas	muchas	DI0FP0	mucho
vezes	veces	NCFP000	vez
se	se	P00CN000	se
mantienen	mantienen	VMIP3P0	mantener
de	de	SPS00	de
viernes	viernes	NCMN000	viernes
por	por	SPS00	por
no	no	RN	no
tener	tener	VMN0000	tener
comodidad	comodidad	NCFS000	comodidad
para	para	SPS00	para
traerla	traerla	VMN0000+PP3FSA00	traer+lo
;	.	Fp	.
y	Y	CC	y
aunque	aunque	CS	aunque
el	el	DA0MS0	el
puevlo	pueblo	NCMS000	pueblo
clama	clama	VMIP3S0	clamar
	,	Fc	,
se	se	P00CN000	se
dan	dan	VMIP3P0	dar
por	por	SPS00	por
desentendidos	desentendidos	NCMP000	desentendido
y	y	CC	y
sigen	siguen	VMIP3P0	seguir
su	su	DP3CS0	su
tema	tema	NCMS000	tema
y	y	CC	y
el	el	DA0MS0	el
Lugar	lugar	NCMS000	lugar
lo	lo	PP3CNA00	lo
purga	purga	VMIP3S0	purgar
;	.	Fp	.
por	Por	SPS00	por
cuya	cuya	PU0FS000	cuyo
razon	razón	NCFS000	razón
Le	le	PP3CSD00	le
suplico	suplico	VMIP1S0	suplicar
se	se	P00CN000	se
aparte	aparte	RG	aparte
de	de	SPS00	de
su	su	DP3CS0	su
postura	postura	NCFS000	postura
y	y	CC	y
desista	desista	VMSP0S0	desistir
de	de	SPS00	de
la	la	DA0FS0	el
mucha	mucha	DI0FS0	mucho
razon	razón	NCFS000	razón
que	que	PR0CN000	que
le	le	PP3CSD00	le
Asiste	asiste	VMIP3S0	asistir
y	y	CC	y
los	los	PP3MPA00	lo
deje	deje	VMSP0S0	dejar
que	que	CS	que
Coran	corran	VMSP3P0	correr
con	con	SPS00	con
el	el	DA0MS0	el
fin	fin	NCMS000	fin
tan	tan	RC	tan
depravado	depravado	VMP00SM	depravar
que	que	CS	que
llevan	llevan	VMIP3P0	llevar
;	.	Fp	.
pues	Pues	CS	pues
	,	Fc	,
de	de	SPS00	de
segirlo	seguirlo	VMN0000+PP3MSA00	seguir+lo
vmd	VM	NP00000	VM
	,	Fc	,
le	le	PP3CSD00	le
yran	irán	VMIF3P0	ir
dando	dando	VMG0000	dar
largas	largas	AQ0FP0	largo
y	y	CC	y
poniendo	poniendo	VMG0000	poner
estorvos	estorbos	NCMP000	estorbo
asta	hasta	SPS00	hasta
que	que	CS	que
se	se	P00CN000	se
pase	pase	VMSP0S0	pasar
el	el	DA0MS0	el
tienpo	tiempo	NCMS000	tiempo
y	y	CC	y
se	se	P00CN000	se
coman	coman	VMSP3P0	comer
las	las	DA0FP0	el
yervas	yerbas	NCFP000	yerba
	.	Fp	.
y	Y	CC	y
despues	después	RG	después
Le	le	PP3CSD00	le
admitiran	admitirán	VMIF3P0	admitir
con	con	SPS00	con
perdida	pérdida	NCFS000	pérdida
de	de	SPS00	de
vmd	VM	NP00000	VM
lo	lo	DA0NS0	el
que	que	PR0CN000	que
nunca	nunca	RN	nunca
le	le	PP3CSD00	le
tendra	tendrá	VMIF3S0	tener
ni	ni	CC	ni
ara	hará	VMIF3S0	hacer
vuen	buen	AQ0MS0	bueno
paladar	paladar	NCMS000	paladar
	.	Fp	.
y	Y	CC	y
tanvien	también	RG	también
porque	porque	CS	porque
an	han	VMIP3P0	haber
de	de	SPS00	de
mortificarlo	mortificarlo	VMN0000+PP3MSA00	mortificar+lo
en	en	SPS00	en
su	su	DP3CS0	su
ganado	ganado	NCMS000	ganado
.	.	Fp	.
esto	Esto	PD0NN000	esto
le	le	PP3CSD00	le
suplico	suplico	VMIP1S0	suplicar
como	como	CS	como
quien	quien	PR0CS000	quien
desea	desea	VMIP3S0	desear
la	la	DA0FS0	el
paz	paz	NCFS000	paz
;	,	Fc	,
Aunque	aunque	CS	aunque
es	es	VSIP3S0	ser
en	en	SPS00	en
perjucio	perjucio	NCMS000	perjucio
de	de	SPS00	de
los	los	DA0MP0	el
povres	pobres	NCCP000	pobre
;	.	Fp	.
Ds	Dios	NP00000	dios
guarde	guarde	VMSP0S0	guardar
a	a	SPS00	a
Vmd	VM	NP00000	VM
los	los	DA0MP0	el
años	años	NCMP000	año
de	de	SPS00	de
mi	mi	DP1CSS	mi
deseo	deseo	NCMS000	deseo
	.	Fp	.
Millana	Millana	NP00000	millana
	,	Fc	,
y	y	CC	y
otuvre	octubre	NCMS000	octubre
8	8	Z	8
de	de	SPS00	de
1755	1755	Z	1755
as	años	NCMP000	año
	.	Fp	.
Servidor	Servidor	NCMS000	servidor
de	de	SPS00	de
Vm	VM	NP00000	VM
	,	Fc	,
