Exmo	Excelentísimo	AQSMS0	excelente
señor	señor	NP00000	señor
	.	Fp	.
Una	Una	DI0FS0	uno
persona	persona	NCFS000	persona
afecta	afecta	AQ0FSP	afecto
a	a	SPS00	a
V	vuestra	DP2FSP	vuestro
E	excelencia	NP00000	excelencia
que	que	CS	que
	,	Fc	,
por	por	SPS00	por
razon	razón	NCFS000	razón
de	de	SPS00	de
su	su	DP3CS0	su
ministerio	ministerio	NCMS000	ministerio
Pastoral	pastoral	AQ0CS0	pastoral
	,	Fc	,
no	no	RN	no
puede	puede	VMIP3S0	poder
ni	ni	CC	ni
debe	debe	VMIP3S0	deber
mirar	mirar	VMN0000	mirar
con	con	SPS00	con
indiferencia	indiferencia	NCFS000	indiferencia
los	los	DA0MP0	el
robos	robos	NCMP000	robo
y	y	CC	y
ultrajes	ultrajes	NCMP000	ultraje
que	que	PR0CN000	que
empiezan	empiezan	VMIP3P0	empezar
a	a	SPS00	a
sufrir	sufrir	VMN0000	sufrir
los	los	DA0MP0	el
vasallos	vasallos	NCMP000	vasallo
de	de	SPS00	de
V	vuestra	DP2FSP	vuestro
E	excelencia	NP00000	excelencia
de	de	SPS00	de
esta	esta	DD0FS0	este
jurisdon	jurisdicción	NCFS000	jurisdicción
de	de	SPS00	de
Palacios	Palacios	NP00000	palacios
,	,	Fc	,
con	con	SPS00	con
el	el	DA0MS0	el
gobierno	gobierno	NCMS000	gobierno
del	del	SPS00+DA0MS0	de+el
nuebo	nuevo	AQ0MS0	nuevo
Sr	señor	NP00000	señor
Alcde	alcalde	NCMS000	alcalde
mayor	mayor	AQ0CS0	mayor
y	y	CC	y
su	su	DP3CS0	su
lacarillo	lazarillo	NCMS000	lazarillo
o	o	CC	o
criado	criado	NCMS000	criado
Dn	don	NP00000	don
Rafael	Rafael	NP00000	rafael
Gomez	Gómez	NP00000	gómez
Pozo	Pozo	NP00000	pozo
;	.	Fp	.
Pues	Pues	CS	pues
es	es	VSIP3S0	ser
digno	digno	AQ0MS0	digno
de	de	SPS00	de
que	que	CS	que
sepa	sepa	VMSP0S0	saber
V	vuestra	DP2FSP	vuestro
E	excelencia	NCFS000	excelencia
que	que	PR0CN000	que
intentan	intentan	VMIP3P0	intentar
uno	uno	Z	1
y	y	CC	y
otro	otro	PI0MS000	otro
hacerse	hacerse	VMN0000+P00CN000	hacer+se
mui	muy	RQ	muy
ricos	ricos	NP00000	rico
a	a	SPS00	a
costa	costa	NCFS000	costa
de	de	SPS00	de
los	los	DA0MP0	el
pobres	pobres	NCCP000	pobre
,	.	Fp	.
diganlo	Díganlo	VMSP3P0+PP3CNA00	decir+lo
unos	unos	PI0MP000	uno
de	de	SPS00	de
Tabuyo	Tabuyo	NP00000	tabuyo
y	y	CC	y
otros	otros	PI0MP000	otro
de	de	SPS00	de
Boisan	Boisán	NP00000	boisán
	,	Fc	,
que	que	CS	que
les	les	PP3CPD00	le
han	han	VAIP3P0	haber
quitado	quitado	VMP0000	quitar
en	en	SPS00	en
unas	unas	DI0FP0	uno
causas	causas	NCFP000	causa
los	los	DA0MP0	el
quartos	cuartos	NCMP000	cuarto
con	con	SPS00	con
el	el	DA0MS0	el
mayor	mayor	AQ0CS0	mayor
desuello	desuello	NCMS000	desuello
.	.	Fp	.
A	A	SPS00	a
un	un	DI0MS0	uno
pobre	pobre	AQ0CS0	pobre
aceitero	aceitero	NCMS000	aceitero
por	por	SPS00	por
una	una	DI0FS0	uno
patarata	patarata	NCFS000	patarata
le	le	PP3CSD00	le
multo	multó	VMIS3S0	multar
y	y	CC	y
puso	puso	VMIS3S0	poner
preso	preso	AQ0MS0	preso
.	.	Fp	.
A	A	SPS00	a
la	la	DA0FS0	el
tabernera	tabernera	NCFS000	tabernero
ya	ya	RG	ya
la	la	PP3FSA00	lo
ha	ha	VAIP3S0	haber
multado	multado	VMP0000	multar
dos	dos	Z	2
vezes	veces	NCFP000	vez
.	.	Fp	.
Al	Al	SPS00+DA0MS0	a+el
pobre	pobre	AQ0CS0	pobre
cirujano	cirujano	NCCS000	cirujano
de	de	SPS00	de
la	la	DA0FS0	el
villa	villa	NCFS000	villa
le	le	PP3CSD00	le
tira	tira	VMIP3S0	tirar
por	por	SPS00	por
favorecer	favorecer	VMN0000	favorecer
a	a	SPS00	a
otro	otro	PI0MS000	otro
	,	Fc	,
que	que	CS	que
a	ha	VMIP3S0	haber
de	de	SPS00	de
acabar	acabar	VMN0000	acabar
con	con	SPS00	con
el	él	PP3MS000	él
.	.	Fp	.
El	El	DA0MS0	el
otro	otro	DI0MS0	otro
dia	día	NCMS000	día
alboroto	alborotó	VMIS3S0	alborotar
una	una	DI0FS0	uno
cofradia	cofradía	NCFS000	cofradía
que	que	CS	que
se	se	P00CN000	se
junto	juntó	VMIS3S0	juntar
para	para	SPS00	para
presentar	presentar	VMN0000	presentar
una	una	DI0FS0	uno
capellania	capellanía	NCFS000	capellanía
	;	Fx	;
y	y	CC	y
parece	parece	VMIP3S0	parecer
que	que	CS	que
quiere	quiere	VMIP3S0	querer
se	se	P00CN000	se
le	le	PP3CSD00	le
de	dé	VMSP0S0	dar
por	por	SPS00	por
fuerza	fuerza	NCFS000	fuerza
a	a	SPS00	a
un	un	DI0MS0	uno
ciruelo	ciruelo	NCMS000	ciruelo
y	y	CC	y
dejar	dejar	VMN0000	dejar
a	a	SPS00	a
los	los	DA0MP0	el
vecinos	vecinos	NCMP000	vecino
que	que	PR0CN000	que
tienen	tienen	VMIP3P0	tener
hijos	hijos	NCMP000	hijo
en	en	SPS00	en
blanco	blanco	NCMS000	blanco
.	.	Fp	.
Dias	Días	NCMP000	día
pasados	pasados	VMP00PM	pasar
tubo	tuvo	VMIS3S0	tener
un	un	DI0MS0	uno
fandango	fandango	NCMS000	fandango
en	en	SPS00	en
la	la	DA0FS0	el
casa	casa	NCFS000	casa
de	de	SPS00	de
V	vuestra	DP2FSP	vuestro
E	excelencia	NP00000	excelencia
y	y	CC	y
tubo	tuvo	VMIS3S0	tener
a	a	SPS00	a
las	las	DA0FP0	el
hijas	hijas	NCFP000	hijo
de	de	SPS00	de
salgado	Salgado	NP00000	salgado
	,	Fc	,
a	a	SPS00	a
la	la	DA0FS0	el
familia	familia	NCFS000	familia
de	de	SPS00	de
Castañon	Castañón	NP00000	castañón
y	y	CC	y
a	a	SPS00	a
la	la	DA0FS0	el
de	de	SPS00	de
D	de	SPS00	de
Antonio	Antonio	NP00000	antonio
Mario	Mario	NP00000	mario
,	,	Fc	,
y	y	CC	y
duro	duró	VMIS3S0	durar
asta	hasta	SPS00	hasta
mui	muy	RQ	muy
tarde	tarde	RG	tarde
,	.	Fp	.
es	Es	VSIP3S0	ser
mui	muy	RQ	muy
amigo	amigo	NP00000	amigo
del	del	SPS00+DA0MS0	de+el
Sr	señor	NP00000	señor
Castañon	Castañón	NP00000	castañón
y	y	CC	y
se	se	P00CN000	se
tratan	tratan	VMIP3P0	tratar
.	.	Fp	.
A	A	SPS00	a
los	los	DA0MP0	el
forasteros	forasteros	NCMP000	forastero
dicen	dicen	VMIP3P0	decir
y	y	CC	y
se	se	P00CN000	se
quejan	quejan	VMIP3P0	quejar
que	que	CS	que
los	los	PP3MPA00	lo
despacha	despacha	VMIP3S0	despachar
tarde	tarde	RG	tarde
y	y	CC	y
que	que	CS	que
duerme	duerme	VMIP3S0	dormir
mucho	mucho	RQ	mucho
.	.	Fp	.
Los	Los	DA0MP0	el
montes	montes	NCMP000	monte
de	de	SPS00	de
V	vuestra	DP2FSP	vuestro
E	excelencia	NP00000	excelencia
es	es	VSIP3S0	ser
mui	muy	RQ	muy
regular	regular	AQ0CS0	regular
queden	queden	VMSP3P0	quedar
bien	bien	RG	bien
limpios	limpios	NCMP000	limpio
	,	Fc	,
pues	pues	CS	pues
en	en	SPS00	en
poco	poco	DI0MS0	poco
tiempo	tiempo	NCMS000	tiempo
ya	ya	RG	ya
ha	ha	VAIP3S0	haber
ido	ido	VMP0000	ir
dos	dos	Z	2
veces	veces	NCFP000	vez
por	por	SPS00	por
leña	leña	NCFS000	leña
,	,	Fc	,
y	y	CC	y
