Mui	Muy	RQ	muy
Señor	señor	NP00000	señor
mio	mío	DP1MSS	mío
	.	Fp	.
me	Me	PP1CS000	me
alegrare	alegraré	VMIF1S0	alegrar
el	el	DA0MS0	el
q	que	CS	que
Vmd	VM	NP00000	VM
goce	goce	VMSP0S0	gozar
de	de	SPS00	de
cabal	cabal	AQ0CS0	cabal
salud	salud	NCFS000	salud
en	en	SPS00	en
conpañia	compañía	NCFS000	compañía
de	de	SPS00	de
tu	tu	DP2CSS	tu
esposa	esposa	NCFS000	esposo
y	y	CC	y
demas	demás	RG	demás
familia	familia	NCFS000	familia
	.	Fp	.
señor	Señor	NP00000	señor
mio	mío	DP1MSS	mío
	,	Fc	,
me	me	PP1CS000	me
ara	hará	VMIF3S0	hacer
el	el	DA0MS0	el
fabor	favor	NCMS000	favor
de	de	SPS00	de
entregar	entregar	VMN0000	entregar
ese	ese	DD0MS0	ese
chalequito	chalequito	NCMS000	chalequito
y	y	CC	y
la	la	DA0FS0	el
carta	carta	NCFS000	carta
q	que	PR0CN000	que
ba	va	VMIP3S0	ir
entuesta	entuesta	X	x
,	.	Fp	.
y	Y	CC	y
ai	ahí	RG	ahí
le	le	PP3CSD00	le
remito	remito	VMIP1S0	remitir
a	a	SPS00	a
Vmd	VM	NP00000	VM
la	la	DA0FS0	el
tornaguia	tornaguía	NCFS000	tornaguía
,	.	Fp	.
y	Y	CC	y
y	ya	RG	ya
aparecieron	aparecieron	VMIS3P0	aparecer
las	las	DA0FP0	el
fes	fes	NCFP000	fe
de	de	SPS00	de
baustismo	baustismo	NCMS000	baustismo
,	.	Fp	.
y	Y	CC	y
dara	dará	VMIF3S0	dar
usted	usted	PP2CS000	usted
ms	muchas	DI0FP0	mucho
ms	memorias	NCFP000	memoria
a	a	SPS00	a
el	el	DA0MS0	el
Sr	señor	NP00000	señor
fernando	Fernando	NP00000	fernando
i	y	CC	y
la	la	DA0FS0	el
señora	señora	NP00000	señor
mariana	Mariana	NP00000	mariana
y	y	CC	y
a	a	SPS00	a
el	el	DA0MS0	el
Padre	padre	NCMS000	padre
de	de	SPS00	de
las	las	DA0FP0	el
canoas	canoas	NCFP000	canoa
y	y	CC	y
a	a	SPS00	a
la	la	DA0FS0	el
maxa	maja	NCFS000	majo
y	y	CC	y
sus	sus	DP3CP0	su
maxos	majos	NCMP000	majo
y	y	CC	y
a	a	SPS00	a
la	la	DA0FS0	el
ermana	hermana	NCFS000	hermano
del	del	SPS00+DA0MS0	de+el
amo	amo	NCMS000	amo
y	y	CC	y
a	a	SPS00	a
el	el	DA0MS0	el
Sr	señor	NP00000	señor
Dn	don	NP00000	don
manuel	Manuel	NP00000	manuel
ramires	Ramírez	NP00000	ramírez
,	.	Fp	.
y	Y	CC	y
q	que	CS	que
	,	Fc	,
si	si	CS	si
faltan	faltan	VMIP3P0	faltar
alla	allá	RG	allá
algunas	algunas	DI0FP0	alguno
purgas	pulgas	NCFP000	pulga
y	y	CC	y
chinches	chinches	NCFP000	chinche
y	y	CC	y
moscas	moscas	NCFP000	mosca
	,	Fc	,
por	por	SPS00	por
aca	acá	RG	acá
ai	hay	VMIP3S0	haber
bastantes	bastantes	DI0CP0	bastante
,	.	Fp	.
y	Y	CC	y
q	que	CS	que
si	si	CS	si
se	se	P00CN000	se
a	ha	VAIP3S0	haber
ido	ido	VMP0000	ir
frasquito	Frasquito	NP00000	frasquito
o	o	CC	o
no	no	RN	no
q	que	CS	que
me	me	PP1CS000	me
abisen	avisen	VMSP3P0	avisar
,	.	Fp	.
y	Y	CC	y
el	el	DA0MS0	el
coreo	correo	NCMS000	correo
pasado	pasado	VMP00SM	pasar
escrebi	escribí	VMIS1S0	escribir
,	.	Fp	.
y	Y	CC	y
con	con	SPS00	con
esto	esto	PD0NN000	esto
no	no	RN	no
canso	canso	VMIP1S0	cansar
mas	más	RC	más
a	a	SPS00	a
Vmd	VM	NP00000	VM
	.	Fp	.
Ds	Dios	NP00000	dios
gde	guarde	VMSP0S0	guardar
a	a	SPS00	a
Vmd	VM	NP00000	VM
ms	muchos	DI0MP0	mucho
as	años	NCMP000	año
	.	Fp	.
Cadiz	Cádiz	NP00000	cádiz
	,	Fc	,
dia	día	NCMS000	día
22	22	Z	22
de	de	SPS00	de
abril	abril	NCMS000	abril
de	de	SPS00	de
1754	1754	Z	1754
as	años	NCMP000	año
	.	Fp	.
Salbador	Salvador	NP00000	salvador
de	de	SPS00	de
barrionuebo	Barrionuevo	NP00000	barrionuevo
A	A	SPS00	a
don	don	NP00000	don
Fernando	Fernando	NP00000	fernando
de	de	SPS00	de
campo	Campo	NP00000	campo
	.	Fp	.
