Muy	Muy	RQ	muy
sr	señor	NP00000	señor
mio	mío	DP1MSS	mío
:	.	Fp	.
participo	Participo	VMIP1S0	participar
a	a	SPS00	a
VS	VSa	NP00000	VSa
como	como	CS	como
el	el	DA0MS0	el
hombre	hombre	NCMS000	hombre
que	que	PR0CN000	que
me	me	PP1CS000	me
informo	informó	VMIS3S0	informar
cerca	cerca	RG	cerca
de	de	SPS00	de
los	los	DA0MP0	el
Padres	padres	NCMP000	padre
de	de	SPS00	de
la	la	DA0FS0	el
Niña	niña	NCFS000	niño
Ynes	Inés	NP00000	inés
exposita	expósita	NCFS000	expósito
me	me	PP1CS000	me
informo	informó	VMIS3S0	informar
malamente	malamente	RG	malamente
;	,	Fc	,
pues	pues	CS	pues
ha	ha	VAIP3S0	haber
averiguado	averiguado	VMP0000	averiguar
ser	ser	VSN0000	ser
falso	falso	RG	falso
lo	lo	DA0NS0	el
que	que	PR0CN000	que
tenia	tenía	VMII0S0	tener
por	por	SPS00	por
cierto	cierto	AQ0MS0	cierto
,	.	Fp	.
y	Y	CC	y
assi	así	RG	así
solo	sólo	RG	sólo
resulta	resulta	VMIP3S0	resultar
que	que	CS	que
se	se	P00CN000	se
esparcio	esparció	VMIS3S0	esparcir
una	una	DI0FS0	uno
voz	voz	NCFS000	voz
que	que	CS	que
eran	eran	VSII3P0	ser
los	los	DA0MP0	el
Padres	padres	NCMP000	padre
expresados	expresados	NCMP000	expresado
;	,	Fc	,
pues	pues	CS	pues
dicho	dicho	VMP00SM	decir
Joan	Joan	NP00000	joan
Ventura	Ventura	NP00000	ventura
vino	vino	VMIS3S0	venir
muchas	muchas	DI0FP0	mucho
vezes	veces	NCFP000	vez
a	a	SPS00	a
ver	ver	VMN0000	ver
la	la	DA0FS0	el
dicha	dicha	VMP00SF	decir
Niña	niña	NCFS000	niño
;	.	Fp	.
y	Y	CC	y
la	la	DA0FS0	el
dicha	dicha	VMP00SF	decir
Eularia	Eularia	NP00000	eularia
Mones	Mones	NP00000	mones
(	(	Fba	(
dicen	dicen	VMIP3P0	decir
)	)	Fbt	)
aborrecio	aborreció	VMIS3S0	aborrecer
a	a	SPS00	a
su	su	DP3CS0	su
marido	marido	NCMS000	marido
y	y	CC	y
criaturas	criaturas	NCFP000	criatura
por	por	SPS00	por
dicho	dicho	VMP00SM	decir
Ventura	Ventura	NP00000	ventura
y	y	CC	y
sus	sus	DP3CP0	su
criaturas	criaturas	NCFP000	criatura
.	.	Fp	.
Que	Que	CS	que
es	es	VSIP3S0	ser
quanto	cuanto	PA000000	cuanto
puedo	puedo	VMIP1S0	poder
informar	informar	VMN0000	informar
.	.	Fp	.
Dios	Dios	NP00000	dios
ge	guarde	VMSP0S0	guardar
ms	muchos	DI0MP0	mucho
as	años	NCMP000	año
su	su	DP3CS0	su
vida	vida	NCFS000	vida
	.	Fp	.
Viladecans	Viladecans	NP00000	viladecans
	,	Fc	,
24	24	Z	24
enero	enero	NCMS000	enero
d	de	SPS00	de
1786	1786	Z	1786
	.	Fp	.
B	Besa	VMIP3S0	besar
L	la	DA0FS0	el
m	mano	NCFS000	mano
d	de	SPS00	de
VS	VSa	NP00000	VSa
su	su	DP3CS0	su
mas	más	RC	más
atento	atento	AQ0MS0	atento
serdor	servidor	NCMS000	servidor
y	y	CC	y
capallan	capellán	NCMS000	capellán
	,	Fc	,
Jayme	Jaime	NP00000	jaime
Monaña	Monaña	NP00000	monan
	,	Fc	,
vicario	vicario	NCMS000	vicario
curado	curado	VMP00SM	curar
d	de	SPS00	de
Viladecans	Viladecans	NP00000	viladecans
Sr	Señor	NP00000	señor
Dr	doctor	NP00000	doctor
Dn	don	NP00000	don
Agustin	Agustín	NP00000	agustín
de	de	SPS00	de
Almarza	Almarza	NP00000	almarza
