Mi	Mi	DP1CSS	mi
querida	querida	VMP00SF	querer
Pepa	Pepa	NP00000	pepa
:	,	Fc	,
tengo	tengo	VMIP1S0	tener
noticia	noticia	NCFS000	noticia
que	que	CS	que
se	se	P00CN000	se
ha	ha	VAIP3S0	haber
ido	ido	VMP0000	ir
la	la	DA0FS0	el
chica	chica	NCFS000	chico
,	,	Fc	,
por	por	SPS00	por
cuya	cuya	PU0FS000	cuyo
causa	causa	NCFS000	causa
estas	estás	VMIP2S0	estar
âpesadumbrada	apesadumbrada	VMP00SF	apesadumbrar
,	.	Fp	.
pues	Pues	CS	pues
te	te	PP2CS000	te
digo	digo	VMIP1S0	decir
que	que	CS	que
eres	eres	VSIP2S0	ser
una	una	DI0FS0	uno
tonta	tonta	AQ0FS0	tonto
porque	porque	CS	porque
te	te	PP2CS000	te
âpesadumbras	apesadumbras	VMIP2S0	apesadumbrar
de	de	SPS00	de
poco	poco	RQ	poco
.	.	Fp	.
Lo	Lo	DA0NS0	el
q	que	PR0CN000	que
sentirè	sentiré	VMIF1S0	sentir
se	se	P00CN000	se
aya	haya	VASP0S0	haber
llebado	llevado	VMP0000	llevar
las	las	DA0FP0	el
cosillas	cosillas	NCFP00D	cosa
q	que	CS	que
la	la	PP3FSA00	lo
has	has	VAIP2S0	haber
dado	dado	VMP0000	dar
	,	Fc	,
q	que	CS	que
lo	lo	DA0NS0	el
demas	demás	NCMS000	demás
es	es	VSIP3S0	ser
una	una	DI0FS0	uno
friolera	friolera	AQ0FS0	friolero
.	.	Fp	.
Porq	Porque	CS	porque
pudieras	pudieras	VMSI2S0	poder
sentirlo	sentirlo	VMN0000+PP3CNA00	sentir+lo
era	era	VSII0S0	ser
por	por	SPS00	por
mi	mí	PP1CSO00	mí
	,	Fc	,
pues	pues	CS	pues
q	que	CS	que
yo	yo	PP1CSN00	yo
la	la	DA0FS0	el
traxe	traje	NCMS000	traje
,	,	Fc	,
pero	pero	CC	pero
si	si	CS	si
hasta	hasta	SPS00	hasta
âora	ahora	RG	ahora
no	no	RN	no
lo	lo	PP3CNA00	lo
he	he	VAIP1S0	haber
dicho	dicho	VMP0000	decir
digo	digo	VMIP1S0	decir
âora	ahora	RG	ahora
que	que	CS	que
me	me	PP1CS000	me
alegro	alegro	VMIP1S0	alegrar
q	que	CS	que
se	se	P00CN000	se
aya	haya	VASP0S0	haber
ido	ido	VMP0000	ir
	,	Fc	,
porque	porque	CS	porque
era	era	VSII0S0	ser
mui	muy	RQ	muy
Dama	dama	NCFS000	dama
y	y	CC	y
mas	más	RC	más
estaba	estaba	VMII0S0	estar
