Por	Por	SPS00	por
lo	lo	DA0NS0	el
que	que	PR0CN000	que
e	he	VAIP1S0	haber
bisto	visto	VMP0000	ver
Y	y	CC	y
escrito	escrito	NCMS000	escrito
	,	Fc	,
saco	saco	VMIP1S0	sacar
la	la	DA0FS0	el
consequencia	consecuencia	NCFS000	consecuencia
de	de	SPS00	de
que	que	CS	que
quien	quien	PR0CS000	quien
a	ha	VAIP3S0	haber
sido	sido	VSP0000	ser
traidor	traidor	AQ0MS0	traidor
a	a	SPS00	a
su	su	DP3CS0	su
Dios	Dios	NP00000	dios
y	y	CC	y
a	a	SPS00	a
su	su	DP3CS0	su
Rey	rey	NCMS000	rey
Lo	lo	PP3CNA00	lo
sera	será	VSIF3S0	ser
para	para	SPS00	para
conmigo	conmigo	SPS00+PP1CSO00	con+mí
Y	y	CC	y
todos	todos	DI0MP0	todo
los	los	DA0MP0	el
demas	demás	NCMS000	demás
que	que	CS	que
seamos	seamos	VSSP1P0	ser
afectos	afectos	NCMP000	afecto
a	a	SPS00	a
el	el	DA0MS0	el
Rey	rey	NCMS000	rey
faltando	faltando	VMG0000	faltar
a	a	SPS00	a
la	la	DA0FS0	el
buena	buena	AQ0FS0	bueno
ley	ley	NCFS000	ley
de	de	SPS00	de
Caballero	caballero	NCMS000	caballero
	,	Fc	,
como	como	CS	como
su	su	DP3CS0	su
yja	hija	NCFS000	hijo
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
escribia	escribía	VMII0S0	escribir
y	y	CC	y
aconsejaba	aconsejaba	VMII0S0	aconsejar
como	como	CS	como
buena	buena	AQ0FS0	bueno
cristiana	cristiana	NCFS000	cristiano
Y	y	CC	y
afecta	afecta	AQ0FSP	afecto
a	a	SPS00	a
el	el	DA0MS0	el
Rey	rey	NCMS000	rey
,	.	Fp	.
Y	Y	CC	y
pudiera	pudiera	VMSI0S0	poder
escusar	excusar	VMN0000	excusar
escrebir	escribir	VMN0000	escribir
papeles	papeles	NCMP000	papel
desbergonzados	desvergonzados	NCMP000	desvergonzado
a	a	SPS00	a
Antonio	Antonio	NP00000	antonio
mojica	Mojica	NP00000	mojica
	,	Fc	,
que	que	CS	que
	,	Fc	,
aunque	aunque	CS	aunque
no	no	RN	no
me	me	PP1CS000	me
los	los	PP3MPA00	lo
a	ha	VAIP3S0	haber
mostrado	mostrado	VMP0000	mostrar
	,	Fc	,
me	me	PP1CS000	me
diçe	dice	VMIP3S0	decir
son	son	VSIP3P0	ser
tan	tan	RC	tan
desbergonçados	desvergonzados	NCMP000	desvergonzado
como	como	CS	como
quien	quien	PR0CS000	quien
los	los	PP3MPA00	lo
escribe	escribe	VMIP3S0	escribir
	.	Fp	.
Y	Y	CC	y
no	no	RN	no
se	sé	VMIP1S0	saber
como	cómo	PA000000	cómo
no	no	RN	no
se	se	P00CN000	se
desengaña	desengaña	VMIP3S0	desengañar
	,	Fc	,
pues	pues	CS	pues
bibe	vive	VMIP3S0	vivir
Y	y	CC	y
bibira	vivirá	VMIF3S0	vivir
Phelipe	Felipe	NP00000	felipe
quinto	V	AO0MS0	quinto
	.	Fp	.
y	Y	CC	y
aunque	aunque	CS	aunque
aora	ahora	RG	ahora
me	me	PP1CS000	me
allo	hallo	VMIP1S0	hallar
aqui	aquí	RG	aquí
	,	Fc	,
espero	espero	VMIP1S0	esperar
en	en	SPS00	en
Dios	Dios	NP00000	dios
Y	y	CC	y
en	en	SPS00	en
el	el	DA0MS0	el
Rey	rey	NCMS000	rey
Y	y	CC	y
en	en	SPS00	en
el	el	DA0MS0	el
sr	señor	NP00000	señor
Presidente	presidente	NCMS000	presidente
e	he	VMIP1S0	haber
de	de	SPS00	de
salir	salir	VMN0000	salir
a	a	SPS00	a
justificar	justificar	VMN0000	justificar
