Mui	Muy	RQ	muy
Sres	señores	NP00000	señor
mios	míos	DP1MPS	mío
	.	Fp	.
resivo	Recibo	VMIP1S0	recibir
la	la	DA0FS0	el
de	de	SPS00	de
Vmds	VMs	NP00000	VM
y	y	CC	y
en	en	SPS00	en
su	su	DP3CS0	su
respta	respuesta	NCFS000	respuesta
digo	digo	VMIP1S0	decir
que	que	CS	que
ayer	ayer	RG	ayer
tarde	tarde	RG	tarde
entro	entró	VMIS3S0	entrar
el	el	DA0MS0	el
correo	correo	NCMS000	correo
de	de	SPS00	de
esa	ésa	PD0FS000	ese
en	en	SPS00	en
esta	ésta	PD0FS000	este
pr	por	SPS00	por
las	las	DA0FP0	el
muchas	muchas	DI0FP0	mucho
aguas	aguas	NCFP000	agua
	.	Fp	.
y	Y	CC	y
pr	por	SPS00	por
mas	más	RC	más
dilijensias	diligencias	NCFP000	diligencia
q	que	PR0CN000	que
se	se	P00CN000	se
an	han	VAIP3P0	haber
hecho	hecho	VMP0000	hacer
no	no	RN	no
se	se	P00CN000	se
an	han	VAIP3P0	haber
podido	podido	VMP0000	poder
encontrar	encontrar	VMN0000	encontrar
letras	letras	NCFP000	letra
pr	por	SPS00	por
tres	tres	Z	3
mil	mil	Z	1000
ps	pesos	NCMP000	peso
	,	Fc	,
q	que	CS	que
es	es	VSIP3S0	ser
lo	lo	DA0NS0	el
q	que	PR0CN000	que
el	el	DA0MS0	el
sr	señor	NP00000	señor
Godard	Godard	NP00000	godard
quiere	quiere	VMIP3S0	querer
remitir	remitir	VMN0000	remitir
	.	Fp	.
si	Si	CS	si
antes	antes	RG	antes
q	que	CS	que
salga	salga	VMSP0S0	salir
el	el	DA0MS0	el
correo	correo	NCMS000	correo
se	se	P00CN000	se
encontraren	encontraren	VMSF3P0	encontrar
	,	Fc	,
las	las	PP3FPA00	lo
remitire	remitiré	VMIF1S0	remitir
adjuntas	adjuntas	AQ0FPP	adjunto
	;	Fx	;
y	y	CC	y
si	si	CS	si
no	no	RN	no
	,	Fc	,
iran	irán	VMIF3P0	ir
el	el	DA0MS0	el
correo	correo	NCMS000	correo
q	que	PR0CN000	que
