Señor	Señor	NP00000	señor
Dn	don	NP00000	don
Juan	Juan	NP00000	juan
Muy	muy	RQ	muy
mio	mío	DP1MSS	mío
	.	Fp	.
por	Por	SPS00	por
Dn	don	NP00000	don
Juan	Juan	NP00000	juan
de	de	SPS00	de
Colinas	Colinas	NP00000	colinas
Recibi	recibí	VMIS1S0	recibir
una	una	DI0FS0	uno
carta	carta	NCFS000	carta
de	de	SPS00	de
VMd	VM	NP00000	VM
en	en	SPS00	en
la	la	DA0FS0	el
ciudad	ciudad	NCFS000	ciudad
de	de	SPS00	de
Astorga	Astorga	NP00000	astorga
en	en	SPS00	en
orden	orden	NCMS000	orden
a	a	SPS00	a
los	los	DA0MP0	el
mrs	maravedís	NCMP000	maravedí
que	que	PR0CN000	que
pide	pide	VMIP3S0	pedir
Dn	don	NP00000	don
Joseph	José	NP00000	josé
Uruela	Uruela	NP00000	uruela
	,	Fc	,
suponiendo	suponiendo	VMG0000	suponer
que	que	CS	que
ante	ante	SPS00	ante
VMd	VM	NP00000	VM
se	se	P00CN000	se
abia	había	VAII0S0	haber
ajustado	ajustado	VMP0000	ajustar
todo	todo	DI0MS0	todo
lo	lo	DA0NS0	el
que	que	PR0CN000	que
al	al	SPS00+DA0MS0	a+el
sobredho	sobredicho	VMP00SM	sobredecir
se	se	P00CN000	se
le	le	PP3CSD00	le
debia	debía	VMII0S0	deber
y	y	CC	y
tenia	tenía	VMII0S0	tener
pedido	pedido	VMP00SM	pedir
en	en	SPS00	en
el	el	DA0MS0	el
despacho	despacho	NCMS000	despacho
que	que	PR0CN000	que
entrego	entregó	VMIS3S0	entregar
a	a	SPS00	a
Caballero	Caballero	NP00000	caballero
	,	Fc	,
que	que	PR0CN000	que
decia	decía	VMII0S0	decir
heran	eran	VSII3P0	ser
nobecientos	novecientos	Z	900
reales	reales	NCMP000	real
	.	Fp	.
pues	Pues	CS	pues
en	en	SPS00	en
la	la	DA0FS0	el
realidad	realidad	NCFS000	realidad
solo	sólo	RG	sólo
debe	debe	VMIP3S0	deber
cobrar	cobrar	VMN0000	cobrar
los	los	DA0MP0	el
quinientos	quinientos	Z	500
que	que	PR0CN000	que
por	por	SPS00	por
los	los	DA0MP0	el
señores	señores	NCMP000	señor
le	le	PP3CSD00	le
esta	está	VMIP3S0	estar
mandado	mandado	VMP00SM	mandar
y	y	CC	y
tasado	tasado	VMP00SM	tasar
y	y	CC	y
los	los	DA0MP0	el
cien	cien	Z	100
reales	reales	NCMP000	real
que	que	PR0CN000	que
VMd	VM	NP00000	VM
dijo	dijo	VMIS3S0	decir
se	se	P00CN000	se
le	le	PP3CSD00	le
deben	deben	VMIP3P0	deber
por	por	SPS00	por
la	la	DA0FS0	el
fianza	fianza	NCFS000	fianza
	,	Fc	,
que	que	PR0CN000	que
rebajados	rebajados	VMP00PM	rebajar
300	300	Z	300
y	y	CC	y
nobenta	noventa	Z	90
que	que	PR0CN000	que
yo	yo	PP1CSN00	yo
le	le	PP3CSD00	le
entregue	entregué	VMIS1S0	entregar
en	en	SPS00	en
Astorga	Astorga	NP00000	astorga
con	con	SPS00	con
mas	más	RC	más
sesenta	sesenta	Z	60
que	que	PR0CN000	que
pago	pagó	VMIS3S0	pagar
Colinas	Colinas	NP00000	colinas
de	de	SPS00	de
camas	camas	NCFP000	cama
y	y	CC	y
cebadas	cebadas	NCFP000	cebada
al	al	SPS00+DA0MS0	a+el
mesonero	mesonero	NCMS000	mesonero
	,	Fc	,
no	no	RN	no
resta	resta	VMIP3S0	restar
debersele	debérsele	VMN0000+P00CN000+PP3CSD00	deber+se+le
mas	más	RC	más
de	de	SPS00	de
ciento	ciento	Z	100
y	y	CC	y
cincuenta	cincuenta	Z	50
	.	Fp	.
y	Y	CC	y
aun	aun	RG	aun
en	en	SPS00	en
estos	éstos	PD0MP000	este
se	se	P00CN000	se
abia	había	VMII0S0	haber
de	de	SPS00	de
proratear	prorratear	VMN0000	prorratear
las	las	DA0FP0	el
costas	costas	NCFP000	costa
que	que	PR0CN000	que
le	le	PP3CSD00	le
correspondian	correspondían	VMII3P0	corresponder
de	de	SPS00	de
aber	haber	VAN0000	haber
benido	venido	VMP0000	venir
a	a	SPS00	a
cobrar	cobrar	VMN0000	cobrar
por	por	SPS00	por
entero	entero	AQ0MS0	entero
teniendo	teniendo	VMG0000	tener
lo	lo	DA0NS0	el
abonado	abonado	VMP00SM	abonar
con	con	SPS00	con
las	las	DA0FP0	el
alajas	alhajas	NCFP000	alhaja
en	en	SPS00	en
su	su	DP3CS0	su
poder	poder	NCMS000	poder
