AVe	Ave	I	ave
maria	María	NP00000	maría
Sor	Señor	NP00000	señor
Don	don	NP00000	don
Juan	Juan	NP00000	juan
Antonio	Antonio	NP00000	antonio
	.	Fp	.
en	En	SPS00	en
la	la	DA0FS0	el
que	que	PR0CN000	que
Vmd	VM	NP00000	VM
escribio	escribió	VMIS3S0	escribir
dias	días	NCMP000	día
pasados	pasados	VMP00PM	pasar
bimos	vimos	VMIS1P0	ver
como	como	CS	como
abia	había	VAII0S0	haber
llegado	llegado	VMP0000	llegar
sin	sin	SPS00	sin
nobedad	novedad	NCFS000	novedad
alguna	alguna	DI0FS0	alguno
i	y	CC	y
que	que	CS	que
se	se	P00CN000	se
mantia	mantenía	VMII0S0	mantener
sin	sin	SPS00	sin
ella	ella	PP3FS000	él
,	,	Fc	,
de	de	SPS00	de
que	que	PR0CN000	que
todos	todos	PI0MP000	todo
nos	nos	PP1CP000	nos
alegramos	alegramos	VMIP1P0	alegrar
mui	muy	RQ	muy
muho	mucho	RQ	mucho
,	;	Fx	;
y	y	CC	y
que	que	CS	que
para	para	SPS00	para
todos	todos	PI0MS000	todo
sera	será	VSIF3S0	ser
de	de	SPS00	de
gran	gran	AQ0CS0	gran
gusto	gusto	NCMS000	gusto
de	de	SPS00	de
que	que	CS	que
al	al	SPS00+DA0MS0	a+el
presente	presente	NCMS000	presente
se	se	P00CN000	se
mantenga	mantenga	VMSP0S0	mantener
de	de	SPS00	de
la	la	DA0FS0	el
misma	misma	AQ0FS0	mismo
suerte	suerte	NCFS000	suerte
y	y	CC	y
que	que	CS	que
fuese	fuese	VSSI0S0	ser
tan	tan	RC	tan
bien	bien	RG	bien
Rezivido	recibido	VMP00SM	recibir
de	de	SPS00	de
todos	todos	DI0MP0	todo
esos	esos	DD0MP0	ese
sugetos	sujetos	NCMP000	sujeto
y	y	CC	y
que	que	CS	que
lo	lo	PP3MSA00	lo
Regalen	regalen	VMSP3P0	regalar
tan	tan	RC	tan
bien	bien	RG	bien
,	.	Fp	.
Dios	Dios	NP00000	dios
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
pague	pague	VMSP0S0	pagar
a	a	SPS00	a
todos	todos	PI0MP000	todo
por	por	SPS00	por
lo	lo	DA0NS0	el
bien	bien	RG	bien
que	que	PR0CN000	que
lo	lo	PP3CNA00	lo
azen	hacen	VMIP3P0	hacer
;	.	Fp	.
por	Por	SPS00	por
haca	acá	RG	acá
no	no	RN	no
ai	hay	VMIP3S0	haber
nobedad	novedad	NCFS000	novedad
ninguna	ninguna	DI0FS0	ninguno
,	,	Fc	,
ni	ni	CC	ni
en	en	SPS00	en
la	la	DA0FS0	el
salud	salud	NCFS000	salud
ni	ni	CC	ni
en	en	SPS00	en
otra	otra	DI0FS0	otro
cosa	cosa	NCFS000	cosa
alguna	alguna	DI0FS0	alguno
,	.	Fp	.
todos	Todos	PI0MP000	todo
Retornan	retornan	VMIP3P0	retornar
sus	sus	DP3CP0	su
cariñosas	cariñosas	AQ0FP0	cariñoso
memorias	memorias	NCFP000	memoria
,	.	Fp	.
De	De	SPS00	de
la	la	DA0FS0	el
espezie	especie	NCFS000	especie
que	que	PR0CN000	que
a	a	SPS00	a
Vmd	VM	NP00000	VM
escribi	escribí	VMIS1S0	escribir
en	en	SPS00	en
la	la	DA0FS0	el
pasada	pasada	VMP00SF	pasar
,	,	Fc	,
no	no	RN	no
se	se	P00CN000	se
a	ha	VAIP3S0	haber
buelto	vuelto	VMP0000	volver
a	a	SPS00	a
dezir	decir	VMN0000	decir
nada	nada	PI0NN00N	nada
,	.	Fp	.
y	Y	CC	y
es	es	VSIP3S0	ser
que	que	CS	que
cada	cada	DI0CN0	cada
uno	uno	PI0MS000	uno
dicuRe	discurre	VMIP3S0	discurrir
como	como	CS	como
se	se	P00CN000	se
le	le	PP3CSD00	le
antoja	antoja	VMIP3S0	antojar
,	.	Fp	.
hair	Ayer	RG	ayer
me	me	PP1CS000	me
dijeron	dijeron	VMIS3P0	decir
que	que	CS	que
Juan	Juan	NP00000	juan
Antonio	Antonio	NP00000	antonio
se	se	P00CN000	se
abia	había	VAII0S0	haber
ido	ido	VMP0000	ir
a	a	SPS00	a
rdenar	ordenar	VMN0000	ordenar
;	.	Fp	.
Ast	Hasta	SPS00	hasta
aqui	aquí	RG	aquí
tenia	tenía	VMII0S0	tener
escrito	escrito	VMP00SM	escribir
quando	cuando	PA000000	cuando
llego	llegó	VMIS3S0	llegar
Juan	Juan	NP00000	juan
Garzia	García	NP00000	garcía
con	con	SPS00	con
la	la	DA0FS0	el
de	de	SPS00	de
Vmd	VM	NP00000	VM
	.	Fp	.
y	Y	CC	y
tubimos	tuvimos	VMIS1P0	tener
grande	grande	AQ0CS0	grande
alegria	alegría	NCFS000	alegría
por	por	SPS00	por
saver	saber	VMN0000	saber
que	que	CS	que
Vmd	VM	NP00000	VM
quedaba	quedaba	VMII0S0	quedar
bueno	bueno	AQ0MS0	bueno
y	y	CC	y
con	con	SPS00	con
algun	algún	DI0MS0	alguno
sentimiento	sentimiento	NCMS000	sentimiento
por	por	SPS00	por
ber	ver	VMN0000	ver
que	que	CS	que
no	no	RN	no
benia	venía	VMII0S0	venir
	,	Fc	,
pues	pues	CS	pues
lo	lo	PP3CNA00	lo
deseamos	deseamos	VMIP1P0	desear
por	por	SPS00	por
oras	horas	NCFP000	hora
todos	todos	PI0MP000	todo
,	.	Fp	.
pero	Pero	CC	pero
por	por	SPS00	por
dia	día	NCMS000	día
mas	más	RC	más
o	o	CC	o
menos	menos	RC	menos
no	no	RN	no
se	se	P00CN000	se
benga	venga	VMSP0S0	venir
asta	hasta	SPS00	hasta
ber	ver	VMN0000	ver
si	si	CSI	si
azen	hacen	VMIP3P0	hacer
con	con	SPS00	con
Vmd	VM	NP00000	VM
algunas	algunas	DI0FP0	alguno
espresiones	expresiones	NCFP000	expresión
de	de	SPS00	de
carino	cariño	NCMS000	cariño
	,	Fc	,
que	que	CS	que
	,	Fc	,
segun	según	SPS00	según
lo	lo	DA0NS0	el
que	que	PR0CN000	que
Vmd	VM	NP00000	VM
me	me	PP1CS000	me
dize	dice	VMIP3S0	decir
	,	Fc	,
no	no	RN	no
dudo	dudo	VMIP1S0	dudar
que	que	CS	que
las	las	PP3FPA00	lo
haran	harán	VMIF3P0	hacer
	,	Fc	,
Reconozidos	reconocidos	VMP00PM	reconocer
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
con	con	SPS00	con
Vmd	VM	NP00000	VM
an	han	VAIP3P0	haber
escrutado	escrutado	VMP0000	escrutar
,	,	Fc	,
que	que	CS	que
Dios	Dios	NP00000	dios
permite	permite	VMIP3S0	permitir
muchas	muchas	DI0FP0	mucho
cosas	cosas	NCFP000	cosa
para	para	SPS00	para
purificar	purificar	VMN0000	purificar
las	las	DA0FP0	el
criaturas	criaturas	NCFP000	criatura
,	.	Fp	.
quiera	Quiera	VMSP0S0	querer
Dios	Dios	NP00000	dios
que	que	CS	que
asi	así	RG	así
sea	sea	VSSP0S0	ser
	,	Fc	,
que	que	CS	que
asi	así	RG	así
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
pedimos	pedimos	VMIP1P0	pedir
a	a	SPS00	a
su	Su	DP3CS0	su
majestad	Majestad	NP00000	majestad
;	.	Fp	.
la	La	DA0FS0	el
carta	carta	NCFS000	carta
se	se	PP3CN000	se
la	la	PP3FSA00	el
he	he	VAIP1S0	haber
leido	leído	VMP0000	leer
a	a	SPS00	a
mi	mi	DP1CSS	mi
