Mui	Muy	RQ	muy
Sres	señores	NP00000	señor
mios	míos	DP1MPS	mío
	.	Fp	.
resivo	Recibo	VMIP1S0	recibir
la	la	DA0FS0	el
de	de	SPS00	de
Vmds	VMs	NP00000	VM
de	de	SPS00	de
9	9	Z	9
del	del	SPS00+DA0MS0	de+el
corrte	corriente	AQ0CS0	corriente
Y	y	CC	y
en	en	SPS00	en
su	su	DP3CS0	su
respuesta	respuesta	NCFS000	respuesta
devo	debo	VMIP1S0	deber
desir	decir	VMN0000	decir
que	que	CS	que
oy	hoy	RG	hoy
se	se	P00CN000	se
a	ha	VAIP3S0	haber
empesado	empezado	VMP0000	empezar
a	a	SPS00	a
proseguir	proseguir	VMN0000	proseguir
en	en	SPS00	en
el	el	DA0MS0	el
reconosimiento	reconocimiento	NCMS000	reconocimiento
de	de	SPS00	de
las	las	DA0FP0	el
Barricas	barricas	NCFP000	barrica
	,	Fc	,
las	las	DA0FP0	el
q	que	PR0CN000	que
quedaran	quedarán	VMIF3P0	quedar
reconosidas	reconocidas	VMP00PF	reconocer
mañana	mañana	RG	mañana
y	y	CC	y
pagados	pagados	VMP00PM	pagar
los	los	DA0MP0	el
dros	derechos	NCMP000	derecho
de	de	SPS00	de
aduana	aduana	NCFS000	aduana
	,	Fc	,
lo	lo	DA0NS0	el
que	que	PR0CN000	que
no	no	RN	no
a	ha	VAIP3S0	haber
sido	sido	VSP0000	ser
posible	posible	AQ0CS0	posible
antes	antes	RG	antes
prque	porque	CS	porque
pa	para	SPS00	para
pagar	pagar	VMN0000	pagar
dros	derechos	NCMP000	derecho
las	las	PP3FPA00	lo
an	han	VMIP3P0	haber
de	de	SPS00	de
ver	ver	VMN0000	ver
todas	todas	DI0FP0	todo
y	y	CC	y
el	el	DA0MS0	el
reconosimto	reconocimiento	NCMS000	reconocimiento
no	no	RN	no
a	ha	VAIP3S0	haber
sido	sido	VSP0000	ser
posible	posible	AQ0CS0	posible
fuese	fuese	VMSI0S0	ir
antes	antes	RG	antes
	.	Fp	.
ba	Va	VMIP3S0	ir
bien	bien	RG	bien
prque	porque	CS	porque
