Mui	Muy	RQ	muy
sor	señor	NP00000	señor
y	y	CC	y
Dueño	dueño	NP00000	dueño
mio	mío	DP1MSS	mío
:	.	Fp	.
Diez	Díez	NP00000	díez
dias	días	NCMP000	día
ha	ha	VMIP3S0	haber
que	que	CS	que
el	el	DA0MS0	el
pobre	pobre	NCCS000	pobre
pacientte	paciente	AQ0CS0	paciente
,	,	Fc	,
Dador	dador	NCMS000	dador
d	de	SPS00	de
estta	está	VMIP3S0	estar
	,	Fc	,
no	no	RN	no
sosiega	sosiega	VMIP3S0	sosegar
de	de	SPS00	de
un	un	DI0MS0	uno
dolor	dolor	NCMS000	dolor
reumatico	reumático	NCMS000	reumático
tan	tan	RC	tan
fuerte	fuerte	AQ0CS0	fuerte
que	que	CS	que
rompe	rompe	VMIP3S0	romper
en	en	SPS00	en
mal	mal	NCMS000	mal
de	de	SPS00	de
corazon	corazón	NCMS000	corazón
2	2	Z	2
o	o	CC	o
3	3	Z	3
vezes	veces	NCFP000	vez
al	al	SPS00+DA0MS0	a+el
dia	día	NCMS000	día
,	.	Fp	.
e	E	CC	y
insttando	instando	VMG0000	instar
por	por	SPS00	por
horas	horas	NCFP000	hora
el	el	DA0MS0	el
remeo	remedio	NCMS000	remedio
y	y	CC	y
su	su	DP3CS0	su
regreso	regreso	NCMS000	regreso
,	,	Fc	,
segun	según	SPS00	según
comprehendera	comprenderá	VMIF3S0	comprender
VS	VSa	NP00000	VSa
de	de	SPS00	de
la	la	DA0FS0	el
Certificacion	certificación	NCFS000	certificación
que	que	PR0CN000	que
lleva	lleva	VMIP3S0	llevar
de	de	SPS00	de
acuerdo	acuerdo	NCMS000	acuerdo
del	del	SPS00+DA0MS0	de+el
Medico	médico	NCMS000	médico
	,	Fc	,
dispuse	dispuse	VMIS1S0	disponer
su	su	DP3CS0	su
marcha	marcha	NCFS000	marcha
,	,	Fc	,
a	a	SPS00	a
cuio	cuyo	PU0MS000	cuyo
fin	fin	NCMS000	fin
no	no	RN	no
pude	pude	VMIS1S0	poder
omitir	omitir	VMN0000	omitir
pedir	pedir	VMN0000	pedir
en	en	SPS00	en
esta	esta	DD0FS0	este
Tesoreria	tesorería	NCFS000	tesorería
de	de	SPS00	de
Rtas	rentas	NCFP000	renta
Provinzs	provinciales	AQ0CP0	provincial
en	en	SPS00	en
estte	este	DD0MS0	este
dia	día	NCMS000	día
ochocienttos	ochocientos	Z	800
rrs	reales	NCMP000	real
Vn	vellón	NCMS000	vellón
paa	para	SPS00	para
el	el	DA0MS0	el
costto	costo	NCMS000	costo
del	del	SPS00+DA0MS0	de+el
Viage	viaje	NCMS000	viaje
y	y	CC	y
demas	demás	NCMS000	demás
causado	causado	VMP0000	causar
	,	Fc	,
en	en	SPS00	en
que	que	CS	que
no	no	RN	no
se	se	P00CN000	se
comprehende	comprende	VMIP3S0	comprender
el	el	DA0MS0	el
dinero	dinero	NCMS000	dinero
que	que	PR0CN000	que
ha	ha	VMIP3S0	haber
de	de	SPS00	de
pagarse	pagarse	VMN0000+P00CN000	pagar+se
al	al	SPS00+DA0MS0	a+el
Prior	prior	NCMS000	prior
de	de	SPS00	de
sn	San	NP00000	san
Juan	Juan	NP00000	juan
de	de	SPS00	de
Dios	Dios	NP00000	dios
,	.	Fp	.
y	Y	CC	y
pasado	pasado	VMP00SM	pasar
el	el	DA0MS0	el
Correo	correo	NCMS000	correo
proximo	próximo	AQ0MS0	próximo
	,	Fc	,
en	en	SPS00	en
que	que	CS	que
aguardo	aguardo	VMIP1S0	aguardar
la	la	DA0FS0	el
Lettra	letra	NCFS000	letra
que	que	PR0CN000	que
pedi	pedí	VMIS1S0	pedir
a	a	SPS00	a
VS	VSa	NP00000	VSa
	,	Fc	,
formare	formaré	VMIF1S0	formar
la	la	DA0FS0	el
Cuentta	cuenta	NCFS000	cuenta
	.	Fp	.
En	En	SPS00	en
todo	todo	DI0MS0	todo
el	el	DA0MS0	el
citado	citado	VMP00SM	citar
tiempo	tiempo	NCMS000	tiempo
no	no	RN	no
se	se	P00CN000	se
ha	ha	VAIP3S0	haber
desnudado	desnudado	VMP0000	desnudar
mi	mi	DP1CSS	mi
Muger	mujer	NCFS000	mujer
y	y	CC	y
familia	familia	NCFS000	familia
	,	Fc	,
como	como	CS	como
lo	lo	PP3CNA00	lo
informara	informará	VMIF3S0	informar
el	el	DA0MS0	el
enfermo	enfermo	NCMS000	enfermo
	,	Fc	,
que	que	CS	que
sabe	sabe	VMIP3S0	saber
no	no	RN	no
se	se	P00CN000	se
ha	ha	VAIP3S0	haber
sosegado	sosegado	VMP0000	sosegar
un	un	DI0MS0	uno
instante	instante	NCMS000	instante
por	por	SPS00	por
esttar	estar	VMN0000	estar
continuamte	continuamente	RG	continuamente
a	a	SPS00	a
su	su	DP3CS0	su
Cabezra	cabecera	NCFS000	cabecera
y	y	CC	y
que	que	CS	que
no	no	RN	no
experimentase	experimentase	VMSI0S0	experimentar
el	el	DA0MS0	el
pobre	pobre	AQ0CS0	pobre
y	y	CC	y
desemparado	desemparado	VMP00SM	desemparar
Caballero	caballero	NCMS000	caballero
faltta	falta	VMIP3S0	faltar
en	en	SPS00	en
cosa	cosa	NCFS000	cosa
alguna	alguna	DI0FS0	alguno
,	.	Fp	.
y	Y	CC	y
mediar	mediar	VMN0000	mediar
VS	VSa	NP00000	VSa
en	en	SPS00	en
estte	este	DD0MS0	este
particular	particular	NCMS000	particular
para	para	SPS00	para
acredittar	acreditar	VMN0000	acreditar
mi	mi	DP1CSS	mi
deseo	deseo	NCMS000	deseo
en	en	SPS00	en
su	su	DP3CS0	su
obsequio	obsequio	NCMS000	obsequio
,	,	Fc	,
a	a	SPS00	a
cuias	cuyas	PU0FP000	cuyo
orns	órdenes	NCMP000	orden
me	me	PP1CS000	me
ofrezco	ofrezco	VMIP1S0	ofrecer
pidiendo	pidiendo	VMG0000	pedir
a	a	SPS00	a
Nro	Nuestro	DP1MSP	nuestro
