Mui	Muy	RQ	muy
Sr	señor	NP00000	señor
mio	mío	DP1MSS	mío
,	.	Fp	.
no	No	RN	no
rrespondi	respondí	VMIS1S0	responder
el	el	DA0MS0	el
Correo	correo	NCMS000	correo
pasado	pasado	VMP00SM	pasar
a	a	SPS00	a
la	la	DA0FS0	el
de	de	SPS00	de
Vmd	VM	NP00000	VM
	,	Fc	,
que	que	PR0CN000	que
rresebi	recibí	VMIS1S0	recibir
no	no	RN	no
de	de	SPS00	de
su	su	DP3CS0	su
puño	puño	NCMS000	puño
,	,	Fc	,
por	por	SPS00	por
la	la	DA0FS0	el
indisposision	indisposición	NCFS000	indisposición
que	que	PR0CN000	que
en	en	SPS00	en
ella	ella	PP3FS000	él
exspresa	expresa	VMIP3S0	expresar
,	.	Fp	.
y	Y	CC	y
io	yo	PP1CSN00	yo
quedo	quedo	VMIP1S0	quedar
Sintiendo	sintiendo	VMG0000	sentir
con	con	SPS00	con
los	los	DA0MP0	el
deseos	deseos	NCMP000	deseo
de	de	SPS00	de
Su	su	DP3CS0	su
mexoria	mejoría	NCFS000	mejoría
,	.	Fp	.
y	Y	CC	y
fue	fue	VSIS3S0	ser
el	el	DA0MS0	el
motibo	motivo	NCMS000	motivo
el	el	DA0MS0	el
aber	haber	VAN0000	haber
llegado	llegado	VMP0000	llegar
a	a	SPS00	a
la	la	DA0FS0	el
Sason	sazón	NCFS000	sazón
mi	mi	DP1CSS	mi
pariente	pariente	NCMS000	pariente
	,	Fc	,
el	el	DA0MS0	el
da-dor	dador	NCMS000	dador
de	de	SPS00	de
esta	ésta	PD0FS000	este
	,	Fc	,
que	que	PR0CN000	que
disqurri	discurrí	VMIS1S0	discurrir
Ubiera	hubiera	VASI0S0	haber
par-tido	partido	VMP0000	partir
incontitnenti	incontinenti	RG	incontinenti
y	y	CC	y
no	no	RN	no
lo	lo	PP3CNA00	lo
hiso	hizo	VMIS3S0	hacer
asta	hasta	SPS00	hasta
el	el	DA0MS0	el
desen-baraso	desembarazo	NCMS000	desembarazo
de	de	SPS00	de
algunas	algunas	DI0FP0	alguno
Ocupaciones	ocupaciones	NCFP000	ocupación
.	.	Fp	.
ha	Ha	VAIP3S0	haber
ente-rado	enterado	VMP0000	enterar
y	y	CC	y
rreintergrado	reintegrado	VMP0000	reintegrar
en	en	SPS00	en
todo	todo	PI0MS000	todo
a	a	SPS00	a
poner-se	ponerse	VMN0000+P00CN000	poner+se
a	a	SPS00	a
la	la	DA0FS0	el
Obediensia	obediencia	NCFS000	obediencia
de	de	SPS00	de
Vmd	VM	NP00000	VM
	,	Fc	,
llevando	llevando	VMG0000	llevar
el	el	DA0MS0	el
ins-trumento	instrumento	NCMS000	instrumento
Y	y	CC	y
en	en	SPS00	en
tres	tres	Z	3
billetes	billetes	NCMP000	billete
Serrados	cerrados	VMP00PM	cerrar
y	y	CC	y
separados	separados	VMP00PM	separar
el	el	DA0MS0	el
rreximen	régimen	NCMS000	régimen
de	de	SPS00	de
la	la	DA0FS0	el
Coloca-sion	colocación	NCFS000	colocación
Y	y	CC	y
arreglamiento	arreglamiento	NCMS000	arreglamiento
de	de	SPS00	de
Onzas	onzas	NCFP000	onza
Y	y	CC	y
alajas	alhajas	NCFP000	alhaja
en	en	SPS00	en
el	el	DA0MS0	el
instrumento	instrumento	NCMS000	instrumento
	,	Fc	,
el	el	DA0MS0	el
que	que	PR0CN000	que
Suplico	suplico	VMIP1S0	suplicar
a	a	SPS00	a
Vmd	VM	NP00000	VM
Se	se	P00CN000	se
practique	practique	VMSP0S0	practicar
exsasta	exacta	RG	exactamente
y	y	CC	y
fielmente	fielmente	RG	fielmente
Sin	sin	SPS00	sin
faltar	faltar	VMN0000	faltar
a	a	SPS00	a
apize	ápice	NCMS000	ápice
alguno	alguno	DI0MS0	alguno
	,	Fc	,
pues	pues	CS	pues
en	en	SPS00	en
ello	ello	PD0NN000	ello
Con-siste	consiste	VMIP3S0	consistir
el	el	DA0MS0	el
asierto	acierto	NCMS000	acierto
de	de	SPS00	de
ntro	nuestro	DP1MSP	nuestro
logro	logro	NCMS000	logro
,	.	Fp	.
y	Y	CC	y
luego	luego	RG	luego
de	de	SPS00	de
Su	su	DP3CS0	su
punto	punto	NCMS000	punto
que	que	CS	que
quede	quede	VMSP0S0	quedar
ejecutado	ejecutado	VMP00SM	ejecutar
Y	y	CC	y
asi-gurado	asegurado	VMP00SM	asegurar
a	a	SPS00	a
satisfacsion	satisfacción	NCFS000	satisfacción
de	de	SPS00	de
Vmd	VM	NP00000	VM
el	el	DA0MS0	el
instru-mente	instrumento	NCMS000	instrumento
Y	y	CC	y
demas	demás	PI0CP000	demás
	,	Fc	,
buelba	vuelva	VMSP0S0	volver
bolando	volando	VMG0000	volar
el	el	DA0MS0	el
portador	portador	NCMS000	portador
para	para	SPS00	para
que	que	CS	que
	,	Fc	,
bista	vista	VMP00SF	ver
Su	su	DP3CS0	su
perfecsion	perfección	NCFS000	perfección
en	en	SPS00	en
prueba	prueba	NCFS000	prueba
numeraria	numeraria	AQ0FS0	numerario
por	por	SPS00	por
el	el	DA0MS0	el
director	director	NCMS000	director
Y	y	CC	y
sa-bido	sabido	VMP00SM	saber
el	el	DA0MS0	el
dia	día	NCMS000	día
determinado	determinado	VMP00SM	determinar
de	de	SPS00	de
la	la	DA0FS0	el
Sema-na	semana	NCFS000	semana
en	en	SPS00	en
que	que	PR0CN000	que
debe	debe	VMIP3S0	deber
Ser	ser	VSN0000	ser
alla	allá	RG	allá
ejequtado	ejecutado	VMP00SM	ejecutar
	,	Fc	,
partira	partirá	VMIF3S0	partir
bolando	volando	VMG0000	volar
y	y	CC	y
en	en	SPS00	en
su	su	DP3CS0	su
Conpañia	compañía	NCFS000	compañía
el	el	DA0MS0	el
mu-chacho	muchacho	NCMS000	muchacho
que	que	PR0CN000	que
traxo	trajo	VMIS3S0	traer
la	la	DA0FS0	el
tierra	tierra	NCFS000	tierra
para	para	SPS00	para
que	que	CS	que
diga	diga	VMSP0S0	decir
el	el	DA0MS0	el
indibidual	individual	AQ0CS0	individual
Sitio	sitio	NCMS000	sitio
y	y	CC	y
tanbien	también	RG	también
Sirba	sirva	VMSP0S0	servir
en	en	SPS00	en
lo	lo	DA0NS0	el
que	que	PR0CN000	que
sea	sea	VSSP0S0	ser
menester	menester	NCMS000	menester
.	.	Fp	.
lo	Lo	DA0NS0	el
demas	demás	NCMS000	demás
dimito	dimito	VMIP1S0	dimitir
y	y	CC	y
pido	pido	VMIP1S0	pedir
a	a	SPS00	a
Dios	Dios	NP00000	dios
me	me	PP1CS000	me
gde	guarde	VMSP0S0	guardar
a	a	SPS00	a
Vmd	VM	NP00000	VM
Como	como	CS	como
le	le	PP3CSD00	le
deseo	deseo	VMIP1S0	desear
	.	Fp	.
Cartaxena	Cartagena	NP00000	cartagena
	,	Fc	,
Y	y	CC	y
nobienbre	noviembre	NCMS000	noviembre
A	a	SPS00	a
9	9	Z	9
de	de	SPS00	de
1727	1727	Z	1727
a	años	NCMP000	año
	.	Fp	.
B	Besa	VMIP3S0	besar
l	la	DA0FS0	el
M	mano	NCFS000	mano
de	de	SPS00	de
Vmd	VM	NP00000	VM
Su	su	DP3CS0	su
Serbidor	servidor	NCMS000	servidor
Y	y	CC	y
amigo	amigo	NP00000	amigo
