Valld	Valladolid	NP00000	valladolid
	,	Fc	,
27	27	Z	27
de	de	SPS00	de
Marzo	marzo	NCMS000	marzo
de	de	SPS00	de
1779	1779	Z	1779
Mui	Muy	RQ	muy
Sor	señor	NP00000	señor
mio	mío	DP1MSS	mío
	.	Fp	.
e	He	VAIP1S0	haber
escrito	escrito	VMP0000	escribir
a	a	SPS00	a
Vmd	VM	NP00000	VM
	,	Fc	,
a	a	SPS00	a
la	la	DA0FS0	el
qe	que	PR0CN000	que
no	no	RN	no
e	he	VAIP1S0	haber
tenido	tenido	VMP0000	tener
respta	respuesta	NCFS000	respuesta
	,	Fc	,
pero	pero	CC	pero
le	le	PP3CSD00	le
e	he	VAIP1S0	haber
Contemplado	contemplado	VMP0000	contemplar
a	a	SPS00	a
Vmd	VM	NP00000	VM
ocupado	ocupado	VMP00SM	ocupar
en	en	SPS00	en
la	la	DA0FS0	el
feria	feria	NCFS000	feria
	,	Fc	,
pr	por	SPS00	por
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
le	le	PP3CSA00	le
disculpo	disculpo	VMIP1S0	disculpar
.	.	Fp	.
Ha	A	SPS00	a
la	la	DA0FS0	el
hora	hora	NCFS000	hora
de	de	SPS00	de
esta	ésta	PD0FS000	este
abra	habrá	VAIF3S0	haber
llegado	llegado	VMP0000	llegar
su	su	DP3CS0	su
sobrino	sobrino	NCMS000	sobrino
de	de	SPS00	de
Vmd	VM	NP00000	VM
dn	don	NP00000	don
Joaqn	Joaquín	NP00000	joaquín
	,	Fc	,
el	el	DA0MS0	el
que	que	PR0CN000	que
tenia	tenía	VMII0S0	tener
horden	orden	NCMS000	orden
pa	para	SPS00	para
prenderlo	prenderlo	VMN0000+PP3MSA00	prender+lo
con	con	SPS00	con
otro	otro	DI0MS0	otro
Compañero	compañero	NCMS000	compañero
suio	suyo	DP3CS0	suyo
de	de	SPS00	de
orden	orden	NCMS000	orden
de	de	SPS00	de
los	los	DA0MP0	el
señores	señores	NCMP000	señor
Gobernador	gobernador	NCMP000	gobernador
y	y	CC	y
Alcs	alcaldes	NCMP000	alcalde
del	del	SPS00+DA0MS0	de+el
Crimen	Crimen	NCMS000	crimen
el	el	DA0MS0	el
dia	día	NCMS000	día
de	de	SPS00	de
oy	hoy	RG	hoy
a	a	SPS00	a
la	la	DA0FS0	el
una	una	Z	1
de	de	SPS00	de
la	la	DA0FS0	el
noche	noche	NCFS000	noche
	,	Fc	,
a	a	SPS00	a
qn	quien	PR0CS000	quien
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
participe	participé	VMIS1S0	participar
pa	para	SPS00	para
qe	que	CS	que
se	se	P00CN000	se
marchase	marchase	VMSI0S0	marchar
a	a	SPS00	a
esa	ésa	PD0FS000	ese
hasta	hasta	SPS00	hasta
que	que	CS	que
io	yo	PP1CSN00	yo
enbie	envíe	VMSP0S0	enviar
a	a	SPS00	a
decir	decir	VMN0000	decir
qdo	cuándo	PA000000	cuándo
a	ha	VMIP3S0	haber
de	de	SPS00	de
benir	venir	VMN0000	venir
	,	Fc	,
pues	pues	CS	pues
estos	estos	DD0MP0	este
señores	señores	NCMP000	señor
lo	lo	PP3CNA00	lo
an	han	VAIP3P0	haber
tomado	tomado	VMP0000	tomar
pr	por	SPS00	por
dnde	donde	PA000000	donde
quema	quema	VMIP3S0	quemar
:	.	Fp	.
en	En	SPS00	en
la	la	DA0FS0	el
noche	noche	NCFS000	noche
de	de	SPS00	de
este	este	DD0MS0	este
dia	día	NCMS000	día
boy	voy	VMIP1S0	ir
a	a	SPS00	a
prender	prender	VMN0000	prender
hasta	hasta	SPS00	hasta
unos	unos	DI0MP0	uno
25	25	Z	25
o	o	CC	o
bte	veinte	Z	20
y	y	CC	y
seis	seis	Z	6
qe	que	PR0CN000	que
an	han	VAIP3P0	haber
declarado	declarado	VMP0000	declarar
los	los	DA0MP0	el
demas	demás	PI0CP000	demás
y	y	CC	y
amigos	amigos	NCMP000	amigo
de	de	SPS00	de
nro	nuestro	DP1MSP	nuestro
dn	don	NP00000	don
Joaqn	Joaquín	NP00000	joaquín
	,	Fc	,
a	a	SPS00	a
qn	quien	PR0CS000	quien
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
participara	participará	VMIF3S0	participar
Vmd	VM	NP00000	VM
	,	Fc	,
como	como	CS	como
el	el	DA0MS0	el
decirle	decirle	VMN0000+PP3CSD00	decir+le
que	que	CS	que
el	el	DA0MS0	el
qe	que	CS	que
entra	entra	VMIP3S0	entrar
en	en	SPS00	en
la	la	DA0FS0	el
Carcel	cárcel	NCFS000	cárcel
no	no	RN	no
sale	sale	VMIP3S0	salir
tan	tan	RC	tan
pronto	pronto	RG	pronto
	.	Fp	.
y	Y	CC	y
lo	lo	DA0NS0	el
peor	peor	AQ0CS0	peor
sera	será	VSIF3S0	ser
qe	que	CS	que
	,	Fc	,
si	si	CS	si
no	no	RN	no
se	se	P00CN000	se
les	les	PP3CPD00	le
baja	baja	VMIP3S0	bajar
la	la	DA0FS0	el
Colera	cólera	NCFS000	cólera
a	a	SPS00	a
los	los	DA0MP0	el
ministros	ministros	NCMP000	ministro
	,	Fc	,
se	se	P00CN000	se
haga	haga	VMSP0S0	hacer
un	un	DI0MS0	uno
escarmto	escarmiento	NCMS000	escarmiento
grande	grande	AQ0CS0	grande
:	.	Fp	.
Pero	Pero	CC	pero
mirando	mirando	VMG0000	mirar
los	los	DA0MP0	el
Grandes	grandes	AQ0CP0	grande
fabores	favores	NCMP000	favor
recibidos	recibidos	VMP00PM	recibir
de	de	SPS00	de
Vmd	VM	NP00000	VM
y	y	CC	y
de	de	SPS00	de
nro	nuestro	DP1MSP	nuestro
sr	señor	NP00000	señor
Robles	Robles	NP00000	robles
	,	Fc	,
aunqe	aunque	CS	aunque
sea	sea	VSSP0S0	ser
contra	contra	SPS00	contra
mi	mí	PP1CSO00	mí
	,	Fc	,
e	he	VAIP1S0	haber
procurado	procurado	VMP0000	procurar
salbar	salvar	VMN0000	salvar
a	a	SPS00	a
su	su	DP3CS0	su
sobrino	sobrino	NCMS000	sobrino
prqe	porque	CS	porque
no	no	RN	no
debo	debo	VMIP1S0	deber
otra	otra	DI0FS0	otro
Cosa	cosa	NCFS000	cosa
	.	Fp	.
A	A	SPS00	a
mi	mi	DP1CSS	mi
sa	señora	NP00000	señor
da	doña	NP00000	don
Rosa	Rosa	NP00000	rosa
la	la	PP3FSD00	lo
dira	dirá	VMIF3S0	decir
Vmd	VM	NP00000	VM
que	que	CS	que
las	las	DA0FP0	el
Vueltas	vueltas	NCFP000	vuelta
y	y	CC	y
chorrera	chorrera	NCFS000	chorrera
qe	que	PR0CN000	que
la	la	PP3FSD00	lo
quede	quedé	VMIS1S0	quedar
encargado	encargado	VMP00SM	encargar
qdo	cuando	PA000000	cuando
me	me	PP1CS000	me
bine	vine	VMIS1S0	venir
me	me	PP1CS000	me
aga	haga	VMSP0S0	hacer
el	el	DA0MS0	el
fabor	favor	NCMS000	favor
de	de	SPS00	de
remitirmelas	remitírmelas	VMN0000+PP1CS000+PP3FPA00	remitir+me+lo
con	con	SPS00	con
la	la	DA0FS0	el
primera	primera	AO0FS0	primero
persona	persona	NCFS000	persona
qe	que	PR0CN000	que
benga	venga	VMSP0S0	venir
	,	Fc	,
enbiandome	enviándome	VMG0000+PP1CS000	enviar+me
a	a	SPS00	a
decir	decir	VMN0000	decir
su	su	DP3CS0	su
Ymporte	importe	NCMS000	importe
	.	Fp	.
y	Y	CC	y
qdo	cuando	PA000000	cuando
nro	nuestro	DP1MSP	nuestro
dn	don	NP00000	don
Joaqn	Joaquín	NP00000	joaquín
pase	pase	VMSP0S0	pasar
a	a	SPS00	a
esta	ésta	PD0FS000	este
	,	Fc	,
me	me	PP1CS000	me
ara	hará	VMIF3S0	hacer
Vmd	VM	NP00000	VM
el	el	DA0MS0	el
fabor	favor	NCMS000	favor
de	de	SPS00	de
decirle	decirle	VMN0000+PP3CSD00	decir+le
se	se	P00CN000	se
traiga	traiga	VMSP0S0	traer
media	media	AQ0FS0	media
dosena	docena	NCFS000	docena
de	de	SPS00	de
Bollos	bollos	NCMP000	bollo
como	como	CS	como
los	los	DA0MP0	el
qe	que	PR0CN000	que
hubo	hubo	VMIS3S0	haber
en	en	SPS00	en
casa	casa	NCFS000	casa
de	de	SPS00	de
don	don	NP00000	don
Fernando	Fernando	NP00000	fernando
el	el	DA0MS0	el
dia	día	NCMS000	día
de	de	SPS00	de
la	la	DA0FS0	el
funcion	función	NCFS000	función
	,	Fc	,
los	los	DA0MP0	el
qe	que	PR0CN000	que
satisfacere	satisfaceré	VMIF1S0	satisfacer
	.	Fp	.
Dira	Dirá	VMIF3S0	decir
Vmd	VM	NP00000	VM
a	a	SPS00	a
el	el	DA0MS0	el
Padre	padre	NCMS000	padre
del	del	SPS00+DA0MS0	de+el
sr	señor	NP00000	señor
dn	don	NP00000	don
Joaqn	Joaquín	NP00000	joaquín
que	que	CS	que
le	le	PP3CSD00	le
profeso	profeso	VMIP1S0	profesar
Cariño	cariño	NCMS000	cariño
y	y	CC	y
	,	Fc	,
asi	así	RG	así
	,	Fc	,
qe	que	CS	que
descuide	descuide	VMSP0S0	descuidar
en	en	SPS00	en
un	un	DI0MS0	uno
todo	todo	PI0MS000	todo
	,	Fc	,
pues	pues	CS	pues
lo	lo	PP3CNA00	lo
tomo	tomo	VMIP1S0	tomar
io	yo	PP1CSN00	yo
por	por	SPS00	por
mi	mi	DP1CSS	mi
Cuenta	cuenta	NCFS000	cuenta
	.	Fp	.
y	Y	CC	y
parando	parando	VMG0000	parar
la	la	DA0FS0	el
Causa	causa	NCFS000	causa
en	en	SPS00	en
mi	mí	PP1CSO00	mí
	,	Fc	,
podre	podré	VMIF1S0	poder
faborecerle	favorecerle	VMN0000+PP3CSA00	favorecer+le
en	en	SPS00	en
un	un	DI0MS0	uno
todo	todo	PI0MS000	todo
	,	Fc	,
aunqe	aunque	CS	aunque
sea	sea	VSSP0S0	ser
perdiendo	perdiendo	VMG0000	perder
mis	mis	DP1CPS	mi
Costas	costas	NCFP000	costa
	,	Fc	,
pues	pues	CS	pues
quantos	cuantos	PR0MP000	cuanto
mas	más	RC	más
moros	moros	NCMP000	moro
mas	más	RC	más
ganancia	ganancia	NCFS000	ganancia
	,	Fc	,
pero	pero	CC	pero
pa	para	SPS00	para
Con	con	SPS00	con
Vmds	VMs	NP00000	VM
no	no	RN	no
me	me	PP1CS000	me
paro	paro	VMIP1S0	parar
en	en	SPS00	en
intereses	intereses	NCMP000	interés
.	.	Fp	.
Abisare	Avisaré	VMIF1S0	avisar
de	de	SPS00	de
qto	cuanto	PA000000	cuanto
ocurra	ocurra	VMSP0S0	ocurrir
	.	Fp	.
y	E	CC	y
interin	ínterin	RG	ínterin
Supco	suplico	VMIP1S0	suplicar
a	a	SPS00	a
Nuestro	Nuestro	DP1MSP	nuestro
Señor	Señor	NP00000	señor
Gue	guarde	VMSP0S0	guardar
a	a	SPS00	a
vmd	VM	NP00000	VM
su	su	DP3CS0	su
vida	vida	NCFS000	vida
en	en	SPS00	en
Compa	compañía	NCFS000	compañía
de	de	SPS00	de
mi	mi	DP1CSS	mi
sa	señora	NP00000	señor
da	doña	NP00000	don
Rosa	Rosa	NP00000	rosa
y	y	CC	y
Niña	niña	NCFS000	niño
los	los	DA0MP0	el
anos	años	NCMP000	año
de	de	SPS00	de
mi	mi	DP1CSS	mi
deseo	deseo	NCMS000	deseo
	.	Fp	.
B	Besa	VMIP3S0	besar
l	la	DA0FS0	el
M	mano	NCFS000	mano
de	de	SPS00	de
Vmd	VM	NP00000	VM
su	su	DP3CS0	su
mas	más	RC	más
afto	afecto	AQ0MSP	afecto
Ao	amigo	NCMS000	amigo
y	y	CC	y
Seror	servidor	NCMS000	servidor
	,	Fc	,
Feliz	Félix	NP00000	félix
Vizente	Vicente	NP00000	vicente
Caballero	Caballero	NP00000	caballero
PD	PD	NCFS000	posdata
ponerme	Ponerme	VMN0000+PP1CS000	poner+me
el	el	DA0MS0	el
sobrescrito	sobrescrito	NCMS000	sobrescrito
de	de	SPS00	de
esta	esta	DD0FS0	este
suerte	suerte	NCFS000	suerte
	:	Fd	:
	«	Fra	«
afo	Afecto	AQ0MSP	afecto
oficial	oficial	NCMS000	oficial
en	en	SPS00	en
la	la	DA0FS0	el
sa	secretaría	NCFS000	secretaría
de	de	SPS00	de
Cama	cámara	NCFS000	cámara
de	de	SPS00	de
dn	don	NP00000	don
Manl	Manuel	NP00000	manuel
de	de	SPS00	de
tibarra	Tibarra	NP00000	tibarra
y	y	CC	y
recepr	receptor	NCMS000	receptor
de	de	SPS00	de
la	la	DA0FS0	el
real	Real	AQ0CS0	real
Chana	Chancillería	NP00000	chancillería
	»	Frt	»
	.	Fp	.
Dara	Dará	VMIF3S0	dar
Vmd	VM	NP00000	VM
memorias	memorias	NCFP000	memoria
al	al	SPS00+DA0MS0	a+el
sr	señor	NP00000	señor
dn	don	NP00000	don
Simon	Simón	NP00000	simón
de	de	SPS00	de
Fonseca	Fonseca	NP00000	fonseca
;	.	Fp	.
y	Y	CC	y
procure	procure	VMSP0S0	procurar
Vmd	VM	NP00000	VM
no	no	RN	no
echar	echar	VMN0000	echar
en	en	SPS00	en
olbido	olvido	NCMS000	olvido
esos	esos	DD0MP0	ese
dos	dos	Z	2
encargos	encargos	NCMP000	encargo
y	y	CC	y
perdonar	perdonar	VMN0000	perdonar
las	las	DA0FP0	el
molestias	molestias	NCFP000	molestia
.	.	Fp	.
sr	Señor	NP00000	señor
dn	don	NP00000	don
Josef	José	NP00000	josé
Roldan	Roldán	NP00000	roldán
Herreros	Herreros	NP00000	herreros
	.	Fp	.
