Jesus	Jesús	NP00000	jesús
Maria	María	NP00000	maría
y	y	CC	y
Jphe	José	NP00000	josé
hermano	Hermano	NP00000	hermano
Y	y	CC	y
Sr	señor	NP00000	señor
	.	Fp	.
Dios	Dios	NP00000	dios
quiera	quiera	VMSP0S0	querer
q	que	CS	que
la	la	DA0FS0	el
presente	presente	AQ0CS0	presente
llegue	llegue	VMSP0S0	llegar
â	a	SPS00	a
Manos	manos	NCFP000	mano
de	de	SPS00	de
Vmd	VM	NP00000	VM
Y	y	CC	y
le	le	PP3CSD00	le
halle	halle	VMSP0S0	hallar
Con	con	SPS00	con
la	la	DA0FS0	el
saluz	salud	NCFS000	salud
q	que	PR0CN000	que
deseo	deseo	VMIP1S0	desear
	,	Fc	,
q	que	CS	que
Sera	será	VSIF3S0	ser
para	para	SPS00	para
mi	mí	PP1CSO00	mí
de	de	SPS00	de
todo	todo	DI0MS0	todo
Consuelo	consuelo	NCMS000	consuelo
	,	Fc	,
Como	como	CS	como
ofrezer	ofrecer	VMN0000	ofrecer
la	la	DA0FS0	el
que	que	PR0CN000	que
me	me	PP1CS000	me
hasiste	asiste	VMIP3S0	asistir
para	para	SPS00	para
emplearla	emplearla	VMN0000+PP3FSA00	emplear+lo
en	en	SPS00	en
lo	lo	DA0NS0	el
q	que	PR0CN000	que
fuere	fuere	VSSF0S0	ser
de	de	SPS00	de
el	el	DA0MS0	el
âgrado	agrado	NCMS000	agrado
de	de	SPS00	de
Vmd	VM	NP00000	VM
.	.	Fp	.
Con	Con	SPS00	con
el	el	DA0MS0	el
deseo	deseo	NCMS000	deseo
que	que	PR0CN000	que
tengo	tengo	VMIP1S0	tener
de	de	SPS00	de
partiziparle	participarle	VMN0000+PP3CSD00	participar+le
mis	mis	DP1CPS	mi
Contratiempos	contratiempos	AQ0CP0	contratiempo
era	era	VSII0S0	ser
menester	menester	NCMS000	menester
otro	otro	DI0MS0	otro
papel	papel	NCMS000	papel
mucho	mucho	RQ	mucho
mas	más	RC	más
dilatado	dilatado	VMP00SM	dilatar
y	y	CC	y
por	por	SPS00	por
lo	lo	DA0NS0	el
ygual	igual	NCMS000	igual
mas	más	RC	más
tiempo	tiempo	NCMS000	tiempo
que	que	CS	que
el	el	DA0MS0	el
que	que	CS	que
por	por	SPS00	por
el	el	DA0MS0	el
presente	presente	NCMS000	presente
tengo	tengo	VMIP1S0	tener
en	en	SPS00	en
esta	esta	DD0FS0	este
ziudad	ciudad	NCFS000	ciudad
de	de	SPS00	de
Cadiz	Cádiz	NP00000	cádiz
	,	Fc	,
donde	donde	PA000000	donde
quedo	quedo	VMIP1S0	quedar
Con	con	SPS00	con
las	las	DA0FP0	el
Cortas	cortas	AQ0FP0	corto
Conbenienzias	conveniencias	NCFP000	conveniencia
q	que	PR0CN000	que
dira	dirá	VMIF3S0	decir
el	el	DA0MS0	el
portador	portador	NCMS000	portador
	.	Fp	.
que	Que	CS	que
	,	Fc	,
despues	después	RG	después
q	que	CS	que
reConozi	reconocí	VMIS1S0	reconocer
el	el	DA0MS0	el
buen	buen	AQ0MS0	bueno
Cariño	cariño	NCMS000	cariño
de	de	SPS00	de
nuestro	nuestro	DP1MSP	nuestro
hermano	hermano	NCMS000	hermano
por	por	SPS00	por
no	no	RN	no
me	me	PP1CS000	me
aber	haber	VAN0000	haber
dado	dado	VMP0000	dar
ninguna	ninguna	DI0FS0	ninguno
Cosa	cosa	NCFS000	cosa
mas	más	RC	más
que	que	CS	que
solo	sólo	RG	sólo
A	a	SPS00	a
su	su	DP3CS0	su
ermana	hermana	NCFS000	hermano
	(	Fba	(
y	y	CC	y
hesa	ésa	PD0FS000	ese
desnuda	desnuda	AQ0FSP	desnudo
	)	Fbt	)
	,	Fc	,
la	la	DA0FS0	el
nezesidad	necesidad	NCFS000	necesidad
me	me	PP1CS000	me
obligo	obligó	VMIS3S0	obligar
a	a	SPS00	a
benir	venir	VMN0000	venir
a	a	SPS00	a
busCar	buscar	VMN0000	buscar
la	la	DA0FS0	el
fortuna	fortuna	NCFS000	fortuna
q	que	CS	que
Dios	Dios	NP00000	dios
fuere	fuere	VSSF0S0	ser
Serbido	servido	VMP00SM	servir
de	de	SPS00	de
darme	darme	VMN0000+PP1CS000	dar+me
	.	Fp	.
oY	Hoy	RG	hoy
me	me	PP1CS000	me
allo	hallo	VMIP1S0	hallar
	,	Fc	,
A	a	SPS00	a
Dios	Dios	NP00000	dios
grazias	gracias	NCFP000	gracia
	,	Fc	,
bueno	bueno	AQ0MS0	bueno
	.	Fp	.
Y	Y	CC	y
se	sé	VMIP1S0	saber
tanbien	también	RG	también
por	por	SPS00	por
Carta	carta	NCFS000	carta
que	que	PR0CN000	que
rezibi	recibí	VMIS1S0	recibir
el	el	DA0MS0	el
dia	día	NCMS000	día
doce	doce	Z	12
de	de	SPS00	de
nobiembre	noviembre	NCMS000	noviembre
que	que	CS	que
la	la	PP3FSA00	lo
gozan	gozan	VMIP3P0	gozar
Sus	sus	DP3CP0	su
hermanos	hermanos	NCMP000	hermano
y	y	CC	y
madre	madre	NCFS000	madre
de	de	SPS00	de
Vmd	VM	NP00000	VM
	,	Fc	,
Y	y	CC	y
Juntamente	juntamente	RG	juntamente
Su	su	DP3CS0	su
prima	prima	NCFS000	primo
da	doña	NP00000	don
manuela	Manuela	NP00000	manuela
y	y	CC	y
todas	todas	DI0FP0	todo
las	las	DA0FP0	el
demas	demás	PI0CP000	demás
de	de	SPS00	de
la	la	DA0FS0	el
obligazion	obligación	NCFS000	obligación
,	.	Fp	.
tanbien	También	RG	también
sabra	sabrá	VMIF3S0	saber
Vmd	VM	NP00000	VM
Como	como	CS	como
fue	fue	VSIS3S0	ser
Dios	Dios	NP00000	dios
Serbido	servido	VMP00SM	servir
llevarse	llevarse	VMN0000+P00CN000	llevar+se
para	para	SPS00	para
