AVe	Ave	I	ave
maria	María	NP00000	maría
Sor	Señor	NP00000	señor
Don	don	NP00000	don
Juan	Juan	NP00000	juan
Antonio	Antonio	NP00000	antonio
	.	Fp	.
por	Por	SPS00	por
Don	don	NP00000	don
Juan	Juan	NP00000	juan
martinez	Martínez	NP00000	martínez
emos	hemos	VAIP1P0	haber
savido	sabido	VMP0000	saber
como	como	CS	como
Vmd	VM	NP00000	VM
quedava	quedaba	VMII0S0	quedar
bueno	bueno	AQ0MS0	bueno
i	y	CC	y
nada	nada	RQ	nada
melancolico	melancólico	AQ0MS0	melancólico
	,	Fc	,
la	la	PP3FSA00	lo
qual	cual	DT0CS0	cual
notizia	noticia	NCFS000	noticia
nos	nos	PP1CP000	nos
a	ha	VAIP3S0	haber
cusado	causado	VMP0000	causar
grande	grande	AQ0CS0	grande
gozo	gozo	NCMS000	gozo
,	.	Fp	.
en	En	SPS00	en
casa	casa	NCFS000	casa
quedamos	quedamos	VMIP1P0	quedar
todos	todos	PI0MP000	todo
sin	sin	SPS00	sin
nobedad	novedad	NCFS000	novedad
i	y	CC	y
Jiroma	Jeroma	NP00000	jeroma
se	se	P00CN000	se
alla	halla	VMIP3S0	hallar
sin	sin	SPS00	sin
calentura	calentura	NCFS000	calentura
,	,	Fc	,
aunque	aunque	CS	aunque
no	no	RN	no
mui	muy	RQ	muy
bena	buena	AQ0FS0	bueno
de	de	SPS00	de
el	el	DA0MS0	el
quebranto	quebranto	NCMS000	quebranto
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
a	ha	VAIP3S0	haber
pasado	pasado	VMP0000	pasar
,	,	Fc	,
i	y	CC	y
Retorna	retorna	VMIP3S0	retornar
sus	sus	DP3CP0	su
memorias	memorias	NCFP000	memoria
,	.	Fp	.
quiera	Quiera	VMSP0S0	querer
Dios	Dios	NP00000	dios
los	los	DA0MP0	el
autos	autos	NCMP000	auto
que	que	PR0CN000	que
aian	hayan	VASP3P0	haber
determinado	determinado	VMP0000	determinar
ia	ya	RG	ya
en	en	SPS00	en
ellos	ellos	PP3MP000	ellos
lo	lo	DA0NS0	el
que	que	PR0CN000	que
ubiere	hubiere	VMSF0S0	haber
de	de	SPS00	de
ser	ser	VSN0000	ser
i	y	CC	y
que	que	CS	que
la	la	DA0FS0	el
determinazion	determinación	NCFS000	determinación
aia	haya	VASP0S0	haber
sido	sido	VSP0000	ser
buena	buena	AQ0FS0	bueno
,	.	Fp	.
si	Si	CS	si
es	es	VSIP3S0	ser
nezesario	necesario	AQ0MS0	necesario
para	para	SPS00	para
la	la	DA0FS0	el
defensa	defensa	NCFS000	defensa
el	el	DA0MS0	el
presentar	presentar	VMN0000	presentar
las	las	DA0FP0	el
cartas	cartas	NCFP000	carta
que	que	PR0CN000	que
Vmd	VM	NP00000	VM
escrivio	escribió	VMIS3S0	escribir
al	al	SPS00+DA0MS0	a+el
obispo	obispo	NCMS000	obispo
,	,	Fc	,
presentarlas	presentarlas	VMN0000+PP3FPA00	presentar+lo
	,	Fc	,
que	que	CS	que
primero	primero	RG	primero
es	es	VSIP3S0	ser
Vmd	VM	NP00000	VM
i	y	CC	y
el	él	PP3MS000	él
que	que	CS	que
lo	lo	PP3CNA00	lo
sienta	sienta	VMIS3S0	sentir
,	.	Fp	.
pero	Pero	CC	pero
berlo	verlo	VMN0000+PP3MSA00	ver+lo
primero	primero	RG	primero
mui	muy	RQ	muy
bien	bien	RG	bien
sin	si	CSI	si
conduze	conduce	VMIP3S0	conducir
o	o	CC	o
no	no	RN	no
,	,	Fc	,
no	no	RN	no
sea	sea	VSSP0S0	ser
que	que	CS	que
se	se	P00CN000	se
ieRe	yerre	VMSP0S0	errar
,	.	Fp	.
ir	Ir	VMN0000	ir
con	con	SPS00	con
mucho	mucho	DI0MS0	mucho
tiento	tiento	NCMS000	tiento
,	.	Fp	.
en	En	SPS00	en
casa	casa	NCFS000	casa
todos	todos	PI0MP000	todo
pedimos	pedimos	VMIP1P0	pedir
a	a	SPS00	a
Dios	Dios	NP00000	dios
por	por	SPS00	por
el	el	DA0MS0	el
azierto	acierto	NCMS000	acierto
	.	Fp	.
el	El	DA0MS0	el
bomito	vómito	NCMS000	vómito
negro	negro	AQ0MS0	negro
le	le	PP3CSD00	le
dio	dio	VMIS3S0	dar
a	a	SPS00	a
Jiroma	Jeroma	NP00000	jeroma
el	el	DA0MS0	el
dia	día	NCMS000	día
23	23	Z	23
de	de	SPS00	de
Julio	julio	NCMS000	julio
de	de	SPS00	de
el	el	DA0MS0	el
año	año	NCMS000	año
de	de	SPS00	de
setezientos	setecientos	Z	700
i	y	CC	y
site	siete	Z	7
.	.	Fp	.
i	Y	CC	y
el	el	DA0MS0	el
dia	día	NCMS000	día
4	4	Z	4
de	de	SPS00	de
enero	enero	NCMS000	enero
de	de	SPS00	de
1748	1748	Z	1748
le	le	PP3CSD00	le
dio	dio	VMIS3S0	dar
el	el	DA0MS0	el
dolor	dolor	NCMS000	dolor
de	de	SPS00	de
costado	costado	NCMS000	costado
.	.	Fp	.
i	Y	CC	y
el	el	DA0MS0	el
dia	día	NCMS000	día
11	11	Z	11
de	de	SPS00	de
el	el	DA0MS0	el
coRiente	corriente	AQ0CS0	corriente
le	le	PP3CSD00	le
dieron	dieron	VMIS3P0	dar
a	a	SPS00	a
su	Su	DP3CS0	su
majestad	Majestad	NP00000	majestad
.	.	Fp	.
i	Y	CC	y
el	el	DA0MS0	el
dia	día	NCMS000	día
30	30	Z	30
de	de	SPS00	de
Junio	junio	NCMS000	junio
de	de	SPS00	de
el	el	DA0MS0	el
año	año	NCMS000	año
de	de	SPS00	de
1747	1747	Z	1747
le	le	PP3CSD00	le
dio	dio	VMIS3S0	dar
an	a	SPS00	a
mariquita	Mariquita	NP00000	mariquita
la	la	DA0FS0	el
estilazion	destilación	NCFS000	destilación
i	y	CC	y
mal	mal	NCMS000	mal
de	de	SPS00	de
pecho	pecho	NCMS000	pecho
,	.	Fp	.
i	Y	CC	y
fueron	fueron	VMIS3P0	ir
por	por	SPS00	por
Don	don	NP00000	don
Ygnazio	Ignacio	NP00000	ignacio
a	a	SPS00	a
los	los	DA0MP0	el
primeros	primeros	AO0MP0	primero
de	de	SPS00	de
agosto	agosto	NCMS000	agosto
,	.	Fp	.
i	Y	CC	y
despues	después	RG	después
fue	fue	VMIS3S0	ir
Juan	Juan	NP00000	juan
martinez	Martínez	NP00000	martínez
a	a	SPS00	a
consultar	consultar	VMN0000	consultar
con	con	SPS00	con
don	don	NP00000	don
Ygnazio	Ignacio	NP00000	ignacio
el	el	DA0MS0	el
dia	día	NCMS000	día
4	4	Z	4
de	de	SPS00	de
agosto	agosto	NCMS000	agosto
.	.	Fp	.
i	Y	CC	y
el	el	DA0MS0	el
medico	médico	NCMS000	médico
de	de	SPS00	de
los	los	DA0MP0	el
teatinos	teatinos	NCMP000	teatino
bino	vino	VMIS3S0	venir
el	el	DA0MS0	el
dia	día	NCMS000	día
13	13	Z	13
de	de	SPS00	de
setienbre	septiembre	NCMS000	septiembre
de	de	SPS00	de
1747	1747	Z	1747
años	años	NCMP000	año
.	.	Fp	.
i	Y	CC	y
a	a	SPS00	a
fuensanta	Fuensanta	NP00000	fuensanta
mariquita	Mariquita	NP00000	mariquita
fue	fue	VMIS3S0	ir
por	por	SPS00	por
el	el	DA0MS0	el
dia	día	NCMS000	día
22	22	Z	22
o	o	CC	o
23	23	Z	23
de	de	SPS00	de
setienbre	septiembre	NCMS000	septiembre
	,	Fc	,
que	que	CS	que
