Mui	Muy	RQ	muy
Sres	señores	NP00000	señor
mios	míos	DP1MPS	mío
	.	Fp	.
aunque	Aunque	CC	aunque
escrevi	escribí	VMIS1S0	escribir
a	a	SPS00	a
Vmds	VMs	NP00000	VM
el	el	DA0MS0	el
correo	correo	NCMS000	correo
pasado	pasado	VMP00SM	pasar
avisandoles	avisándoles	VMG0000+PP3CPD00	avisándo+le
lo	lo	DA0NS0	el
que	que	PR0CN000	que
pasava	pasaba	VMII0S0	pasar
en	en	SPS00	en
qto	cuanto	PA000000	cuanto
a	a	SPS00	a
la	la	DA0FS0	el
dependensia	dependencia	NCFS000	dependencia
de	de	SPS00	de
dn	don	NP00000	don
Olivero	Olivero	NP00000	olivero
y	y	CC	y
q	que	CS	que
no	no	RN	no
savia	sabía	VMII0S0	saber
que	qué	PT0CN000	qué
desir	decir	VMN0000	decir
pr	por	SPS00	por
no	no	RN	no
saver	saber	VMN0000	saber
cuanto	cuánto	PT0MS000	cuánto
avia	había	VMII0S0	haber
de	de	SPS00	de
pretender	pretender	VMN0000	pretender
devia	debía	VMII0S0	deber
a	a	SPS00	a
Vmds	VMs	NP00000	VM
,	,	Fc	,
sirve	sirve	VMIP3S0	servir
esta	ésta	PD0FS000	este
de	de	SPS00	de
nuevo	nuevo	AQ0MS0	nuevo
de	de	SPS00	de
suplicarles	suplicarles	VMN0000+PP3CPD00	suplicar+le
me	me	PP1CS000	me
avisen	avisen	VMSP3P0	avisar
que	qué	DT0CN0	qué
devo	debo	VMIP1S0	deber
hazer	hacer	VMN0000	hacer
y	y	CC	y
desir	decir	VMN0000	decir
	,	Fc	,
previniendo	previniendo	VMG0000	prevenir
a	a	SPS00	a
Vmds	VMs	NP00000	VM
que	que	CS	que
dn	don	NP00000	don
Pedro	Pedro	NP00000	pedro
mery	Mery	NP00000	mery
me	me	PP1CS000	me
embio	envío	VMIP1S0	enviar
oy	hoy	RG	hoy
a	a	SPS00	a
firmar	firmar	VMN0000	firmar
un	un	DI0MS0	uno
papel	papel	NCMS000	papel
en	en	SPS00	en
el	el	DA0MS0	el
que	que	PR0CN000	que
se	se	P00CN000	se
