M	Muy	RQ	muy
S	señor	NP00000	señor
mio	mío	DP1MSS	mío
,	,	Fc	,
mi	mi	DP1CSS	mi
Dueño	dueño	NP00000	dueño
y	y	CC	y
Sr	señor	NP00000	señor
	.	Fp	.
al	Al	SPS00+DA0MS0	a+el
mismo	mismo	AQ0MS0	mismo
instante	instante	NCMS000	instante
que	que	CS	que
Recivi	recibí	VMIS1S0	recibir
la	la	DA0FS0	el
favorecida	favorecida	VMP00SF	favorecer
de	de	SPS00	de
Ud	usted	PP2CS000	usted
(	(	Fba	(
q	que	PR0CN000	que
fue	fue	VSIS3S0	ser
en	en	SPS00	en
la	la	DA0FS0	el
Cama	cama	NCFS000	cama
con	con	SPS00	con
indisposicion	indisposición	NCFS000	indisposición
	,	Fc	,
q	que	PR0CN000	que
no	no	RN	no
se	sé	VMIP1S0	saber
si	si	CSI	si
pararà	parará	VMIF3S0	parar
solo	sólo	RG	sólo
en	en	SPS00	en
Constipado	constipado	NCMS000	constipado
)	)	Fbt	)
	,	Fc	,
llame	llamé	VMIS1S0	llamar
al	al	SPS00+DA0MS0	a+el
Boticario	boticario	NCMS000	boticario
,	,	Fc	,
el	el	DA0MS0	el
q	que	PR0CN000	que
solo	sólo	RG	sólo
de	de	SPS00	de
lo	lo	DA0NS0	el
dispuesto	dispuesto	VMP00SM	disponer
tubo	tuvo	VMIS3S0	tener
dos	dos	Z	2
ingredientes	ingredientes	NCMP000	ingrediente
,	.	Fp	.
Conq	Conque	CS	conque
he	he	VAIP1S0	haber
dispuesto	dispuesto	VMP0000	disponer
Receta	receta	NCFS000	receta
de	de	SPS00	de
lo	lo	DA0NS0	el
q	que	PR0CN000	que
se	se	P00CN000	se
ha	ha	VAIP3S0	haber
encontrado	encontrado	VMP0000	encontrar
:	;	Fx	;
lleva	lleva	VMIP3S0	llevar
Una	una	DI0FS0	uno
y	y	CC	y
otra	otra	DI0FS0	otro
Receta	receta	NCFS000	receta
Con	con	SPS00	con
distincion	distinción	NCFS000	distinción
,	,	Fc	,
Como	como	CS	como
Ud	usted	PP2CS000	usted
advertira	advertirá	VMIF3S0	advertir
	,	Fc	,
pa-ra	para	SPS00	para
q	que	CS	que
las	las	PP3FPA00	lo
tenga	tenga	VMSP0S0	tener
presentes	presentes	AQ0CP0	presente
ó	o	CC	o
	,	Fc	,
si	si	CS	si
fuesse	fuese	VSSI0S0	ser
necesario	necesario	AQ0MS0	necesario
	,	Fc	,
Repetirlas	repetirlas	VMN0000+PP3FPA00	repetir+lo
donde	donde	PA000000	donde
ó	o	CC	o
Como	como	PA000000	como
a	a	SPS00	a
Ud	usted	PP2CS000	usted
le	le	PP3CSD00	le
parezca	parezca	VMSP0S0	parecer
Conducente	conducente	AQ0CS0	conducente
.	.	Fp	.
Yo	Yo	PP1CSN00	yo
he	he	VAIP1S0	haber
formado	formado	VMP0000	formar
juizio	juicio	NCMS000	juicio
q	que	CS	que
	,	Fc	,
porq	porque	CS	porque
no	no	RN	no
se	se	P00CN000	se
diga	diga	VMSP0S0	decir
q	que	CS	que
en	en	SPS00	en
Una	una	DI0FS0	uno
botica	botica	NCFS000	botica
Como	como	CS	como
ec	etc	NCMS000	etcétera
no	no	RN	no
se	se	P00CN000	se
encuentra	encuentra	VMIP3S0	encontrar
