Illmo	Ilustrísimo	AQSMS0	ilustre
y	y	CC	y
Rmo	reverendísimo	AQ0MS0	reverendísimo
Sr	señor	NP00000	señor
	.	Fp	.
El	El	DA0MS0	el
Cura	cura	NCMS000	cura
Parroco	párroco	NCMS000	párroco
de	de	SPS00	de
esta	esta	DD0FS0	este
Parra	parroquia	NCFS000	parroquia
el	el	DA0MS0	el
dia	día	NCMS000	día
16	16	Z	16
del	del	SPS00+DA0MS0	de+el
Corri-ente	corriente	AQ0CS0	corriente
se	se	P00CN000	se
fuè	fue	VMIS3S0	ir
,	,	Fc	,
sin	sin	SPS00	sin
decirme	decirme	VMN0000+PP1CS000	decir+me
nada	nada	PI0NN00N	nada
,	,	Fc	,
y	y	CC	y
segun	según	SPS00	según
he	he	VAIP1S0	haber
adqui-rido	adquirido	VMP0000	adquirir
es	es	VSIP3S0	ser
en	en	SPS00	en
Tarragona	Tarragona	NP00000	tarragona
,	.	Fp	.
y	Y	CC	y
tal	tal	RC	tal
vez	vez	NCFS000	vez
el	el	DA0MS0	el
dia	día	NCMS000	día
25	25	Z	25
del	del	SPS00+DA0MS0	de+el
mis-mo	mismo	AQ0MS0	mismo
no	no	RN	no
habrá	habrá	VAIF3S0	haber
vuelto	vuelto	VMP0000	volver
,	,	Fc	,
como	como	CS	como
lo	lo	PP3CNA00	lo
dice	dice	VMIP3S0	decir
el	él	PP3MS000	él
en	en	SPS00	en
un	un	DI0MS0	uno
papel	papel	NCMS000	papel
qe	que	PR0CN000	que
ordena	ordena	VMIP3S0	ordenar
las	las	DA0FP0	el
Missas	misas	NCFP000	misa
	(	Fba	(
â	a	SPS00	a
mi	mí	PP1CSO00	mí
el	el	DA0MS0	el
dia	día	NCMS000	día
17	17	Z	17
entregado	entregado	VMP00SM	entregar
por	por	SPS00	por
el	el	DA0MS0	el
Hermano	hermano	NCMS000	hermano
del	del	SPS00+DA0MS0	de+el
Cura	cura	NCMS000	cura
,	,	Fc	,
en	en	SPS00	en
presencia	presencia	NCFS000	presencia
de	de	SPS00	de
dos	dos	Z	2
Testigos	testigos	NCCP000	testigo
para	para	SPS00	para
esto	esto	PD0NN000	esto
llamados	llamados	VMP00PM	llamar
	)	Fbt	)
.	.	Fp	.
Segun	Según	SPS00	según
la	la	DA0FS0	el
Constitucion	constitución	NCFS000	constitución
de	de	SPS00	de
N	nuestro	DP1MSP	nuestro
SS	santísimo	AQSMS0	santo
P	padre	NP00000	padre
B	Benedicto	NP00000	benedicto
XIV	XIV	Z	xiv
dirigida	dirigida	VMP00SF	dirigir
al	al	SPS00+DA0MS0	a+el
Sr	señor	NP00000	señor
Obispo	obispo	NCMS000	obispo
de	de	SPS00	de
Huesca	Huesca	NP00000	huesca
,	,	Fc	,
qe	que	CS	que
empieza	empieza	VMIP3S0	empezar
	«	Fra	«
Declarasti	Declarasti	Fra	«
nobis	nobis	Fra	«
	»	Frt	»
,	,	Fc	,
expedida	expedida	VMP00SF	expedir
en	en	SPS00	en
16	16	Z	16
de	de	SPS00	de
Marzo	marzo	NCMS000	marzo
1746	1746	Z	1746
,	,	Fc	,
como	como	CS	como
lo	lo	PP3CNA00	lo
refiere	refiere	VMIP3S0	referir
la	la	DA0FS0	el
Paga	paga	NCFS000	paga
nueva-mente	nuevamente	RG	nuevamente
illustrada	ilustrada	VMP00SF	ilustrar
en	en	SPS00	en
las	las	DA0FP0	el
pag	páginas	NCFP000	página
102	102	Z	102
y	y	CC	y
104	104	Z	104
:	,	Fc	,
He	he	VAIP1S0	haber
or-denado	ordenado	VMP0000	ordenar
,	,	Fc	,
por	por	SPS00	por
no	no	RN	no
decir	decir	VMN0000	decir
dos	dos	Z	2
Missas	misas	NCFP000	misa
,	,	Fc	,
qe	que	CS	que
â	a	SPS00	a
las	las	DA0FP0	el
fiestas	fiestas	NCFP000	fiesta
viniesse	viniese	VMSI0S0	venir
otro	otro	DI0MS0	otro
sacerdote	sacerdote	NCMS000	sacerdote
;	.	Fp	.
Ayer	Ayer	RG	ayer
celebro	celebró	VMIS3S0	celebrar
la	la	DA0FS0	el
