Viva	Viva	VMSP0S0	vivir
nro	Nuestro	DP1MSP	nuestro
Sor	Señor	NP00000	señor
Sacramdo	sacramentado	VMP00SM	sacramentar
y	y	CC	y
los	los	DA0MP0	el
p	padres	NCMP000	padre
R	reverendos	AQ0MP0	reverendo
de	de	SPS00	de
los	los	DA0MP0	el
As	ángeles	NCMP000	ángel
	.	Fp	.
Carisimos	Carísimos	AQSMP0	caro
PP	padres	NCMP000	padre
mios	míos	PX1MP0S0	mío
:	.	Fp	.
sigo	Sigo	VMIP1S0	seguir
muy	muy	RQ	muy
fuerte	fuerte	AQ0CS0	fuerte
:	.	Fp	.
ayer	Ayer	RG	ayer
tarde	tarde	NCFS000	tarde
en	en	SPS00	en
las	las	DA0FP0	el
2	2	Z	2
oras	horas	NCFP000	hora
de	de	SPS00	de
orazn	oración	NCFS000	oración
	(	Fba	(
de	de	SPS00	de
las	las	DA0FP0	el
5	5	Z	5
y	y	CC	y
ma	media	NCFS000	media
asta	hasta	SPS00	hasta
7	7	Z	7
y	y	CC	y
1/2	1/2	Z	1/2
	)	Fbt	)
padeci	padecí	VMIS1S0	padecer
grandes	grandes	AQ0CP0	grande
dolores	dolores	NCMP000	dolor
a	a	SPS00	a
las	las	DA0FP0	el
rodillas	rodillas	NCFP000	rodilla
	,	Fc	,
como	como	CS	como
acostumbrava	acostumbraba	VMII0S0	acostumbrar
antes	antes	RG	antes
,	.	Fp	.
al	Al	SPS00+DA0MS0	a+el
principio	principio	NCMS000	principio
de	de	SPS00	de
la	la	DA0FS0	el
oracion	oración	NCFS000	oración
se	se	P00CN000	se
mobieron	movieron	VMIS3P0	mover
los	los	DA0MP0	el
afectos	afectos	NCMP000	afecto
amorosos	amorosos	NCMP000	amoroso
y	y	CC	y
se	se	P00CN000	se
principio	principió	VMIS3S0	principiar
muy	muy	RQ	muy
fervorosa	fervorosa	AQ0FS0	fervoroso
,	,	Fc	,
pero	pero	CC	pero
por	por	SPS00	por
mi	mi	DP1CSS	mi
mala	mala	AQ0FS0	malo
correspa	correspondencia	NCFS000	correspondencia
a	a	SPS00	a
los	los	DA0MP0	el
altos	altos	AQ0MP0	alto
benefs	beneficios	NCMP000	beneficio
del	del	SPS00+DA0MS0	de+el
sor	Señor	NP00000	señor
me	me	PP1CS000	me
quede	quedé	VMIS1S0	quedar
tan	tan	RC	tan
obscuro	oscuro	AQ0MS0	oscuro
y	y	CC	y
lleno	lleno	AQ0MS0	lleno
de	de	SPS00	de
miseras	miserias	NCFP000	miseria
que	que	PR0CN000	que
estube	estuve	VMIS1S0	estar
echo	hecho	NCMS000	hecho
un	un	DI0MS0	uno
jumento	jumento	NCMS000	jumento
:	.	Fp	.
les	Les	PP3CPD00	le
mande	mandé	VMIS1S0	mandar
a	a	SPS00	a
los	los	DA0MP0	el
Enems	enemigos	NCMP000	enemigo
