AVe	Ave	I	ave
Maria	María	NP00000	maría
Sor	Señor	NP00000	señor
Don	don	NP00000	don
Juan	Juan	NP00000	juan
	.	Fp	.
todos	Todos	DI0MP0	todo
los	los	DA0MP0	el
de	de	SPS00	de
casa	casa	NCFS000	casa
deseamos	deseamos	VMIP1P0	desear
la	la	DA0FS0	el
salud	salud	NCFS000	salud
de	de	SPS00	de
Vmd	VM	NP00000	VM
;	.	Fp	.
mariquita	Mariquita	NP00000	mariquita
esta	está	VMIP3S0	estar
mui	muy	RQ	muy
chada	echada	VMP00SF	echar
a	a	SPS00	a
perder	perder	VMN0000	perder
	.	Fp	.
todas	Todas	DI0FP0	todo
las	las	DA0FP0	el
oras	horas	NCFP000	hora
esta	está	VMIP3S0	estar
si	si	CS	si
se	se	P00CN000	se
muere	muere	VMIP3S0	morir
o	o	CC	o
si	si	CS	si
bibe	vive	VMIP3S0	vivir
,	.	Fp	.
ni	Ni	CC	ni
puede	puede	VMIP3S0	poder
estar	estar	VMN0000	estar
sentada	sentada	VMP00SF	sentar
ni	ni	CC	ni
chada	echada	VMP00SF	echar
,	.	Fp	.
i	Y	CC	y
solo	sólo	RG	sólo
aguardamos	aguardamos	VMIS1P0	aguardar
quando	cuándo	PA000000	cuándo
se	se	P00CN000	se
queda	queda	VMIP3S0	quedar
muerta	muerta	VMP00SF	morir
;	.	Fp	.
Jiroma	Jeroma	NP00000	jeroma
anda	anda	VMIP3S0	andar
mui	muy	RQ	muy
chada	echada	VMP00SF	echar
a	a	SPS00	a
perder	perder	VMN0000	perder
,	;	Fx	;
no	no	RN	no
se	se	P00CN000	se
puede	puede	VMIP3S0	poder
tener	tener	VMN0000	tener
en	en	SPS00	en
pie	pie	NCMS000	pie
,	.	Fp	.
yo	Yo	PP1CSN00	yo
soi	soy	VSIP1S0	ser
el	el	DA0MS0	el
menos	menos	RC	menos
malo	malo	AQ0MS0	malo
de	de	SPS00	de
la	la	DA0FS0	el
casa	casa	NCFS000	casa
i	y	CC	y
e	he	VAIP1S0	haber
stado	estado	VMP0000	estar
quatro	cuatro	Z	4
dias	días	NCMP000	día
en	en	SPS00	en
la	la	DA0FS0	el
cama	cama	NCFS000	cama
,	.	Fp	.
i	Y	CC	y
de	de	SPS00	de
todos	todos	PI0MS000	todo
Reziba	reciba	VMSP0S0	recibir
memorias	memorias	NCFP000	memoria
,	.	Fp	.
soi	Soy	VSIP1S0	ser
de	de	SPS00	de
sentir	sentir	VMN0000	sentir
que	que	CS	que
Vmd	VM	NP00000	VM
tome	tome	VMSP0S0	tomar
la	la	DA0FS0	el
determinazion	determinación	NCFS000	determinación
de	de	SPS00	de
benirse	venirse	VMN0000+P00CN000	venir+se
de	de	SPS00	de
contado	contado	NCMS000	contado
,	,	Fc	,
lo	lo	DA0NS0	el
uno	uno	PI0MS000	uno
	,	Fc	,
porque	porque	CS	porque
la	la	DA0FS0	el
maria	María	NP00000	maría
esta	está	VMIP3S0	estar
mui	muy	RQ	muy
mala	mala	AQ0FS0	malo
i	y	CC	y
la	la	DA0FS0	el
asistenzia	asistencia	NCFS000	asistencia
no	no	RN	no
mui	muy	RQ	muy
buena	buena	AQ0FS0	bueno
,	,	Fc	,
lo	lo	DA0NS0	el
otro	otro	PI0MS000	otro
	,	Fc	,
o	o	CC	o
porque	porque	CS	porque
se	se	P00CN000	se
deja	deja	VMIP3S0	dejar
disurrir	discurrir	VMN0000	discurrir
que	que	CS	que
eso	eso	PD0NN000	eso
no	no	RN	no
es	es	VSIP3S0	ser
mas	más	RC	más
que	que	CS	que
un	un	DI0MS0	uno
papasarl	papasal	NCMS000	papasal
que	que	PR0CN000	que
el	el	DA0MS0	el
obispo	obispo	NCMS000	obispo
i	y	CC	y
los	los	DA0MP0	el
que	que	PR0CN000	que
andan	andan	VMIP3P0	andar
alRidor	alrededor	RG	alrededor
de	de	SPS00	de
el	él	PP3MS000	él
le	le	PP3CSD00	le
dan	dan	VMIP3P0	dar
a	a	SPS00	a
Vmd	VM	NP00000	VM
con	con	SPS00	con
buenas	buenas	AQ0FP0	bueno
palabras	palabras	NCFP000	palabra
,	.	Fp	.
i	Y	CC	y
son	son	VSIP3P0	ser
bozes	voces	NCFP000	voz
sinificatibas	significativas	AQ0FP0	significativo
,	,	Fc	,
pero	pero	CC	pero
nunca	nunca	RN	nunca
pasaran	pasarán	VMIF3P0	pasar
de	de	SPS00	de
ai	ahí	RG	ahí
i	y	CC	y
con	con	SPS00	con
eso	eso	PD0NN000	eso
lo	lo	PP3MSA00	lo
tendran	tendrán	VMIF3P0	tener
enbelesado	embelesado	VMP00SM	embelesar
años	años	NCMP000	año
,	.	Fp	.
i	Y	CC	y
asi	así	RG	así
	,	Fc	,
dejelos	déjelos	VMSP0S0+PP3MPA00	dejar+lo
i	y	CC	y
bengase	véngase	VMSP0S0+P00CN000	venir+se
a	a	SPS00	a
su	su	DP3CS0	su
casa	casa	NCFS000	casa
	,	Fc	,
que	que	CS	que
de	de	SPS00	de
esa	esa	DD0FS0	ese
suerte	suerte	NCFS000	suerte
lo	lo	PP3CNA00	lo
azertara	acertará	VMIF3S0	acertar
,	.	Fp	.
i	Y	CC	y
no	no	RN	no
crea	crea	VMSP0S0	creer
a	a	SPS00	a
Dominicos	dominicos	NCMP000	dominico
,	,	Fc	,
ni	ni	CC	ni
a	a	SPS00	a
unos	unos	PI0MP000	uno
ni	ni	CC	ni
a	a	SPS00	a
otros	otros	PI0MP000	otro
,	,	Fc	,
que	que	CS	que
todos	todos	PI0MP000	todo
s	se	P00CN000	se
estan	están	VMIP3P0	estar
a	a	SPS00	a
la	la	DA0FS0	el
contenplazion	contemplación	NCFS000	contemplación
de	de	SPS00	de
el	el	DA0MS0	el
obispo	obispo	NCMS000	obispo
	.	Fp	.
i	Y	CC	y
desengañese	desengáñese	VMSP0S0+P00CN000	desengañar+se
Vmd	VM	NP00000	VM
	,	Fc	,
que	que	CS	que
	,	Fc	,
mientras	mientras	RG	mientras
este	este	DD0MS0	este
obispo	obispo	NCMS000	obispo
Viba	viva	VMSP0S0	vivir
,	,	Fc	,
no	no	RN	no
a	ha	VMIP3S0	haber
de	de	SPS00	de
ser	ser	VSN0000	ser
mas	más	RC	más
ni	ni	CCN	ni
yo	yo	PP1CSN00	yo
tengo	tengo	VMIP1S0	tener
de	de	SPS00	de
dezir	decir	VMN0000	decir
misa	misa	NCFS000	misa
,	.	Fp	.
en	En	SPS00	en
Minaia	Minaya	NP00000	minaya
no	no	RN	no
ai	hay	VMIP3S0	haber
nobedad	novedad	NCFS000	novedad
alguna	alguna	DI0FS0	alguno
que	que	PR0CN000	que
partiziparle	participarle	VMN0000+PP3CSD00	participar+le
,	.	Fp	.
i	Y	CC	y
no	no	RN	no
ofreziendose	ofreciéndose	VMG0000+P00CN000	ofrecer+se
otra	otra	DI0FS0	otro
cosa	cosa	NCFS000	cosa
	,	Fc	,
quedo	quedo	VMIP1S0	quedar
de	de	SPS00	de
Vmd	VM	NP00000	VM
para	para	SPS00	para
quanto	cuanto	PA000000	cuanto
me	me	PP1CS000	me
quisere	quisiere	VMSF0S0	querer
mandar	mandar	VMN0000	mandar
,	.	Fp	.
Dios	Dios	NP00000	dios
me	me	PP1CS000	me
le	le	PP3CSA00	le
guarde	guarde	VMSP0S0	guardar
m	muchos	DI0MP0	mucho
años	años	NCMP000	año
,	.	Fp	.
Minaia	Minaya	NP00000	minaya
,	,	Fc	,
i	y	CC	y
Julio	julio	NCMS000	julio
4	4	Z	4
de	de	SPS00	de
1754	1754	Z	1754
