Mi	Mi	DP1CSS	mi
Hijo	hijo	NP00000	hijo
dn	don	NP00000	don
Pedro	Pedro	NP00000	pedro
Thome	Tomé	NP00000	tomé
Carrera	Carrera	NP00000	carrera
	.	Fp	.
Burgs	Burgos	NP00000	burgos
	,	Fc	,
y	y	CC	y
Junio	junio	NCMS000	junio
8	8	Z	8
de	de	SPS00	de
1751	1751	Z	1751
Hijo	Hijo	NP00000	hijo
mio	mío	DP1MSS	mío
	.	Fp	.
esta	Ésta	PD0FS000	este
sirve	sirve	VMIP3S0	servir
de	de	SPS00	de
acompañar	acompañar	VMN0000	acompañar
la	la	DA0FS0	el
Minuta	minuta	NCFS000	minuta
Adjunta	adjunta	AQ0FSP	adjunto
,	,	Fc	,
qe	que	PR0CN000	que
as	has	VMIP2S0	haber
de	de	SPS00	de
Yncluir	incluir	VMN0000	incluir
en	en	SPS00	en
el	el	DA0MS0	el
Poder	poder	NCMS000	poder
pa	para	SPS00	para
tomar	tomar	VMN0000	tomar
la	la	DA0FS0	el
Posesion	posesión	NCFS000	posesión
de	de	SPS00	de
tu	tu	DP2CSS	tu
Arzedianato	arcedianato	NCMS000	arcedianato
,	,	Fc	,
qe	que	CS	que
son	son	VSIP3P0	ser
Circunstanzs	circunstancias	NCFP000	circunstancia
prezisas	precisas	AQ0FP0	preciso
pa	para	SPS00	para
qe	que	CS	que
no	no	RN	no
pongan	pongan	VMSP3P0	poner
Reparo	reparo	NCMS000	reparo
en	en	SPS00	en
el	él	PP3MS000	él
,	.	Fp	.
Con	Con	SPS00	con
todas	todas	DI0FP0	todo
Las	las	PP3FPA00	lo
demas	demás	DI0CP0	demás
xrales	generales	NCCP000	general
y	y	CC	y
partticulares	particulares	NCMP000	particular
qe	que	PR0CN000	que
Corresponden	corresponden	VMIP3P0	corresponder
a	a	SPS00	a
dho	dicho	VMP00SM	decir
ta	tan	RC	tan
Minuta	minuta	NCFS000	minuta
se	se	P00CN000	se
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
dado	dado	VMP0000	dar
esta	esta	DD0FS0	este
sta	santa	AQ0FS0	santo
Yga	iglesia	NCFS000	iglesia
	.	Fp	.
Y	Y	CC	y
vendra	vendrá	VMIF3S0	venir
dho	dicho	VMP00SM	decir
Poder	poder	NCMS000	poder
Dor	doctor	NP00000	doctor
Dn	don	NP00000	don
Phe	Felipe	NP00000	felipe
Carrera	Carrera	NP00000	carrera
Castro	Castro	NP00000	castro
y	y	CC	y
Castilla	Castilla	NP00000	castilla
,	,	Fc	,
tu	tu	DP2CSS	tu
tio	tío	NCMS000	tío
	,	Fc	,
y	y	CC	y
al	al	SPS00+DA0MS0	a+el
Dor	doctor	NP00000	doctor
Dn	don	NP00000	don
Diego	Diego	NP00000	diego
de	de	SPS00	de
Zamora	Zamora	NP00000	zamora
Uydobro	Huidobro	NP00000	huidobro
Capiscol	Capiscol	NP00000	capiscol
	.	Fp	.
y	Y	CC	y
rremitirle	remitirle	VMN0000+PP3CSA00	remitir+le
