Mui	Muy	RQ	muy
Sres	señores	NP00000	señor
mios	míos	DP1MPS	mío
	.	Fp	.
contemplo	Contemplo	VMIP1S0	contemplar
me	me	PP1CS000	me
culparan	culparán	VMIF3P0	culpar
Vmds	VMs	NP00000	VM
de	de	SPS00	de
omiso	omiso	AQ0MS0	omiso
pr	por	SPS00	por
no	no	RN	no
averles	haberles	VAN0000+PP3CPD00	haber+le
embiado	enviado	VMP0000	enviar
la	la	DA0FS0	el
cuenta	cuenta	NCFS000	cuenta
de	de	SPS00	de
Venta	venta	NCFS000	venta
del	del	SPS00+DA0MS0	de+el
tavaco	tabaco	NCMS000	tabaco
	,	Fc	,
pero	pero	CC	pero
el	el	DA0MS0	el
no	no	RN	no
averlo	haberlo	VAN0000+PP3CNA00	haber+lo
hecho	hecho	VMP0000	hacer
no	no	RN	no
a	ha	VAIP3S0	haber
sido	sido	VSP0000	ser
pr	por	SPS00	por
falta	falta	NCFS000	falta
de	de	SPS00	de
boluntad	voluntad	NCFS000	voluntad
	,	Fc	,
sino	sino	CC	sino
q	que	CS	que
	,	Fc	,
hallandome	hallándome	VMG0000+PP1CS000	hallar+me
todavia	todavía	RG	todavía
con	con	SPS00	con
125	125	Z	125
barriles	barriles	NCMP000	barril
de	de	SPS00	de
manteca	manteca	NCFS000	manteca
de	de	SPS00	de
la	la	DA0FS0	el
que	que	PR0CN000	que
compre	compré	VMIS1S0	comprar
a	a	SPS00	a
Vmds	VMs	NP00000	VM
el	el	DA0MS0	el
anno	año	NCMS000	año
pasado	pasado	VMP00SM	pasar
	,	Fc	,
halle	hallé	VMIS1S0	hallar
la	la	DA0FS0	el
coyuntura	coyuntura	NCFS000	coyuntura
de	de	SPS00	de
Cambiarla	cambiarla	VMN0000+PP3FSA00	cambiar+lo
con	con	SPS00	con
alguna	alguna	DI0FS0	alguno
perdida	pérdida	NCFS000	pérdida
	.	Fp	.
ai	Hay	VMIP3S0	haber
Vino	vino	NCMS000	vino
	,	Fc	,
q	que	CS	que
a	a	SPS00	a
lo	lo	DA0NS0	el
menos	menos	RC	menos
es	es	VSIP3S0	ser
