Muy	Muy	RQ	muy
Sra	señora	NP00000	señor
mía	mía	DP1FSS	mío
	.	Fp	.
resevi	Recibí	VMIS1S0	recibir
la	la	DA0FS0	el
mui	muy	RQ	muy
favorecida	favorecida	VMP00SF	favorecer
de	de	SPS00	de
Vm	VM	NP00000	VM
con	con	SPS00	con
sumo	sumo	AQ0MS0	sumo
Gusto	gusto	NCMS000	gusto
de	de	SPS00	de
ver	ver	VMN0000	ver
qe	que	CS	que
Gose	goce	VMSP0S0	gozar
de	de	SPS00	de
caval	cabal	AQ0CS0	cabal
salud	salud	NCFS000	salud
en	en	SPS00	en
conpañia	compañía	NCFS000	compañía
del	del	SPS00+DA0MS0	de+el
tio	tío	NCMS000	tío
Juan	Juan	NP00000	juan
y	y	CC	y
de	de	SPS00	de
la	la	DA0FS0	el
ysavel	Isabel	NP00000	isabel
y	y	CC	y
de	de	SPS00	de
las	las	DA0FP0	el
demas	demás	DI0CP0	demás
Chicas	chicas	NCFP000	chico
,	,	Fc	,
ofreciendo	ofreciendo	VMG0000	ofrecer
la	la	DA0FS0	el
qe	que	PR0CN000	que
Disfruto	disfruto	VMIP1S0	disfrutar
	,	Fc	,
a	a	SPS00	a
Dios	Dios	NP00000	dios
Gracias	gracias	NCFP000	gracia
,	,	Fc	,
para	para	SPS00	para
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
Vm	VM	NP00000	VM
me	me	PP1CS000	me
quisiese	quisiese	VMSI0S0	querer
mandarme	mandarme	VMN0000+PP1CS000	mandar+me
;	.	Fp	.
Señora	Señora	NP00000	señor
Andrea	Andrea	NP00000	andrea
	,	Fc	,
en	en	SPS00	en
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
Vm	VM	NP00000	VM
me	me	PP1CS000	me
dise	dice	VMIP3S0	decir
qe	que	CS	que
siempre	siempre	RG	siempre
ba	va	VMIP3S0	ir
Vm	VM	NP00000	VM
al	al	SPS00+DA0MS0	a+el
Correo	correo	NCMS000	correo
y	y	CC	y
qe	que	CS	que
Nunca	nunca	RN	nunca
a	ha	VAIP3S0	haber
enContrado	encontrado	VMP0000	encontrar
Carta	carta	NCFS000	carta
mia	mía	DP1FSS	mío
	,	Fc	,
le	le	PP3CSD00	le
digo	digo	VMIP1S0	decir
a	a	SPS00	a
Vm	VM	NP00000	VM
qe	que	CS	que
sera	será	VSIF3S0	ser
