Illmo	Ilustrísimo		
Sr	señor		
	.		
En	En		
atencion	atención		
de	de		
una	una		
Carta	carta		
escrita	escrita		
por	por		
V	vuestra		
S	señoría		
Illma	ilustrísima		
	,		
ô	o		
de	de		
orden	orden		
suya	suya		
	,		
al	al		
Sr	señor		
Dean	deán		
de	de		
Piera	Piera		
para	para		
averiguar	averiguar		
si	si		
era	era		
verdadera	verdadera		
la	la		
acusacion	acusación		
echa	hecha		
por	por		
el	el		
Rdo	reverendo		
Thomas	Tomás		
Canal	Canal		
	,		
Vicario	vicario		
de	de		
la	la		
Puebla	Puebla		
de	de		
Claramunt	Claramunt		
;	,		
en	en		
qe	que		
me	me		
acrimina	acrimina		
ayver	haber		
yo	yo		
	(		
dia	día		
18	18		
de	de		
7bre	septiembre		
proximo	próximo		
pasado	pasado		
	)		
Celebrado	celebrado		
dos	dos		
Misas	misas		
estando	estando		
el	él		
pre-sente	presente		
y	y		
aver	haber		
el	él		
Celebrado	celebrado		
dicho	dicho		
dia	día		
,	,		
lo	lo		
qe	que		
es	es		
falso	falso		
;	;		
y	y		
querien-do	queriendo		
el	el		
Sr	señor		
Dean	deán		
informarse	informarse		
de	de		
la	la		
Verdad	verdad		
,	,		
dio	dio		
â	a		
Conprehender	comprender		
al	al		
Ho	hermano		
del	del		
Sr	señor		
Rr	rector		
gustaria	gustaría		
verme	verme		
,	.		
qual	Cual		
luego	luego		
al	al		
instante	instante		
des-patcho	despachó		
un	un		
expreso	expreso		
en	en		
Igualada	Igualada		
para	para		
qe	que		
yo	yo		
me	me		
dignase	dignase		
conpa-rezer	comparecer		
,	,		
lo	lo		
qe	que		
execute	ejecuté		
con	con		
la	la		
mayor	mayor		
puntualidad	puntualidad		
,	,		
de	de		
manera	manera		
qe	que		
a	a		
las	las		
7	7		
de	de		
la	la		
noche	noche		
dia	día		
23	23		
de	de		
7bre	septiembre		
llego	llegó		
el	el		
expreso	expreso		
,	,		
y	y		
a	a		
los	los		
2	2		
quartos	cuartos		
para	para		
las	las		
10	10		
de	de		
la	la		
misma	misma		
noche	noche		
estava	estaba		
yo	yo		
en	en		
Puebla	Puebla		
,	,		
en	en		
la	la		
perentoria	perentoria		
ocasion	ocasión		
de	de		
estar	estar		
el	el		
M	muy		
R	reverendo		
P	padre		
Proal	provincial		
de	de		
visita	visita		
al	al		
Conven-to	convento		
,	,		
qual	cual		
	,		
luego	luego		
qe	que		
supo	supo		
la	la		
acusacion	acusación		
se	se		
me	me		
avia	había		
echo	hecho		
,	,		
me	me		
ordeno	ordenó		
qe	que		
luego	luego		
partiese	partiese		
â	a		
dar	dar		
satisfacion	satisfacción		
de	de		
mi	mi		
Persona	persona		
;	.		
la	La		
noche	noche		
en	en		
qe	que		
llegue	llegué		
,	,		
la	la		
prudencia	prudencia		
del	del		
Sr	señor		
Dean	deán		
disimulo	disimuló		
hablarme	hablarme		
del	del		
caso	caso		
,	,		
por	por		
figurarse	figurarse		
mi	mi		
abansada	avanzada		
edad	edad		
y	y		
el	el		
Cansancio	cansancio		
del	del		
Camino	camino		
,	,		
dejandolo	dejándolo		
por	por		
el	el		
siguiente	siguiente		
dia	día		
;	;		
como	como		
	,		
en	en		
efecto	efecto		
	,		
lo	lo		
executo	ejecutó		
	,		
luego	luego		
qe	que		
vio	vio		
me	me		
avia	había		
ya	ya		
levantado	levantado		
	,		
llamandome	llamándome		
al	al		
quarto	cuarto		
,	.		
y	Y		
me	me		
saco	sacó		
y	y		
leo	leyó		
la	la		
carta	carta		
de	de		
V	vuestra		
S	señoría		
Illma	ilustrísima		
,	,		
ô	o		
de	de		
orden	orden		
suya	suya		
;	,		
leendo	leyendo		
qe	que		
el	el		
dia	día		
18	18		
el	el		
P	padre		
Juan	Juan		
Evangelista	Evangelista		
de	de		
Barna	Barcelona		
avia	había		
Celebrado	celebrado		
dos	dos		
Misas	misas		
estan-do	estando		
el	el		
Vicario	vicario		
presente	presente		
,	,		
y	y		
aver	haber		
dicho	dicho		
Misa	misa		
aquel	aquel		
dia	día		
:	.		
â	A		
lo	lo		
qe	que		
respon-di	respondí		
era	era		
falsa	falsa		
la	la		
acusacion	acusación		
,	,		
qe	que		
me	me		
avia	había		
reservado	reservado		
si	sí		
,	,		
qe	que		
lo	lo		
avia	había		
echo	hecho		
por	por		
los	los		
temores	temores		
tenia	tenía		
de	de		
qe	que		
el	el		
Vicario	vicario		
no	no		
me	me		
hiziese	hiciese		
el	el		
loco	loco		
y	y		
el	el		
Pueblo	pueblo		
quedase	quedase		
sin	sin		
Misa	misa		
;	.		
â	A		
esto	esto		
entro	entró		
el	el		
vicario	vicario		
al	al		
quarto	cuarto		
sin	sin		
ser	ser		
llamado	llamado		
y	y		
el	el		
Sr	señor		
Dean	deán		
le	le		
