Abe	Ave	I	ave
maria	María	NP00000	maría
purisima	Purísima	AQSFS0	puro
señor	Señor	NP00000	señor
	.	Fp	.
recibi	Recibí	VMIS1S0	recibir
la	la	DA0FS0	el
de	de	SPS00	de
uste	usted	PP2CS000	usted
	,	Fc	,
con	con	SPS00	con
la	la	DA0FS0	el
que	que	PR0CN000	que
cobre	cobré	VMIS1S0	cobrar
algun	algún	DI0MS0	alguno
aliento	aliento	NCMS000	aliento
	.	Fp	.
i	Y	CC	y
cierro	cierro	VMIP1S0	cerrar
los	los	DA0MP0	el
ojos	ojos	NCMP000	ojo
a	a	SPS00	a
cuanto	cuanto	PA000000	cuanto
el	el	DA0MS0	el
demonio	demonio	NCMS000	demonio
me	me	PP1CS000	me
puede	puede	VMIP3S0	poder
fomentar	fomentar	VMN0000	fomentar
para	para	SPS00	para
traerme	traerme	VMN0000+PP1CS000	traer+me
inqieta	inquieta	AQ0FS0	inquieto
	.	Fp	.
a	A	SPS00	a
el	el	DA0MS0	el
fin	fin	NCMS000	fin
no	no	RN	no
e	he	VAIP1S0	haber
segido	seguido	VMP0000	seguir
mi	mi	DP1CSS	mi
ditamen	dictamen	NCMS000	dictamen
ni	ni	CCN	ni
el	el	DA0MS0	el
de	de	SPS00	de
personas	personas	NCFP000	persona
inorantes	ignorantes	AQ0CP0	ignorante
	,	Fc	,
si	si	CC	si
solo	sólo	RG	sólo
de	de	SPS00	de
quien	quien	PR0CS000	quien
saben	saben	VMIP3P0	saber
bien	bien	RG	bien
su	su	DP3CS0	su
obligacion	obligación	NCFS000	obligación
i	y	CC	y
el	el	DA0MS0	el
temor	temor	NCMS000	temor
de	de	SPS00	de
dios	Dios	NP00000	dios
	,	Fc	,
con	con	SPS00	con
el	el	DA0MS0	el
que	que	PR0CN000	que
egecutaran	ejecutarán	VMIF3P0	ejecutar
lo	lo	DA0NS0	el
gusto	justo	AQ0MS0	justo
i	y	CC	y
conbeniente	conveniente	AQ0CS0	conveniente
	.	Fp	.
no	No	RN	no
quisiera	quisiera	VMSI0S0	querer
dar	dar	VMN0000	dar
a	a	SPS00	a
uste	usted	PP2CS000	usted
tanto	tanto	RC	tanto
que	que	PR0CN000	que
acer	hacer	VMN0000	hacer
ni	ni	CCN	ni
ser	ser	VSN0000	ser
tan	tan	RC	tan
molesta	molesta	AQ0FS0	molesto
	,	Fc	,
mas	mas	CC	mas
siendo	siendo	VSG0000	ser
esto	esto	PD0NN000	esto
negocio	negocio	NCMS000	negocio
de	de	SPS00	de
tanta	tanta	DI0FS0	tanto
inportancia	importancia	NCFS000	importancia
que	que	CS	que
un	un	DI0MS0	uno
equiboco	equívoco	NCMS000	equívoco
puede	puede	VMIP3S0	poder
ser	ser	VSN0000	ser
motibo	motivo	NCMS000	motivo
para	para	SPS00	para
acer	hacer	VMN0000	hacer
dudar	dudar	VMN0000	dudar
a	a	SPS00	a
diferentes	diferentes	AQ0CP0	diferente
guicios	juicios	NCMP000	juicio
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
ello	ello	PD0NN000	ello
en	en	SPS00	en
si	sí	PP3CNO00	sí
es	es	VSIP3S0	ser
	.	Fp	.
por	Por	SPS00	por
lo	lo	DA0NS0	el
que	que	PR0CN000	que
estoi	estoy	VMIP1S0	estar
en	en	SPS00	en
duda	duda	NCFS000	duda
en	en	SPS00	en
mi	mi	DP1CSS	mi
declaracion	declaración	NCFS000	declaración
si	si	CSI	si
esta	está	VMIP3S0	estar
como	como	CS	como
sucedio	sucedió	VMIS3S0	suceder
esta	esta	DD0FS0	este
clausula	cláusula	NCFS000	cláusula
	,	Fc	,
que	que	CS	que
abiendo	habiendo	VAG0000	haber
io	yo	PP1CSN00	yo
tenido	tenido	VMP0000	tener
o	o	CC	o
caido	caído	VMP0000	caer
en	en	SPS00	en
una	una	DI0FS0	uno
flaqueza	flaqueza	NCFS000	flaqueza
antes	antes	RG	antes
de	de	SPS00	de
suceder	suceder	VMN0000	suceder
esto	esto	PD0NN000	esto
	;	Fx	;
i	y	CC	y
flaqueza	flaqueza	NCFS000	flaqueza
con	con	SPS00	con
que	que	PR0CN000	que
perdi	perdí	VMIS1S0	perder
mi	mi	DP1CSS	mi
estimacion	estimación	NCFS000	estimación
con	con	SPS00	con
mis	mis	DP1CPS	mi
ermanos	hermanos	NCMP000	hermano
i	y	CC	y
con	con	SPS00	con
gusta	justa	AQ0FS0	justo
causa	causa	NCFS000	causa
e	he	VAIP1S0	haber
padecido	padecido	VMP0000	padecer
i	y	CC	y
padezgo	padezco	VMIP1S0	padecer
algunos	algunos	DI0MP0	alguno
trabagos	trabajos	NCMP000	trabajo
por	por	SPS00	por
la	la	DA0FS0	el
precision	precisión	NCFS000	precisión
que	que	PR0CN000	que
tengo	tengo	VMIP1S0	tener
d	de	SPS00	de
estar	estar	VMN0000	estar
en	en	SPS00	en
su	su	DP3CS0	su
compania	compañía	NCFS000	compañía
i	y	CC	y
la	la	DA0FS0	el
berguenza	vergüenza	NCFS000	vergüenza
que	que	PR0CN000	que
me	me	PP1CS000	me
causa	causa	VMIP3S0	causar
	.	Fp	.
este	Éste	PD0MS000	este
fue	fue	VSIS3S0	ser
el	el	DA0MS0	el
motibo	motivo	NCMS000	motivo
para	para	SPS00	para
que	que	CS	que
en	en	SPS00	en
ablara	hablara	VMSI0S0	hablar
con	con	SPS00	con
mi	mi	DP1CSS	mi
licencia	licencia	NCFS000	licencia
de	de	SPS00	de
aquel	aquel	DD0MS0	aquel
