AVe	Ave	I	ave
Maria	María	NP00000	maría
Sor	Señor	NP00000	señor
Don	don	NP00000	don
Juan	Juan	NP00000	juan
Antonio	Antonio	NP00000	antonio
	.	Fp	.
todos	Todos	PI0MP000	todo
estamos	estamos	VMIP1P0	estar
deseando	deseando	VMG0000	desear
y	y	CC	y
Rogando	rogando	VMG0000	rogar
a	a	SPS00	a
Dios	Dios	NP00000	dios
porque	porque	CS	porque
Vmd	VM	NP00000	VM
se	se	P00CN000	se
mantenga	mantenga	VMSP0S0	mantener
sin	sin	SPS00	sin
nobedad	novedad	NCFS000	novedad
en	en	SPS00	en
la	la	DA0FS0	el
salud	salud	NCFS000	salud
,	.	Fp	.
por	Por	SPS00	por
haca	acá	RG	acá
no	no	RN	no
ai	hay	VMIP3S0	haber
nobedad	novedad	NCFS000	novedad
ni	ni	CC	ni
en	en	SPS00	en
mi	mi	DP1CSS	mi
Sra	señora	NP00000	señor
Doña	doña	NP00000	don
Rosa	Rosa	NP00000	rosa
ni	ni	CC	ni
en	en	SPS00	en
casa	casa	NCFS000	casa
,	,	Fc	,
sino	sino	CC	sino
mariquita	Mariquita	NP00000	mariquita
	,	Fc	,
que	que	PR0CN000	que
el	el	DA0MS0	el
martes	martes	NCMN000	martes
en	en	SPS00	en
la	la	DA0FS0	el
noche	noche	NCFS000	noche
Juzgamos	juzgamos	VMIS1P0	juzgar
que	que	CS	que
se	se	P00CN000	se
moria	moría	VMII0S0	morir
,	.	Fp	.
ia	Ya	RG	ya
esta	está	VMIP3S0	estar
mejor	mejor	RC	mejor
,	.	Fp	.
y	Y	CC	y
todos	todos	PI0MP000	todo
enbian	envían	VMIP3P0	enviar
mil	mil	Z	1000
memorias	memorias	NCFP000	memoria
i	y	CC	y
por	por	SPS00	por
intantes	instantes	NCMP000	instante
deseando	deseando	VMG0000	desear
el	el	DA0MS0	el
que	que	CS	que
benga	venga	VMSP0S0	venir
Vmd	VM	NP00000	VM
,	.	Fp	.
oi	Hoy	RG	hoy
no	no	RN	no
ai	hay	VMIP3S0	haber
nobedaad	novedad	NCFS000	novedad
noninguna	ninguna	DI0FS0	ninguno
en	en	SPS00	en
el	el	DA0MS0	el
lugar	lugar	NCMS000	lugar
ni	ni	CCN	ni
tanpoco	tampoco	RG	tampoco
oido	oído	VMP0000	oír
dezir	decir	VMN0000	decir
nada	nada	PI0NN00N	nada
de	de	SPS00	de
Vmd	VM	NP00000	VM
,	,	Fc	,
si	si	CS	si
es	es	VSIP3S0	ser
por	por	SPS00	por
esto	esto	PD0NN000	esto
o	o	CC	o
por	por	SPS00	por
lo	lo	DA0NS0	el
otro	otro	PI0MS000	otro
;	.	Fp	.
e	He	VAIP1S0	haber
oido	oído	VMP0000	oír
unas	unas	DI0FP0	uno
bozezillas	vocecillas	NCFP000	vocecilla
que	que	CS	que
Peinado	Peinado	NP00000	peinado
solizita	solicita	VMIP3S0	solicitar
entrar	entrar	VMN0000	entrar
por	por	SPS00	por
tenien-te	teniente	NCMS000	teniente
,	.	Fp	.
cuidado	Cuidado	NCMS000	cuidado
con	con	SPS00	con
esto	esto	PD0NN000	esto
;	.	Fp	.
si	Si	CS	si
Juan	Juan	NP00000	juan
Antonio	Antonio	NP00000	antonio
a	ha	VMIP3S0	haber
de	de	SPS00	de
pasar	pasar	VMN0000	pasar
a	a	SPS00	a
Cuenca	Cuenca	NP00000	cuenca
	,	Fc	,
ase	hace	VMIP3S0	hacer
Vmd	VM	NP00000	VM
para	para	SPS00	para
quando	cuándo	PA000000	cuándo
,	.	Fp	.
i	Y	CC	y
zeso	ceso	VMIP1S0	cesar
i	y	CC	y
no	no	RN	no
de	de	SPS00	de
Rogar	rogar	VMN0000	rogar
a	a	SPS00	a
Dios	Dios	NP00000	dios
le	le	PP3CSA00	le
guarde	guarde	VMSP0S0	guardar
a	a	SPS00	a
Vmd	VM	NP00000	VM
m	muchos	DI0MP0	mucho
años	años	NCMP000	año
,	.	Fp	.
Minaia	Minaya	NP00000	minaya
	,	Fc	,
y	y	CC	y
Junio	junio	NCMS000	junio
14	14	Z	14
de	de	SPS00	de
1754	1754	Z	1754
	.	Fp	.
de	De	SPS00	de
Vmd	VM	NP00000	VM
ex	ex	NP00000	VM
corde	corde	NP00000	VM
que	que	PR0CN000	que
S	su	DP3CS0	su
M	mano	NCFS000	mano
Bsa	besa	VMIP3S0	besar
	,	Fc	,
fr	fray	NP00000	fray
fran	Francisco	NP00000	francisco
de	de	SPS00	de
Almagro	Almagro	NP00000	almagro
