Mui	Muy	RQ	muy
Sres	señores	NP00000	señor
mios	míos	DP1MPS	mío
	.	Fp	.
satisfago	Satisfago	VMIP1S0	satisfacer
a	a	SPS00	a
las	las	DA0FP0	el
dos	dos	Z	2
favoresidas	favorecidas	VMP00PF	favorecer
de	de	SPS00	de
Vmds	VMs	NP00000	VM
,	,	Fc	,
qn	quien	PR0CS000	quien
espero	espero	VMIP1S0	esperar
se	se	P00CN000	se
persuadira	persuadirá	VMIF3S0	persuadir
a	a	SPS00	a
q	que	CS	que
el	el	DA0MS0	el
no	no	RN	no
responder	responder	VMN0000	responder
puntual	puntual	AQ0CS0	puntual
y	y	CC	y
quitar	quitar	VMN0000	quitar
la	la	DA0FS0	el
qta	cuenta	NCFS000	cuenta
del	del	SPS00+DA0MS0	de+el
medio	medio	NCMS000	medio
no	no	RN	no
es	es	VSIP3S0	ser
falta	falta	NCFS000	falta
de	de	SPS00	de
boluntad	voluntad	NCFS000	voluntad
	,	Fc	,
antes	antes	RG	antes
de	de	SPS00	de
deseo	deseo	NCMS000	deseo
de	de	SPS00	de
avisar	avisar	VMN0000	avisar
positivamte	positivamente	RG	positivamente
lo	lo	DA0NS0	el
q	que	PR0CN000	que
hubiere	hubiere	VMSF0S0	haber
sierto	cierto	AQ0MS0	cierto
	.	Fp	.
este	Este	DD0MS0	este
correo	correo	NCMS000	correo
me	me	PP1CS000	me
dicen	dicen	VMIP3P0	decir
que	que	CS	que
en	en	SPS00	en
esa	esa	DD0FS0	ese
ciudad	ciudad	NCFS000	ciudad
estan	están	VMIP3P0	estar
liquidando	liquidando	VMG0000	liquidar
el	el	DA0MS0	el
credito	crédito	NCMS000	crédito
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
se	se	P00CN000	se
me	me	PP1CS000	me
a	ha	VMIP3S0	haber
de	de	SPS00	de
entregar	entregar	VMN0000	entregar
	,	Fc	,
que	que	CS	que
llegara	llegará	VMIF3S0	llegar
a	a	SPS00	a
Veinte	veinte	Z	20
mil	mil	Z	1000
y	y	CC	y
trescientos	trescientos	Z	3
pesos	pesos	NCMP000	peso
	.	Fp	.
y	Y	CC	y
siendo	siendo	VSG0000	ser
yo	yo	PP1CSN00	yo
tan	tan	RC	tan
Ynteresado	interesado	VMP00SM	interesar
en	en	SPS00	en
cobrar	cobrar	VMN0000	cobrar
esto	esto	PD0NN000	esto
	,	Fc	,
pueden	pueden	VMIP3P0	poder
discurrir	discurrir	VMN0000	discurrir
si	si	CS	si
me	me	PP1CS000	me
descuidare	descuidaré	VMIF1S0	descuidar
	,	Fc	,
pues	pues	CS	pues
deseo	deseo	VMIP1S0	desear
cobrarlos	cobrarlos	VMN0000+PP3MPA00	cobrar+lo
Prinsipalmte	principalmente	RG	principalmente
pr	por	SPS00	por
finalisar	finalizar	VMN0000	finalizar
la	la	DA0FS0	el
qta	cuenta	NCFS000	cuenta
con	con	SPS00	con
Vmds	VMs	NP00000	VM
	,	Fc	,
qn	quien	PR0CS000	quien
pueden	pueden	VMIP3P0	poder
estar	estar	VMN0000	estar
ciertos	ciertos	AQ0MP0	cierto
d	de	SPS00	de
esta	esta	DD0FS0	este
Verdad	verdad	NCFS000	verdad
	.	Fp	.
Veo	Veo	VMIP1S0	ver
la	la	DA0FS0	el
quema	quema	NCFS000	quema
de	de	SPS00	de
Panama	Panamá	NP00000	panamá
	,	Fc	,
q	que	CS	que
me	me	PP1CS000	me
haze	hace	VMIP3S0	hacer
una	una	DI0FS0	uno
fuersa	fuerza	NCFS000	fuerza
notable	notable	AQ0CS0	notable
porq	porque	CS	porque
la	la	DA0FS0	el
madera	madera	NCFS000	madera
de	de	SPS00	de
que	que	CS	que
estan	están	VMIP3P0	estar
hechas	hechas	VMP00PF	hacer
las	las	DA0FP0	el
casas	casas	NCFP000	casa
ia	ya	RG	ya
arde	arde	VMIP3S0	arder
	.	Fp	.
pero	Pero	CC	pero
para	para	SPS00	para
todo	todo	PI0MS000	todo
es	es	VSIP3S0	ser
poderoso	poderoso	AQ0MS0	poderoso
Ds	Dios	NP00000	dios
	,	Fc	,
a	a	SPS00	a
qn	quien	PR0CS000	quien
Pido	pido	VMIP1S0	pedir
nos	nos	PP1CP000	nos
libre	libre	VMSP0S0	librar
a	a	SPS00	a
todos	todos	PI0MP000	todo
de	de	SPS00	de
semejante	semejante	AQ0CS0	semejante
desgrasia	desgracia	NCFS000	desgracia
y	y	CC	y
a	a	SPS00	a
Vmds	VMs	NP00000	VM
les	les	PP3CPD00	le
Ge	guarde	VMSP0S0	guardar
m	muchos	DI0MP0	mucho
a	años	NCMP000	año
	.	Fp	.
Sevilla	Sevilla	NP00000	sevilla
	,	Fc	,
21	21	Z	21
de	de	SPS00	de
jullio	julio	NCMS000	julio
de	de	SPS00	de
1737	1737	Z	1737
.	.	Fp	.
B	Besa	VMIP3S0	besar
l	la	DA0FS0	el
mo	mano	NCFS000	mano
de	de	SPS00	de
Vmds	VMs	NP00000	VM
su	su	DP3CS0	su
mor	mayor	AQ0CS0	mayor
seror	servidor	NCMS000	servidor
	,	Fc	,
Pedro	Pedro	NP00000	pedro
Lynce	Lince	NP00000	lince
de	de	SPS00	de
Verastegui	Berástegui	NP00000	berástegui
Sres	Señores	NP00000	señor
Butlers	Butlers	NP00000	butlers
	,	Fc	,
Power	Power	NP00000	power
y	y	CC	y
Ca	Compañía	NCFS000	compañía
	.	Fp	.
