Muy	Muy	RQ	muy
Ses	señores	NP00000	señor
mios	míos	DP1MPS	mío
	.	Fp	.
en	En	SPS00	en
cumplimiento	cumplimiento	NCMS000	cumplimiento
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
exprese	expresé	VMIS1S0	expresar
â	a	SPS00	a
Vmds	VMs	NP00000	VM
en	en	SPS00	en
mi	mi	DP1CSS	mi
antecedente	antecedente	AQ0CS0	antecedente
	,	Fc	,
puse	puse	VMIS1S0	poner
en	en	SPS00	en
execucion	ejecución	NCFS000	ejecución
lo	lo	DA0NS0	el
que	que	PR0CN000	que
ôfrecí	ofrecí	VMIS1S0	ofrecer
por	por	SPS00	por
el	el	DA0MS0	el
deseo	deseo	NCMS000	deseo
de	de	SPS00	de
complacerles	complacerles	VMN0000+PP3CPD00	complacer+le
Y	y	CC	y
servirles	servirles	VMN0000+PP3CPA00	servir+le
	,	Fp	,
baliendome	valiéndome	VMG0000+PP1CS000	valer+me
en	en	SPS00	en
este	este	DD0MS0	este
corto	corto	AQ0MS0	corto
tiempo	tiempo	NCMS000	tiempo
de	de	SPS00	de
mi	mi	DP1CSS	mi
eficacia	eficacia	NCFS000	eficacia
para	para	SPS00	para
con	con	SPS00	con
mis	mis	DP1CPS	mi
empeños	empeños	NCMP000	empeño
â	a	SPS00	a
fin	fin	NCMS000	fin
de	de	SPS00	de
adelantar	adelantar	VMN0000	adelantar
la	la	DA0FS0	el
pretension	pretensión	NCFS000	pretensión
,	,	Fc	,
la	la	DA0FS0	el
que	que	PR0CN000	que
ba	va	VMIP3S0	ir
derigida	dirigida	VMP00SF	dirigir
al	al	SPS00+DA0MS0	a+el
maior	mayor	AQ0CS0	mayor
acierto	acierto	NCMS000	acierto
para	para	SPS00	para
el	el	DA0MS0	el
logro	logro	NCMS000	logro
de	de	SPS00	de
todo	todo	PI0MS000	todo
;	,	Fc	,
no	no	RN	no
obstante	obstante	RG	obstante
la	la	DA0FS0	el
oposicion	oposición	NCFS000	oposición
que	que	PR0CN000	que
hai	hay	VMIP3S0	haber
favoreciendo	favoreciendo	VMG0000	favorecer
a	a	SPS00	a
los	los	DA0MP0	el
del	del	SPS00+DA0MS0	de+el
arte	arte	NCCS000	arte
de	de	SPS00	de
la	la	DA0FS0	el
seda	seda	NCFS000	seda
para	para	SPS00	para
que	que	CS	que
se	se	P00CN000	se
ôbserven	observen	VMSP3P0	observar
los	los	DA0MP0	el
Previlegios	privilegios	NCMP000	privilegio
que	que	PR0CN000	que
se	se	P00CN000	se
les	les	PP3CPD00	le
tiene	tiene	VMIP3S0	tener
concedido	concedido	VMP0000	conceder
;	.	Fp	.
pero	Pero	CC	pero
n	no	RN	no
obstante	obstante	RG	obstante
esto	esto	PD0NN000	esto
	,	Fc	,
e	he	VAIP1S0	haber
logrado	logrado	VMP0000	lograr
el	el	DA0MS0	el
