Muy	Muy	RQ	muy
Sr	señor	NP00000	señor
mio	mío	DP1MSS	mío
	.	Fp	.
rezivi	Recibí	VMIS1S0	recibir
las	las	DA0FP0	el
dos	dos	Z	2
de	de	SPS00	de
Vmd	VM	NP00000	VM
por	por	SPS00	por
mano	mano	NCFS000	mano
del	del	SPS00+DA0MS0	de+el
Amigo	amigo	NP00000	amigo
D	de	SPS00	de
franco	Francisco	NP00000	francisco
Dominguez	Domínguez	NP00000	domínguez
	,	Fc	,
las	las	DA0FP0	el
que	que	PR0CN000	que
rezivi	recibí	VMIS1S0	recibir
gustosa	gustosa	AQ0FS0	gustoso
por	por	SPS00	por
saver	saber	VMN0000	saber
de	de	SPS00	de
la	la	DA0FS0	el
salud	salud	NCFS000	salud
de	de	SPS00	de
Vmd	VM	NP00000	VM
	,	Fc	,
la	la	DA0FS0	el
que	que	PR0CN000	que
me	me	PP1CS000	me
alegro	alegro	VMIP1S0	alegrar
se	se	P00CN000	se
continue	continúe	VMSP0S0	continuar
	,	Fc	,
ayunque	aunque	CS	aunque
es	es	VSIP3S0	ser
de	de	SPS00	de
estrañar	extrañar	VMN0000	extrañar
en	en	SPS00	en
medio	medio	NCMS000	medio
de	de	SPS00	de
tanto	tanto	DI0MS0	tanto
enrredo	enredo	NCMS000	enredo
y	y	CC	y
enbuste	embuste	NCMP000	embuste
;	.	Fp	.
yo	Yo	PP1CSN00	yo
buena	buena	AQ0FS0	bueno
como	como	PA000000	como
Tambien	también	RG	también
la	la	DA0FS0	el
theresa	Teresa	NP00000	teresa
y	y	CC	y
faco	Faco	NP00000	faco
;	.	Fp	.
yo	Yo	PP1CSN00	yo
estoy	estoy	VMIP1S0	estar
muy	muy	RQ	muy
echa	hecha	VMP00SF	hacer
cargo	cargo	NCMS000	cargo
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
Vmd	VM	NP00000	VM
me	me	PP1CS000	me
previene	previene	VMIP3S0	prevenir
	.	Fp	.
no	No	RN	no
me	me	PP1CS000	me
fie	fie	VMIS3S0	fiar
de	de	SPS00	de
nadie	nadie	PI0NN00N	nadie
	,	Fc	,
que	que	CS	que
bastantes	bastantes	DI0CP0	bastante
esperiencias	experiencias	NCFP000	experiencia
Tengo	tengo	VMIP1S0	tener
	.	Fp	.
mi	Mi	DP1CSS	mi
puerta	puerta	NCFS000	puerta
no	no	RN	no
se	se	P00CN000	se
abre	abre	VMIP3S0	abrir
a	a	SPS00	a
nadie	nadie	PI0NN00N	nadie
para	para	SPS00	para
admitir	admitir	VMN0000	admitir
a	a	SPS00	a
nigun	ningún	DI0MS0	ninguno
falso	falso	AQ0MS0	falso
ni	ni	CCN	ni
falsa	falsa	AQ0FS0	falso
,	.	Fp	.
si	Si	CS	si
algo	algo	PI0CS000	algo
se	se	P00CN000	se
me	me	PP1CS000	me
ofreze	ofrece	VMIP3S0	ofrecer
lo	lo	PP3CNA00	lo
hago	hago	VMIP1S0	hacer
por	por	SPS00	por
medio	medio	NCMS000	medio
de	de	SPS00	de
faco	Faco	NP00000	faco
ô	o	CC	o
la	la	DA0FS0	el
theresa	Teresa	NP00000	teresa
	,	Fc	,
q	que	CS	que
ellos	ellos	PP3MP000	ellos
salen	salen	VMIP3P0	salir
fuera	fuera	RG	fuera
a	a	SPS00	a
lo	lo	DA0NS0	el
que	que	PR0CN000	que
yo	yo	PP1CSN00	yo
les	les	PP3CPD00	le
mando	mando	VMIP1S0	mandar
y	y	CC	y
estan	están	VMIP3P0	estar
bastantemte	bastantemente	RG	bastantemente
advertidos	advertidos	VMP00PM	advertir
de	de	SPS00	de
todo	todo	PI0MS000	todo
.	.	Fp	.
yo	Yo	PP1CSN00	yo
no	no	RN	no
salgo	salgo	VMIP1S0	salir
si	si	CS	si
no	no	RN	no
es	es	VSIP3S0	ser
a	a	SPS00	a
Missa	misa	NCFS000	misa
algunos	algunos	DI0MP0	alguno
dias	días	NCMP000	día
de	de	SPS00	de
travajo	trabajo	NCMS000	trabajo
y	y	CC	y
dias	días	NCMP000	día
de	de	SPS00	de
fiesta	fiesta	NCFS000	fiesta
,	.	Fp	.
el	El	DA0MS0	el
trigo	trigo	NCMS000	trigo
	,	Fc	,
no	no	RN	no
se	se	P00CN000	se
vende	vende	VMIP3S0	vender
grano	grano	NCMS000	grano
,	.	Fp	.
solo	Sólo	RG	sólo
se	se	P00CN000	se
han	han	VAIP3P0	haber
bendido	vendido	VMP0000	vender
4	4	Z	4
fs	fanegas	NCFP000	fanega
y	y	CC	y
ma	media	NCFS000	media
de	de	SPS00	de
zevada	cebada	NCFS000	cebada
,	,	Fc	,
2	2	Z	2
de	de	SPS00	de
escaña	escaña	NCFS000	escaña
y	y	CC	y
2	2	Z	2
libs	libras	NCFP000	libra
de	de	SPS00	de
zera	cera	NCFS000	cera
,	.	Fp	.
la	La	DA0FS0	el
zevada	cebada	NCFS000	cebada
a	a	SPS00	a
9	9	Z	9
Rs	reales	NCMP000	real
	,	Fc	,
la	la	DA0FS0	el
escaña	escaña	NCFS000	escaña
a	a	SPS00	a
4	4	Z	4
Rs	reales	NCMP000	real
y	y	CC	y
mo	medio	NCMS000	medio
y	y	CC	y
la	la	DA0FS0	el
zera	cera	NCFS000	cera
a	a	SPS00	a
10	10	Z	10
Rs	reales	NCMP000	real
	.	Fp	.
la	La	DA0FS0	el
llave	llave	NCFS000	llave
de	de	SPS00	de
la	la	DA0FS0	el
Cueba	cueva	NCFS000	cueva
la	la	PP3FSA00	lo
tengo	tengo	VMIP1S0	tener
bien	bien	RG	bien
guarda	guardada	VMP00SF	guardar
,	,	Fc	,
pues	pues	CS	pues
solo	sólo	RG	sólo
se	se	P00CN000	se
ha	ha	VAIP3S0	haber
havierto	abierto	VMP0000	abrir
para	para	SPS00	para
sacar	sacar	VMN0000	sacar
la	la	DA0FS0	el
Azeytuna	aceituna	NCFS000	aceituna
que	que	PR0CN000	que
se	se	P00CN000	se
llevo	llevó	VMIS3S0	llevar
â	a	SPS00	a
Almonazid	Almonacid	NP00000	almonacid
,	.	Fp	.
huvo	Hubo	VMIS3S0	haber
7	7	Z	7
alms	almudes	NCMP000	almud
y	y	CC	y
ha	ha	VAIP3S0	haber
salido	salido	VMP0000	salir
arrova	arroba	NCFS000	arroba
y	y	CC	y
media	media	NCFS000	media
de	de	SPS00	de
Azeyte	aceite	NCMS000	aceite
,	.	Fp	.
fue	Fue	VMIS3S0	ir
a	a	SPS00	a
hazerla	hacerla	VMN0000+PP3FSA00	hacer+lo
con	con	SPS00	con
el	el	DA0MS0	el
Mozo	mozo	NCMS000	mozo
de	de	SPS00	de
fray	fray	NP00000	fray
Julian	Julián	NP00000	julián
y	y	CC	y
la	la	DA0FS0	el
tia	tía	NP00000	tía
Pera	Pera	NP00000	pera
	,	Fc	,
que	que	PR0CN000	que
yban	iban	VMII3P0	ir
a	a	SPS00	a
hazer	hacer	VMN0000	hacer
su	su	DP3CS0	su
Azeytuna	aceituna	NCFS000	aceituna
a	a	SPS00	a
Almonazid	Almonacid	NP00000	almonacid
por	por	SPS00	por
no	no	RN	no
arder	arder	VMN0000	arder
el	el	DA0MS0	el
Molino	molino	NCMS000	molino
de	de	SPS00	de
Sazeda	Saceda	NP00000	saceda
ni	ni	CCN	ni
