Exmo	Excelentísimo	AQSMS0	excelente
Señor	señor	NP00000	señor
	.	Fp	.
Pongo	Pongo	VMIP1S0	poner
en	en	SPS00	en
su	su	DP3CS0	su
consideracion	consideración	NCFS000	consideración
como	como	CS	como
estoi	estoy	VMIP1S0	estar
en	en	SPS00	en
el	el	DA0MS0	el
combento	convento	NCMS000	convento
de	de	SPS00	de
N	Nuestro	DP1MSP	nuestro
Pe	Padre	NP00000	padre
S	San	NP00000	san
Franco	Francisco	NP00000	francisco
de	de	SPS00	de
esta	esta	DD0FS0	este
corte	corte	NCFS000	corte
nuebe	nueve	Z	9
meses	meses	NCMP000	mes
por	por	SPS00	por
orden	orden	NCMS000	orden
de	de	SPS00	de
V	vuestra	DP2FSP	vuestro
e	excelencia	NP00000	excelencia
aguardando	aguardando	VMG0000	aguardar
a	a	SPS00	a
que	que	CS	que
se	se	P00CN000	se
digne	digne	VMSP0S0	dignar
por	por	SPS00	por
su	su	DP3CS0	su
gran	gran	AQ0CS0	gran
piedad	piedad	NCFS000	piedad
tomar	tomar	VMN0000	tomar
resoluçion	resolución	NCFS000	resolución
de	de	SPS00	de
ver	ver	VMN0000	ver
y	y	CC	y
juzgar	juzgar	VMN0000	juzgar
aquella	aquella	DD0FS0	aquel
causa	causa	NCFS000	causa
q	que	CS	que
Garrido	Garrido	NP00000	garrido
Gusano	Gusano	NP00000	gusano
	,	Fc	,
inquisidor	inquisidor	NCMS000	inquisidor
en	en	SPS00	en
zerdeña	Cerdeña	NP00000	cerden
	,	Fc	,
me	me	PP1CS000	me
hiço	hizo	VMIS3S0	hacer
por	por	SPS00	por
sus	sus	DP3CP0	su
buenos	buenos	AQ0MP0	bueno
fines	fines	NCMP000	fin
,	.	Fp	.
qe	Que	CS	que
delante	delante	RG	delante
de	de	SPS00	de
dios	Dios	NP00000	dios
me	me	PP1CS000	me
dara	dará	VMIF3S0	dar
quenta	cuenta	NCFS000	cuenta
,	,	Fc	,
porque	porque	CS	porque
ha	ha	VMIP3S0	haber
mas	más	RC	más
de	de	SPS00	de
tres	tres	Z	3
a	años	NCMP000	año
que	que	CS	que
estoi	estoy	VMIP1S0	estar
en	en	SPS00	en
este	este	DD0MS0	este
trabajo	trabajo	NCMS000	trabajo
solamente	solamente	RG	solamente
por	por	SPS00	por
lo	lo	DA0NS0	el
que	que	PR0CN000	que
tengo	tengo	VMIP1S0	tener
informado	informado	VMP00SM	informar
a	a	SPS00	a
V	vuestra	DP2FSP	vuestro
e	excelencia	NP00000	excelencia
	.	Fp	.
es	Es	VSIP3S0	ser
causa	causa	NCFS000	causa
que	que	CS	que
padez-ca	padezca	VMSP0S0	padecer
muchas	muchas	DI0FP0	mucho
mortificaçiones	mortificaciones	NCFP000	mortificación
en	en	SPS00	en
este	este	DD0MS0	este
combento	convento	NCMS000	convento
	,	Fc	,
porque	porque	CS	porque
el	el	DA0MS0	el
Pe	padre	NCMS000	padre
Guardian	guardián	NCMS000	guardián
me	me	PP1CS000	me
esta	está	VMIP3S0	estar
todos	todos	DI0MP0	todo
los	los	DA0MP0	el
dias	días	NCMP000	día
molestando	molestando	VMG0000	molestar
a	a	SPS00	a
qe	que	CS	que
me	me	PP1CS000	me
vaia	vaya	VMSP0S0	ir
a	a	SPS00	a
mi	mi	DP1CSS	mi
Pro-vinçia	provincia	NCFS000	provincia
porque	porque	CS	porque
este	este	DD0MS0	este
combento	convento	NCMS000	convento
no	no	RN	no
puede	puede	VMIP3S0	poder
sus-tentar	sustentar	VMN0000	sustentar
tantos	tantos	DI0MP0	tanto
huespedes	huéspedes	NCMP000	huésped
como	como	CS	como
ai	hay	VMIP3S0	haber
,	.	Fp	.
y	Y	CC	y
tambien	también	RG	también
qe	que	CS	que
me	me	PP1CS000	me
hallo	hallo	VMIP1S0	hallar
sin	sin	SPS00	sin
una	una	DI0FS0	uno
tunica	túnica	NCFS000	túnica
ni	ni	CC	ni
paños	paños	NCMP000	paño
menores	menores	AQ0CP0	menor
q	que	CS	que
mudarme	mudarme	VMN0000+PP1CS000	mudar+me
,	.	Fp	.
qe	Que	CS	que
	,	Fc	,
a	a	SPS00	a
no	no	RN	no
mirar	mirar	VMN0000	mirar
la	la	DA0FS0	el
quietud	quietud	NCFS000	quietud
de	de	SPS00	de
mi	mi	DP1CSS	mi
alma	alma	NCFS000	alma
y	y	CC	y
al	al	SPS00+DA0MS0	a+el
credito	crédito	NCMS000	crédito
de	de	SPS00	de
mi	mi	DP1CSS	mi
Sto	santo	NCMS000	santo
havito	hábito	NCMS000	hábito
y	y	CC	y
obba	obra	NCFS000	obra
qe	que	PR0CN000	que
devo	debo	VMIP1S0	deber
a	a	SPS00	a
V	vuestra	DP2FSP	vuestro
e	excelencia	NP00000	excelencia
	,	Fc	,
ya	ya	RG	ya
me	me	PP1CS000	me
huviera	hubiera	VASI0S0	haber
ido	ido	VMP0000	ir
a	a	SPS00	a
alguna	alguna	DI0FS0	alguno
Provincia	provincia	NCFS000	provincia
remota	remota	AQ0FS0	remoto
,	,	Fc	,
pero	pero	CC	pero
lo	lo	PP3CNA00	lo
dexo	dejo	VMIP1S0	dejar
porque	porque	CS	porque
confio	confío	VMIP1S0	confiar
en	en	SPS00	en
la	la	DA0FS0	el
christiandad	cristiandad	NCFS000	cristiandad
de	de	SPS00	de
V	vuestra	DP2FSP	vuestro
e	excelencia	NP00000	excelencia
y	y	CC	y
afecto	afecto	NCMS000	afecto
a	a	SPS00	a
N	nuestro	DP1MSP	nuestro
Sto	santo	AQ0MS0	santo
havito	hábito	NCMS000	hábito
me	me	PP1CS000	me
adminystrara	administrará	VMIF3S0	administrar
Justiçia	justicia	NCFS000	justicia
,	,	Fc	,
atendiendo	atendiendo	VMG0000	atender
a	a	SPS00	a
mi	mi	DP1CSS	mi
inoçençia	inocencia	NCFS000	inocencia
y	y	CC	y
al	al	SPS00+DA0MS0	a+el
credito	crédito	NCMS000	crédito
de	de	SPS00	de
mi	mi	DP1CSS	mi
religion	religión	NCFS000	religión
;	.	Fp	.
y	Y	CC	y
para	para	SPS00	para
esto	esto	PD0NN000	esto
suplico	suplico	VMIP1S0	suplicar
a	a	SPS00	a
V	vuestra	DP2FSP	vuestro
e	excelencia	NP00000	excelencia
aya	haya	VMSP0S0	haber
de	de	SPS00	de
mandar	mandar	VMN0000	mandar
a	a	SPS00	a
dho	dicho	VMP00SM	decir
inquisidor	inquisidor	NCMS000	inquisidor
q	que	CS	que
dentro	dentro	RG	dentro
de	de	SPS00	de
breve	breve	AQ0CS0	breve
tiempo	tiempo	NCMS000	tiempo
remita	remita	VMSP0S0	remitir
la	la	DA0FS0	el
causa	causa	NCFS000	causa
,	,	Fc	,
porque	porque	CS	porque
si	si	CS	si
no	no	RN	no
es	es	VSIP3S0	ser
asi	así	RG	así
tarde	tarde	RG	tarde
o	o	CC	o
nunca	nunca	RN	nunca
vendra	vendrá	VMIF3S0	venir
,	,	Fc	,
porque	porque	CS	porque
son	son	VSIP3P0	ser
muchas	muchas	DI0FP0	mucho
las	las	DA0FP0	el
nulidades	nulidades	NCFP000	nulidad
q	que	PR0CN000	que
padeçe	padece	VMIP3S0	padecer
aquella	aquella	DD0FS0	aquel
causa	causa	NCFS000	causa
,	.	Fp	.
y	Y	CC	y
en	en	SPS00	en
el	el	DA0MS0	el
interim	ínterin	NCMS000	ínterin
q	que	PR0CN000	que
V	vuestra	DP2FSP	vuestro
e	excelencia	NP00000	excelencia
esta	está	VMIP3S0	estar
a	a	SPS00	a
tomar	tomar	VMN0000	tomar
resoluçion	resolución	NCFS000	resolución
de	de	SPS00	de
despacharme	despacharme	VMN0000+PP1CS000	despachar+me
,	,	Fc	,
pido	pido	VMIP1S0	pedir
por	por	SPS00	por
amor	amor	NCMS000	amor
de	de	SPS00	de
la	la	DA0FS0	el
Virjen	Virgen	NP00000	virgen
y	y	CC	y
de	de	SPS00	de
mi	mi	DP1CSS	mi
Pe	padre	NP00000	padre
S	San	NP00000	san
franco	francisco	NCMS000	francisco
me	me	PP1CS000	me
aiga	haya	VMSP0S0	haber
de	de	SPS00	de
