Muy	Muy	RQ	muy
Sa	señora	NP00000	señor
mía	mía	DP1FSS	mío
,	.	Fp	.
resibi	Recibí	VMIS1S0	recibir
su	su	DP3CS0	su
favoresida	favorecida	VMP00SF	favorecer
,	,	Fc	,
su	su	DP3CS0	su
fecha	fecha	NCFS000	fecha
del	del	SPS00+DA0MS0	de+el
dia	día	NCMS000	día
2	2	Z	2
d	de	SPS00	de
mayo	mayo	NCMS000	mayo
,	,	Fc	,
y	y	CC	y
veo	veo	VMIP1S0	ver
lo	lo	DA0NS0	el
que	que	PR0CN000	que
me	me	PP1CS000	me
pide	pide	VMIP3S0	pedir
en	en	SPS00	en
asumto	asunto	NCMS000	asunto
del	del	SPS00+DA0MS0	de+el
dragon	dragón	NCMS000	dragón
christobal	Cristóbal	NP00000	cristóbal
ortelano	Hortelano	NP00000	hortelano
,	,	Fc	,
q	que	PR0CN000	que
lo	lo	PP3MSA00	lo
era	era	VSII0S0	ser
de	de	SPS00	de
mi	mi	DP1CSS	mi
Compa	compañía	NCFS000	compañía
	(	Fba	(
una	una	DI0FS0	uno
que	que	PR0CN000	que
fue	fue	VMIS3S0	ser
de	de	SPS00	de
Villaviciosia	Villaviciosa	NP00000	villaviciosa
	)	Fbt	)
,	.	Fp	.
y	Y	CC	y
devo	debo	VMIP1S0	deber
desir	decir	VMN0000	decir
que	que	CS	que
en	en	SPS00	en
el	el	DA0MS0	el
puerto	Puerto	NP00000	puerto
de	de	SPS00	de
sta	Santa	NP00000	santo
maria	María	NP00000	maría
,	,	Fc	,
año	año	NCMS000	año
de	de	SPS00	de
1737	1737	Z	1737
	,	Fc	,
deserto	desertó	VMIS3S0	desertar
y	y	CC	y
nunca	nunca	RN	nunca
mas	más	RC	más
se	se	P00CN000	se
a	ha	VAIP3S0	haber
sabido	sabido	VMP0000	saber
de	de	SPS00	de
tal	tal	DD0CS0	tal
onbre	hombre	NCMS000	hombre
	,	Fc	,
por	por	SPS00	por
lo	lo	DA0NS0	el
que	que	PR0CN000	que
Vmd	VM	NP00000	VM
podra	podrá	VMIF3S0	poder
asser	hacer	VMN0000	hacer
diligensia	diligencia	NCFS000	diligencia
por	por	SPS00	por
otra	otra	DI0FS0	otro
parte	parte	NCFS000	parte
	,	Fc	,
pues	pues	CS	pues
yo	yo	PP1CSN00	yo
no	no	RN	no
puedo	puedo	VMIP1S0	poder
desir	decir	VMN0000	decir
otra	otra	DI0FS0	otro
cossa	cosa	NCFS000	cosa
	.	Fp	.
esto	Esto	PD0NN000	esto
es	es	VSIP3S0	ser
lo	lo	DA0NS0	el
sierto	cierto	AQ0MS0	cierto
	.	Fp	.
yo	Yo	PP1CSN00	yo
selebraré	celebraré	VMIF1S0	celebrar
que	que	CS	que
Vmd	VM	NP00000	VM
logre	logre	VMSP0S0	lograr
lo	lo	DA0NS0	el
que	que	PR0CN000	que
dessea	desea	VMIP3S0	desear
	.	Fp	.
y	Y	CC	y
con	con	SPS00	con
esto	esto	PD0NN000	esto
pido	pido	VMIP1S0	pedir
a	a	SPS00	a
Ds	Dios	NP00000	dios
gd	guarde	VMSP0S0	guardar
a	a	SPS00	a
Vmd	VM	NP00000	VM
ms	muchos	DI0MP0	mucho
as	años	NCMP000	año
	.	Fp	.
Alxesiras	Algeciras	NP00000	algeciras
	,	Fc	,
y	y	CC	y
junio	junio	NCMS000	junio
17	17	Z	17
de	de	SPS00	de
1751	1751	Z	175
	.	Fp	.
B	Besa	VMIP3S0	besar
l	las	DA0FP0	el
M	manos	NCFP000	mano
de	de	SPS00	de
Vmd	VM	NP00000	VM
su	su	DP3CS0	su
mr	mayor	AQ0CS0	mayor
servr	servidor	NCMS000	servidor
	,	Fc	,
Dn	don	NP00000	don
Joseph	Joseph	NP00000	joseph
Feliu	Feliu	NP00000	feliu
Sa	Señora	NP00000	señor
Maria	María	NP00000	maría
Rodrigez	Rodríguez	NP00000	rodríguez
	.	Fp	.
