Mi	Mi		
Padre	padre		
fray	fray		
Alonsso	Alonso		
de	de		
Puga	Puga		
y	y		
Parzero	Parcero		
	.		
aseguro	Aseguro		
a	a		
Vm	VM		
me	me		
tiene	tiene		
Con	con		
grandisimo	grandísimo		
Cuidado	cuidado		
el	el		
aber	haber		
esPerimentado	experimentado		
la	la		
merçed	merced		
y	y		
Caridad	caridad		
que	que		
me	me		
a	ha		
echo	hecho		
;	.		
y	Y		
que	que		
	,		
abiendo	habiendo		
esCrito	escrito		
quatro	cuatro		
Cartas	cartas		
Por	por		
mano	mano		
de	de		
mi	mi		
amigo	amigo		
el	el		
Conde	conde		
de	de		
la	la		
Laguna	Laguna		
	,		
que	que		
no	no		
Puedo	puedo		
dudar	dudar		
lo	lo		
que	que		
me	me		
disse	dice		
qe	que		
las	las		
a	ha		
imbiado	enviado		
Com	con		
Perssona	persona		
segura	segura		
qe	que		
las	las		
Pusiera	pusiera		
en	en		
la	la		
de	de		
V	vuestra		
Pd	paternidad		
	;		
y	y		
a	a		
mas	más		
se	se		
adelanta	adelanta		
mi	mi		
Confianza	confianza		
en	en		
V	vuestra		
Pd	paternidad		
que	que		
	,		
de	de		
no	no		
aber	haber		
llegado	llegado		
ninguna	ninguna		
	,		
me	me		
ubiera	hubiera		
escrito	escrito		
	,		
Pues	pues		
Para	para		
qe	que		
bengan	vengan		
seguras	seguras		
no	no		
es	es		
menester	menester		
mas	más		
qe	que		
echarlas	echarlas		
en	en		
el	el		
Correo	correo		
a	a		
mi	mi		
nonbre	nombre		
o	o		
llebarla	llevarla		
al	al		
Combento	convento		
de	de		
San	San		
Joan	Juan		
de	de		
la	la		
Palma	Palma		
	,		
Pues	pues		
biene	viene		
mas	más		
segura	segura		
Con	con		
la	la		
de	de		
teressa	Teresa		
	.		
y	Y		
no	no		
es	es		
del	del		
Casso	caso		
dezir	decir		
Cuya	cuya		
es	es		
	,		
sino	sino		
qe	que		
la	la		
meta	meta		
en	en		
el	el		
Pliego	pliego		
	.		
conqe	Conque		
	,		
si	si		
Vm	VM		
gustare	gustare		
de	de		
faborezerme	favorecerme		
	,		
es	es		
fazilisimo	facílisimo		
Reziba	reciba		
yo	yo		
las	las		
Cartas	cartas		
y	y		
me	me		
de	dé		
muy	muy		
buenas	buenas		
notizias	noticias		
de	de		
su	su		
salud	salud		
	,		
que	que		
es	es		
lo	lo		
PrinziPal	principal		
en	en		
todos	todos		
tiemPos	tiempos		
;	.		
oy	Hoy		
me	me		
allo	hallo		
Con	con		
dos	dos		
enfermos	enfermos		
de	de		
Cuidado	cuidado		
	.		
el	El		
uno	uno		
es	es		
mi	mi		
hijo	hijo		
mayor	mayor		
	,		
que	que		
es	es		
mudo	mudo		
Por	por		
la	la		
misericordia	misericordia		
de	de		
dios	Dios		
Con	con		
los	los		
demas	demás		
ermanos	hermanos		
que	que		
tiene	tiene		
	.		
el	El		
otro	otro		
es	es		
un	un		
Criado	criado		
que	que		
me	me		
ase	hace		
mucha	mucha		
falta	falta		
	,		
y	y		
mas	más		
siendo	siendo		
Poquisimos	poquísimos		
los	los		
que	que		
tengo	tengo		
;	.		
y	Y		
	,		
abiendo	habiendo		
Pocos	pocos		
medios	medios		
Para	para		
estar	estar		
todos	todos		
buenos	buenos		
	,		
es	es		
Presisso	preciso		
Passarlo	pasarlo		
Peor	peor		
Con	con		
los	los		
enfermos	enfermos		
	.		
Vm	VM		
me	me		
enComiende	encomiende		
a	a		
dios	Dios		
Para	para		
qe	que		
me	me		
de	dé		
berdadera	verdadera		
Conformidad	conformidad		
Con	con		
Su	su		
Santisima	santísima		
boluntad	voluntad		
	,		
que	que		
es	es		
la	la		
summa	suma		
felizidad	felicidad		
;	.		
y	Y		
	,		
estando	estando		
Vm	VM		
Con	con		
salud	salud		
y	y		
no	no		
teniendo	teniendo		
inCombeniente	inconveniente		
	,		
esPero	espero		
me	me		
diga	diga		
Vm	VM		
Como	cómo		
le	le		
ba	va		
Con	con		
los	los		
nuebos	nuevos		
arrendadores	arrendadores		
y	y		
Si	si		
se	se		
ase	hace		
la	la		
obra	obra		
mas	más		
Presisa	precisa		
y	y		
si	si		
an	han		
rremediado	remediado		
los	los		
Posos	pozos		
	,		
Pues	pues		
es	es		
quando	cuando		
mas	más		
falta	falta		
asen	hacen		
el	el		
berano	verano		
;	.		
y	Y		
lo	lo		
que	que		
e	he		
SuPlicado	suplicado		
a	a		
Vm	VM		
en	en		
las	las		
qe	que		
e	he		
scrito	escrito		
	:		
si	si		
esta	está		
bueno	bueno		
de	de		
azeituna	aceituna		
y	y		
bellota	bellota		
;	.		
Y	Y		
tanbien	también		
me	me		
a	ha		
de	de		
azer	hacer		
Vm	VM		
merçed	merced		
de	de		
dezirme	decirme		
que	qué		
Carbon	carbón		
le	le		
abra	habrá		
quedado	quedado		
al	al		
sesionario	cesionario		
Cuyo	cuyo		
es	es		
	.		
Pues	Pues		
Presisamente	precisamente		
e	he		
de	de		
tener	tener		
yo	yo		
mucha	mucha		
Perdida	pérdida		
	,		
Pues	pues		
antes	antes		
de	de		
emPesar	empezar		
el	el		
terzer	tercer		
orno	horno		
se	se		
bendia	vendía		
a	a		
2	2		
1/4	1/4		
	,		
Como	como		
el	él		
mismo	mismo		
embio	envió		
a	a		
dezir	decir		
	,		
y	y		
luego	luego		
la	la		
Puzieron	pusieron		
a	a		
2	2		
	.		
y	Y		
quiera	quiera		
dios	Dios		
no	no		
lo	lo		
ayan	hayan		
bajado	bajado		
mas	más		
	,		
que	que		
tambien	también		
e	he		
de	de		
Perder	perder		
lo	lo		
qe	que		
tomare	tomare		
de	de		
alCabala	alcabala		
el	el		
Sor	señor		
Padre	padre		
del	del		
arrendador	arrendador		
	,		
qe	que		
se	se		
Por	por		
testa	testa		
de	de		
ferro	ferro		
Para	para		
azerlo	hacerlo		
todo	todo		
de	de		
una	una		
manera	manera		
	.		
Dios	Dios		
me	me		
de	dé		
su	su		
grazia	gracia		
y	y		
bengan	vengan		
trabajos	trabajos		
	.		
Segun	Según		
lo	lo		
que	que		
escribieron	escribieron		
de	de		
Sevilla	Sevilla		
a	a		
mis	mis		
hijas	hijas		
	,		
la	la		
biña	viña		
totalmente	totalmente		
se	se		
Perdio	perdió		
segun	según		
la	la		
deJo	dejó		
D	don		
ingnazio	Ignacio		
siendo	siendo		
un	un		
Caballero	caballero		
tan	tan		
Santo	santo		
y	y		
tan	tan		
disCreto	discreto		
	.		
y	Y		
no	no		
quiero	quiero		
Canzar	cansar		
mas	más		
a	a		
Vm	VM		
asta	hasta		
ber	ver		
Carta	carta		
suya	suya		
	,		
sintiendo	sintiendo		
el	el		
qe	que		
	,		
abiendo	habiendo		
qedado	quedado		
su	su		
ermano	hermano		
de	de		
Vm	VM		
Commigo	conmigo		
en	en		
que	que		
me	me		
aria	haría		
merçed	merced		
de	de		
berme	verme		
	,		
todabia	todavía		
no	no		
a	ha		
llegado	llegado		
este	este		
Casso	caso		
	.		
nro	Nuestro		
Sor	Señor		
gde	guarde		
a	a		
Vm	VM		
ms	muchos		
as	años		
Como	como		
deseo	deseo		
	.		
madrid	Madrid		
	,		
y	y		
septiembre	septiembre		
1	1		
de	de		
710	710		
	.		
B	Besa		
L	las		
M	manos		
de	de		
Vm	VM		
su	su		
mas	más		
afecto	afecto		
y	y		
seguro	seguro		
servidor	servidor		
	,		
el	el		
Marques	marqués		
de	de		
Jelo	Gelo		
el	El		
sabado	sábado		
estube	estuve		
en	en		
sam	San		
miguel	Miguel		
y	y		
logre	logré		
el	el		
ber	ver		
a	a		
el	el		
sor	señor		
D	don		
franco	Francisco		
	,		
ermano	hermano		
de	de		
Vm	VM		
	,		
Por	por		
quiem	quien		
ba	va		
esta	ésta		
a	a		
ber	ver		
si	si		
tiene	tiene		
mejor	mejor		
fortuna	fortuna		
qe	que		
quatro	cuatro		
qu	que		
e	he		
imbiado	enviado		
Por	por		
el	el		
Conde	conde		
de	de		
la	la		
Laguna	Laguna		
	.		
