Muy	Muy	RQ	muy
señor	señor	NP00000	señor
mio	mío	DP1MSS	mío
:	.	Fp	.
Con	Con	SPS00	con
el	el	DA0MS0	el
mo-tivo	motivo	NCMS000	motivo
de	de	SPS00	de
haver	haber	VMN0000	haber
de	de	SPS00	de
passar	pasar	VMN0000	pasar
á	a	SPS00	a
francia	Francia	NP00000	francia
y	y	CC	y
no	no	RN	no
poder	poder	VMN0000	poder
Yr	ir	VMN0000	ir
á	a	SPS00	a
essa	ésa	PD0FS000	ese
a	a	SPS00	a
ajustar	ajustar	VMN0000	ajustar
quentas	cuentas	NCFP000	cuenta
como	como	CS	como
aviamos	habíamos	VAII1P0	haber
Quedado	quedado	VMP0000	quedar
,	,	Fc	,
lo	lo	PP3CNA00	lo
dejo	dejo	VMIP1S0	dejar
todo	todo	PI0MS000	todo
al	al	SPS00+DA0MS0	a+el
Cuydado	cuidado	NCMS000	cuidado
de	de	SPS00	de
vm	VM	NP00000	VM
	.	Fp	.
y	Y	CC	y
le	le	PP3CSD00	le
suplico	suplico	VMIP1S0	suplicar
me	me	PP1CS000	me
diga	diga	VMSP0S0	decir
en	en	SPS00	en
respta	respuesta	NCFS000	respuesta
sy	si	CS	si
los	los	DA0MP0	el
1000	1000	Z	1000
lb	libras	NCFP000	libra
y	y	CC	y
tantas	tantas	DI0FP0	tanto
que	que	PR0CN000	que
apartte	aparte	RG	aparte
de	de	SPS00	de
todo	todo	PI0MS000	todo
me	me	PP1CS000	me
toca	toca	VMIP3S0	tocar
percivir	percibir	VMN0000	percibir
estan	están	VMIP3P0	estar
Ya	ya	RG	ya
covradas	cobradas	VMP00PF	cobrar
,	,	Fc	,
para	para	SPS00	para
	,	Fc	,
como	como	CS	como
Ya	ya	RG	ya
tengo	tengo	VMIP1S0	tener
encargado	encargado	VMP00SM	encargar
a	a	SPS00	a
su	su	DP3CS0	su
sobrino	sobrino	NCMS000	sobrino
de	de	SPS00	de
vm	VM	NP00000	VM
	,	Fc	,
hazer	hacer	VMN0000	hacer
algs	algunas	DI0FP0	alguno
partidas	partidas	NCFP000	partida
de	de	SPS00	de
Azeitte	aceite	NCMS000	aceite
,	.	Fp	.
pa	Para	SPS00	para
Cuyo	cuyo	PU0MS000	cuyo
fin	fin	NCMS000	fin
podra	podrá	VMIF3S0	poder
assymismo	asimismo	RG	asimismo
servir	servir	VMN0000	servir
el	el	DA0MS0	el
dino	dinero	NCMS000	dinero
que	que	PR0CN000	que
se	se	P00CN000	se
saque	saque	VMSP0S0	sacar
del	del	SPS00+DA0MS0	de+el
Azeitte	aceite	NCMS000	aceite
q	que	PR0CN000	que
ay	ahí	RG	ahí
se	se	P00CN000	se
alla	halla	VMIP3S0	hallar
esistentte	existente	AQ0CS0	existente
,	,	Fc	,
el	el	DA0MS0	el
que	que	PR0CN000	que
encargo	encargo	VMIP1S0	encargar
a	a	SPS00	a
vm	VM	NP00000	VM
Venda	venda	VMSP0S0	vender
qto	cuanto	PA000000	cuanto
antes	antes	RG	antes
	.	Fp	.
y	Y	CC	y
assymismo	asimismo	RG	asimismo
,	,	Fc	,
sy	si	CS	si
lo	lo	DA0NS0	el
que	que	PR0CN000	que
se	se	P00CN000	se
Covre	cobre	VMSP0S0	cobrar
de	de	SPS00	de
las	las	DA0FP0	el
Mulas	mulas	NCFP000	mulo
es	es	VSIP3S0	ser
dino	dinero	NCMS000	dinero
	,	Fc	,
podra	podrá	VMIF3S0	poder
servir	servir	VMN0000	servir
pa	para	SPS00	para
lo	lo	DA0NS0	el
mismo	mismo	AQ0MS0	mismo
	,	Fc	,
como	como	CS	como
assymismo	asimismo	RG	asimismo
todas	todas	DI0FP0	todo
las	las	DA0FP0	el
demas	demás	DI0CP0	demás
partidas	partidas	NCFP000	partida
que	que	PR0CN000	que
vayan	vayan	VMSP3P0	ir
entrando	entrando	VMG0000	entrar
en	en	SPS00	en
su	su	DP3CS0	su
poder	poder	NCMS000	poder
de	de	SPS00	de
vm	VM	NP00000	VM
	,	Fc	,
a	a	SPS00	a
quien	quien	PR0CS000	quien
estimaré	estimaré	VMIF1S0	estimar
me	me	PP1CS000	me
diga	diga	VMSP0S0	decir
sy	si	CSI	si
le	le	PP3CSD00	le
pareze	parece	VMIP3S0	parecer
Yra	irá	VMIF3S0	ir
a	a	SPS00	a
8	8	Z	8
o	o	CC	o
9	9	Z	9
rs	reales	NCMP000	real
el	el	DA0MS0	el
Azeitte	aceite	NCMS000	aceite
como	como	CS	como
s	se	P00CN000	se
precie	precie	VMSP0S0	preciar
	,	Fc	,
que	que	CS	que
	,	Fc	,
de	de	SPS00	de
lo	lo	DA0NS0	el
contrario	contrario	NCMS000	contrario
,	,	Fc	,
no	no	RN	no
Convendria	convendría	VMIC0S0	convenir
,	.	Fp	.
y	Y	CC	y
digame	dígame	VMSP0S0+PP1CS000	decir+me
vm	VM	NP00000	VM
	,	Fc	,
assymismo	asimismo	RG	asimismo
,	,	Fc	,
sy	si	CS	si
avra	habrá	VMIF3S0	haber
tpo	tiempo	NCMS000	tiempo
pa	para	SPS00	para
fines	fines	NCMP000	fin
de	de	SPS00	de
9bre	noviembre	NCMS000	noviembre
	,	Fc	,
que	que	CS	que
sera	será	VSIF3S0	ser
my	mi	DP1CSS	mi
regresso	regreso	NCMS000	regreso
a	a	SPS00	a
estta	ésta	PD0FS000	este
,	,	Fc	,
el	el	DA0MS0	el
embiar	enviar	VMN0000	enviar
dino	dinero	NCMS000	dinero
a	a	SPS00	a
essa	ésa	PD0FS000	ese
o	o	CC	o
sy	si	CS	si
a	ha	VMIP3S0	haber
de	de	SPS00	de
ser	ser	VSN0000	ser
anttes	antes	RG	antes
,	,	Fc	,
para	para	SPS00	para
tomar	tomar	VMN0000	tomar
mis	mis	DP1CPS	mi
providencias	providencias	NCFP000	providencia
	.	Fp	.
La	La	DA0FS0	el
respta	respuesta	NCFS000	respuesta
la	la	PP3FSA00	lo
encaminara	encaminará	VMIF3S0	encaminar
vm	VM	NP00000	VM
a	a	SPS00	a
dn	don	NP00000	don
Juan	Juan	NP00000	juan
Safforas	Saforas	NP00000	saforas
,	,	Fc	,
prqe	porque	CS	porque
no	no	RN	no
se	sé	VMIP1S0	saber
sy	si	CSI	si
estaré	estaré	VMIF1S0	estar
Ya	ya	RG	ya
el	el	DA0MS0	el
martes	martes	NCMN000	martes
por	por	SPS00	por
aquy	aquí	RG	aquí
,	.	Fp	.
digame	Dígame	VMSP0S0+PP1CS000	decir+me
vm	VM	NP00000	VM
todo	todo	PI0MS000	todo
que	que	PR0CN000	que
le	le	PP3CSD00	le
ocurra	ocurra	VMSP0S0	ocurrir
pa	para	SPS00	para
my	mi	DP1CSS	mi
govo	gobierno	NCMS000	gobierno
y	y	CC	y
mande	mande	VMSP0S0	mandar
vm	VM	NP00000	VM
pa	para	SPS00	para
su	su	DP3CS0	su
Patria	patria	NCFS000	patria
	,	Fc	,
pues	pues	CS	pues
sabe	sabe	VMIP3S0	saber
vm	VM	NP00000	VM
desseo	deseo	VMIP1S0	desear
servirle	servirle	VMN0000+PP3CSA00	servir+le
,	.	Fp	.
estimaré	Estimaré	VMIF1S0	estimar
vm	VM	NP00000	VM
confiera	confiera	VMSP0S0	conferir
todo	todo	DI0MS0	todo
esto	esto	PD0NN000	esto
con	con	SPS00	con
su	su	DP3CS0	su
sobo	sobrino	NCMS000	sobrino
pa	para	SPS00	para
que	que	CS	que
aga	haga	VMSP0S0	hacer
la	la	DA0FS0	el
pre-venzion	prevención	NCFS000	prevención
de	de	SPS00	de
Bodegas	bodegas	NCFP000	bodega
y	y	CC	y
demas	demás	NCMS000	demás
Cossas	cosas	NCFP000	cosa
que	que	PR0CN000	que
sean	sean	VSSP3P0	ser
menester.	menester.	NP00000	menester.
Dios	Dios	NP00000	dios
ge	guarde	VMSP0S0	guardar
a	a	SPS00	a
vm	VM	NP00000	VM
ms	muchos	DI0MP0	mucho
ans	años	NCMP000	año
	.	Fp	.
Zaraga	Zaragoza	NP00000	zaragoza
	,	Fc	,
y	y	CC	y
7bre	septiembre	NCMS000	septiembre
a	a	SPS00	a
6	6	Z	6
de	de	SPS00	de
1752	1752	Z	1752
	.	Fp	.
B	Besa	VMIP3S0	besar
ls	las	DA0FP0	el
Ms	manos	NCFP000	mano
de	de	SPS00	de
vm	VM	NP00000	VM
su	su	DP3CS0	su
m	más	RC	más
aprdo	apreciado	VMP00SM	apreciar
y	y	CC	y
sego	seguro	AQ0MS0	seguro
s	servidor	NCMS000	servidor
	,	Fc	,
Manl	Manuel	NP00000	manuel
Labordeta	Labordeta	NP00000	labordeta
Sr	Señor	NP00000	señor
Justo	Justo	AQ0MS0	justo
tronquet	Tronquet	NP00000	tronquet
	.	Fp	.
