AVe	Ave	I	ave
maria	María	NP00000	maría
Sor	Señor	NP00000	señor
Don	don	NP00000	don
Juan	Juan	NP00000	juan
	.	Fp	.
haunque	Aunque	CC	aunque
escrivi	escribí	VMIS1S0	escribir
con	con	SPS00	con
Juan	Juan	NP00000	juan
Antonio	Antonio	NP00000	antonio
,	,	Fc	,
por	por	SPS00	por
tener	tener	VMN0000	tener
aora	ahora	RG	ahora
la	la	DA0FS0	el
ocasion	ocasión	NCFS000	ocasión
de	de	SPS00	de
que	que	CS	que
ba	va	VMIP3S0	ir
Biñas	Viñas	NP00000	viñas
no	no	RN	no
escuso	excuso	VMIP1S0	excusar
el	el	DA0MS0	el
Repetir	repetir	VMN0000	repetir
esta	ésta	PD0FS000	este
,	.	Fc	,
nos	Nos	PP1CP000	nos
alegraremos	alegraremos	VMIP1P0	alegrarer
mui	muy	RQ	muy
mucho	mucho	RQ	mucho
que	que	CS	que
Vmd	VM	NP00000	VM
se	se	P00CN000	se
mantenga	mantenga	VMSP0S0	mantener
sin	sin	SPS00	sin
nobedad	novedad	NCFS000	novedad
en	en	SPS00	en
la	la	DA0FS0	el
salud	salud	NCFS000	salud
,	.	Fp	.
por	Por	SPS00	por
haca	acá	RG	acá
no	no	RN	no
ai	hay	VMIP3S0	haber
nobedad	novedad	NCFS000	novedad
en	en	SPS00	en
la	la	DA0FS0	el
salud	salud	NCFS000	salud
en	en	SPS00	en
mi	mi	DP1CSS	mi
señora	señora	NP00000	señor
Doña	doña	NP00000	don
Rosa	Rosa	NP00000	rosa
ni	ni	CCN	ni
en	en	SPS00	en
Joroma	Jeroma	NP00000	jeroma
,	,	Fc	,
aunque	aunque	CS	aunque
no	no	RN	no
anda	anda	VMIP3S0	andar
estos	estos	DD0MP0	este
dias	días	NCMP000	día
mui	muy	RQ	muy
buena	buena	AQ0FS0	bueno
	,	Fc	,
que	que	CS	que
a	ha	VAIP3S0	haber
sido	sido	VSP0000	ser
preziso	preciso	AQ0MS0	preciso
el	el	DA0MS0	el
purgarse	purgarse	VMN0000+P00CN000	purgar+se
,	.	Fp	.
y	Y	CC	y
mariquita	Mariquita	NP00000	mariquita
esta	está	VMIP3S0	estar
los	los	DA0MP0	el
mas	más	RC	más
dias	días	NCMP000	día
si	si	CS	si
se	se	P00CN000	se
muere	muere	VMIP3S0	morir
o	o	CC	o
se	si	CS	si
bibe	vive	VMIP3S0	vivir
,	,	Fc	,
y	y	CC	y
lamentandose	lamentándose	VMG0000+P00CN000	lamentar+se
mucho	mucho	RQ	mucho
de	de	SPS00	de
que	que	CS	que
no	no	RN	no
la	la	PP3FSA00	lo
ponen	ponen	VMIP3P0	poner
en	en	SPS00	en
cura	cura	NCMS000	cura
i	y	CC	y
que	que	CS	que
se	se	P00CN000	se
pasa	pasa	VMIP3S0	pasar
el	el	DA0MS0	el
tienpo	tiempo	NCMS000	tiempo
y	y	CC	y
que	que	CS	que
suzedera	sucederá	VMIF3S0	suceder
lo	lo	DA0NS0	el
mismo	mismo	AQ0MS0	mismo
que	que	PR0CN000	que
el	el	DA0MS0	el
año	año	NCMS000	año
pasado	pasado	VMP00SM	pasar
,	.	Fp	.
i	Y	CC	y
asi	así	RG	así
dize	dice	VMIP3S0	decir
que	que	CS	que
se	se	P00CN000	se
benga	venga	VMSP0S0	venir
Vmd	VM	NP00000	VM
de	de	SPS00	de
contado	contado	NCMS000	contado
,	,	Fc	,
que	que	CS	que
si	si	CS	si
Vmd	VM	NP00000	VM
no	no	RN	no
lo	lo	PP3CNA00	lo
dispone	dispone	VMIP3S0	disponer
el	el	DA0MS0	el
que	que	CS	que
la	la	PP3FSA00	lo
pongan	pongan	VMSP3P0	poner
en	en	SPS00	en
cura	cura	NCMS000	cura
	,	Fc	,
que	que	CS	que
no	no	RN	no
ai	hay	VMIP3S0	haber
quien	quien	PR0CS000	quien
lo	lo	PP3CNA00	lo
disponga	disponga	VMSP0S0	disponer
,	.	Fp	.
Rezibiva	Reciba	VMSP0S0	recibir
Vmd	VM	NP00000	VM
memorias	memorias	NCFP000	memoria
de	de	SPS00	de
todos	todos	DI0MP0	todo
tres	tres	Z	3
;	.	Fp	.
en	En	SPS00	en
el	el	DA0MS0	el
lugar	lugar	NCMS000	lugar
no	no	RN	no
ai	hay	VMIP3S0	haber
nobedad	novedad	NCFS000	novedad
alguna	alguna	DI0FS0	alguno
;	.	Fp	.
i	Y	CC	y
n	no	RN	no
ofreziendose	ofreciéndose	VMG0000+P00CN000	ofrecer+se
otra	otra	DI0FS0	otro
cosa	cosa	NCFS000	cosa
	,	Fc	,
quedo	quedo	VMIP1S0	quedar
de	de	SPS00	de
Vmd	VM	NP00000	VM
para	para	SPS00	para
quanto	cuanto	PA000000	cuanto
me	me	PP1CS000	me
quisiere	quisiere	VMSF0S0	querer
mandar	mandar	VMN0000	mandar
,	.	Fp	.
Dios	Dios	NP00000	dios
me	me	PP1CS000	me
le	le	PP3CSA00	le
guarde	guarde	VMSP0S0	guardar
m	muchos	DI0MP0	mucho
an	años	NCMP000	año
	.	Fp	.
Minaia	Minaya	NP00000	minaya
	,	Fc	,
y	y	CC	y
Junio	junio	NCMS000	junio
5	5	Z	5
de	de	SPS00	de
1754	1754	Z	1754
a	años	NCMP000	año
	.	Fp	.
de	De	SPS00	de
Vmd	VM	NP00000	VM
ex	ex	NP00000	VM
corde	corde	NP00000	VM
que	que	PR0CN000	que
S	su	DP3CS0	su
M	mano	NCFS000	mano
Bsa	besa	VMIP3S0	besar
	,	Fc	,
fr	fray	NP00000	fray
fran	Francisco	NP00000	francisco
de	de	SPS00	de
Almagro	Almagro	NP00000	almagro
Sor	Señor	NP00000	señor
Don	don	NP00000	don
Juan	Juan	NP00000	juan
Antonio	Antonio	NP00000	antonio
SeRa	Serra	NP00000	serra
,	.	Fp	.
Juan	Juan	NP00000	juan
Antonio	Antonio	NP00000	antonio
que	que	CS	que
traiga	traiga	VMSP0S0	traer
unos	unos	DI0MP0	uno
pocos	pocos	DI0MP0	poco
cañamones	cañamones	NCMP000	cañamón
	,	Fc	,
que	que	CS	que
no	no	RN	no
ai	hay	VMIP3S0	haber
para	para	SPS00	para
el	el	DA0MS0	el
pajaro	pájaro	NCMS000	pájaro
,	,	Fc	,
que	que	PR0CN000	que
encarga	encarga	VMIP3S0	encargar
mi	mi	DP1CSS	mi
Sra	señora	NP00000	señor
Doña	doña	NP00000	don
Rosa	Rosa	NP00000	rosa
	.	Fp	.
