Mui	Muy		
sr	señor		
mio	mío		
:	.		
en	En		
vista	vista		
de	de		
la	la		
de	de		
Vm	VM		
en	en		
respta	respuesta		
de	de		
mi	mi		
anterior	anterior		
	,		
qe	que		
me	me		
a	ha		
entregado	entregado		
dn	don		
Anto	Antonio		
de	de		
Sines	Sines		
:	,		
digo	digo		
quedo	quedo		
satisfho	satisfecho		
en	en		
lo	lo		
qe	que		
eche	eché		
menos	menos		
de	de		
la	la		
falta	falta		
de	de		
Carta	carta		
de	de		
Vm	VM		
quando	cuando		
se	se		
traslado	trasladó		
dn	don		
Diego	Diego		
Hurtado	Hurtado		
del	del		
Combto	convento		
a	a		
su	su		
Casa	casa		
de	de		
Vm	VM		
,	.		
y	Y		
	,		
ademas	además		
	,		
de	de		
lo	lo		
qe	que		
me	me		
dice	dice		
en	en		
qto	cuanto		
a	a		
los	los		
demas	demás		
particulares	particulares		
	,		
me	me		
ha	ha		
informado	informado		
dho	dicho		
dn	don		
Anto	Antonio		
	,		
por	por		
cuia	cuya		
mano	mano		
a	ha		
benido	venido		
su	su		
Carta	carta		
mui	muy		
individualmte	individualmente		
	.		
y	Y		
en	en		
el	el		
de	de		
la	la		
qta	cuenta		
qe	que		
se	se		
incluie	incluye		
del	del		
Prior	prior		
de	de		
sn	San		
Juan	Juan		
de	de		
Dios	Dios		
	,		
es	es		
mui	muy		
bochornoso	bochornoso		
disputarsela	disputársela		
y	y		
qe	que		
de	de		
ello	ello		
no	no		
se	se		
sacara	sacará		
fruto	fruto		
,	,		
ademas	además		
de	de		
no	no		
hallarse	hallarse		
ya	ya		
ahi	ahí		
por	por		
haver	haber		
pasado	pasado		
a	a		
el	el		
otro	otro		
destino	destino		
	.		
y	Y		
el	él		
se	se		
abra	habrá		
arreglado	arreglado		
a	a		
su	su		
conciencia	conciencia		
	,		
porqe	porque		
me	me		
parece	parece		
se	se		
haya	haya		
de	de		
estar	estar		
por	por		
ella	ella		
.	.		
en	En		
quanto	cuanto		
a	a		
lo	lo		
qe	que		
dije	dije		
a	a		
vm	VM		
en	en		
punto	punto		
de	de		
la	la		
qe	que		
havia	había		
de	de		
llevar	llevar		
	,		
no	no		
es	es		
en	en		
el	el		
concepto	concepto		
de	de		
qe	que		
sea	sea		
como	como		
vm	VM		
a	ha		
conceptuado	conceptuado		
	,		
sino	sino		
solamte	solamente		
en	en		
qe	que		
	,		
entrando	entrando		
en	en		
su	su		
poder	poder		
las	las		
cantidades	cantidades		
qe	que		
se	se		
le	le		
librasen	librasen		
	,		
las	las		
distribuya	distribuya		
nada	nada		
le	le		
falte	falte		
al	al		
enfermo	enfermo		
,	,		
pero	pero		
con	con		
la	la		
medida	medida		
qe	que		
a	a		
vm	VM		
le	le		
parezca	parezca		
,	.		
y	Y		
sobre	sobre		
todo	todo		
manejandose	manejándose		
segun	según		
su	su		
buena	buena		
conducta	conducta		
y	y		
haciendo	haciendo		
toda	toda		
aquella	aquella		
Confianza	confianza		
qe	que		
corresponde	corresponde		
a	a		
las	las		
circunsts	circunstancias		
de	de		
Vm	VM		
	,		
ya	ya		
inteligenzdo	inteligenciado		
por	por		
mi	mi		
anterior	anterior		
de	de		
todas	todas		
las	las		
del	del		
asunto	asunto		
	.		
y	Y		
el	el		
interesado	interesado		
en	en		
ello	ello		
a	ha		
logrado	logrado		
qto	cuanto		
podia	podía		
desear	desear		
en	en		
el	el		
acojimto	acogimiento		
a	a		
su	su		
Casa	casa		
y	y		
asistencia	asistencia		
con	con		
su	su		
fama	familia		
	,		
respecto	respecto		
de	de		
qe	que		
el	el		
Medico	médico		
qe	que		
de	de		
nuevo	nuevo		
a	ha		
enviado	enviado		
a	ha		
compreendido	comprendido		
su	su		
mal	mal		
,	,		
pero	pero		
devemos	debemos		
procurarnos	procurarnos		
qe	que		
se	se		
logre	logre		
su	su		
curazn	curación		
	,		
de	de		
qe	que		
vm	VM		
y	y		
todos	todos		
nos	nos		
gloriaremos	gloriaremos		
	.		
y	Y		
no	no		
debe	debe		
vm	VM		
sentir	sentir		
lo	lo		
qe	que		
me	me		
dice	dice		
de	de		
no	no		
extar	estar		
en	en		
constituzn	constitución		
pa	para		
hacer	hacer		
por	por		
si	sí		
el	el		
coste	coste		
	,		
porqe	porque		
le	le		
puede	puede		
ser	ser		
bochornoso	bochornoso		
	,		
ni	ni		
hara	hará		
razn	razón		
qe	que		
lo	lo		
hiciera	hiciera		
	,		
pues	pues		
no	no		
es	es		
por	por		
quanto	cuanto		
tenerlo	tenerlo		
en	en		
su	su		
casa	casa		
y	y		
mas	más		
con	con		
los	los		
costos	costos		
de	de		
enfermo	enfermo		
.	.		
