Querido	Querido	VMP00SM	querer
Dn	don	NP00000	don
Manl	Manuel	NP00000	manuel
	.	Fp	.
salud	Salud	NCFS000	salud
.	.	Fp	.
el	El	DA0MS0	el
mro	maestro	NP00000	maestro
Alaba	Álava	NP00000	álava
	,	Fc	,
a	a	SPS00	a
lo	lo	DA0NS0	el
qe	que	PR0CN000	que
entiendo	entiendo	VMIP1S0	entender
	,	Fc	,
escribio	escribió	VMIS3S0	escribir
al	al	SPS00+DA0MS0	a+el
tribunal	tribunal	NCMS000	tribunal
y	y	CC	y
el	el	DA0MS0	el
P	padre	NCMS000	padre
Prior	prior	NCMS000	prior
me	me	PP1CS000	me
mando	mandó	VMIS3S0	mandar
reti-rar	retirar	VMN0000	retirar
a	a	SPS00	a
la	la	DA0FS0	el
celda	celda	NCFS000	celda
porqe	porque	CS	porque
escribo	escribo	VMIP1S0	escribir
en	en	SPS00	en
favor	favor	NCMS000	favor
de	de	SPS00	de
mi	mi	DP1CSS	mi
Rei	rey	NCMS000	rey
.	.	Fp	.
Es	Es	VSIP3S0	ser
preciso	preciso	AQ0MS0	preciso
qe	que	CS	que
usted	usted	PP2CS000	usted
me	me	PP1CS000	me
ampare	ampare	VMSP0S0	amparar
como	como	CS	como
Pe	padre	NCMS000	padre
	,	Fc	,
como	como	CS	como
herma-no	hermano	NCMS000	hermano
y	y	CC	y
como	como	CS	como
madre	madre	NCFS000	madre
.	.	Fp	.
Presente	Presente	VMSP0S0	presentar
vmd	VM	NP00000	VM
luego	luego	RG	luego
	,	Fc	,
luego	luego	RG	luego
	,	Fc	,
luego	luego	RG	luego
al	al	SPS00+DA0MS0	a+el
Señor	señor	NP00000	señor
Roda	Roda	NP00000	roda
essas	esas	DD0FP0	ese
copias	copias	VMIP2S0	copiar
como	como	CS	como
estubieren	estuvieren	VASF3P0	estar
enfardaditas	enfardaditas	NCFP000	enfardadita
en	en	SPS00	en
una	una	DI0FS0	uno
sabana	sábana	NCFS000	sábana
	.	Fp	.
y	Y	CC	y
diga	diga	VMSP0S0	decir
usted	usted	PP2CS000	usted
a	a	SPS00	a
su	su	DP3CS0	su
Illma	ilustrísima	AQSFS0	ilustre
como	como	CS	como
un	un	DI0MS0	uno
Pe	padre	NCMS000	padre
del	del	SPS00+DA0MS0	de+el
Risco	Risco	NP00000	risco
puso	puso	VMIS3S0	poner
en	en	SPS00	en
pder	poder	NCMS000	poder
de	de	SPS00	de
usted	usted	PP2CS000	usted
essos	esos	DD0MP0	ese
pa-peles	papeles	NCMP000	papel
y	y	CC	y
que	que	CS	que
le	le	PP3CSD00	le
pide	pide	VMIP3S0	pedir
por	por	SPS00	por
Ds	Dios	NP00000	dios
se	se	PP3CN000	se
las	las	DA0FP0	el
prensente	presente	AQ0CS0	presente
	,	Fc	,
lo	lo	DA0NS0	el
que	que	PR0CN000	que
usted	usted	PP2CS000	usted
hace	hace	VMIP3S0	hacer
gustoso	gustoso	AQ0MS0	gustoso
por	por	SPS00	por
contener	contener	VMN0000	contener
en	en	SPS00	en
sus	sus	DP3CP0	su
frentes	frentes	NCMP000	frente
todos	todos	DI0MP0	todo
ellos	ellos	PP3MP000	ellos
el	el	DA0MS0	el
Agustissimo	agustísimo	AQSMS0	agusto
nombe	nombre	NCMS000	nombre
de	de	SPS00	de
nro	nuestro	DP1MSP	nuestro
Rei	rey	NCMS000	rey
.	.	Fp	.
escribo	Escribo	VMIP1S0	escribir
a	a	SPS00	a
Yllma	ilustrísima	AQSFS0	ilustre
incluendo	incluyendo	VMG0000	incluir
la	la	DA0FS0	el
carta	carta	NCFS000	carta
del	del	SPS00+DA0MS0	de+el
S	señor	NP00000	señor
He-rrera	Herrera	NP00000	herrera
.	.	Fp	.
Y	Y	CC	y
le	le	PP3CSD00	le
digo	digo	VMIP1S0	decir
a	a	SPS00	a
este	este	DD0MS0	este
Illmo	ilustrísimo	AQSMS0	ilustre
como	como	CS	como
paran	paran	VMIP3P0	parar
en	en	SPS00	en
poder	poder	NCMS000	poder
de	de	SPS00	de
usted	usted	PP2CS000	usted
.	.	Fp	.
Entregue	Entregue	VMSP0S0	entregar
usted	usted	PP2CS000	usted
esta	esta	DD0FS0	este
carta	carta	NCFS000	carta
a	a	SPS00	a
su	su	DP3CS0	su
Yllma	ilustrísima	AQSFS0	ilustre
para	para	SPS00	para
su	su	DP3CS0	su
resguardo	resguardo	NCMS000	resguardo
.	.	Fp	.
Hagase	Hágase	VMSP0S0+P00CN000	hacer+se
cargo	cargo	NCMS000	cargo
qe	que	CS	que
es	es	VSIP3S0	ser
benigno	benigno	AQ0MS0	benigno
nro	nuestro	DP1MSP	nuestro
Pe	padre	NCMS000	padre
	.	Fp	.
Y	Y	CC	y
en	en	SPS00	en
el	el	DA0MS0	el
caso	caso	NCMS000	caso
qe	que	CS	que
no	no	RN	no
hago	hago	VMIP1S0	hacer
esto	esto	PD0NN000	esto
la	la	DA0FS0	el
copia	copia	NCFS000	copia
en	en	SPS00	en
Castellano	castellano	NCMS000	castellano
escon-dale	escóndale	NCMS000	escóndale
y	y	CC	y
separela	sepárela	NCFS000	sepárela
de	de	SPS00	de
las	las	DA0FP0	el
demas	demás	NCMS000	demás
	.	Fp	.
y	Y	CC	y
no	no	RN	no
la	la	PP3FSA00	lo
manifieste	manifieste	VMSP0S0	manifestar
si-no	sino	CC	sino
las	las	DA0FP0	el
latinas	latinas	NCFP000	latino
,	,	Fc	,
o	o	CC	o
si	si	CS	si
llegara	llegara	VMSI0S0	llegar
el	el	DA0MS0	el
caso	caso	NCMS000	caso
	,	Fc	,
qe	que	CS	que
no	no	RN	no
llegara	llegará	VMIF3S0	llegar
.	.	Fp	.
Espe-ro	Espero	VMIP1S0	esperar
este	este	DD0MS0	este
favor	favor	NCMS000	favor
se	se	P00CN000	se
le	le	PP3CSD00	le
pido	pido	VMIP1S0	pedir
en	en	SPS00	en
nombre	nombre	NCMS000	nombre
de	de	SPS00	de
S	su	DP3CS0	su
M	majestad	NCFS000	majestad
	.	Fp	.
Risco	Risco	NP00000	risco
	,	Fc	,
y	y	CC	y
1	1	Z	1
de	de	SPS00	de
Diciembe	diciembre	NCMS000	diciembre
de	de	SPS00	de
67	67	Z	67
	.	Fp	.
De	De	SPS00	de
usted	usted	PP2CS000	usted
	,	Fc	,
Manl	Manuel	NP00000	manuel
de	de	SPS00	de
Sn	San	NP00000	san
Juan	Juan	NP00000	juan
