Mui	Muy	RQ	muy
Sres	señores	NP00000	señor
mios	míos	DP1MPS	mío
	.	Fp	.
no	No	RN	no
he	he	VAIP1S0	haber
Respondido	respondido	VMP0000	responder
a	a	SPS00	a
las	las	DA0FP0	el
dos	dos	Z	2
favoresidas	favorecidas	VMP00PF	favorecer
de	de	SPS00	de
Vmd	VM	NP00000	VM
porque	porque	CS	porque
he	he	VAIP1S0	haber
estado	estado	VMP0000	estar
malo	malo	AQ0MS0	malo
y	y	CC	y
aun	aún	RG	aun
no	no	RN	no
estoy	estoy	VMIP1S0	estar
bueno	bueno	AQ0MS0	bueno
	.	Fp	.
y	Y	CC	y
pr	por	SPS00	por
eso	eso	PD0NN000	eso
no	no	RN	no
he	he	VAIP1S0	haber
respondido	respondido	VMP0000	responder
a	a	SPS00	a
una	una	DI0FS0	uno
q	que	PR0CN000	que
resevi	recibí	VMIS1S0	recibir
de	de	SPS00	de
los	los	DA0MP0	el
Sres	señores	NCMP000	señor
Viuda	Viuda	NCFS000	viudo
de	de	SPS00	de
dn	don	NP00000	don
Jul	Juan	NP00000	juan
Butler	Butler	NP00000	butler
y	y	CC	y
Compa	Compañía	NCFS000	compañía
	,	Fc	,
lo	lo	DA0NS0	el
q	que	PR0CN000	que
hare	haré	VMIF1S0	hacer
este	este	DD0MS0	este
correo	correo	NCMS000	correo
	,	Fc	,
asegurando	asegurando	VMG0000	asegurar
a	a	SPS00	a
Vmds	VMs	NP00000	VM
q	que	CS	que
no	no	RN	no
me	me	PP1CS000	me
queda	queda	VMIP3S0	quedar
Dilijensia	diligencia	NCFS000	diligencia
q	que	CS	que
no	no	RN	no
hago	hago	VMIP1S0	hacer
pr	por	SPS00	por
evacuar	evacuar	VMN0000	evacuar
la	la	DA0FS0	el
qta	cuenta	NCFS000	cuenta
	,	Fc	,
q	que	CS	que
lo	lo	PP3CNA00	lo
deseo	deseo	VMIP1S0	desear
mas	más	RC	más
q	que	CS	que
Vmds	VMs	NP00000	VM
	,	Fc	,
a	a	SPS00	a
qnes	quienes	PR0CP000	quien
deseo	deseo	VMIP1S0	desear
q	que	CS	que
nro	Nuestro	DP1MSP	nuestro
Sr	Señor	NP00000	señor
Ge	guarde	VMSP0S0	guardar
m	muchos	DI0MP0	mucho
a	años	NCMP000	año
	.	Fp	.
Sevilla	Sevilla	NP00000	sevilla
	,	Fc	,
1o	primero	RG	primero
de	de	SPS00	de
Dizre	diciembre	NCMS000	diciembre
de	de	SPS00	de
1737	1737	Z	1737
	.	Fp	.
B	Besa	VMIP3S0	besar
l	la	DA0FS0	el
mo	mano	NCFS000	mano
de	de	SPS00	de
Vmds	VMs	NP00000	VM
su	su	DP3CS0	su
mor	mayor	AQ0CS0	mayor
ser	servidor	NCMS000	servidor
	,	Fc	,
Pedro	Pedro	NP00000	pedro
Lynce	Lince	NP00000	lince
de	de	SPS00	de
Verastegui	Berástegui	NP00000	berástegui
Sres	Señores	NP00000	señor
Butlers	Butlers	NP00000	butlers
	,	Fc	,
Power	Power	NP00000	power
y	y	CC	y
Ca	Compañía	NCFS000	compañía
	.	Fp	.
