Mui	Muy	RQ	muy
Sres	señores	NP00000	señor
mios	míos	DP1MPS	mío
	.	Fp	.
en	En	SPS00	en
conformidad	conformidad	NCFS000	conformidad
de	de	SPS00	de
lo	lo	DA0NS0	el
que	que	PR0CN000	que
Vmds	VMs	NP00000	VM
acordaron	acordaron	VMIS3P0	acordar
conmigo	conmigo	SPS00+PP1CSO00	con+mí
de	de	SPS00	de
que	que	CS	que
buscara	buscara	VMSI0S0	buscar
pr	por	SPS00	por
aca	acá	RG	acá
las	las	DA0FP0	el
fiansas	fianzas	NCMP000	fianza
pa	para	SPS00	para
la	la	DA0FS0	el
contrata	contrata	NCFS000	contrata
sin	sin	SPS00	sin
obligr	obligar	VMN0000	obligar
a	a	SPS00	a
Vmds	VMs	NP00000	VM
	,	Fc	,
el	el	DA0MS0	el
mejor	mejor	AQ0CS0	mejor
medio	medio	NCMS000	medio
que	que	PR0CN000	que
he	he	VAIP1S0	haber
hallado	hallado	VMP0000	hallar
es	es	VSIP3S0	ser
el	el	DA0MS0	el
de	de	SPS00	de
dar	dar	VMN0000	dar
pr	por	SPS00	por
fiador	fiador	NCMS000	fiador
mi	mi	DP1CSS	mi
tavaco	tabaco	NCMS000	tabaco
en	en	SPS00	en
rama	rama	NCFS000	rama
q	que	PR0CN000	que
me	me	PP1CS000	me
bino	vino	VMIS3S0	venir
de	de	SPS00	de
Yndias	Indias	NP00000	indias
y	y	CC	y
la	la	DA0FS0	el
libransa	libranza	NCFS000	libranza
de	de	SPS00	de
Vmds	VMs	NP00000	VM
de	de	SPS00	de
72040	72040	Z	72040
rs	reales	NCMP000	real
de	de	SPS00	de
vn	vellón	NCMS000	vellón
	.	Fp	.
y	Y	CC	y
abiendoce	habiéndose	VAG0000+P00CN000	haber+se
admitido	admitido	VMP0000	admitir
	,	Fc	,
solo	sólo	RG	sólo
resta	resta	VMIP3S0	restar
que	que	CS	que
Vmds	VMs	NP00000	VM
den	den	VMSP3P0	dar
poder	poder	NCMS000	poder
espesial	especial	AQ0CS0	especial
pa	para	SPS00	para
q	que	CS	que
pueda	pueda	VMSP0S0	poder
