Viva	Viva	VMSP0S0	vivir
la	la	DA0FS0	el
Purisima	purísima	AQSFS0	puro
Reyna	reina	NCFS000	reina
de	de	SPS00	de
los	los	DA0MP0	el
Angeles	ángeles	NCMP000	ángel
:	:	Fd	:
Amado	Amado	VMP00SM	amar
y	y	CC	y
Rmo	reverendísimo	AQ0MS0	reverendísimo
pe	padre	NCMS000	padre
Lector	lector	NCMS000	lector
en	en	SPS00	en
nro	nuestro	DP1MSP	nuestro
amoroso	amoroso	AQ0MS0	amoroso
Jesus	Jesús	NP00000	jesús
y	y	CC	y
S	su	DP3CS0	su
P	purísima	AQSFS0	puro
m	Madre	NP00000	madre
y	y	CC	y
nra	nuestra	DP1FSP	nuestro
Nueva	nueva	NCFS000	nueva
Protectora	protectora	NCFS000	protector
	.	Fp	.
No	No	RN	no
aviendome	habiéndome	VAG0000+PP1CS000	haber+me
ocurrido	ocurrido	VMP0000	ocurrir
cosa	cosa	NCFS000	cosa
singular	singular	AQ0CS0	singular
que	que	CS	que
comunicar	comunicar	VMN0000	comunicar
a	a	SPS00	a
Vm	VM	NP00000	VM
y	y	CC	y
guardando	guardando	VMG0000	guardar
el	el	DA0MS0	el
precepto	precepto	NCMS000	precepto
del	del	SPS00+DA0MS0	de+el
tribunal	tribunal	NCMS000	tribunal
,	,	Fc	,
e	he	VAIP1S0	haber
guardado	guardado	VMP0000	guardar
al	al	SPS00+DA0MS0	a+el
mismo	mismo	AQ0MS0	mismo
tpo	tiempo	NCMS000	tiempo
el	el	DA0MS0	el
silencio	silencio	NCMS000	silencio
que	que	PR0CN000	que
tal	tal	RC	tal
vez	vez	NCFS000	vez
Vm	VM	NP00000	VM
abra	habrá	VAIF3S0	haber
estrañado	extrañado	VMP0000	extrañar
:	.	Fp	.
es	Es	VSIP3S0	ser
verdad	verdad	NCFS000	verdad
fui	fui	VSIS1S0	ser
movido	movido	VMP00SM	mover
para	para	SPS00	para
acerlo	hacerlo	VMN0000+PP3CNA00	hacer+lo
	,	Fc	,
al	al	SPS00+DA0MS0	a+el
tiempo	tiempo	NCMS000	tiempo
que	que	CS	que
Vm	VM	NP00000	VM
se	se	P00CN000	se
iba	iba	VMII0S0	ir
a	a	SPS00	a
Priego	Priego	NP00000	priego
,	,	Fc	,
con	con	SPS00	con
el	el	DA0MS0	el
objeto	objeto	NCMS000	objeto
de	de	SPS00	de
allar	hallar	VMN0000	hallar
algun	algún	DI0MS0	alguno
alivio	alivio	NCMS000	alivio
en	en	SPS00	en
las	las	DA0FP0	el
terribles	terribles	AQ0CP0	terrible
borrascas	borrascas	NCFP000	borrasca
que	que	PR0CN000	que
me	me	PP1CS000	me
e	he	VAIP1S0	haber
visto	visto	VMP0000	ver
con	con	SPS00	con
los	los	DA0MP0	el
enemigos	enemigos	NCMP000	enemigo
,	.	Fp	.
y	Y	CC	y
la	la	DA0FS0	el
mayor	mayor	AQ0CS0	mayor
fue	fue	VMIS3S0	ir
al	al	SPS00+DA0MS0	a+el
mismo	mismo	AQ0MS0	mismo
tiempo	tiempo	NCMS000	tiempo
que	que	CS	que
la	la	PP3FSA00	lo
paso	pasó	VMIS3S0	pasar
la	la	DA0FS0	el
Sra	señora	NP00000	señor
o	o	CC	o
el	el	DA0MS0	el
sor	señor	NP00000	señor
la	la	DA0FS0	el
nueva	nueva	NCFS000	nueva
forma	forma	NCFS000	forma
	,	Fc	,
pero	pero	CC	pero
interiormte	interiormente	RG	interiormente
me	me	PP1CS000	me
alevantava	levantaba	VMII0S0	levantar
la	la	DA0FS0	el
confianza	confianza	NCFS000	confianza
en	en	SPS00	en
el	el	DA0MS0	el
Sor	Señor	NP00000	señor
y	y	CC	y
en	en	SPS00	en
la	la	DA0FS0	el
palabra	palabra	NCFS000	palabra
que	que	PR0CN000	que
me	me	PP1CS000	me
dijo	dijo	VMIS3S0	decir
el	el	DA0MS0	el
primero	primero	AO0MS0	primero
dia	día	NCMS000	día
de	de	SPS00	de
mi	mi	DP1CSS	mi
prision	prisión	NCFS000	prisión
,	:	Fd	:
que	que	CS	que
no	no	RN	no
temiera	temiera	VMSI0S0	temer
	,	Fc	,
qe	que	CS	que
conmigo	conmigo	SPS00+PP1CSO00	con+mí
estaba	estaba	VMII0S0	estar
;	.	Fp	.
mas	Mas	CC	mas
con	con	SPS00	con
la	la	DA0FS0	el
nueva	nueva	NCFS000	nueva
era	era	VSII0S0	ser
tan	tan	RC	tan
grande	grande	AQ0CS0	grande
y	y	CC	y
se	se	P00CN000	se
avia	había	VAII0S0	haber
obscurrecido	obscurecido	VMP0000	obscurecer
el	el	DA0MS0	el
sol	sol	NCMS000	sol
de	de	SPS00	de
Justicia	justicia	NCFS000	justicia
,	,	Fc	,
no	no	RN	no
allava	hallaba	VMII0S0	hallar
puerto	puerto	NCMS000	puerto
seguro	seguro	AQ0MS0	seguro
en	en	SPS00	en
tal	tal	RC	tal
terrible	terrible	AQ0CS0	terrible
tempestad	tempestad	NCFS000	tempestad
;	,	Fc	,
asta	hasta	SPS00	hasta
que	que	CS	que
la	la	DA0FS0	el
diva	diva	NCFS000	diva
misericordia	misericordia	NCFS000	misericordia
se	se	P00CN000	se
sirvio	sirvió	VMIS3S0	servir
sacarme	sacarme	VMN0000+PP1CS000	sacar+me
de	de	SPS00	de
tanta	tanta	DI0FS0	tanto
obscuridad	obscuridad	NCFS000	obscuridad
;	.	Fp	.
d	De	SPS00	de
estas	estas	DD0FP0	este
batallas	batallas	NCFP000	batalla
a	ha	VAIP3S0	haber
abido	habido	VMP0000	haber
dos	dos	Z	2
grandes	grandes	AQ0CP0	grande
	,	Fc	,
aunque	aunque	CS	aunque
la	la	DA0FS0	el
gerra	guerra	NCFS000	guerra
a	ha	VAIP3S0	haber
sido	sido	VSP0000	ser
continuada	continuada	VMP00SF	continuar
,	,	Fc	,
pero	pero	CC	pero
en	en	SPS00	en
especial	especial	AQ0CS0	especial
la	la	DA0FS0	el
una	una	DI0FS0	uno
me	me	PP1CS000	me
parecia	parecía	VMII0S0	parecer
tan	tan	RC	tan
clara	clara	AQ0FS0	clara
	:	Fd	:
aver	haber	VAN0000	haber
pedido	pedido	VMP0000	pedir
la	la	DA0FS0	el
gracias	gracias	NCFP000	gracia
y	y	CC	y
amistad	amistad	NCFS000	amistad
del	del	SPS00+DA0MS0	de+el
sor	Señor	NP00000	señor
por	por	SPS00	por
la	la	DA0FS0	el
vella	bella	NCFS000	bella
pintura	pintura	NCFS000	pintura
que	que	PR0CN000	que
me	me	PP1CS000	me
acia	hacía	VMII0S0	hacer
el	el	DA0MS0	el
emmo	emmo	X	x
sin	sin	SPS00	sin
allar	hallar	VMN0000	hallar
recurso	recurso	NCMS000	recurso
alguno	alguno	DI0MS0	alguno
:	.	Fp	.
aora	Ahora	RG	ahora
tocante	tocante	RG	tocante
a	a	SPS00	a
la	la	DA0FS0	el
fe	fe	NCFS000	fe
	,	Fc	,
en	en	SPS00	en
las	las	DA0FP0	el
nuevas	nuevas	AQ0FP0	nuevo
obras	obras	NCFP000	obra
del	del	SPS00+DA0MS0	de+el
mui	muy	RQ	muy
poderoso	poderoso	AQ0MS0	poderoso
Sor	Señor	NP00000	señor
no	no	RN	no
a	ha	VAIP3S0	haber
podido	podido	VMP0000	poder
acer	hacer	VMN0000	hacer
nada	nada	PI0NN00N	nada
aunqe	aunque	CS	aunque
lo	lo	PP3CNA00	lo
a	ha	VAIP3S0	haber
intentado	intentado	VMP0000	intentar
:	.	Fp	.
bamos	Vamos	VMIP1P0	ir
aora	ahora	RG	ahora
al	al	SPS00+DA0MS0	a+el
preciso	preciso	AQ0MS0	preciso
	.	Fp	.
hace	Hace	VMIP3S0	hacer
largo	largo	AQ0MS0	largo
tiempo	tiempo	NCMS000	tiempo
que	que	CS	que
el	el	DA0MS0	el
sor	Señor	NP00000	señor
me	me	PP1CS000	me
a	ha	VAIP3S0	haber
tenido	tenido	VMP0000	tener
en	en	SPS00	en
una	una	DI0FS0	uno
obscuridad	obscuridad	NCFS000	obscuridad
grande	grande	AQ0CS0	grande
y	y	CC	y
padeciendo	padeciendo	VMG0000	padecer
dolores	dolores	NCMP000	dolor
agudos	agudos	NCMP000	agudo
,	,	Fc	,
en	en	SPS00	en
especial	especial	AQ0CS0	especial
en	en	SPS00	en
la	la	DA0FS0	el
oracion	oración	NCFS000	oración
(	(	Fba	(
regalos	regalos	NCMP000	regalo
de	de	SPS00	de
su	su	DP3CS0	su
misericordiosa	misericordiosa	AQ0FS0	misericordioso
mano	mano	NCFS000	mano
)	)	Fbt	)
	.	Fp	.
hasta	Hasta	SPS00	hasta
ayer	ayer	RG	ayer
que	que	CS	que
su	Su	DP3CS0	su
d	Divina	AQ0FS0	divino
m	Majestad	NP00000	majestad
corrio	corrió	VMIS3S0	correr
la	la	DA0FS0	el
cortina	cortina	NCFS000	cortina
,	,	Fc	,
aunqe	aunque	CS	aunque
el	el	DA0MS0	el
savado	sábado	NCMS000	sábado
en	en	SPS00	en
la	la	DA0FS0	el
tarde	tarde	NCFS000	tarde
se	se	P00CN000	se
me	me	PP1CS000	me
